datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1991-04-01,dsm2,base,1,31094.73,30547.73,2239.17,10642.86,21111.49,0.00,1.00,602.95,1.60,3.12,2.26,2.69,360.91,360.91,350.37,420.84,436.19,362.63,270.27,268.47,446.39,163.52,324.39,3516.13,4478.30,2455.31,340.22,340.36,4134.75,329.18,543.57,7440.15,1622.58,273.64,350.49,398.27,526.36,2038.10,274.90,712.89,486.27,255.04,2733.46,145.78,140.44,202.31,463.53,227.44,484.56,435.09,2157.03,436.03,59.60
1991-04-02,dsm2,base,1,25782.33,25162.33,1811.67,10617.06,15188.66,0.00,1.00,761.88,2.01,2.67,1.82,2.61,365.46,365.46,335.17,362.08,489.78,356.33,214.21,214.21,435.54,157.54,320.44,3593.28,4124.94,2346.62,327.84,328.62,3926.89,303.28,373.00,6321.84,1424.28,256.48,335.27,388.07,533.53,1261.09,269.70,705.54,458.06,239.62,3326.49,151.94,168.62,189.67,429.81,228.27,588.21,429.39,2053.53,408.07,54.40
1991-04-03,dsm2,base,1,22516.63,21956.63,1524.71,10655.36,11191.39,0.00,1.00,898.88,1.76,2.87,1.66,2.77,349.43,349.43,325.92,334.22,584.90,340.18,217.96,217.96,417.42,159.96,308.93,3507.97,4004.13,2082.41,317.73,317.96,3561.91,298.05,343.82,5675.58,1278.59,230.06,325.94,378.62,610.08,1351.90,269.72,686.92,435.07,236.29,3351.57,173.38,192.37,206.03,448.90,233.03,718.91,435.11,2191.21,407.26,54.40
1991-04-04,dsm2,base,1,19596.86,19030.86,1327.93,10600.96,8000.48,0.00,1.00,993.68,1.83,3.11,1.87,2.94,315.79,315.79,315.13,318.21,631.32,328.80,235.66,235.66,403.56,175.67,295.03,3240.75,3824.31,2221.23,305.58,305.58,3369.66,304.10,459.08,7287.33,1286.88,246.66,315.18,369.82,690.19,1973.70,255.05,664.80,414.36,246.30,3285.24,188.78,207.78,215.21,463.54,234.52,836.41,432.59,2088.28,387.84,59.60
1991-04-05,dsm2,base,1,16490.35,15886.35,1209.75,10614.66,5091.63,0.00,1.00,1078.70,2.08,3.21,2.41,2.96,291.67,291.67,301.36,302.17,637.76,318.99,295.85,295.85,384.44,187.28,288.50,3028.76,3592.87,2773.24,294.09,294.27,3399.92,305.09,679.24,8845.64,1467.20,308.85,301.42,352.18,788.31,2742.30,245.51,647.35,395.61,253.73,3034.51,198.67,219.75,228.04,487.47,243.56,921.54,412.40,1995.56,374.48,63.20
1991-04-06,dsm2,base,1,15099.18,14415.18,1139.07,10649.86,3741.49,0.00,1.00,1138.78,2.66,3.44,3.41,3.06,283.15,283.15,292.82,298.43,625.96,311.90,397.59,397.59,369.86,200.89,287.03,2891.96,3348.17,3516.30,289.41,290.07,3402.90,299.01,963.06,10075.54,1723.25,409.90,292.79,336.53,881.95,3477.23,244.54,632.25,378.19,259.15,2834.99,205.23,199.84,233.84,495.19,249.94,989.90,397.35,1936.56,372.48,63.20
1991-04-07,dsm2,base,1,14097.51,13313.51,1085.51,10670.56,2767.57,0.00,1.00,1207.75,3.50,3.73,4.73,3.18,297.59,297.59,291.22,328.58,604.22,306.97,586.95,586.95,359.49,218.87,286.81,2759.11,3118.18,4480.40,289.66,290.12,3391.21,290.95,1422.76,11760.18,2168.36,563.10,291.37,326.28,950.25,4479.43,248.19,617.73,362.15,263.26,2835.97,206.45,207.29,236.77,469.36,251.74,1053.57,381.36,1845.76,357.48,66.20
1991-04-08,dsm2,base,1,13291.91,12576.91,1057.75,10195.36,2055.44,0.00,1.00,1242.87,4.16,3.62,5.98,3.00,392.74,392.74,291.74,411.16,588.10,302.04,1044.39,1044.39,347.00,260.77,286.21,2740.00,2900.53,5967.33,290.27,290.69,3332.99,283.64,2395.95,14005.79,3020.78,872.04,291.93,318.92,989.14,6475.41,254.05,608.72,347.11,267.35,2798.57,206.84,215.79,243.48,422.86,250.29,1064.43,357.31,1718.05,385.75,70.80
1991-04-09,dsm2,base,1,13050.46,12399.46,1045.39,10657.56,1378.50,0.00,1.00,1258.94,4.72,3.40,6.94,2.78,496.88,496.88,291.53,580.55,592.18,297.71,1351.22,1351.22,333.77,304.04,286.10,2923.54,2767.98,6964.96,289.57,289.94,3276.91,286.13,3009.59,14152.22,3664.31,1225.51,291.60,315.19,987.53,7100.97,257.28,604.91,334.07,267.84,2921.26,207.28,225.02,255.45,430.08,254.60,1113.13,338.10,1683.24,372.43,70.80
1991-04-10,dsm2,base,1,13378.66,12758.66,1026.95,10603.16,1801.46,0.00,1.00,1268.96,4.91,3.37,7.13,2.80,583.91,583.91,290.44,861.20,609.09,293.33,1577.64,1577.64,323.14,342.14,284.32,3208.27,2811.67,7386.64,287.90,288.09,3242.68,296.22,3333.89,13622.46,4167.56,1400.32,290.53,311.84,943.61,7154.15,259.00,601.28,325.02,267.02,3081.40,210.86,234.74,260.86,440.71,258.09,1148.78,323.94,1705.50,373.24,70.80
1991-04-11,dsm2,base,1,13764.56,13150.56,982.78,10493.26,2217.62,0.00,1.00,1283.94,4.80,3.44,6.85,2.92,704.28,704.28,288.77,1168.36,621.37,290.23,1862.81,1862.81,315.48,394.23,282.36,3570.52,3006.32,7654.47,285.74,285.80,3203.69,314.78,3712.41,13835.60,4647.75,1569.21,288.78,309.13,978.78,7432.25,260.52,596.01,320.46,266.71,3321.02,216.89,232.30,279.34,443.25,267.20,1169.68,317.42,1758.91,385.73,72.40
1991-04-12,dsm2,base,1,14162.48,13548.48,891.67,9543.36,3439.14,0.00,1.00,1320.85,4.42,3.46,6.03,2.95,864.20,864.20,286.68,1432.34,630.05,289.19,2184.07,2184.07,311.52,445.87,281.52,3955.39,3290.36,8002.20,283.89,283.98,3170.44,345.66,4142.99,14473.30,5095.16,1883.42,286.67,306.32,1026.58,7893.74,262.01,582.58,318.79,267.10,3494.89,222.74,218.35,297.60,450.58,282.33,1173.82,311.71,1838.13,331.40,76.40
1991-04-13,dsm2,base,1,13145.34,12547.34,775.00,10478.26,1260.49,0.00,1.00,1324.98,3.81,3.56,4.85,3.06,998.79,998.79,285.28,1638.24,634.41,290.80,2421.04,2421.04,313.50,488.13,282.31,4222.06,3610.10,8323.20,283.42,283.54,3164.66,377.51,4457.96,14800.07,5416.35,2185.45,285.33,303.70,1060.77,8159.08,263.17,563.55,317.50,267.96,3533.58,224.36,200.59,319.98,457.01,297.49,1171.11,307.68,1914.48,395.73,76.60
1991-04-14,dsm2,base,1,12418.37,11824.37,662.25,10532.86,483.27,0.00,1.00,1377.74,3.07,3.56,3.69,3.14,1160.32,1160.32,285.37,1898.57,636.45,295.54,2729.65,2729.65,322.11,554.96,284.81,4439.62,3903.63,8706.88,284.63,284.94,3176.84,426.93,4855.40,15589.60,5660.39,2536.33,285.39,301.63,1071.07,8654.64,263.79,543.90,316.05,270.16,3487.19,221.90,188.47,351.82,449.37,317.35,1146.70,304.56,1983.06,356.56,76.60
1991-04-15,dsm2,base,1,13112.43,12488.43,543.63,10470.96,1453.03,0.00,1.00,1479.82,2.45,3.32,2.78,3.00,1346.88,1346.88,286.94,2169.55,633.23,302.49,2924.72,2924.72,335.19,594.06,289.45,4568.79,4154.21,9130.65,287.81,288.16,3194.62,485.43,5143.13,16088.61,5787.73,3013.47,286.93,299.15,1071.48,8974.06,263.95,523.56,313.91,274.05,3414.16,214.24,186.13,369.52,447.61,339.93,1107.57,301.36,2035.37,332.57,76.60
1991-04-16,dsm2,base,1,12468.89,11832.89,523.80,8564.36,2609.18,0.00,1.00,1458.13,2.05,3.21,2.17,2.96,1313.21,1313.21,290.61,2470.78,632.33,309.08,2731.82,2731.82,352.53,538.43,294.60,4587.16,4351.92,9241.65,291.88,292.18,3172.35,487.94,4942.69,15355.87,5641.65,3190.31,290.57,301.50,1093.57,8601.69,263.87,508.57,312.37,275.38,3316.36,205.60,191.79,355.15,423.12,339.87,1090.10,299.60,2084.83,308.32,76.60
1991-04-17,dsm2,base,1,12305.98,11696.98,471.79,8477.16,2296.56,0.00,1.00,1433.31,1.81,3.28,1.86,3.00,1328.45,1328.45,295.06,2748.35,632.41,317.01,2644.88,2644.88,372.65,525.43,298.69,4691.94,4498.57,9313.98,296.48,296.97,3140.80,505.13,4822.59,15371.02,5603.74,3089.08,295.02,305.29,1113.42,8527.99,263.56,491.94,312.72,279.16,3289.49,204.24,195.99,356.66,441.45,342.52,1110.91,298.77,2139.97,309.50,76.60
1991-04-18,dsm2,base,1,11670.83,11104.83,391.56,7141.46,2841.83,0.00,1.00,1631.50,1.82,3.42,2.01,3.12,1469.30,1469.30,299.91,2880.35,630.41,327.62,2842.23,2842.23,394.67,569.20,304.49,4856.04,4606.91,9663.35,302.14,302.46,3156.23,558.91,5048.83,16293.33,5723.79,3215.43,299.84,306.92,1120.56,9054.66,264.15,470.80,314.47,287.76,3353.40,206.69,204.62,389.87,402.05,369.96,1163.00,298.80,2203.67,312.22,76.60
