datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2000-02-01,dsm2,base,105,40772.10,39400.20,2647.00,11296.24,568.14,31554.72,0.00,1.00,716.58,2.84,4.10,2.94,3.93,324.89,324.89,291.62,349.77,678.97,317.80,176.32,176.32,440.88,140.09,271.00,4927.48,5725.08,2085.10,284.21,284.18,4357.93,268.55,263.14,6229.92,1299.42,195.27,291.77,357.00,726.91,1020.40,257.66,755.58,581.46,197.64,3231.33,136.04,133.08,166.11,531.49,187.03,661.05,445.61,3148.15,440.57,54.40
2000-02-02,dsm2,base,105,41383.30,40284.90,2583.00,11349.85,666.41,31950.04,0.00,1.00,767.78,2.89,4.24,3.28,4.00,277.56,277.56,280.38,337.23,661.60,296.16,197.34,197.34,416.55,146.58,252.72,3519.27,5090.18,2230.86,272.60,272.71,4727.78,279.63,397.65,8111.60,1374.76,203.42,280.73,345.02,728.08,2295.74,227.64,731.38,531.83,204.78,2321.38,141.02,133.69,170.68,477.26,182.93,716.90,457.24,2697.54,423.75,61.40
2000-02-03,dsm2,base,105,41090.90,40031.10,2431.00,11563.54,301.56,31656.80,0.00,1.00,804.98,2.92,4.26,3.47,3.91,252.13,252.13,268.95,307.97,704.07,289.46,192.93,192.93,381.86,152.08,251.59,3215.68,4341.68,2419.79,263.66,264.07,4728.86,271.09,403.87,8206.56,1355.82,204.65,269.31,335.28,740.87,2166.15,219.65,717.45,471.02,204.02,1922.57,139.87,128.55,176.15,490.51,191.22,766.31,444.57,2481.93,415.42,60.40
2000-02-04,dsm2,base,105,41102.50,39418.20,2347.00,11475.59,134.00,31839.91,0.00,1.00,819.99,3.11,4.16,3.76,3.71,246.91,246.91,262.90,295.91,753.94,278.31,193.15,193.15,358.02,150.43,246.89,2872.99,3810.50,2410.68,258.11,258.15,4612.51,257.96,404.60,7633.41,1329.03,201.31,263.12,324.18,783.42,2059.68,215.21,704.86,409.96,199.30,1662.97,134.70,124.01,173.45,489.77,188.13,802.13,431.09,2320.61,411.44,59.60
2000-02-05,dsm2,base,105,40423.80,39095.10,2273.00,11534.55,784.29,30377.96,0.00,1.00,864.98,3.13,4.11,3.76,3.70,244.10,244.10,257.77,278.79,789.42,268.52,185.26,185.26,338.34,144.68,241.31,2674.75,3433.74,2306.05,252.18,252.17,4453.85,244.88,367.84,7008.56,1259.85,191.47,258.09,317.18,815.94,1728.14,212.55,694.50,366.89,193.98,1548.58,133.82,128.03,166.08,512.29,182.82,820.08,422.18,2244.08,428.85,59.60
2000-02-06,dsm2,base,105,38938.90,37748.70,2251.00,11967.27,626.75,28595.88,0.00,1.00,910.28,3.06,3.89,3.49,3.53,237.25,237.25,251.97,262.80,812.37,259.08,185.58,185.58,323.12,143.65,234.51,2354.15,3092.50,2211.81,245.67,245.54,4309.24,235.79,376.32,6710.18,1221.84,189.46,252.24,308.43,836.84,1786.93,208.18,683.83,339.05,191.08,1428.43,135.86,130.77,164.33,514.84,179.68,857.94,404.58,2111.96,416.49,59.60
2000-02-07,dsm2,base,105,37231.90,36177.30,2216.00,11424.75,762.69,27260.46,0.00,1.00,957.38,3.00,3.70,3.17,3.42,234.67,234.67,245.34,247.76,844.72,251.07,176.54,176.54,308.64,144.62,229.74,2238.48,2816.21,2036.70,239.12,238.98,4196.29,226.07,329.35,5944.47,1111.77,183.49,245.56,301.41,868.38,1446.17,206.49,682.21,324.91,186.86,1447.92,137.55,133.02,165.31,522.21,178.28,902.40,390.35,2081.59,398.79,56.60
2000-02-08,dsm2,base,105,35826.20,34883.10,2155.00,10681.00,766.03,26534.17,0.00,1.00,985.19,2.78,3.55,2.79,3.29,229.47,229.47,239.07,239.00,892.74,244.63,175.92,175.92,298.03,145.51,224.69,2066.71,2612.73,1894.18,233.17,233.12,4070.61,219.63,317.76,5468.60,1035.60,181.99,239.36,293.54,908.52,1346.66,203.95,684.95,318.25,184.77,1416.00,139.19,134.55,164.74,533.05,176.18,948.65,377.64,2016.63,426.37,54.40
2000-02-09,dsm2,base,105,35104.90,34205.40,2112.00,10741.77,762.00,25713.13,0.00,1.00,996.99,2.52,3.49,2.39,3.28,226.41,226.41,234.40,226.28,942.18,238.18,173.36,173.36,288.84,146.24,220.83,1956.63,2452.78,1743.47,228.43,228.36,3969.96,213.74,297.98,5223.09,963.74,178.75,234.56,289.97,948.31,1243.65,202.90,695.80,316.06,182.35,1395.71,139.97,134.20,164.35,554.78,175.37,980.48,376.03,1954.26,435.25,54.40
2000-02-10,dsm2,base,105,33774.70,32699.70,2096.00,11469.15,-87.53,24489.08,0.00,1.00,992.30,2.22,3.45,2.02,3.37,221.94,221.94,229.42,218.96,978.67,233.62,172.70,172.70,284.99,146.16,216.28,1910.45,2324.48,1661.35,223.43,223.38,3850.04,209.96,291.04,5292.25,898.88,185.11,229.43,285.18,979.22,1194.32,200.49,709.20,318.14,181.11,1450.56,140.03,135.09,163.66,557.89,174.28,995.99,366.19,1895.98,409.31,54.40
2000-02-11,dsm2,base,105,33153.10,31116.60,2112.00,11466.76,-994.47,24792.81,0.00,1.00,1039.18,1.88,3.43,1.71,3.26,215.95,215.95,225.25,224.46,994.12,231.81,175.52,175.52,304.03,145.96,211.01,1860.27,2230.22,1680.96,217.47,217.46,3592.23,207.49,308.40,5492.66,861.32,193.32,225.28,286.33,1000.13,1316.00,197.21,723.34,329.30,180.90,1466.74,141.48,137.89,162.35,565.04,172.38,997.01,363.56,1829.38,352.91,54.40
2000-02-12,dsm2,base,105,40588.70,33382.80,2280.00,11460.70,-2894.86,34302.86,0.00,1.00,1062.39,1.89,3.50,1.86,3.20,217.44,217.44,223.17,240.89,1004.43,227.98,171.02,171.02,318.36,146.76,206.93,1895.83,2166.99,1634.89,213.47,213.35,3242.34,202.44,278.37,5413.39,807.01,198.29,223.24,292.85,1010.19,1163.02,200.54,754.78,343.02,178.24,1571.22,144.83,145.87,163.96,584.28,174.23,1034.33,396.00,1861.70,326.54,54.40
2000-02-13,dsm2,base,105,48344.20,41095.80,3262.00,11652.82,-5965.48,45918.86,0.00,1.00,1034.91,2.38,3.57,2.46,3.12,217.51,217.51,223.78,267.32,1048.55,229.82,168.57,168.57,354.45,150.51,205.14,1886.62,2115.37,1613.58,211.56,211.26,2952.30,200.14,258.74,4938.07,763.03,202.20,223.90,303.48,1054.00,1006.66,208.40,808.90,361.90,180.78,1576.17,152.07,149.70,169.53,631.82,177.66,1064.99,421.63,1870.65,344.85,54.40
2000-02-14,dsm2,base,105,85532.70,51399.90,4762.00,11777.00,-7459.80,85977.50,0.00,1.00,963.41,2.60,3.60,3.26,2.83,214.75,214.75,225.82,297.99,1046.67,231.11,165.51,165.51,377.56,156.75,206.20,1830.98,2054.97,1381.44,211.70,211.47,2698.67,200.68,214.62,3570.74,715.63,205.41,225.86,318.76,1092.71,699.10,224.62,922.20,397.46,183.49,1560.63,149.89,140.35,169.51,736.15,179.62,1034.84,452.27,1904.52,458.56,53.80
2000-02-15,dsm2,base,105,145110.10,68140.80,7083.00,12154.03,-7220.74,147259.81,0.00,1.00,716.80,3.08,3.42,3.91,2.74,210.37,210.37,229.66,311.62,924.16,227.83,149.56,149.56,378.90,135.87,207.03,1691.43,1958.33,871.44,212.85,212.52,2477.21,195.48,168.48,1871.10,585.88,196.96,229.69,330.12,1064.31,243.25,247.56,1034.08,418.29,182.78,1523.21,122.78,120.67,142.13,755.68,152.13,902.37,519.16,1926.51,446.84,53.80
2000-02-16,dsm2,base,105,156280.70,78903.00,7579.00,12722.30,-6978.51,158115.91,0.00,1.00,533.11,3.59,3.25,4.57,2.46,199.55,199.55,234.85,297.88,692.73,223.25,121.82,121.82,357.46,113.21,210.78,1555.77,1842.84,362.11,216.19,215.62,2380.72,185.14,142.71,780.43,456.54,165.45,235.26,339.50,883.58,150.94,306.25,942.30,431.45,183.54,1526.55,107.98,106.49,121.80,734.74,131.38,671.61,592.75,1994.42,459.12,53.80
2000-02-17,dsm2,base,105,159529.40,78766.20,8251.00,12763.20,-5573.44,160590.64,0.00,1.00,290.30,3.88,3.02,5.04,2.12,190.39,190.39,238.89,272.54,496.73,223.73,109.86,109.86,346.96,103.31,216.56,1386.39,1700.87,193.46,222.02,221.42,2277.34,176.04,128.77,458.94,408.87,146.70,239.97,346.07,759.31,130.36,408.96,717.19,443.19,189.96,1490.15,102.10,99.79,114.20,601.89,123.20,466.08,570.61,2003.75,445.33,53.80
2000-02-18,dsm2,base,105,151142.90,78297.30,11055.00,13337.59,-1995.12,150855.43,0.00,1.00,242.60,4.05,2.97,5.16,2.06,181.17,181.17,243.53,243.76,298.32,226.36,108.03,108.03,322.89,101.93,233.88,1208.96,1553.20,152.50,233.44,232.83,2234.46,173.49,123.51,381.99,358.62,135.29,244.66,354.55,530.51,123.58,517.21,491.82,453.03,210.61,1507.01,100.51,98.13,112.52,454.88,123.77,293.92,587.58,2008.48,438.24,53.80
2000-02-19,dsm2,base,105,135825.80,74648.70,12130.00,12688.80,-262.01,135529.01,0.00,1.00,214.65,4.10,3.00,5.06,2.24,177.20,177.20,255.53,210.82,246.89,238.42,107.04,107.04,300.84,100.40,261.08,1041.09,1379.50,141.70,255.28,254.75,2168.55,174.64,120.19,419.17,312.80,121.13,256.42,364.44,358.94,120.75,523.14,312.58,450.40,237.11,1468.52,98.70,94.96,113.04,342.62,127.20,244.58,592.02,1935.73,407.19,53.80
2000-02-20,dsm2,base,105,122375.20,70814.70,12240.00,13238.82,195.76,121180.62,0.00,1.00,205.26,3.81,3.14,4.41,2.47,176.10,176.10,277.51,179.68,219.82,256.40,107.38,107.38,299.81,99.96,284.75,890.25,1223.49,137.11,283.98,283.22,2067.25,182.26,118.20,495.09,269.40,118.03,277.79,373.37,311.64,119.96,456.36,256.60,439.36,254.61,1407.96,100.33,98.42,116.69,299.85,134.62,220.51,578.72,1801.77,404.45,53.80
2000-02-21,dsm2,base,105,116670.00,68058.00,12220.00,13127.38,133.89,115628.73,0.00,1.00,230.32,3.40,3.21,3.74,2.47,178.94,178.94,301.78,167.30,223.80,269.59,113.06,113.06,297.08,106.97,296.86,778.69,1103.59,136.90,305.79,304.69,1976.96,191.29,118.51,598.64,233.98,123.68,301.52,371.84,313.59,125.30,381.43,232.92,424.09,247.41,1342.89,107.65,106.98,126.55,287.85,144.51,227.64,529.77,1667.17,399.12,53.80
2000-02-22,dsm2,base,105,107804.20,66611.70,12062.00,12607.55,-414.67,107673.32,0.00,1.00,245.24,2.93,3.32,2.83,2.61,187.35,187.35,319.08,164.09,240.00,280.52,121.39,121.39,314.63,116.26,297.65,723.59,1003.90,134.53,315.58,314.04,1908.59,201.97,123.90,635.28,218.16,129.97,319.03,382.79,307.76,127.17,325.57,245.77,409.34,233.47,1319.72,115.88,114.38,140.17,287.09,159.37,242.70,494.63,1578.99,399.31,53.80
2000-02-23,dsm2,base,105,123488.00,65087.10,12368.00,11558.73,-3740.68,128037.95,0.00,1.00,260.14,2.30,3.39,2.03,2.76,198.26,198.26,330.44,178.85,263.00,282.24,128.55,128.55,337.89,122.61,290.98,696.23,993.07,135.51,316.53,314.79,1864.11,210.26,132.20,610.54,214.84,149.27,330.49,402.13,343.82,133.60,286.34,266.00,407.52,215.15,1328.17,120.22,118.96,144.40,298.28,165.01,265.36,487.02,1513.42,392.47,53.80
