datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1993-08-01,dsm2,base,29,24487.00,23300.00,1730.00,-10611.38,5061.22,10544.40,1.00,0.00,603.02,3.01,4.02,4.06,3.35,418.50,418.50,140.07,4941.68,719.64,145.16,1161.58,1161.58,173.23,192.97,137.36,6405.12,5961.47,7907.85,138.74,138.78,3669.46,175.15,2713.84,7055.64,2156.57,140.09,154.03,472.34,6495.49,129.24,279.70,151.49,129.14,5090.68,115.66,109.48,144.44,297.73,140.48,641.20,159.96,3550.83,213.63,70.80
1993-08-02,dsm2,base,29,25601.00,24400.00,1870.00,-10628.88,4965.07,11877.05,1.00,0.00,600.00,2.70,4.07,3.72,3.46,448.66,448.66,140.63,5061.03,709.61,146.74,1214.91,1214.91,174.64,200.94,138.31,6463.75,6070.11,7997.40,139.58,139.62,3927.80,181.32,2834.04,7118.97,2240.45,140.65,153.90,467.67,6786.01,129.68,271.18,152.93,130.17,5227.56,114.89,108.00,147.83,294.27,143.20,631.03,159.89,3694.02,194.06,70.80
1993-08-03,dsm2,base,29,26676.00,25500.00,1820.00,-10775.93,4890.85,12829.22,1.00,0.00,627.98,2.47,3.99,3.24,3.47,464.89,464.89,141.36,5128.73,699.46,147.42,1221.28,1221.28,176.81,197.05,139.14,6527.66,6157.42,8111.77,140.26,140.40,4071.58,185.85,2878.55,7197.85,2261.66,141.36,154.03,469.66,6836.68,130.00,265.79,153.48,130.18,5287.48,113.32,104.72,147.15,285.24,144.24,611.55,159.60,3820.66,176.52,70.80
1993-08-04,dsm2,base,29,26315.00,25200.00,1760.00,-10794.75,4551.02,12729.23,1.00,0.00,581.03,2.29,3.81,2.73,3.39,455.32,455.32,141.95,5160.07,689.18,148.22,1107.17,1107.17,178.81,180.02,139.43,6558.59,6228.94,8055.78,140.79,140.90,4090.35,184.35,2683.91,7223.87,2186.48,141.97,153.31,473.73,6537.35,130.23,266.80,153.57,129.02,5288.55,111.04,105.82,142.13,290.75,141.58,617.69,158.63,3861.69,177.86,70.80
1993-08-05,dsm2,base,29,25599.00,24500.00,1640.00,-10811.42,4333.45,12094.13,1.00,0.00,592.99,2.01,3.75,2.26,3.29,412.52,412.52,142.17,5093.76,679.04,148.29,941.23,941.23,180.47,160.00,139.14,6566.49,6249.81,7823.16,140.81,140.91,3934.57,178.50,2377.92,7170.27,2031.39,142.17,153.12,476.79,5995.35,130.13,268.93,153.74,127.27,5096.38,110.23,107.44,136.58,286.69,138.71,616.78,157.14,3867.29,167.23,70.80
1993-08-06,dsm2,base,29,24616.00,23500.00,1570.00,-10754.81,4293.21,11137.98,1.00,0.00,617.98,1.67,3.80,1.81,3.28,385.36,385.36,141.89,5094.91,670.89,148.28,849.14,849.14,182.42,152.62,138.29,6555.50,6248.34,7566.85,140.27,140.40,3827.32,175.21,2192.42,6959.45,1936.14,141.88,152.76,473.24,5716.23,129.49,267.61,154.26,126.92,4919.41,110.80,107.55,133.55,293.73,136.60,593.24,156.68,3905.57,157.45,66.20
1993-08-07,dsm2,base,29,23934.00,22800.00,1770.00,-10781.70,4163.78,10758.51,1.00,0.00,653.98,1.48,3.75,1.54,3.35,381.31,381.31,141.23,5131.50,664.06,148.15,829.99,829.99,184.10,151.23,137.74,6527.54,6267.84,7428.13,139.45,139.64,3841.88,177.11,2157.81,6857.60,1886.81,141.24,152.29,464.22,5776.85,128.56,264.69,154.46,127.09,4800.65,111.31,108.62,133.43,273.74,137.12,607.98,156.35,3993.11,155.64,66.20
1993-08-08,dsm2,base,29,23151.00,22000.00,1850.00,-10972.26,4130.88,9897.86,1.00,0.00,685.98,1.40,3.69,1.34,3.33,375.49,375.49,140.52,5110.88,655.85,148.41,796.18,796.18,185.38,146.52,137.61,6486.81,6258.31,7411.04,138.76,138.93,3811.38,175.57,2039.32,6798.03,1849.03,140.53,151.90,454.19,5670.03,128.08,265.18,154.35,127.22,4550.04,111.64,110.48,133.62,283.73,138.06,639.50,156.14,4022.40,154.55,66.20
1993-08-09,dsm2,base,29,23269.00,22100.00,1830.00,-10760.75,4031.45,10306.80,1.00,0.00,645.02,1.51,3.73,1.31,3.30,370.10,370.10,140.14,5093.76,645.79,148.39,750.73,750.73,186.85,143.63,137.62,6439.85,6223.29,7382.31,138.53,138.68,3677.31,175.16,1945.22,6741.24,1824.12,140.14,151.66,447.77,5554.15,127.87,267.56,153.79,127.64,3960.97,112.49,111.40,132.45,284.82,137.85,672.16,155.97,4028.09,153.69,66.20
1993-08-10,dsm2,base,29,23150.00,22000.00,1840.00,-10799.68,3930.07,10260.25,1.00,0.00,625.01,1.84,3.74,1.44,3.27,382.75,382.75,140.09,5124.56,645.64,148.56,772.69,772.69,188.98,146.27,137.54,6413.37,6217.60,7476.95,138.79,138.98,3696.27,180.97,1965.62,6732.93,1846.98,140.08,151.01,445.11,5772.50,127.78,266.76,153.39,129.29,3679.51,113.44,111.49,132.43,293.32,136.90,664.67,155.00,4052.59,153.60,66.20
1993-08-11,dsm2,base,29,22749.00,21600.00,1860.00,-10989.07,3509.12,10110.81,1.00,0.00,575.03,2.26,3.82,1.87,3.25,387.60,387.60,140.06,5128.65,652.08,149.51,793.14,793.14,189.40,149.70,138.24,6391.09,6213.49,7610.64,139.42,139.59,3797.62,186.23,2032.46,6734.00,1844.33,140.06,150.07,448.94,6065.62,128.06,265.11,152.74,130.95,3525.12,114.00,112.33,135.56,300.71,137.54,641.48,153.68,4057.30,166.30,66.20
