datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2005-04-01,dsm2,baseline,65,39614.21,13112.29,9034.50,1206.58,45949.04,0.00,1.00,0.00,2.88,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.80
2005-04-02,dsm2,baseline,65,37553.81,13474.60,9645.50,830.05,43773.74,0.00,1.00,230.17,2.66,3.77,0.71,0.71,3.79,0.60,99.06,1.87,0.18,0.18,9.20,0.67,1.47,0.46,4.45,14.74,2.25,2.17,1.12,1.32,0.10,0.52,0.57,3.73,5.42,35.82,101.34,0.71,2.79,0.17,1.58,6.93,1.39,50.37,1.47,16.80,1.62,116.01,4.09,0.68,8.24,53.80
2005-04-03,dsm2,baseline,65,34302.67,13508.02,9054.90,-190.07,42053.92,0.00,1.00,225.33,2.73,3.99,2.07,2.07,9.93,4.70,229.32,6.08,0.95,0.95,23.99,12.15,4.12,3.96,24.49,256.60,5.63,5.51,9.52,3.64,5.69,42.30,4.54,9.94,46.65,229.63,689.40,2.78,193.50,2.80,10.62,25.59,55.27,143.55,13.46,204.38,10.76,229.88,24.27,4.59,115.15,54.40
2005-04-04,dsm2,baseline,65,31345.87,13428.06,10571.90,44.60,37366.26,0.00,1.00,232.78,2.92,4.12,4.85,4.85,15.25,12.08,228.67,9.87,11.70,11.70,40.03,58.02,8.07,17.64,41.41,474.99,9.60,9.34,31.35,10.89,14.55,122.39,9.57,15.41,47.35,226.75,854.24,7.39,223.63,8.75,29.76,42.32,106.01,153.69,51.87,208.69,40.49,230.65,86.96,12.77,178.08,54.40
2005-04-05,dsm2,baseline,65,28966.80,13481.52,11352.90,995.46,33858.13,0.00,1.00,230.10,3.02,4.10,12.88,12.88,19.57,19.28,237.55,16.17,31.89,31.89,52.28,96.17,15.80,42.11,50.15,785.90,12.68,12.73,51.84,24.16,49.85,237.99,23.26,19.74,46.63,243.96,1139.51,29.87,233.04,19.16,50.77,61.36,120.04,159.82,76.17,218.22,61.72,238.27,113.75,21.35,144.18,55.20
2005-04-06,dsm2,baseline,65,26807.25,13349.95,11248.90,725.65,31881.63,0.00,1.00,232.67,3.15,3.96,22.80,22.80,24.76,27.12,238.57,23.25,56.70,56.70,60.55,113.15,23.32,80.65,65.73,1023.06,18.53,18.57,72.17,38.60,90.68,369.33,47.03,24.96,53.33,246.47,1166.81,67.29,238.92,31.67,68.97,81.36,128.11,166.05,89.03,230.65,75.62,239.29,120.82,29.85,158.81,56.40
2005-04-07,dsm2,baseline,65,25582.78,13121.28,11791.90,106.06,30532.20,0.00,1.00,236.32,3.23,3.77,33.77,33.77,30.85,41.24,241.20,32.12,77.19,77.19,69.82,120.39,32.24,124.38,93.14,1180.29,25.73,25.97,89.81,52.39,125.89,454.43,69.81,31.03,55.30,248.53,1096.66,115.72,240.09,44.71,86.90,101.27,133.96,169.02,98.45,213.90,86.10,242.07,143.42,37.85,123.58,54.40
2005-04-08,dsm2,baseline,65,24933.19,12743.49,12038.90,-975.25,30710.71,0.00,1.00,228.20,3.41,3.62,45.63,45.63,37.95,60.31,235.11,43.97,91.65,91.65,76.60,125.82,44.27,181.45,126.96,1296.63,36.89,37.15,101.29,65.51,158.99,537.71,85.47,38.04,57.32,243.29,1134.22,153.38,241.12,58.74,108.43,111.51,138.57,168.33,106.81,204.33,98.11,235.83,150.45,46.53,119.39,54.40
2005-04-09,dsm2,baseline,65,23655.25,11820.09,11720.90,-258.46,28200.46,0.00,1.00,244.96,3.51,3.50,58.23,58.23,48.35,78.48,240.12,56.23,101.85,101.85,86.86,131.50,59.64,243.90,182.53,1343.93,49.82,50.17,105.46,79.06,172.98,594.33,96.25,48.39,65.95,244.18,1093.24,179.71,230.07,72.46,132.67,114.56,141.12,167.48,116.63,222.98,108.68,243.62,165.20,54.55,139.51,54.40
2005-04-10,dsm2,baseline,65,23742.27,10578.27,11484.90,261.93,25970.83,0.00,1.00,262.40,3.39,3.38,71.25,71.25,62.63,94.05,261.46,72.26,113.21,113.21,100.55,135.54,78.07,321.53,248.75,1466.27,65.86,66.68,111.09,92.19,210.94,664.65,107.93,62.57,80.77,264.89,1214.02,194.84,249.35,86.88,151.25,119.77,143.99,170.02,125.20,240.10,120.12,263.42,165.51,64.76,151.81,54.40
