datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1991-04-01,dsm2,baseline,8,30891.86,3133.85,13519.18,1579.54,19473.99,0.00,1.00,602.97,1.60,3.12,1.63,3.07,368.95,368.95,350.65,367.23,443.69,363.01,281.33,281.33,449.18,166.46,320.98,3290.71,4203.53,2475.84,339.47,339.47,3947.71,328.70,565.24,1453.92,284.67,350.72,399.90,522.67,2091.48,277.39,712.78,485.37,252.12,2499.15,146.05,140.83,206.65,460.43,233.31,490.16,434.40,2111.16,426.54,59.60
1991-04-02,dsm2,baseline,8,25591.86,2690.16,9402.25,1788.27,17711.50,0.00,1.00,761.94,2.01,2.67,1.99,2.66,378.02,378.02,331.92,331.18,560.16,353.97,228.36,228.36,436.92,163.91,311.77,3366.06,3870.68,2363.64,322.68,323.34,3743.00,298.12,391.94,1187.09,271.60,332.02,387.79,536.17,1331.66,276.44,700.43,457.81,224.52,3073.80,150.98,169.04,202.07,436.48,242.08,609.51,430.15,2014.99,408.73,54.40
1991-04-03,dsm2,baseline,8,22443.28,2379.53,9440.55,2194.59,13747.67,0.00,1.00,898.94,1.76,2.87,1.75,2.89,354.50,354.50,321.87,317.09,687.14,335.24,236.63,236.63,414.75,163.48,300.84,3275.17,3746.18,2087.85,311.28,311.06,3407.60,292.37,360.99,1124.40,253.08,321.89,379.78,646.32,1354.34,278.97,638.47,436.45,213.11,3104.35,172.07,192.73,214.18,481.45,239.49,756.47,444.10,2152.85,431.50,54.40
1991-04-04,dsm2,baseline,8,19538.78,2151.14,9386.15,2323.35,10546.42,0.00,1.00,993.95,1.83,3.11,1.84,3.12,325.73,325.73,310.29,297.24,794.05,323.79,251.94,251.89,402.68,179.77,290.08,3017.30,3574.74,2183.70,300.03,299.92,3202.12,292.43,460.78,1124.37,272.34,310.33,369.08,761.06,1912.37,265.77,578.92,416.23,220.47,3046.73,188.05,207.93,216.41,512.69,233.02,887.93,440.26,2043.14,402.42,59.60
1991-04-05,dsm2,baseline,8,16387.31,1994.36,9399.85,1993.81,7592.01,0.00,1.00,1078.95,2.08,3.21,2.10,3.22,306.98,306.98,298.09,289.07,898.21,313.78,299.90,299.90,384.39,190.14,281.58,2800.31,3349.10,2676.63,289.37,289.27,3211.28,293.56,649.81,1255.45,329.35,298.15,352.41,862.96,2606.02,249.95,566.95,398.09,230.87,2809.88,198.74,219.93,225.36,555.57,239.39,979.41,425.10,1937.11,401.94,61.80
1991-04-06,dsm2,baseline,8,14871.27,1879.01,9435.05,1846.89,6152.34,0.00,1.00,1138.96,2.66,3.44,2.71,3.47,300.75,300.75,288.65,305.21,963.21,304.44,381.02,381.02,367.46,202.41,277.25,2667.59,3108.06,3328.00,282.60,282.86,3200.05,291.68,892.42,1454.65,404.10,288.90,338.66,936.54,3265.72,242.21,568.13,380.79,240.44,2628.89,205.59,199.13,231.32,565.99,244.38,1058.22,411.37,1874.41,422.98,63.20
1991-04-07,dsm2,baseline,8,13699.56,1774.88,9455.75,1744.89,5057.80,0.00,1.00,1207.95,3.50,3.73,3.55,3.73,306.30,306.30,284.51,356.53,1016.09,298.08,535.58,535.58,354.56,218.33,275.37,2509.69,2878.33,4198.50,280.15,280.46,3177.54,289.79,1268.99,1819.88,523.83,284.86,328.81,1009.63,4181.54,239.63,570.09,364.36,248.51,2619.63,206.17,208.09,235.38,525.66,248.00,1117.02,400.73,1784.47,412.44,66.20
1991-04-08,dsm2,baseline,8,12856.72,1691.32,8980.55,2098.85,4183.63,0.00,1.00,1242.98,4.16,3.62,4.20,3.61,368.75,368.75,283.31,450.98,1046.36,293.62,926.67,926.67,342.03,252.06,275.19,2459.24,2655.17,5552.35,279.58,280.05,3112.08,287.63,2154.72,2543.74,799.45,283.57,321.47,1074.24,6062.85,241.85,564.71,349.06,255.33,2523.12,206.32,216.11,242.36,463.54,249.78,1169.90,385.15,1649.59,459.67,66.20
1991-04-09,dsm2,baseline,8,12541.14,1619.43,9442.75,2059.79,3309.03,0.00,1.00,1258.99,4.72,3.40,4.75,3.39,436.78,436.78,283.39,660.05,1084.63,290.64,1177.59,1177.59,330.46,285.19,277.01,2589.84,2505.97,6470.80,280.07,280.41,3056.40,285.91,2653.77,3117.51,1069.16,283.59,318.26,1124.46,6541.63,245.28,569.48,335.25,257.37,2588.32,207.31,225.42,252.05,497.12,253.09,1217.81,369.70,1621.59,472.05,70.80
1991-04-10,dsm2,baseline,8,12741.44,1539.85,9388.35,2000.99,3511.94,0.00,1.00,1268.99,4.91,3.37,4.91,3.37,496.26,496.26,283.56,953.25,1137.13,287.55,1356.14,1356.14,321.68,314.48,276.76,2828.33,2526.60,6856.06,280.08,280.24,3023.89,287.65,2935.13,3591.14,1207.03,283.70,315.42,1167.55,6618.94,247.70,578.51,323.98,258.02,2698.81,211.19,234.75,256.78,516.40,255.00,1243.35,353.69,1645.79,485.30,70.80
1991-04-11,dsm2,baseline,8,12955.20,1433.98,9278.45,2036.46,3688.27,0.00,1.00,1283.99,4.80,3.44,4.78,3.44,581.80,581.80,283.29,1204.38,1167.33,285.01,1600.66,1600.66,314.35,354.57,275.93,3161.98,2696.07,7097.36,279.36,279.45,2983.47,295.77,3281.04,4065.70,1360.77,283.35,313.84,1200.97,6887.49,250.24,583.32,317.08,259.07,2911.72,217.06,232.37,267.65,519.44,260.59,1256.71,344.72,1702.83,480.90,70.80
1991-04-12,dsm2,baseline,8,13172.83,1281.03,8328.55,2071.65,4667.66,0.00,1.00,1320.87,4.42,3.46,4.39,3.46,700.99,700.99,282.06,1398.64,1176.69,283.40,1886.41,1886.41,308.87,398.43,275.34,3498.05,2956.06,7433.50,278.31,278.34,2938.26,311.63,3694.16,4439.07,1671.92,282.25,311.10,1223.15,7324.16,252.61,577.32,314.15,260.65,3061.41,222.53,218.92,284.07,512.47,270.82,1266.63,337.68,1774.97,469.51,72.20
1991-04-13,dsm2,baseline,8,11982.95,1103.90,9263.45,2181.58,2239.82,0.00,1.00,1324.98,3.81,3.56,3.76,3.57,797.67,797.67,280.94,1609.82,1165.25,283.34,2101.42,2101.42,307.17,432.80,275.53,3737.83,3248.39,7733.53,277.65,277.70,2919.36,328.48,4002.66,4712.15,1930.44,280.94,309.26,1234.13,7602.25,254.67,565.69,312.77,261.93,3080.96,223.93,201.58,297.52,517.35,279.80,1282.12,331.78,1848.03,480.99,75.40
1991-04-14,dsm2,baseline,8,11080.13,934.25,9318.05,2064.49,1225.84,0.00,1.00,1377.78,3.07,3.56,3.03,3.55,926.36,926.36,279.94,1846.44,1132.75,284.90,2391.64,2391.64,309.67,489.64,276.51,3928.36,3514.40,8091.01,277.75,277.91,2916.98,356.72,4375.11,4946.77,2264.35,280.04,306.43,1242.33,8089.91,256.10,549.95,311.86,263.33,3068.58,221.69,189.50,319.24,507.50,292.17,1303.02,327.27,1911.42,465.13,76.60
1991-04-15,dsm2,baseline,8,11560.14,763.75,9256.15,1732.06,1959.67,0.00,1.00,1480.53,2.45,3.32,2.42,3.31,1076.43,1076.43,279.60,2084.35,1070.17,287.73,2583.99,2583.99,314.47,528.07,278.53,4059.60,3740.48,8509.75,278.69,278.82,2923.23,390.86,4666.97,5034.67,2725.92,279.62,301.83,1253.91,8410.40,256.81,530.23,310.43,265.01,3006.83,215.07,185.36,333.23,499.73,305.36,1303.31,322.21,1967.54,419.01,76.60
1991-04-16,dsm2,baseline,8,10749.37,697.30,7349.55,1819.15,2913.97,0.00,1.00,1458.11,2.05,3.21,2.03,3.22,1032.82,1032.82,281.19,2381.63,1053.82,290.54,2426.83,2426.83,323.30,488.96,281.00,4003.07,3930.92,8612.15,280.28,280.40,2904.57,390.15,4497.32,4866.85,2867.80,281.20,303.54,1259.51,8062.00,257.02,523.33,309.05,264.15,2920.85,207.22,191.42,321.10,452.44,303.35,1320.56,319.41,2020.90,313.69,76.60
1991-04-17,dsm2,baseline,8,10478.83,606.42,7262.35,2004.04,2427.86,0.00,1.00,1433.13,1.81,3.28,1.80,3.28,1045.69,1045.69,283.33,2618.65,1040.45,294.33,2379.99,2379.99,334.53,487.79,282.61,4154.27,4072.55,8687.40,282.33,282.56,2881.65,400.41,4412.71,4735.01,2804.10,283.35,305.19,1263.33,8018.89,256.90,513.13,308.93,264.37,2915.55,204.40,195.48,322.66,481.31,306.35,1355.04,317.57,2073.39,315.23,76.60
1991-04-18,dsm2,baseline,8,10258.92,493.28,5926.65,2079.10,3312.45,0.00,1.00,1631.61,1.82,3.42,1.84,3.44,1169.40,1169.40,285.63,2669.12,996.14,299.52,2602.44,2602.44,346.69,534.62,284.90,4310.76,4170.24,9047.43,284.94,285.06,2889.69,436.19,4670.39,4921.92,2967.71,285.73,304.40,1270.36,8569.12,256.88,495.08,309.61,268.24,2965.19,205.95,203.03,349.21,434.95,324.82,1403.71,314.71,2131.32,324.28,76.60
1991-04-19,dsm2,baseline,8,10260.26,1914.03,5596.65,1994.42,5097.21,0.00,1.00,1544.01,2.14,3.68,2.15,3.68,1310.91,1310.91,288.53,2709.40,968.17,305.92,2759.97,2759.97,360.49,579.22,288.87,4488.10,4313.26,9470.54,287.65,287.99,2914.53,472.83,4924.51,5150.72,3148.56,288.55,307.82,1288.04,9117.42,258.06,479.52,309.76,273.69,2982.63,207.05,212.45,365.98,471.88,343.11,1363.59,315.48,2189.46,378.11,76.60
1991-04-20,dsm2,baseline,8,10253.25,1804.74,5390.65,516.19,6679.15,0.00,1.00,1382.10,2.34,3.54,2.36,3.52,1583.70,1583.70,290.38,2873.26,1206.80,316.26,3314.54,3314.54,379.46,739.12,294.46,4732.63,4489.48,10363.20,291.79,292.41,3060.73,563.77,5694.13,5683.39,3439.98,290.39,304.72,1336.85,10482.20,260.33,488.82,308.80,283.88,3320.65,214.72,208.94,425.73,506.07,382.78,1544.30,312.29,2274.05,528.06,79.40
1991-04-21,dsm2,baseline,8,9975.85,1752.27,3069.15,1102.34,8097.62,0.00,1.00,1242.09,2.60,3.40,2.61,3.40,1545.20,1545.20,293.47,3198.17,1482.45,323.46,3188.89,3188.89,392.45,696.87,301.20,4881.96,4676.43,10702.19,296.60,297.31,3067.05,551.70,5621.69,5826.61,3466.48,293.48,308.71,1370.93,10354.44,262.55,522.94,308.29,285.25,3346.13,214.74,213.37,413.29,549.15,375.93,1416.36,309.01,2322.14,543.64,79.40
1991-04-22,dsm2,baseline,8,9238.34,1733.38,3246.85,2237.61,6021.25,0.00,1.00,1117.08,2.76,3.35,2.77,3.35,1450.17,1450.17,298.53,3504.71,1408.02,330.08,3095.96,3095.96,408.38,672.92,306.96,5071.67,4881.46,10772.98,302.47,303.10,3049.58,530.04,5530.32,6174.87,3251.55,298.49,314.20,1451.41,10205.43,264.57,563.79,310.36,285.83,3372.09,219.27,215.07,402.02,567.65,365.43,1302.15,312.14,2389.73,525.42,79.40
1991-04-23,dsm2,baseline,8,9087.58,1917.36,2823.05,1735.73,6961.16,0.00,1.00,1087.02,2.92,3.27,2.93,3.26,1404.98,1404.98,304.40,3562.34,1285.40,336.21,3139.30,3139.30,419.11,695.68,312.10,5313.24,5050.51,10810.14,307.82,308.97,3059.49,522.93,5621.81,6486.06,3162.34,304.39,320.21,1376.06,10276.02,266.46,620.42,314.65,288.20,3489.53,222.55,208.77,409.46,600.35,369.66,1175.71,316.16,2491.06,521.13,79.40
1991-04-24,dsm2,baseline,8,9333.00,2001.12,2309.95,1375.35,8176.81,0.00,1.00,1182.95,3.00,3.18,3.01,3.17,1356.00,1356.00,309.32,3507.45,1135.97,340.36,3114.28,3114.28,423.02,704.06,316.20,5541.90,5222.59,10788.45,312.64,313.67,3078.36,509.45,5622.57,6689.62,3172.94,309.34,323.74,1280.09,10119.04,268.40,727.21,319.04,289.26,3567.30,224.32,211.38,410.08,785.13,369.37,1097.05,317.97,2605.27,553.74,79.40
1991-04-25,dsm2,baseline,8,9002.42,1931.10,3137.35,1438.81,6932.36,0.00,1.00,1033.09,3.09,3.12,3.09,3.12,1269.87,1269.87,313.62,3472.56,1094.14,342.93,3040.18,3040.18,422.85,679.88,320.05,5717.81,5426.16,10659.37,316.46,317.07,3087.63,483.47,5510.61,6805.79,3116.84,313.61,328.52,1166.15,9839.39,270.32,890.53,323.32,288.11,3609.57,224.68,216.91,403.50,1036.05,365.03,1153.11,318.37,2703.43,801.45,79.40
1991-04-26,dsm2,baseline,8,9093.43,2090.12,4071.75,1827.55,5910.24,0.00,1.00,879.07,3.03,3.14,3.02,3.14,1216.93,1216.93,317.68,3443.34,1168.04,344.80,3046.48,3046.48,422.16,690.94,322.79,5885.55,5599.85,10541.00,319.79,320.62,3122.47,468.33,5478.82,6813.33,3082.24,317.65,334.36,1122.34,9744.87,272.14,998.87,328.85,287.62,3561.98,225.01,222.26,406.92,987.38,365.03,1079.84,319.60,2795.13,763.77,79.40
