datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,sf_tidal_energy,sf_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2015-01-01,dsm2,base,86,20118.48,17938.00,1139.00,5652.00,3249.51,2963.28,286.23,12355.97,0.00,0.00,1148.08,2.24,3.89,2.27,3.57,261.89,261.89,293.43,791.52,1176.20,283.63,227.18,227.18,325.51,208.67,273.51,2014.52,2414.06,1446.06,282.15,281.75,3114.32,256.47,335.18,5663.30,1193.77,279.34,293.83,354.63,1168.77,1263.26,235.44,756.92,548.96,225.11,3884.29,209.86,232.89,223.54,514.90,230.44,1177.48,379.09,2082.26,489.10,54.40
2015-01-02,dsm2,base,86,17853.24,16178.00,1121.00,6046.00,3282.67,2985.69,296.98,9645.57,0.00,0.00,1132.06,2.05,4.01,2.31,3.59,247.19,247.19,282.28,832.53,1175.81,278.40,259.59,259.59,316.65,213.86,267.74,1819.93,2248.48,1965.64,275.15,274.98,3278.66,260.09,489.08,7284.25,1465.64,328.90,282.58,335.76,1171.75,2016.07,230.25,748.82,509.46,231.39,3476.35,218.84,240.07,227.10,453.24,232.18,1172.82,369.70,1933.47,434.44,59.60
2015-01-03,dsm2,base,86,16350.52,15054.00,1091.00,5775.00,3327.62,3023.43,304.19,8338.89,0.00,0.00,1115.06,2.15,4.00,2.40,3.58,246.01,246.01,277.12,866.46,1174.87,274.72,293.06,293.06,309.47,218.90,265.36,1834.43,2102.56,2410.19,270.56,270.48,3340.95,258.14,623.28,8194.40,1765.36,366.78,277.48,329.54,1173.85,2385.12,230.66,746.85,477.17,234.98,3369.34,225.54,249.57,230.98,475.41,236.23,1156.09,359.50,1881.44,467.02,61.40
2015-01-04,dsm2,base,86,15242.35,14276.00,1068.00,6212.00,3371.44,3061.46,309.98,6726.91,0.00,0.00,1070.16,2.12,3.95,2.34,3.57,249.67,249.67,273.17,921.30,1173.23,271.42,348.51,348.51,304.00,225.17,263.14,1891.54,2028.83,2951.37,267.15,267.13,3385.68,256.32,787.39,8976.30,2121.99,415.98,273.37,323.08,1171.62,2872.45,232.13,745.27,449.12,238.37,3249.68,231.81,257.00,234.76,469.84,240.02,1139.80,348.90,1827.15,452.94,63.20
2015-01-05,dsm2,base,86,14386.07,13594.00,1048.00,4877.00,3357.22,3046.12,311.10,7199.85,0.00,0.00,1061.03,2.09,3.99,2.32,3.61,257.39,257.39,270.70,994.84,1170.86,269.24,402.21,402.21,300.41,232.56,261.95,1988.66,2013.84,3420.27,265.07,265.05,3403.52,255.01,929.71,9431.38,2481.39,469.98,270.85,317.35,1161.00,3203.53,234.23,745.56,424.38,241.28,3313.61,237.62,256.66,238.87,446.99,242.62,1121.39,341.70,1788.06,444.19,63.20
2015-01-06,dsm2,base,86,13325.91,12650.00,1055.00,5266.00,3330.47,3005.05,325.42,5784.44,0.00,0.00,1074.95,2.08,4.06,2.32,3.65,271.66,271.66,267.83,1110.64,1166.03,267.40,487.10,487.10,296.64,241.25,260.88,2112.09,2039.28,3922.25,263.59,263.59,3420.83,254.74,1144.52,10415.38,2880.85,541.15,267.96,310.70,1145.96,3726.48,236.84,740.90,402.70,244.42,3333.29,242.05,252.92,242.63,451.96,245.53,1087.45,333.10,1755.62,488.21,63.40
2015-01-07,dsm2,base,86,12700.49,12127.00,1044.00,5953.00,3327.00,2972.89,354.11,4464.49,0.00,0.00,1069.02,1.96,4.02,2.17,3.61,297.88,297.88,266.29,1241.97,1159.40,266.15,616.18,616.18,293.50,252.41,260.10,2285.02,2093.54,4544.49,262.48,262.49,3380.94,255.30,1469.10,11527.62,3378.52,641.98,266.49,304.48,1132.15,4435.91,239.74,735.44,383.57,247.26,3310.15,243.68,250.73,246.71,450.62,248.11,1072.69,324.98,1742.73,467.67,66.20
2015-01-08,dsm2,base,86,12297.16,11770.00,1046.00,5395.00,3093.22,2769.36,323.86,4854.94,0.00,0.00,1046.09,1.89,4.04,2.10,3.61,320.32,320.32,265.83,1368.35,1153.78,264.94,693.32,693.32,290.38,263.56,259.89,2448.62,2178.74,5014.39,261.89,261.88,3371.00,256.56,1621.85,12050.58,3742.98,768.49,265.99,303.76,1108.14,4646.62,242.36,731.40,368.44,249.35,3412.10,242.69,253.03,250.31,601.26,250.73,1079.98,318.23,1747.25,484.79,66.20
2015-01-09,dsm2,base,86,12016.36,11527.00,1055.00,6063.00,2762.10,2438.34,323.76,4246.26,0.00,0.00,1041.02,1.97,4.00,2.21,3.62,349.12,349.12,265.79,1517.09,1142.48,264.11,794.85,794.85,287.74,273.21,259.65,2642.38,2289.25,5512.11,261.71,261.69,3333.86,258.99,1818.27,13016.96,4123.61,877.31,266.03,298.84,1093.31,5220.22,244.99,731.53,356.29,251.04,3424.75,242.17,254.09,253.31,545.75,252.41,1076.06,311.82,1768.72,407.86,66.20
2015-01-10,dsm2,base,86,11753.35,11288.00,1069.00,5829.00,2790.56,2454.89,335.67,4202.79,0.00,0.00,1015.10,2.08,3.89,2.36,3.57,382.65,382.65,264.71,1666.44,1133.81,263.92,888.48,888.48,286.07,285.05,259.77,2833.92,2417.30,5957.72,261.46,261.47,3299.84,262.45,2047.30,13404.77,4509.85,1003.89,264.98,293.04,1088.08,5688.92,247.55,729.96,346.65,252.70,3443.56,243.21,244.14,255.75,575.63,253.97,1057.61,304.71,1803.99,439.25,66.20
