datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2017-02-01,dsm2,base,99,95808.55,71965.30,19392.00,-14504.00,132.24,100564.31,0.00,0.00,116.79,1.80,3.85,160.43,160.43,241.12,149.13,113.54,190.16,131.68,131.68,208.66,126.17,191.24,347.01,442.76,143.14,211.71,210.02,929.79,156.01,134.62,168.38,132.06,241.70,279.98,123.71,146.92,164.61,114.33,319.77,146.45,608.52,125.84,126.71,134.95,126.11,139.60,115.10,232.85,649.92,205.79,53.80
2017-02-02,dsm2,base,99,95496.25,71324.00,18925.00,-14689.00,43.24,99689.01,0.00,0.00,158.75,2.01,4.18,159.10,159.10,226.51,146.72,137.05,186.63,131.55,131.55,207.78,129.92,186.38,369.06,433.35,136.04,204.34,202.69,996.24,154.30,137.41,171.28,133.65,227.17,288.76,141.14,135.30,150.97,122.97,322.82,145.86,701.39,128.57,127.54,135.00,127.19,139.31,141.31,252.66,652.19,239.35,53.80
2017-02-03,dsm2,base,99,99065.88,73667.00,18854.00,-14436.00,-1039.50,104523.38,0.00,0.00,175.52,2.48,4.11,157.92,157.92,212.94,152.28,167.77,180.36,133.53,133.53,208.37,129.07,174.80,352.24,476.75,141.44,193.03,191.74,867.21,152.96,137.70,168.72,140.76,213.32,272.96,172.70,145.07,143.72,161.56,324.96,143.02,678.56,127.00,125.67,135.17,163.69,139.19,170.42,246.48,598.71,216.39,53.80
2017-02-04,dsm2,base,99,109265.80,75442.40,18783.00,-14424.00,-1013.78,114638.58,0.00,0.00,164.02,2.80,4.16,156.60,156.60,204.77,163.35,171.24,175.26,132.11,132.11,203.15,126.91,170.81,355.11,477.91,143.88,185.22,184.16,870.77,150.83,136.53,176.54,143.32,205.14,262.54,183.99,142.08,142.65,176.63,326.19,140.51,681.16,124.97,123.76,133.51,182.05,137.44,172.04,265.20,617.59,226.15,53.80
2017-02-05,dsm2,base,99,125126.86,77218.90,18271.00,-14469.00,-1164.78,130093.64,0.00,0.00,153.38,3.15,3.97,154.29,154.29,196.87,175.52,159.76,170.10,130.08,130.08,198.77,125.57,164.71,347.80,476.83,145.53,177.72,176.68,867.22,148.28,134.28,180.84,141.55,197.17,256.08,173.70,143.56,151.79,166.31,325.70,138.70,651.21,123.95,122.79,130.63,172.62,134.63,160.56,266.51,612.05,219.62,53.80
2017-02-06,dsm2,base,99,143745.93,82034.70,17500.00,-14456.00,-2537.42,149327.35,0.00,0.00,162.62,3.29,3.77,151.23,151.23,190.09,185.43,158.12,165.76,126.86,126.86,192.88,120.25,161.01,352.02,491.84,141.90,171.99,171.10,892.23,144.95,131.86,190.11,140.20,190.71,247.90,169.62,135.79,165.46,159.63,321.71,139.71,650.35,115.65,111.86,126.02,163.75,130.09,160.90,270.16,649.53,212.10,53.80
2017-02-07,dsm2,base,99,187647.88,84935.40,16921.00,-14256.00,-4424.58,194737.46,0.00,0.00,177.42,3.33,3.95,146.19,146.19,187.64,199.13,171.57,162.88,113.12,113.12,187.78,104.99,160.82,372.30,557.04,137.70,169.47,168.52,951.94,141.14,122.62,200.62,136.22,187.98,251.25,181.52,126.11,175.55,174.52,316.21,140.22,736.06,104.14,104.16,112.95,176.76,121.26,174.76,319.97,684.17,217.78,53.80
2017-02-08,dsm2,base,99,261316.00,95428.30,17004.00,-14191.00,-3855.52,267984.53,0.00,0.00,187.00,3.23,3.98,140.16,140.16,185.63,201.05,184.56,162.72,101.48,101.48,184.22,96.86,164.15,382.85,576.01,127.02,169.28,168.48,980.96,135.45,112.81,205.44,123.85,185.95,251.30,193.83,112.40,182.66,192.58,312.56,138.30,742.66,94.80,96.67,98.05,194.53,100.81,187.29,358.62,691.78,247.29,53.80
2017-02-09,dsm2,base,99,280872.68,100491.60,18358.00,-14112.00,-5471.41,290590.09,0.00,0.00,186.75,3.02,3.76,130.88,130.88,188.22,184.86,191.07,164.86,90.26,90.26,184.54,86.58,168.94,391.81,601.58,113.35,173.81,172.94,985.87,127.07,102.30,208.91,114.44,188.55,260.59,199.61,101.93,192.85,207.48,310.86,135.93,747.97,84.69,87.70,86.06,208.69,87.08,193.06,379.59,699.02,251.82,53.80
2017-02-10,dsm2,base,99,342129.50,97710.80,20063.00,-14184.00,-5755.82,353764.33,0.00,0.00,181.17,2.84,3.90,126.20,126.20,201.83,166.97,188.47,171.58,82.09,82.09,186.71,78.76,179.06,423.59,636.42,101.87,183.48,182.48,1055.88,121.52,92.52,208.91,105.16,202.06,291.51,197.36,93.83,208.07,210.77,315.15,135.34,842.91,77.68,81.19,78.28,211.67,78.66,190.21,464.70,735.33,263.06,53.80
2017-02-11,dsm2,base,99,360876.72,99958.10,22788.00,-14111.00,-4447.45,374001.18,0.00,0.00,185.08,2.59,3.91,119.95,119.95,219.90,145.11,187.16,182.72,73.80,73.80,195.70,70.06,195.05,429.44,628.60,93.24,197.73,196.85,1080.24,117.35,84.04,192.81,93.97,220.42,331.74,192.05,87.10,217.91,203.27,324.22,141.57,841.81,68.36,72.47,69.31,204.16,69.77,189.00,517.39,728.60,263.41,53.80
2017-02-12,dsm2,base,99,341521.60,99668.80,27596.00,-14292.00,-2029.58,356855.18,0.00,0.00,186.67,2.46,3.96,118.11,118.11,250.10,119.51,188.66,194.85,67.10,67.10,204.89,64.17,206.62,432.14,572.96,83.78,215.67,214.18,1097.66,117.20,76.60,175.82,79.58,251.73,378.15,192.52,79.75,221.06,199.73,337.82,146.68,841.01,63.42,64.91,63.87,198.94,64.17,190.33,494.83,719.44,239.32,53.80
2017-02-13,dsm2,base,99,305163.17,98780.00,32042.00,-14222.00,-1721.28,324704.46,0.00,0.00,178.17,2.24,3.92,126.69,126.69,312.13,100.75,184.42,210.52,64.17,64.17,215.94,61.05,226.07,409.11,517.63,77.56,247.91,245.13,1085.40,120.53,74.66,153.77,75.13,314.33,319.24,188.19,77.11,214.11,194.83,352.65,144.96,784.93,60.51,60.87,60.81,195.57,61.10,185.38,486.74,682.81,196.35,53.80
2017-02-14,dsm2,base,99,291508.30,93875.10,33950.00,-14503.00,113.98,310841.33,0.00,0.00,158.54,2.23,3.85,131.68,131.68,353.92,90.82,168.27,238.23,63.46,63.46,234.03,60.13,266.35,392.25,467.79,76.23,313.39,308.71,1078.30,124.16,75.40,133.05,72.09,353.82,201.65,173.18,77.10,206.90,177.92,365.20,142.29,765.73,60.33,59.84,60.26,183.98,60.42,168.49,421.88,646.74,176.35,53.80
2017-02-15,dsm2,base,99,295742.50,88707.30,34221.00,-14360.00,439.48,315164.03,0.00,0.00,148.17,2.74,4.25,132.69,132.69,251.49,83.21,153.10,273.81,67.27,67.27,265.40,64.51,304.86,370.99,437.03,77.01,331.49,331.02,1058.42,126.28,78.42,119.97,74.22,248.90,170.68,157.21,79.36,194.50,157.92,366.78,141.25,787.69,65.52,63.97,64.87,164.99,64.74,153.59,257.40,609.73,158.64,53.80
2017-02-16,dsm2,base,99,289884.25,86762.50,32279.00,-12550.00,165.91,309447.34,0.00,0.00,151.96,2.88,4.53,133.46,133.46,202.62,83.96,150.77,266.37,71.62,71.62,278.31,68.70,279.52,329.63,414.39,80.49,272.16,275.02,992.41,129.09,83.12,108.44,79.04,201.02,160.29,153.78,81.42,179.78,150.61,366.33,137.54,687.62,69.18,68.39,68.89,156.04,68.90,151.96,187.43,549.65,153.00,53.80
2017-02-17,dsm2,base,99,290988.73,86128.90,33263.00,-10309.00,-723.30,314666.03,0.00,0.00,150.92,2.88,4.07,129.43,129.43,190.10,92.97,151.72,244.85,73.26,73.26,262.00,69.85,249.62,288.04,413.96,83.51,242.61,244.67,870.63,126.93,84.94,106.16,85.46,189.02,162.05,154.87,83.85,169.10,153.42,369.60,130.76,443.76,69.92,69.73,69.92,157.38,70.13,152.81,168.03,493.53,155.19,53.80
2017-02-18,dsm2,base,99,295862.50,85928.70,35052.00,-8079.00,-966.80,323802.30,0.00,0.00,148.96,2.90,3.78,129.07,129.07,175.10,103.76,150.13,231.77,73.82,73.82,250.03,70.11,232.41,292.93,398.67,85.34,211.71,213.34,912.82,128.90,85.81,117.30,87.95,174.30,159.51,153.29,86.02,174.49,152.03,376.37,132.82,495.12,70.16,70.86,70.13,156.32,70.36,151.17,158.23,537.96,153.75,53.80
2017-02-19,dsm2,base,99,281811.17,85970.50,36000.00,-7679.00,-1783.78,311915.95,0.00,0.00,148.21,2.80,3.80,132.13,132.13,168.49,109.76,148.71,216.80,77.28,77.28,238.41,73.90,211.87,296.55,404.32,87.30,196.75,197.79,976.85,133.35,89.25,125.72,91.73,168.00,158.54,151.79,88.43,180.41,150.83,392.79,139.51,560.34,74.85,75.24,74.20,154.47,74.06,149.93,156.75,580.78,152.36,53.80
2017-02-20,dsm2,base,99,271262.75,85354.50,36421.00,-7652.00,-4803.78,304835.53,0.00,0.00,153.00,2.75,4.04,135.58,135.58,177.78,132.40,152.18,204.54,79.74,79.74,241.80,75.56,199.14,317.28,517.96,92.19,196.67,196.72,1014.83,137.30,92.80,138.15,104.83,177.52,167.76,154.40,91.99,178.18,156.49,405.21,141.66,704.78,75.40,77.79,75.75,157.02,76.34,153.94,164.21,608.50,156.55,53.80
