datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,cu_total,cu_delta,cu_suisun,ndo,dcc,smscg,vern_ec,mrz_tidal_energy,mrz_tidal_filter,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
1999-10-01,dsm2,base,historical,15062.00,14709.00,2098.00,10742.55,2143.80,1202.33,941.47,25758.75,1.00,1.00,554.81,2.39,3.79,3230.67,3230.67,500.64,5679.87,620.44,637.19,5910.16,5910.16,959.10,1415.05,519.03,9392.67,9346.80,14672.80,517.61,520.27,4910.21,1291.15,9295.44,22856.07,10058.79,5894.31,500.52,444.46,622.30,14433.45,300.08,518.41,436.03,437.20,5258.60,192.81,150.08,791.21,464.60,726.00,590.79,313.94,4641.24,428.60,84.20
1999-10-02,dsm2,base,historical,14688.00,14340.00,2212.00,10865.22,1988.04,1096.77,891.27,25777.18,1.00,1.00,559.30,2.36,3.62,3242.22,3242.22,510.52,5932.68,601.24,650.20,5860.40,5860.40,961.61,1379.67,536.05,9447.56,9440.45,15039.23,531.04,534.43,5192.35,1287.50,9306.94,23858.07,10176.86,6043.47,510.26,451.56,601.35,14842.20,303.32,518.77,446.42,437.59,5475.27,192.08,141.22,788.83,473.23,722.81,565.03,315.24,4724.34,446.58,84.00
1999-10-03,dsm2,base,historical,14820.00,14472.00,2201.00,10812.28,1768.47,877.14,891.33,26064.81,1.00,1.00,541.31,2.40,3.52,3030.68,3030.68,522.81,6175.20,570.51,659.45,5436.33,5436.33,959.30,1210.39,550.37,9497.59,9532.32,15104.73,542.40,544.72,5131.19,1184.43,8879.29,21630.68,10094.63,6059.33,522.56,459.57,577.32,14115.38,299.85,526.64,455.97,418.61,5168.33,182.04,135.28,745.62,470.50,695.38,562.68,317.14,4758.86,445.45,79.40
1999-10-04,dsm2,base,historical,14445.00,14096.00,2263.00,10899.21,1653.15,781.33,871.82,25954.06,1.00,1.00,497.22,2.45,3.52,2897.75,2897.75,535.30,6284.36,560.54,666.38,5144.13,5144.13,962.74,1100.54,552.30,9630.02,9606.49,15098.81,548.23,551.80,4982.45,1136.22,8677.67,22642.55,10292.19,5795.75,535.26,468.93,570.80,14058.57,297.00,532.86,464.98,406.96,4851.69,175.60,132.80,713.64,470.79,685.89,550.43,318.88,4802.20,449.26,79.40
1999-10-05,dsm2,base,historical,14335.00,13988.00,2388.00,10871.08,1615.31,756.68,858.63,25978.77,1.00,1.00,486.80,2.49,3.47,2918.01,2918.01,542.30,6142.77,541.37,669.98,5273.49,5273.49,969.12,1145.53,550.40,9720.02,9659.29,15193.63,552.72,554.67,5083.52,1163.10,8780.98,22967.21,10222.37,5810.22,542.25,477.76,559.26,14135.44,295.53,539.11,473.67,410.48,4719.56,174.34,134.51,731.59,473.77,696.67,511.27,319.85,4905.16,448.47,79.40
1999-10-06,dsm2,base,historical,14218.20,13864.00,2385.00,10679.01,1598.31,776.95,821.36,25683.90,1.00,1.00,495.30,2.54,3.33,2985.27,2985.27,543.95,5957.03,507.74,672.71,5490.39,5490.39,974.17,1234.54,548.66,9808.90,9732.92,15378.52,553.21,555.43,5261.34,1205.24,9002.41,22747.22,10348.74,5938.15,543.94,482.69,527.34,14331.60,293.71,543.44,482.12,415.54,4800.55,175.50,136.30,769.66,461.51,721.99,492.51,320.85,5022.83,451.08,79.40
1999-10-07,dsm2,base,historical,14471.50,14131.00,2384.00,10992.37,1846.19,949.22,896.97,26001.68,1.00,1.00,484.10,2.51,3.33,2894.63,2894.63,544.40,5882.79,493.56,667.47,5284.89,5284.89,976.35,1173.01,550.29,9876.23,9821.13,15364.14,553.26,555.55,5124.64,1164.28,8831.86,21733.09,10202.63,5769.26,544.40,483.04,507.06,14063.38,289.54,547.53,490.46,403.78,4782.40,168.58,136.82,731.50,453.49,690.91,498.59,323.29,5017.85,450.63,79.40
1999-10-08,dsm2,base,historical,14746.80,14374.00,2361.00,10935.10,1963.26,1025.68,937.58,26079.64,1.00,1.00,499.79,2.44,3.40,2893.96,2893.96,544.27,5832.22,497.89,667.93,5437.84,5437.84,993.03,1187.48,542.83,9963.70,9880.13,15319.34,551.76,554.53,5095.89,1168.42,8994.83,21776.80,10303.32,5783.00,544.22,480.88,510.38,14054.89,286.86,546.12,499.78,406.59,4721.91,166.86,136.74,731.76,452.14,680.37,490.91,324.24,5094.64,447.24,79.40
1999-10-09,dsm2,base,historical,14732.00,14388.00,2413.00,10901.79,1952.71,1030.63,922.08,26094.08,1.00,1.00,510.10,2.34,3.45,3017.01,3017.01,540.84,5739.73,492.04,665.97,5638.17,5638.17,1007.90,1282.54,539.02,10080.25,9941.57,15341.01,546.60,549.75,5195.13,1217.32,9281.68,21874.05,10377.11,5973.58,540.78,479.92,503.39,14221.02,286.42,538.60,509.40,419.16,4957.07,167.58,132.40,757.17,455.51,702.10,502.72,323.45,5186.17,444.28,79.40
1999-10-10,dsm2,base,historical,14655.00,14349.00,2472.00,10902.33,2025.05,1083.70,941.35,26004.28,1.00,1.00,512.50,2.21,3.54,3118.73,3118.73,536.18,5743.35,504.42,669.47,5848.18,5848.18,1026.87,1332.37,540.13,10189.55,10034.76,15374.58,543.20,546.76,5327.00,1250.44,9473.59,22403.23,10441.48,6212.86,536.14,478.45,511.04,14335.41,287.59,528.31,518.53,426.20,5064.97,165.06,130.95,778.10,453.65,722.42,513.76,322.70,5258.21,443.01,84.00
