datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,rsl,x2
2011-10-21,RMA,base,2,17095.10,4418.00,-10382.00,800.80,11156.66,1.00,0.00,256.54,1.26,5435.66,5435.66,458.38,12361.53,244.97,818.85,7180.75,7180.75,1271.77,1978.42,725.46,14974.71,14221.78,15025.84,529.82,546.82,14336.66,2001.91,10952.45,14316.93,9338.79,457.09,409.54,354.91,15997.77,307.17,607.24,355.72,13095.80,348.15,122.05,1313.46,406.22,1217.95,248.25,374.07,13041.33,400.21,434.57,88.18
2011-10-22,RMA,base,2,16658.40,4316.00,-9868.00,769.51,11158.69,1.00,0.00,261.04,1.18,4845.17,4845.17,494.07,12525.89,255.34,857.08,6470.22,6470.22,1283.21,1644.00,748.39,15039.44,14443.70,14923.83,573.85,591.92,14382.81,1841.39,10421.45,14428.81,8695.57,492.20,425.51,313.51,15837.07,307.81,487.82,328.37,13272.57,300.92,121.92,1151.22,378.28,1117.60,257.05,374.63,13289.93,377.32,430.30,87.34
2011-10-23,RMA,base,2,16146.90,4468.00,-11620.00,815.36,8937.44,1.00,0.00,256.54,1.38,4380.27,4380.27,533.53,12653.27,259.25,880.58,5882.85,5882.85,1281.62,1399.85,757.40,14992.42,14562.53,14767.50,610.83,629.77,14443.31,1719.81,9945.67,14428.35,8129.53,532.13,451.04,298.56,15702.15,303.71,401.13,317.35,13428.40,268.95,122.22,1018.88,374.40,1034.66,259.02,365.05,13438.18,394.05,438.12,86.27
2011-10-24,RMA,base,2,15746.50,4446.00,-12170.00,823.74,8602.60,1.00,0.00,261.46,1.67,4023.54,4023.54,566.18,12743.20,258.36,895.89,5445.96,5445.96,1281.24,1193.08,763.24,14907.05,14585.97,14622.66,637.61,657.29,14477.78,1626.54,9547.20,14388.47,7699.61,565.54,482.70,294.21,15585.40,297.26,353.82,311.17,13552.10,245.01,122.05,907.00,373.33,974.72,258.59,360.65,13525.84,419.69,457.60,85.32
2011-10-25,RMA,base,2,15515.50,4565.00,-10971.00,621.94,9891.65,1.00,0.00,251.13,2.03,3726.53,3726.53,592.55,12830.20,258.25,900.56,5197.26,5197.26,1283.51,1049.82,749.30,14855.72,14572.06,14527.27,660.89,679.67,14492.55,1541.30,9260.75,14372.54,7423.44,591.84,508.91,285.24,15559.50,290.47,327.18,306.67,13656.09,230.99,124.76,813.71,361.34,920.71,257.17,365.17,13599.41,433.74,487.06,84.57
2011-10-26,RMA,base,2,14965.50,4443.00,-10704.00,482.19,9339.47,1.00,0.00,249.96,2.63,3346.34,3346.34,617.19,12865.55,252.63,887.05,4752.00,4752.00,1263.95,870.54,691.36,14756.17,14551.33,14376.58,671.89,688.37,14495.84,1404.22,8712.81,14315.84,7168.33,616.36,530.79,275.50,15235.97,284.51,309.50,289.54,13725.71,212.58,126.64,725.63,348.09,859.37,251.46,370.48,13641.59,435.05,519.20,83.73
2011-10-27,RMA,base,2,15281.20,4579.00,-10674.00,390.05,9653.54,1.00,0.00,239.17,3.20,2975.62,2975.62,625.76,12860.97,247.51,860.72,4171.16,4171.16,1227.65,699.35,660.64,14591.79,14508.12,14143.51,653.45,668.34,14484.12,1267.39,8009.92,14195.12,6918.71,626.16,543.72,272.53,14676.17,277.24,296.87,261.00,13766.63,194.34,126.27,638.17,344.90,784.79,246.24,372.57,13653.39,449.07,546.21,82.68
2011-10-28,RMA,base,2,15229.50,4419.00,-10619.00,349.73,9561.23,1.00,0.00,250.58,3.56,2687.66,2687.66,609.29,12850.01,243.77,831.10,3668.62,3668.62,1193.91,569.13,645.99,14408.14,14431.88,13891.57,632.87,649.42,14453.35,1167.59,7388.05,14060.38,6738.25,611.05,546.35,271.10,14162.50,267.95,286.83,242.67,13788.02,178.56,126.37,555.34,348.10,712.64,244.61,374.16,13651.07,464.76,569.26,81.47
2011-10-29,RMA,base,2,14748.80,4280.00,-10808.00,195.95,8984.99,1.00,0.00,264.00,3.90,2523.57,2523.57,588.48,12863.22,251.87,806.04,3424.25,3424.25,1165.48,502.26,625.64,14293.43,14338.12,13757.88,618.80,636.97,14407.47,1109.18,7061.40,13986.52,6685.77,590.19,539.50,268.05,13960.26,257.37,278.65,238.25,13804.70,167.75,128.23,502.67,354.24,675.96,254.22,376.00,13654.82,475.81,589.13,80.61
2011-10-30,RMA,base,2,14216.40,4349.00,-11025.00,95.32,8719.79,1.00,0.00,255.29,4.21,2477.15,2477.15,571.87,12894.62,259.58,789.42,3396.48,3396.48,1144.46,481.57,611.04,14300.19,14257.18,13789.88,606.29,625.23,14356.75,1086.73,7054.71,14002.44,6725.27,573.37,526.50,271.57,14104.28,246.85,272.86,243.10,13818.25,161.74,128.34,485.81,362.89,668.48,259.35,369.28,13668.34,469.43,601.64,80.08
2011-10-31,RMA,base,2,14025.00,4367.00,-11033.00,-35.78,8988.33,1.00,0.00,245.29,3.88,2428.53,2428.53,557.25,12902.66,254.36,778.22,3312.27,3312.27,1127.41,449.80,595.27,14422.68,14223.10,13920.28,593.16,611.10,14318.01,1057.06,6953.73,14093.13,6738.79,558.37,515.25,275.04,14027.42,240.50,272.22,245.14,13827.35,158.00,127.22,490.67,369.53,663.47,252.60,356.74,13687.41,442.05,604.31,80.10
2011-11-01,RMA,base,2,14077.80,4379.00,-8843.00,-205.36,11494.05,1.00,0.00,253.21,3.62,2277.22,2277.22,549.17,12904.75,248.79,749.56,3136.66,3136.66,1099.48,427.09,498.17,14549.38,14247.06,13952.42,568.17,578.83,14302.17,1001.12,6700.49,14177.37,6798.84,550.10,511.08,269.06,13671.10,237.43,272.59,256.91,13827.20,157.13,126.48,468.54,346.02,625.44,248.96,345.46,13712.70,434.94,599.46,79.59
2011-11-02,RMA,base,2,13613.60,4350.00,-11099.00,1055.55,7707.44,1.00,0.00,247.54,3.27,2044.66,2044.66,522.35,12907.47,250.59,692.80,3065.23,3065.23,1059.44,459.11,428.66,14543.32,14289.94,13740.64,486.04,488.40,14305.03,942.43,6531.91,14164.90,6746.25,524.68,512.55,263.36,13491.03,233.48,267.13,281.25,13809.40,159.15,127.65,450.72,352.04,570.86,250.46,337.72,13735.66,438.88,588.82,78.82
2011-11-03,RMA,base,2,14009.60,4182.00,-11235.00,961.13,7736.24,1.00,0.00,251.38,2.91,2162.75,2162.75,462.47,12946.62,249.27,651.76,3172.15,3172.15,1031.66,546.49,484.66,14459.60,14288.42,13612.04,461.66,472.52,14303.39,954.65,7027.01,14055.80,6504.50,464.81,482.79,263.93,14349.38,232.60,259.18,290.76,13816.53,169.48,129.28,462.43,360.98,544.02,250.29,327.41,13748.99,425.99,573.40,78.58
2011-11-04,RMA,base,2,13050.40,3614.00,-11163.00,733.07,6275.29,1.00,0.00,320.79,2.69,2279.24,2279.24,434.95,12962.77,258.96,639.97,3465.05,3465.05,1001.54,644.09,513.31,14499.14,14229.46,13739.72,472.01,487.07,14274.39,964.51,7557.80,14055.19,6399.04,435.94,440.15,260.69,14964.95,237.10,254.48,302.64,13823.52,181.44,131.09,489.19,358.33,544.33,272.78,325.72,13735.85,400.73,550.19,79.22
