datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2013-10-27,RMA,base,3,7705.93,2392.80,2524.20,1566.29,6081.99,0.00,1.00,294.00,3.84,3.23,7779.68,6567.31,6567.31,441.79,12443.10,413.10,949.38,9659.01,9659.01,1495.66,4240.15,894.40,15528.26,14488.48,16082.99,573.97,598.61,14486.14,2454.18,12773.03,26302.84,14849.85,10323.11,436.87,388.15,772.13,18186.23,324.45,638.02,483.65,431.31,13136.45,914.39,156.76,2667.89,630.05,2049.14,392.20,502.27,13060.57,572.89,91.94
2013-10-28,RMA,base,3,7806.22,3172.86,2536.77,1466.95,7020.84,0.00,1.00,295.00,4.87,3.30,7851.71,5973.76,5973.76,476.95,12614.44,310.04,990.56,9203.37,9203.37,1518.84,3782.64,927.04,15874.06,14886.83,16354.70,627.94,654.60,14636.11,2212.20,12349.57,25781.61,15153.65,10175.98,470.44,391.75,689.11,17866.22,334.70,634.95,472.33,395.83,13429.05,802.45,163.25,2409.49,582.55,1875.11,310.03,471.58,13370.55,509.84,90.91
2013-10-29,RMA,base,3,7405.73,3506.64,2818.62,1277.04,6851.54,0.00,1.00,248.00,5.45,3.40,7440.56,5437.30,5437.30,499.84,12485.93,287.11,1015.73,8678.96,8678.96,1503.07,3350.42,923.66,15999.68,15228.11,16482.11,658.31,686.46,14825.02,1988.44,11989.20,25470.58,15119.43,9161.28,493.25,401.97,502.38,17666.32,341.52,544.87,461.64,358.58,13625.96,716.09,166.10,2137.51,560.01,1650.76,287.32,463.00,13555.19,481.22,89.26
2013-10-30,RMA,base,3,5823.02,3704.03,2341.11,1273.05,6271.02,0.00,1.00,223.00,5.79,3.44,6181.15,5363.79,5363.79,521.54,12384.75,254.06,1029.97,8511.45,8511.45,1518.33,3274.77,917.98,16217.57,15456.48,16686.34,689.60,718.00,15000.08,1936.37,12143.60,25942.49,15340.37,8499.12,514.32,412.59,371.64,18042.84,346.50,438.17,455.08,361.91,13766.89,727.68,164.88,2060.57,528.10,1595.41,252.93,469.21,13700.29,424.84,88.93
2013-10-31,RMA,base,3,8396.54,3798.53,1895.43,1348.92,9119.71,0.00,1.00,242.00,5.65,3.33,8565.53,5370.42,5370.42,540.60,12623.68,233.87,1038.40,8424.39,8424.39,1522.91,3297.13,913.02,16633.38,15686.34,16920.42,712.04,740.22,15181.36,1924.07,12327.25,26488.96,15845.16,8595.52,532.86,423.63,342.96,18459.09,353.09,372.23,456.08,369.30,13913.55,758.14,160.72,2036.70,449.03,1565.96,236.42,461.84,13937.18,375.89,88.56
2013-11-01,RMA,base,3,8545.84,3766.68,2969.71,1264.26,8241.61,1.00,1.00,283.00,5.19,3.26,8708.90,5097.63,5097.63,561.33,12539.47,247.76,1028.63,8157.77,8157.77,1497.42,3086.13,892.81,16822.98,15949.13,17089.29,723.77,750.03,15362.92,1814.77,12074.20,26337.37,15889.51,8490.90,553.59,434.60,330.31,18305.07,358.95,332.46,461.18,353.01,14066.61,693.75,166.03,1918.17,411.56,1482.06,256.40,446.33,14101.12,362.00,88.91
2013-11-02,RMA,base,3,9129.99,3557.35,4953.25,2725.17,5115.52,1.00,1.00,347.00,4.32,3.25,9236.59,4708.50,4708.50,593.65,11876.67,286.27,1003.40,7603.87,7603.87,1466.40,2660.07,864.95,16668.16,16084.69,16968.27,736.82,759.81,15508.06,1667.77,11613.45,25798.17,15545.43,7745.67,585.44,450.76,318.07,17913.16,361.37,306.85,469.39,333.05,14148.61,585.34,174.07,1680.87,382.46,1337.22,301.37,423.95,14053.18,356.46,87.61
2013-11-03,RMA,base,3,9968.51,3318.20,3505.00,2665.77,7221.53,1.00,1.00,423.00,3.44,3.19,10074.11,4291.99,4291.99,627.25,11177.77,343.37,972.07,6986.66,6986.66,1427.10,2279.19,817.43,16375.96,16019.92,16665.15,750.72,770.80,15572.06,1528.53,11082.55,25238.75,15179.73,7132.50,619.68,468.86,321.74,17429.61,363.48,298.88,481.68,322.78,14109.44,503.08,176.33,1457.92,377.40,1198.78,363.41,411.29,13883.22,376.64,86.88
2013-11-04,RMA,base,3,9876.00,3093.53,3946.39,2359.56,6790.28,1.00,1.00,486.00,2.67,3.22,10002.71,3936.67,3936.67,661.43,11103.27,409.56,935.71,6474.83,6474.83,1383.95,2020.96,743.88,16180.85,15849.61,16365.28,757.14,772.01,15567.84,1399.05,10651.24,24989.68,15153.55,6923.85,654.77,492.88,340.05,17122.30,363.77,305.70,494.04,318.36,14029.74,454.11,174.07,1293.32,393.51,1091.59,431.26,407.23,13789.78,402.22,85.90
2013-11-05,RMA,base,3,10374.23,2973.28,4026.33,2534.09,6910.65,1.00,1.00,554.00,2.13,3.35,10497.79,3716.43,3716.43,685.46,11486.98,472.84,892.06,6151.50,6151.50,1338.57,1866.71,700.64,16107.86,15726.62,16148.35,740.13,749.24,15544.44,1316.40,10340.65,24947.83,15256.99,6977.10,680.38,526.49,381.97,16949.43,361.42,324.02,506.37,312.24,14037.28,425.34,169.56,1185.92,425.56,1015.74,495.86,411.59,13865.59,444.71,85.32
2013-11-06,RMA,base,3,11565.15,2857.46,5002.27,2655.59,7131.95,1.00,1.00,604.00,1.87,3.46,11932.36,3669.27,3669.27,689.01,11645.17,533.26,857.62,6028.31,6028.31,1291.08,1743.23,708.35,16044.34,15677.99,16021.54,717.06,724.64,15537.16,1287.18,10268.40,25138.88,15208.37,6699.60,686.29,557.11,439.00,17004.11,354.44,347.98,518.05,306.09,14115.91,398.57,164.76,1111.37,464.09,966.75,557.40,421.18,13970.95,488.33,85.04
2013-11-07,RMA,base,3,11744.99,2793.30,5077.34,2642.68,7026.21,1.00,1.00,622.00,1.82,3.42,11952.93,3653.27,3653.27,681.24,11070.20,584.02,835.92,6005.08,6005.08,1249.98,1621.49,709.92,15908.11,15614.70,15980.52,702.04,709.87,15519.09,1272.62,10365.35,25457.12,14915.26,5697.02,679.92,577.75,497.36,17212.00,346.83,374.63,532.61,303.54,14123.92,371.66,161.62,1040.10,496.27,929.36,601.67,426.98,13912.34,520.53,84.76
2013-11-08,RMA,base,3,11537.53,2740.80,5097.45,2677.08,6662.98,1.00,1.00,652.00,1.94,3.35,11696.71,3675.36,3675.36,671.96,10166.94,615.00,825.72,6091.13,6091.13,1220.53,1549.56,711.65,15790.28,15491.33,16051.07,691.88,700.21,15467.03,1277.53,10549.76,25816.65,14628.50,5419.76,671.28,591.32,550.89,17470.31,338.55,402.47,550.85,303.62,14028.95,353.78,160.25,1003.80,523.70,916.42,627.44,430.68,13722.83,543.69,84.92
2013-11-09,RMA,base,3,11541.68,2688.62,5684.38,2649.83,5997.38,1.00,1.00,689.00,2.26,3.34,11642.98,3400.69,3400.69,663.43,9113.47,640.73,815.68,5728.33,5728.33,1193.21,1313.92,704.14,15540.16,15326.31,16003.27,682.97,691.33,15383.41,1206.26,10078.42,25293.20,14156.87,5451.65,662.75,596.87,592.94,17006.16,334.49,435.76,570.63,287.51,13828.83,312.89,159.89,911.11,540.23,862.25,656.71,435.78,13408.33,559.47,84.49
