datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2006-11-17,RMA,base,4,13122.00,2491.00,-9919.89,340.50,5919.08,1.00,0.00,611.69,0.19,1.15,4263.49,4263.49,441.99,12182.43,637.87,646.20,6079.44,6079.44,1002.76,1251.19,567.86,13804.66,13550.53,13935.07,473.27,484.06,14047.65,1369.65,9487.14,13445.01,9562.10,443.08,418.38,685.95,14636.43,294.52,657.35,517.53,300.47,12834.91,334.70,173.96,838.43,514.95,848.99,635.82,12774.07,85.51
2006-11-18,RMA,base,4,13384.00,2450.00,-9866.86,420.68,6115.78,1.00,0.00,607.01,0.23,1.10,4123.04,4123.04,457.66,12269.36,622.84,687.06,5804.96,5804.96,1029.39,1180.84,602.95,13986.52,13587.11,13964.33,500.39,513.06,13928.91,1408.40,9341.34,13601.75,9285.57,457.99,430.69,662.12,14778.96,297.28,658.30,509.88,306.94,12929.72,309.89,175.16,833.06,515.35,862.02,621.76,12896.14,85.63
2006-11-19,RMA,base,4,13135.00,2438.00,-9684.66,1455.94,5139.27,1.00,0.00,610.79,0.29,1.12,4069.46,4069.46,477.32,12391.03,612.77,725.78,5634.00,5634.00,1057.80,1196.28,635.02,14169.38,13713.40,14000.06,527.35,541.81,13891.41,1465.21,9408.48,13759.83,9033.86,477.26,439.60,644.15,15162.53,299.71,642.85,499.58,325.89,13038.65,300.99,175.55,827.43,504.47,860.20,613.89,13015.41,85.10
2006-11-20,RMA,base,4,12694.00,2393.00,-9789.70,2021.70,4189.83,1.00,0.00,621.90,0.35,1.12,4136.06,4136.06,497.53,12525.22,609.84,770.28,5713.85,5713.85,1090.50,1330.53,676.73,14400.32,13858.57,14155.29,554.01,570.30,13904.23,1560.84,9706.79,13953.06,8847.87,497.53,452.43,627.32,15753.00,305.25,610.44,489.46,356.35,13142.16,308.13,175.04,881.41,493.07,893.37,613.24,13137.14,85.34
2006-11-21,RMA,base,4,12536.00,2374.00,-10017.77,2171.77,3703.64,1.00,0.00,632.13,0.39,1.14,4254.83,4254.83,517.32,12663.64,613.60,822.37,5908.94,5908.94,1128.05,1496.68,730.48,14701.88,14027.79,14448.49,581.10,599.23,13962.44,1656.27,10110.16,14208.60,8700.82,517.32,465.58,620.53,16432.35,316.16,572.25,483.23,389.46,13246.05,325.61,174.29,960.71,493.82,943.63,622.75,13270.27,85.53
2006-11-22,RMA,base,4,12143.00,2345.00,-9272.36,2316.89,3845.26,1.00,0.00,640.20,0.41,1.13,4318.62,4318.62,539.94,12783.28,621.23,870.55,6035.76,6035.76,1160.60,1622.68,774.81,15014.57,14233.27,14794.19,614.18,634.17,14063.10,1715.01,10370.43,14472.78,8563.27,539.86,479.91,630.06,16874.18,329.93,539.99,479.27,418.39,13356.34,341.89,173.58,1044.82,494.84,1002.31,632.86,13406.88,85.95
2006-11-23,RMA,base,4,12311.00,2332.00,-10254.70,2208.19,3128.45,1.00,0.00,650.74,0.40,1.09,4248.02,4248.02,570.26,12872.82,629.97,905.60,5979.61,5979.61,1185.25,1622.44,787.86,15243.84,14450.59,15046.02,650.59,671.47,14192.51,1710.00,10376.57,14679.47,8447.08,569.90,497.79,642.78,16947.39,341.57,520.03,479.18,438.30,13468.93,344.16,174.16,1076.68,495.19,1041.90,640.87,13530.31,85.90
2006-11-24,RMA,base,4,12627.00,2304.00,-9097.05,2267.53,4355.74,1.00,0.00,668.76,0.40,1.05,4063.64,4063.64,601.40,12947.05,639.28,922.20,5737.90,5737.90,1193.85,1561.68,784.43,15342.38,14633.76,15079.70,674.20,694.37,14327.31,1661.82,10183.42,14770.71,8260.30,601.14,517.75,647.75,16843.91,348.98,517.12,484.48,447.10,13577.19,339.46,175.34,1046.35,502.48,1021.32,651.19,13636.28,85.42
2006-11-25,RMA,base,4,12700.00,2275.00,-9203.48,2300.41,4161.09,1.00,0.00,682.24,0.37,1.07,4098.77,4098.77,619.01,13054.65,650.59,946.95,5787.67,5787.67,1208.33,1616.41,819.05,15473.63,14769.36,15192.07,689.14,710.13,14456.31,1689.79,10389.77,14904.99,8145.89,619.68,541.86,652.47,17227.93,359.68,519.29,493.42,469.08,13692.65,347.12,174.75,1052.35,506.89,1014.76,668.48,13755.09,85.16
2006-11-26,RMA,base,4,12963.00,2260.00,-9490.31,2331.46,3959.23,1.00,0.00,693.33,0.32,1.09,4108.31,4108.31,630.22,13143.96,665.62,976.47,5762.20,5762.20,1223.25,1580.07,863.34,15596.45,14892.99,15307.91,701.85,724.77,14572.40,1699.90,10475.05,15038.50,8079.46,631.41,558.28,662.23,17435.95,372.83,525.90,504.77,467.88,13808.18,340.41,175.42,1033.26,518.40,1016.13,682.48,13864.74,85.15
2006-11-27,RMA,base,4,13100.00,2260.00,-10094.93,1935.74,3874.20,1.00,0.00,701.08,0.28,1.14,4230.99,4230.99,640.08,13245.85,679.28,1016.30,5811.10,5811.10,1251.55,1517.84,920.84,15748.77,15025.45,15505.24,723.88,749.83,14689.91,1739.54,10665.05,15201.71,8108.89,641.32,567.43,675.81,17738.25,388.00,531.58,518.50,465.47,13928.80,329.11,178.61,1002.15,525.27,1031.26,694.01,13981.25,85.17
2006-11-28,RMA,base,4,13151.00,2270.00,-10226.31,1856.81,3943.13,1.00,0.00,705.62,0.22,1.07,3895.33,3895.33,676.89,13240.45,691.37,1021.54,5395.50,5395.50,1268.02,1210.64,909.64,15710.72,15146.57,15494.40,761.45,786.81,14784.72,1628.03,9917.71,15183.22,8141.82,676.29,577.70,688.40,16851.51,387.79,542.33,534.08,436.25,14038.57,288.12,181.68,901.07,546.35,1027.35,702.57,14021.49,84.95
