datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2006-11-17,RMA,base,5,12081.36,3420.59,9095.80,-93.22,6241.75,1.00,0.00,608.80,5.55,3.43,12647.82,7335.00,7335.00,517.35,12442.68,632.51,1187.63,9674.61,9674.61,1651.56,4140.48,1103.24,15813.70,14530.33,16194.30,657.54,685.26,14456.96,3142.01,13213.42,14997.39,10220.42,514.49,432.99,688.94,16251.42,390.14,648.63,512.68,599.07,12903.22,819.85,174.29,2738.71,532.67,2300.97,631.80,13142.69,92.13
2006-11-18,RMA,base,5,13249.17,3507.06,9919.90,-31.72,7490.41,1.00,0.00,605.80,5.44,3.46,13818.49,7000.14,7000.14,610.62,12735.83,618.04,1313.09,9389.23,9389.23,1774.82,3675.18,1206.22,16305.98,15075.00,16584.82,777.03,807.78,14691.53,3023.65,13112.20,15496.20,10067.27,605.36,467.37,659.85,16319.40,410.74,650.95,504.96,585.86,13266.53,709.65,175.54,2476.03,524.71,2186.64,618.12,13580.99,91.59
2006-11-19,RMA,base,5,14080.61,3531.57,9866.90,907.16,7727.22,1.00,0.00,608.30,4.71,3.39,14787.48,6542.36,6542.36,710.42,12976.00,610.66,1399.48,8912.69,8912.69,1848.42,3101.23,1263.65,16559.91,15556.59,16815.91,878.16,909.96,14996.34,2845.45,12774.04,15774.53,9877.14,704.10,520.14,639.11,16109.79,420.68,635.09,497.35,549.29,13641.78,580.49,175.76,2176.55,528.21,2037.26,612.44,13897.19,91.14
2006-11-20,RMA,base,5,14977.28,3518.79,9684.70,1441.39,8179.21,1.00,0.00,622.90,3.91,3.40,15891.51,6094.52,6094.52,802.30,13192.75,610.99,1451.92,8364.08,8364.08,1891.51,2534.29,1287.81,16687.49,15884.86,16903.49,957.83,989.96,15277.25,2684.36,12373.25,15953.48,9665.83,796.28,583.91,625.08,15849.84,423.48,606.04,494.84,514.27,13968.36,472.76,175.15,1860.95,534.10,1851.27,614.84,14146.52,90.48
2006-11-21,RMA,base,5,15369.93,3513.92,9789.70,1509.55,8339.72,1.00,0.00,632.50,3.23,3.54,16353.12,5791.14,5791.14,873.26,13418.25,620.32,1494.96,7999.53,7999.53,1926.38,2156.25,1316.39,16822.32,16126.15,16996.03,1013.12,1044.89,15522.21,2592.40,12126.34,16131.52,9442.96,868.20,647.81,626.61,15765.45,425.91,578.68,502.12,495.16,14268.24,407.86,174.33,1637.48,550.61,1707.96,625.80,14390.72,89.97
2006-11-22,RMA,base,5,15532.66,3457.61,10017.80,1534.35,9130.07,1.00,0.00,640.40,2.73,3.53,16479.17,5466.69,5466.69,925.42,13581.55,630.06,1516.72,7560.66,7560.66,1938.31,1855.35,1314.86,16922.55,16317.52,17071.28,1059.57,1091.64,15720.95,2474.94,11725.54,16239.07,9245.90,921.27,707.66,645.11,15433.22,426.17,560.01,520.58,481.62,14524.55,354.27,173.62,1483.28,573.10,1615.78,635.81,14575.63,89.36
2006-11-23,RMA,base,5,15947.32,3407.41,9272.40,1330.23,8718.15,1.00,0.00,647.10,2.57,3.50,16895.67,5136.45,5136.45,966.52,13699.81,638.50,1518.06,6989.40,6989.40,1933.38,1614.57,1269.23,16976.29,16457.92,17066.90,1099.43,1131.30,15882.71,2342.86,11233.97,16293.81,9073.08,963.37,756.97,653.59,14917.89,420.21,555.64,552.78,478.53,14726.86,313.88,174.45,1349.50,606.84,1524.63,643.95,14718.91,88.25
2006-11-24,RMA,base,5,16061.93,3333.82,10254.70,1264.19,9823.85,1.00,0.00,671.70,2.76,3.56,16851.26,4954.50,4954.50,1000.15,13853.22,647.96,1512.39,6599.82,6599.82,1932.49,1498.83,1224.09,17060.99,16560.85,17009.63,1114.21,1145.52,16026.38,2274.76,11036.47,16388.93,8923.60,998.86,809.43,655.46,14730.07,414.81,562.97,594.84,503.23,14894.14,298.55,175.58,1252.57,637.08,1429.05,655.96,14881.71,87.42
2006-11-25,RMA,base,5,16655.74,3264.53,9097.00,1174.51,10232.27,1.00,0.00,681.70,3.01,3.49,17345.73,4793.18,4793.18,1003.09,13992.16,663.90,1493.63,6255.66,6255.66,1925.13,1413.99,1209.81,17130.27,16631.64,16920.05,1102.96,1135.05,16148.03,2224.97,10879.83,16460.19,8751.03,1004.23,843.33,660.16,14625.37,418.16,573.53,639.25,522.89,15032.45,293.36,174.87,1179.10,658.01,1324.97,674.04,15022.40,87.02
2006-11-26,RMA,base,5,17299.92,3169.80,9203.50,1073.18,10464.24,1.00,0.00,694.60,3.40,3.47,17857.92,4547.07,4547.07,985.45,14091.17,678.64,1456.96,5876.67,5876.67,1896.69,1351.30,1202.41,17083.97,16655.54,16757.03,1083.08,1115.92,16243.77,2150.53,10614.16,16430.82,8430.57,988.27,855.02,671.36,14446.85,425.69,585.77,683.95,524.55,15140.80,292.42,176.00,1116.07,668.53,1227.85,686.71,15128.83,86.32
2006-11-27,RMA,base,5,17582.26,3070.32,9490.30,607.06,10495.47,1.00,0.00,701.30,3.65,3.47,18127.13,4267.94,4267.94,957.89,14135.15,689.64,1411.52,5402.10,5402.10,1854.34,1220.08,1191.95,16925.81,16614.14,16534.23,1061.30,1095.34,16295.26,2042.87,10195.40,16301.76,7984.95,961.31,848.26,685.28,14123.52,431.64,596.50,730.66,495.56,15227.33,286.37,179.27,1048.00,671.55,1174.11,697.89,15182.36,85.31
2006-11-28,RMA,base,5,17957.62,2981.07,10094.90,407.40,10910.22,1.00,0.00,707.10,3.83,3.40,18562.87,3915.12,3915.12,956.37,14124.14,698.41,1371.63,5033.20,5033.20,1815.30,1095.56,1140.13,16699.94,16514.98,16205.74,1059.14,1090.41,16299.44,1914.24,9665.56,16098.76,7476.51,958.51,844.62,698.74,13612.62,424.32,606.37,779.87,481.69,15286.89,277.75,182.16,972.58,674.08,1122.43,706.07,15190.94,84.46
2006-11-29,RMA,base,5,18057.78,2909.18,10226.30,331.97,11130.48,1.00,0.00,705.80,3.86,3.26,18709.76,3481.94,3481.94,964.56,14049.49,704.37,1318.74,4459.95,4459.95,1764.27,924.67,1042.99,16311.68,16346.73,15699.86,1044.59,1070.71,16251.25,1739.98,8851.51,15766.03,6928.92,965.83,848.64,709.80,12793.73,413.62,616.58,824.96,446.65,15295.07,265.43,180.22,893.08,678.22,1063.76,710.68,15144.91,83.31
2006-11-30,RMA,base,5,17948.20,2852.54,10156.50,253.10,11463.99,1.00,0.00,697.00,3.70,3.22,18992.19,3086.82,3086.82,957.95,13959.90,706.23,1253.13,3877.90,3877.90,1698.12,788.87,979.29,15811.83,16076.38,15075.09,1005.49,1026.20,16135.91,1580.80,8063.01,15348.33,6486.53,959.72,849.08,717.99,12020.83,400.51,625.73,864.41,408.90,15255.81,256.76,178.00,806.80,682.20,988.21,709.38,15050.91,81.61
2006-12-01,RMA,base,5,18012.30,2767.31,10127.60,191.31,11323.54,1.00,0.00,723.20,3.47,3.23,19116.28,2851.40,2851.40,927.68,13887.90,704.07,1193.90,3574.38,3574.38,1634.64,697.98,949.00,15365.78,15730.82,14561.97,960.18,980.25,15953.74,1487.53,7661.30,14983.02,6190.53,930.74,839.91,722.27,11640.54,384.64,630.64,895.95,396.15,15187.15,247.94,178.78,723.24,677.27,913.98,709.80,14938.50,80.66
2006-12-02,RMA,base,5,17722.61,2720.50,10368.70,200.19,10476.66,1.00,0.00,707.60,3.13,3.30,18168.61,2668.75,2668.75,893.63,13799.93,709.34,1143.10,3378.99,3378.99,1575.26,625.21,909.27,14992.04,15373.86,14181.45,923.13,942.30,15730.62,1408.88,7375.57,14678.43,5968.38,896.93,822.40,720.81,11376.71,371.53,634.08,919.43,385.72,15080.69,240.47,175.11,663.69,675.76,864.77,719.76,14809.51,80.07
2006-12-03,RMA,base,5,17015.24,2684.99,10212.20,368.62,9497.77,1.00,0.00,689.60,2.67,3.39,17448.24,2524.06,2524.06,863.51,13685.86,714.29,1097.62,3244.45,3244.45,1521.06,565.95,871.68,14701.05,15052.70,13913.84,888.00,906.36,15504.64,1340.26,7179.07,14442.34,5672.93,866.83,795.46,723.27,11234.30,362.26,637.27,938.30,376.62,14943.92,234.91,168.49,617.50,675.03,823.82,711.27,14680.44,79.76
2006-12-04,RMA,base,5,16416.98,2662.39,10266.80,407.67,8746.95,1.00,0.00,669.60,2.21,3.39,16849.98,2399.16,2399.16,831.00,13566.67,702.89,1056.33,3112.23,3112.23,1471.56,513.14,839.12,14475.58,14792.48,13717.00,854.67,872.89,15292.12,1279.25,6943.47,14263.63,5495.11,834.65,771.43,725.02,10980.78,355.31,640.51,951.81,366.60,14820.46,228.16,165.04,578.03,667.76,785.60,694.18,14562.21,79.48
2006-12-05,RMA,base,5,14550.29,2589.58,10357.80,388.75,8283.20,1.00,0.00,671.70,1.84,3.40,14987.29,2296.98,2296.98,798.76,13454.75,685.68,1020.17,3007.97,3007.97,1426.52,473.78,812.65,14316.10,14587.48,13590.53,824.40,842.31,15103.06,1225.98,6714.99,14140.88,5497.33,802.00,747.83,715.04,10701.46,349.43,643.71,959.84,356.27,14709.56,220.76,166.55,549.67,668.82,755.48,679.55,14462.10,79.21
