datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,cu_sbay,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2011-10-21,RMA,base,6,18058.72,4188.23,9141.49,14066.60,0.00,0.00,256.54,1.88,2.99,18885.08,601.23,-134.78,592.08,143.93,4026.45,4026.45,440.58,12111.12,252.12,629.78,5200.42,5200.42,1088.07,896.88,531.27,14263.48,14099.75,14298.87,469.71,480.53,14529.28,1216.09,8955.18,20400.95,13658.53,9310.73,440.95,409.47,413.24,14079.51,293.95,585.89,448.52,241.20,12932.30,244.16,122.30,725.32,425.19,772.89,257.57,376.07,12552.06,399.81,85.43
2011-10-22,RMA,base,6,17149.60,4049.07,9160.49,13001.08,0.00,0.00,261.04,2.04,2.95,17971.39,653.75,-141.11,624.03,170.83,3262.86,3262.86,449.83,12184.60,262.52,620.34,4188.10,4188.10,1049.34,633.61,517.81,14016.93,13972.93,13829.22,478.41,489.05,14353.91,1069.65,7943.32,20094.33,13550.54,8613.40,450.12,426.06,371.69,13467.48,290.81,448.53,440.07,217.31,12993.37,206.24,122.57,563.66,396.96,637.29,266.40,392.99,12753.84,403.90,83.11
2011-10-23,RMA,base,6,17020.01,4136.59,8646.49,13314.09,0.00,0.00,256.54,2.36,3.14,17777.90,796.57,-46.09,649.94,192.72,2947.29,2947.29,457.96,12309.16,266.21,612.97,3900.93,3900.93,1019.24,566.43,509.64,13841.68,13855.60,13529.58,483.77,493.92,14193.26,1047.35,7647.35,20588.28,13475.84,7954.19,458.42,435.51,351.88,13604.75,280.63,378.51,441.94,216.82,13068.69,193.61,122.73,494.07,398.14,576.11,268.27,394.11,12906.78,412.90,81.72
2011-10-24,RMA,base,6,17635.29,4161.37,10398.49,12776.91,0.00,0.00,261.46,3.00,3.34,19039.14,857.73,25.10,644.64,187.99,2919.39,2919.39,463.29,12443.60,265.53,616.46,4069.10,4069.10,999.17,606.15,514.57,13820.01,13744.54,13494.78,487.78,498.07,14039.03,1096.42,7914.32,21620.19,13505.38,7481.48,464.08,442.90,334.38,14217.23,266.64,350.76,447.66,227.94,13149.88,189.34,122.78,491.14,386.98,576.24,267.50,391.37,13018.34,414.66,81.39
2011-10-25,RMA,base,6,19185.94,4452.12,10948.49,14203.70,0.00,0.00,251.13,3.79,3.30,20590.03,646.23,-110.04,609.46,146.81,2843.06,2843.06,467.44,12523.08,264.25,626.49,4170.57,4170.57,985.59,630.79,516.79,13899.18,13701.41,13574.75,493.23,503.15,13927.89,1094.89,7972.31,22249.26,13576.78,7034.30,468.00,450.27,315.23,14459.75,258.37,334.90,455.54,234.36,13219.46,185.01,125.55,516.69,388.58,601.31,265.27,396.43,13096.23,422.82,81.79
2011-10-26,RMA,base,6,21167.36,4578.12,9749.49,17299.90,0.00,0.00,249.96,4.61,3.20,22284.51,575.16,-186.75,612.58,149.33,2532.58,2532.58,471.93,12534.40,258.09,623.12,3708.53,3708.53,960.64,558.62,496.76,13848.70,13702.95,13435.82,495.18,503.77,13867.77,991.03,7388.21,22021.26,13514.19,6379.26,472.29,455.45,304.70,13945.91,256.84,320.76,463.50,225.27,13245.18,177.56,127.23,501.71,385.32,582.50,258.99,403.58,13135.93,420.79,81.17
2011-10-27,RMA,base,6,22490.56,4849.08,9482.49,18938.11,0.00,0.00,239.17,5.27,3.22,23347.96,572.69,-223.56,631.28,164.97,2205.63,2205.63,472.70,12508.30,252.57,602.93,3166.84,3166.84,919.84,504.84,480.81,13591.64,13620.80,13055.88,485.07,492.07,13791.80,883.70,6780.03,21773.12,13279.73,5586.67,473.39,458.75,299.51,13398.82,253.99,308.69,470.34,215.17,13236.78,173.15,126.42,462.19,383.99,531.59,253.59,407.60,13120.51,429.45,79.64
2011-10-28,RMA,base,6,23845.11,4879.58,9452.49,20370.23,0.00,0.00,250.58,5.58,3.25,24726.57,568.60,-216.58,625.44,159.74,1948.01,1948.01,464.23,12423.36,249.80,576.93,2766.05,2766.05,874.90,464.61,467.64,13232.40,13399.14,12590.53,471.33,477.91,13649.06,803.28,6284.89,21623.35,12960.48,4802.45,465.63,458.78,293.65,12948.30,248.36,298.76,476.37,208.57,13187.60,168.98,127.07,427.59,380.48,487.63,252.65,404.49,13034.33,430.42,78.51
2011-10-29,RMA,base,6,24019.21,5160.86,9397.49,21070.56,0.00,0.00,264.00,5.39,3.16,24979.35,465.20,-327.84,629.71,163.33,1651.14,1651.14,452.95,12252.65,258.46,547.83,2280.83,2280.83,829.11,401.55,444.89,12771.28,13088.29,11995.55,457.26,463.18,13446.77,712.28,5538.57,21008.73,12549.24,4096.57,454.68,456.14,288.57,12090.38,244.03,289.31,481.63,198.19,13087.28,163.28,128.71,390.48,374.53,442.38,262.84,402.15,12888.81,428.95,77.17
2011-10-30,RMA,base,6,23127.55,5139.09,9586.49,20339.66,0.00,0.00,255.29,4.83,3.25,24402.25,435.97,-384.82,644.86,175.93,1380.52,1380.52,440.43,12027.75,265.55,514.33,1857.53,1857.53,783.63,344.96,417.68,12199.50,12693.60,11263.98,440.81,446.06,13182.89,630.63,4846.29,20432.79,12033.37,3500.56,442.50,449.47,295.54,11304.25,238.73,283.89,484.94,189.70,12931.33,159.71,128.56,349.57,374.64,396.21,267.75,398.53,12682.96,426.43,75.37
