datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,aamc1,alk,alv,alvz,anc,anh,bac,bdl,bdt,ben,benbr,bet,bet2,bir,bks,bll,blp,bts,c10,c16,c24,carqb,cbs,ccs,chdmc006,chipps,cis,clc,cll,cm62,cm66,cm72,co5,confl,coy,cse,cyg,dbi,dgl,dlc,dmb,dmc,dsj,dum,dumbr,dvi,dws,emm2,fal2,fct,flt,fmb,fpt,frk,frp,gct,ges,gl,glab,glc,glc2,glcgs,gle,gln,god,grizzb,gsm,gss,gys,gzb,gzl,gzm,has,hll,hlt2,hol2,holm,hon,hsl,hun,hwb,ibs,idb,ish,ist,jer,lbtoe,lct,lcts,lcut,lhtn,lhtse,lib,libc,lir,lis,liw,liy,lps,m13,mab,mal,mare,mateo,mdmzq,mfv,mho,mhr,mir,mkn,mld,mok2,mrmow,mru,mrx,mrz,mrz2,msd2,msl,mss,mtb,mtz,mup,nmr,nsl2,oad,obd,obi,odm,oh1,oh4,old,orb,orccf,ori,orm,orq2,orx,osj2,pct,pdup,ppt,pri,prospect south breach,psf,ptchi,pts,richb,richm,rindg,riv,rri2,rsd,rsl,rvb,ryc,rye,ryf,ryi,sal,scqc1,sdc,sdi,sffpx,sfp17,sga,sgg,sham,sjc,sjd,sjg,sjj,sjl,sm,smr,smr2,snc,snod,soi,sr3,srh,srv,ssa,ssi,sss,sstw,ssw,sti,sur,sus,sut,swe,sxs,tea,tibc1,tms,toen,toes,tpi,tpp,tps,trn2,trp,tsl,tss,twa,twi,ucs,ulc,uni,vcu,vic,vni,vns,vol,wci,wdcut,winter east breach,winter north breach,winter south breach,x2
2009-11-01,RMA,base,7,9504.00,1959.00,-6810.00,958.31,4059.38,1.00,0.00,409.33,3.31,-0.08,47578.24,49183.36,41321.24,41359.70,5171.12,5171.12,442.75,12298.21,471.44,145.60,20957.62,719.42,716.51,353.06,407.40,11778.57,2412.40,12996.99,5073.13,16194.83,11761.82,29347.27,289.74,579.16,473.23,10926.97,368.16,409.45,7316.77,262.49,253.19,316.55,7099.79,9390.00,42590.52,7316.77,13785.82,404.48,451.24,157.18,44281.72,461.98,1095.45,44326.34,44319.48,403.28,274.53,2018.67,1373.36,1141.35,17788.34,12702.22,158.88,652.35,922.82,456.18,157.47,41554.15,453.58,520.00,499.49,520.00,450.05,155.13,14088.57,15338.01,166.95,157.34,13602.72,14031.27,14239.73,13846.81,424.87,495.16,332.51,507.74,450.76,11040.90,12870.27,13510.23,158.04,13979.14,394.13,728.14,156.02,1722.45,273.20,248.42,283.67,248.42,246.29,246.29,282.36,257.63,252.95,296.89,454.96,274.95,289.42,3040.92,426.18,10580.83,30068.58,46401.77,371.55,159.43,780.34,782.56,227.51,161.68,10529.98,197.72,476.42,468.29,461.81,22470.15,21436.01,398.09,8416.29,228.90,526.71,13711.10,359.77,161.68,9856.12,495.07,484.81,441.36,495.07,393.99,395.30,827.31,395.30,421.08,427.37,726.39,405.95,395.33,331.07,15391.63,713.95,299.27,302.40,215.47,279.51,16239.39,9202.96,45278.67,46630.15,449.27,378.64,620.99,468.10,517.61,380.27,13556.02,293.24,293.24,280.86,355.38,42321.81,156.87,1725.37,49604.75,48799.62,657.92,269.52,46148.59,544.71,393.37,681.30,1722.45,393.41,42590.52,160.74,160.79,13061.78,154.84,261.87,1076.46,154.35,441.88,355.38,3037.42,157.06,276.45,155.21,268.02,727.88,158.91,155.82,157.28,206.26,13451.61,47557.96,1233.37,269.14,283.69,680.80,725.14,680.80,376.23,461.98,1113.98,1113.99,830.96,976.94,348.18,732.36,401.49,351.39,359.77,315.97,414.49,12886.09,401.59,433.31,7044.33,7685.64,6594.72,87.53
2009-11-02,RMA,base,7,9533.70,1745.00,-7283.00,2526.63,1883.40,1.00,0.00,458.04,3.93,-0.03,47805.66,49287.21,41762.24,41820.23,5338.03,5338.03,471.16,12483.77,412.24,141.36,22278.31,798.14,794.89,347.12,407.36,11866.25,2621.04,12947.12,5384.58,17072.69,12281.70,30716.91,276.65,545.85,413.18,11379.31,358.83,393.34,7542.48,262.83,254.40,334.20,7377.80,9736.87,43275.04,7542.48,13911.74,416.20,430.57,155.13,44731.95,409.87,1170.02,44766.80,44761.03,438.38,264.93,2308.05,1545.24,1271.53,18770.29,12752.13,155.60,732.31,1001.05,422.57,155.34,42067.14,422.49,430.92,423.59,430.92,423.53,153.69,14451.48,15867.27,159.89,155.15,13796.39,13972.40,14488.46,14172.13,422.56,542.49,323.66,557.80,482.46,11327.50,12877.21,13831.95,155.92,13943.53,414.54,721.82,153.77,1911.03,274.14,242.07,283.09,242.07,240.00,240.00,268.84,251.33,239.70,301.40,445.85,256.87,269.70,3360.47,391.73,11015.75,31305.59,46450.44,368.08,156.93,753.67,750.73,218.58,160.10,10960.78,190.69,415.71,413.99,405.55,23903.96,22821.06,427.19,8334.18,219.85,437.02,14035.22,372.89,160.10,9779.76,436.26,429.82,468.95,436.26,414.61,415.71,813.86,415.71,396.87,398.72,661.77,429.19,405.42,356.80,16216.62,678.52,311.41,316.88,204.11,267.31,17156.58,9524.99,45452.33,46641.07,457.94,402.40,620.39,461.41,509.32,404.62,14077.80,286.19,286.19,268.35,392.69,42311.69,154.11,1986.62,49649.04,48951.52,582.41,260.43,46273.17,548.12,404.27,631.71,1911.03,412.26,43275.04,157.69,157.73,13157.77,153.69,265.63,1185.93,153.72,483.61,392.69,3363.44,154.61,277.38,153.79,237.13,660.33,156.79,153.57,155.00,202.44,13423.98,47708.36,1378.85,270.65,283.10,604.41,729.40,604.41,381.56,409.87,1223.74,1223.75,825.45,1092.32,341.97,676.39,408.07,369.90,372.89,310.94,456.97,13103.98,398.76,454.06,7076.09,7778.09,6697.67,88.20
2009-11-03,RMA,base,7,9507.30,1616.00,-4421.00,2512.28,4523.04,1.00,0.00,504.54,4.42,0.15,47970.18,49363.32,42274.62,42343.09,5500.83,5500.83,500.62,12690.04,411.24,139.42,23504.52,880.93,877.34,352.51,407.15,11960.76,2768.10,12923.11,5669.04,17997.13,12837.93,31874.91,265.63,519.71,406.91,11863.35,372.43,403.90,7807.65,263.12,255.66,348.12,7667.47,10120.64,43843.27,7807.65,14119.71,426.31,442.94,154.38,45094.68,407.73,1247.75,45122.77,45118.00,482.72,256.51,2627.45,1682.17,1419.14,19791.36,12869.38,154.11,810.61,1074.04,432.21,154.35,42598.11,433.32,413.31,411.33,413.31,436.19,155.99,14907.71,16554.37,158.34,154.29,14093.58,14046.46,14893.39,14574.26,417.62,590.05,323.38,607.98,517.31,11668.79,12926.61,14195.49,154.50,14029.38,427.39,706.91,155.53,2052.75,274.73,241.41,280.61,241.41,238.91,238.91,258.51,249.96,236.89,305.03,440.42,250.95,249.87,3632.08,380.85,11484.15,32374.27,46549.18,364.01,154.91,681.85,678.91,213.37,158.03,11425.00,192.79,430.40,430.97,385.64,25186.24,24086.38,470.38,8296.07,214.59,397.57,14422.63,373.75,158.03,9701.03,419.58,417.01,497.59,419.58,452.31,428.90,797.29,428.90,404.81,405.17,572.17,457.62,435.29,391.20,17082.90,627.77,327.45,335.27,198.50,258.23,18103.76,9890.48,45685.18,46734.48,461.29,440.34,616.71,458.11,501.00,443.31,14696.11,289.06,289.06,262.84,432.18,42389.73,154.58,2233.73,49682.65,49063.37,535.79,256.78,46453.46,547.86,435.24,582.13,2052.75,449.16,43843.27,155.52,155.53,13292.23,155.95,277.87,1307.27,155.81,543.57,432.18,3686.11,155.11,277.44,155.64,213.22,599.62,155.27,155.66,154.33,203.62,13478.22,47864.83,1574.14,271.88,280.11,548.86,736.75,548.86,385.26,407.73,1357.47,1357.48,817.33,1200.51,333.80,633.23,439.62,375.32,373.75,306.76,499.33,13330.39,408.39,479.06,7181.42,7949.07,6846.68,88.83
2009-11-04,RMA,base,7,9585.40,1578.00,-4371.00,2478.63,4626.87,1.00,0.00,528.08,4.76,0.34,48100.62,49426.63,42798.02,42869.90,5827.00,5827.00,539.29,12942.54,427.34,138.65,24988.88,970.59,966.56,366.99,406.47,12070.98,2979.46,12937.19,6118.86,19185.31,13648.09,33167.99,256.30,495.65,417.90,12592.66,377.11,412.47,8287.76,263.29,256.96,355.81,8173.42,10750.58,44319.95,8287.76,14431.88,436.57,467.98,156.10,45403.39,419.62,1342.56,45426.92,45422.61,516.27,249.37,3081.17,1850.61,1560.69,21087.46,13059.42,155.87,900.56,1168.93,456.41,156.28,43109.35,457.85,418.77,417.43,418.77,461.35,156.04,15547.31,17501.40,156.79,156.22,14490.97,14234.50,15517.36,15138.46,409.91,647.93,326.50,668.29,561.76,12208.05,13018.46,14694.12,156.24,14219.27,441.80,687.70,155.72,2240.21,274.85,244.94,277.14,244.94,241.47,241.47,251.39,252.48,239.60,306.91,432.91,252.40,233.84,4038.00,377.59,12204.06,33554.28,46678.10,360.83,156.39,599.47,598.52,213.67,159.34,12140.45,202.81,470.64,471.50,380.38,26693.22,25593.10,507.85,8330.25,214.91,386.76,14962.39,372.37,159.34,9604.59,446.49,443.95,535.36,446.49,491.78,443.87,748.56,443.87,413.64,413.87,556.84,496.13,476.31,427.69,18226.24,593.71,347.64,358.73,196.67,252.97,19328.05,10498.16,46000.98,46941.20,461.23,513.55,609.72,459.07,494.24,518.18,15552.34,307.43,307.43,266.93,492.15,42512.39,155.99,2592.16,49710.62,49152.35,523.29,257.17,46727.17,544.10,473.20,555.56,2240.21,488.95,44319.95,156.43,156.43,13474.85,156.23,310.06,1456.85,156.68,650.12,492.15,4158.45,156.44,276.67,156.08,197.25,570.58,156.67,155.72,156.23,213.82,13615.18,48046.20,1836.47,272.89,275.75,531.06,744.52,531.06,387.16,419.62,1525.65,1525.68,792.14,1332.93,323.05,594.99,481.22,374.95,372.37,302.09,526.83,13618.84,417.67,510.36,7425.62,8306.34,7131.30,89.29
2009-11-05,RMA,base,7,9373.10,1523.00,-4420.00,2332.43,4461.75,1.00,0.00,547.13,4.76,0.23,48196.45,49456.53,43263.42,43333.30,5956.06,5956.06,581.67,13160.67,453.23,138.36,25822.26,1058.62,1054.24,384.57,404.90,12175.03,3077.67,12990.93,6358.15,19894.22,14143.29,33821.50,250.59,478.31,430.58,13053.49,379.44,421.86,8623.22,262.96,258.37,363.84,8465.43,11140.67,44697.14,8623.22,14832.65,448.71,493.66,157.91,45651.17,432.42,1421.10,45671.69,45667.65,538.47,244.70,3367.64,1949.32,1684.77,21938.99,13273.34,156.35,980.77,1247.92,483.18,156.97,43531.24,484.56,431.71,429.48,431.71,487.82,164.81,16198.76,18263.66,158.20,157.15,14982.23,14507.06,16204.43,15703.03,402.09,705.79,332.46,728.05,608.41,12783.47,13139.92,15189.93,157.47,14497.13,458.23,670.78,162.94,2338.93,274.37,247.58,273.47,247.58,244.24,244.24,247.40,253.66,241.85,310.04,428.50,254.86,220.11,4225.86,375.90,12637.76,34218.41,46804.80,360.87,157.27,551.42,551.29,213.28,160.34,12571.06,208.26,507.20,507.79,378.11,27487.23,26389.78,531.60,8475.82,214.56,382.80,15500.27,370.94,160.34,9547.13,464.57,461.50,576.89,464.57,519.76,461.10,618.40,461.10,424.50,424.81,576.99,536.52,510.10,470.23,18876.29,567.54,369.58,382.23,195.16,250.09,20012.30,10828.56,46086.98,47114.47,461.71,558.59,601.45,464.32,490.24,564.39,16266.80,319.20,319.20,270.29,529.44,42584.22,158.85,2761.78,49723.21,49194.92,512.17,256.61,46814.16,540.94,504.24,543.50,2338.93,517.72,44697.14,157.26,157.25,13697.86,165.32,328.76,1594.02,166.10,715.47,529.44,4409.70,159.87,275.31,164.63,187.63,545.63,157.40,162.88,157.37,219.33,13812.74,48071.38,2059.45,273.24,271.76,515.81,749.81,515.81,388.23,432.42,1686.74,1686.76,702.32,1434.62,313.80,566.93,513.95,373.70,370.94,300.99,549.81,13907.68,428.63,546.48,7659.47,8577.74,7309.67,90.25
2009-11-06,RMA,base,7,8794.50,1459.00,-4392.00,2236.96,3982.77,1.00,0.00,581.25,4.36,0.14,48260.86,49468.73,43680.82,43746.71,5650.14,5650.14,613.64,13301.56,483.86,137.78,25558.34,1102.10,1098.28,398.07,402.49,12235.79,2884.22,13070.73,5983.11,19709.79,13894.43,33548.58,245.90,469.82,446.13,12789.38,382.26,432.79,8209.04,262.18,260.23,378.80,8086.73,10826.11,45011.51,8209.04,15204.44,461.79,519.36,165.73,45863.52,448.15,1453.34,45881.98,45878.94,564.89,240.65,3121.96,1862.47,1707.97,21854.42,13427.59,164.12,1005.21,1279.63,510.86,165.17,43896.35,511.97,450.22,446.33,450.22,514.60,166.19,16540.17,18456.42,158.41,165.53,15429.56,14823.65,16581.80,16015.30,397.63,747.94,340.16,771.67,642.57,12797.80,13262.39,15486.77,164.43,14800.33,474.08,660.91,166.02,2214.53,273.55,245.72,269.85,245.72,243.70,243.70,241.58,251.16,240.56,321.56,443.29,255.67,209.67,3896.55,376.03,12356.77,34027.34,46930.24,364.54,163.74,544.00,544.26,206.75,165.63,12289.48,203.68,531.27,531.73,378.09,27184.78,26098.84,555.33,8374.07,207.86,382.56,15806.31,372.02,165.63,9471.67,486.44,482.75,607.95,486.44,542.85,477.50,526.23,477.50,437.55,438.08,609.96,566.44,533.51,492.52,18658.42,562.08,381.80,390.47,191.50,243.37,19795.53,10541.76,45986.70,47028.83,468.33,511.77,595.98,473.48,489.76,515.87,16325.88,298.61,298.61,257.06,506.61,42652.12,167.60,2520.32,49731.95,49214.87,524.78,252.67,46708.70,544.58,530.73,528.12,2214.53,541.05,45011.51,160.31,160.22,13911.51,165.60,301.52,1566.80,164.45,650.48,506.61,4106.33,166.86,273.77,164.95,182.57,544.82,163.82,167.40,165.70,207.02,14019.25,48001.45,1971.79,272.89,268.41,525.47,749.80,525.47,393.62,448.15,1654.27,1654.29,588.24,1398.33,309.75,553.11,536.75,373.18,372.02,301.74,580.02,14123.28,441.37,575.37,7424.68,8295.01,7051.28,89.54
2009-11-07,RMA,base,7,9809.80,1427.00,-3590.00,2079.23,5929.17,0.00,0.00,611.92,3.67,-0.04,48311.68,49468.57,44056.23,44117.87,5396.29,5396.29,649.41,13439.63,512.80,137.62,25350.79,1122.79,1119.56,415.60,399.28,12276.93,2758.24,13164.37,5580.27,19515.05,13638.29,33300.02,240.62,460.00,460.24,12516.86,378.80,448.08,7787.13,261.46,262.33,391.57,7693.21,10500.87,45286.06,7787.13,15497.62,475.94,541.73,171.09,46050.01,461.76,1475.60,46066.81,46064.45,594.99,236.35,2830.22,1809.19,1631.68,21746.90,13549.31,165.53,1020.74,1314.69,533.88,165.56,44227.78,534.85,468.61,463.17,468.61,537.23,159.36,16710.46,18483.74,164.34,165.23,15755.81,15004.62,16698.46,16188.48,393.34,788.87,347.78,813.28,679.44,12616.53,13382.20,15673.95,165.49,15080.31,491.58,655.90,159.86,2136.15,272.41,243.25,266.64,243.25,241.57,241.57,235.32,248.72,236.78,332.99,457.71,252.90,209.62,3547.59,378.07,12068.52,33801.67,47029.26,369.95,166.09,550.48,550.04,200.22,172.22,12000.30,221.01,553.67,554.25,379.60,26937.15,25853.50,585.83,8176.83,201.14,383.34,15984.95,376.23,172.22,9401.63,501.06,497.26,643.12,501.06,570.65,495.57,513.69,495.57,450.90,451.64,625.21,599.17,557.59,500.28,18442.84,564.04,388.55,394.48,189.65,236.54,19578.66,10242.33,45935.58,46904.61,474.41,453.65,588.88,485.78,492.51,457.04,16229.42,276.58,276.58,244.29,514.69,42665.89,163.30,2245.21,49735.21,49216.32,540.31,248.08,46665.01,545.81,556.84,525.57,2136.15,568.45,45286.06,158.33,158.23,14117.28,159.06,260.64,1505.54,158.59,572.53,514.69,3762.58,163.07,271.95,159.22,181.31,551.82,166.07,160.06,164.82,195.59,14242.77,47971.69,1818.97,272.37,265.12,539.95,743.29,539.95,401.85,461.76,1571.52,1571.53,535.79,1368.78,305.40,538.35,561.11,374.90,376.23,304.80,604.87,14301.68,455.35,606.28,7145.49,8001.83,6782.01,88.91
2009-11-08,RMA,base,7,9183.90,1392.00,-4473.00,1892.84,4612.46,0.00,0.00,608.75,3.02,-0.13,48345.15,49460.10,44376.15,44433.04,5002.20,5002.20,687.37,13523.86,540.86,136.81,24815.20,1133.69,1131.07,426.77,395.30,12305.96,2581.76,13261.25,4946.83,18990.34,13067.53,32772.78,235.84,453.37,475.66,11940.03,377.09,466.65,7084.54,260.87,265.08,406.56,7033.52,9876.60,45515.36,7084.54,15680.32,492.07,568.21,173.95,46209.03,477.41,1476.28,46224.38,46222.03,610.86,232.06,2321.33,1722.64,1546.38,21322.59,13632.53,159.73,1025.45,1328.15,559.58,159.44,44503.07,560.62,487.91,481.31,487.91,563.21,160.40,16642.45,18193.28,166.68,159.33,15947.48,15075.27,16534.23,16150.41,390.56,819.64,355.36,843.39,714.15,12216.67,13501.13,15685.13,159.67,15294.26,513.32,660.36,159.95,2017.15,271.55,239.45,263.64,239.45,239.03,239.03,228.55,245.21,232.94,348.41,476.19,251.23,211.28,3003.59,382.73,11474.59,33344.34,47115.30,375.79,160.31,566.76,566.05,189.08,174.32,11406.18,230.66,582.12,582.89,383.88,26355.09,25266.80,607.31,7885.16,189.87,387.06,15964.59,382.32,174.32,9278.23,517.41,513.61,680.86,517.41,598.66,517.89,527.43,517.89,466.25,467.20,634.57,624.80,587.98,509.05,17898.07,572.23,392.33,396.60,183.00,228.54,19023.08,9658.82,45839.75,46716.79,482.46,361.84,581.11,500.47,499.44,363.31,15827.28,240.34,240.34,225.45,510.00,42549.55,158.85,1804.04,49734.88,49206.88,558.11,243.05,46581.52,547.38,586.46,529.42,2017.15,596.93,45515.36,151.89,151.84,14296.29,160.45,213.13,1411.55,160.67,448.53,510.00,3198.08,159.44,270.52,160.42,183.22,562.27,160.65,159.71,159.22,179.48,14439.62,47919.99,1560.07,271.92,262.30,556.54,731.05,556.54,411.91,477.41,1441.16,1441.17,527.90,1323.06,303.33,527.61,591.03,379.61,382.32,311.41,617.00,14408.39,472.26,639.60,6731.30,7522.37,6362.73,88.05
2009-11-09,RMA,base,7,9721.80,1340.00,-4447.00,1746.73,5460.86,0.00,0.00,647.67,2.52,-0.14,48378.63,49459.95,44673.07,44725.84,4701.18,4701.18,721.55,13629.68,568.14,135.32,24514.74,1137.63,1135.50,432.45,391.08,12340.17,2451.90,13365.16,4464.03,18682.41,12641.61,32561.52,231.32,445.24,490.22,11491.33,380.52,482.83,6522.14,260.36,267.86,418.38,6509.68,9368.58,45730.51,6522.14,15772.07,511.13,595.28,178.01,46362.49,491.57,1471.10,46376.73,46374.24,629.72,227.58,1903.86,1651.01,1498.26,21000.99,13733.22,160.68,1026.94,1333.91,587.79,161.08,44765.21,588.76,506.87,499.45,506.87,591.11,162.35,16497.28,17890.05,161.54,161.18,16018.97,15066.65,16294.81,16057.56,387.23,841.74,362.60,864.69,743.86,11791.87,13622.81,15648.46,161.56,15448.91,538.07,671.34,161.84,1924.30,270.93,235.42,260.82,235.42,235.87,235.87,222.96,241.80,228.66,364.06,491.50,252.00,211.92,2595.58,388.57,11010.90,33166.19,47216.27,382.33,161.66,589.65,588.55,184.03,176.09,10941.63,228.08,606.49,607.00,389.74,26070.87,24967.71,620.93,7597.60,184.72,393.01,15892.65,388.41,176.09,9172.29,524.89,521.59,715.06,524.89,613.53,542.99,546.85,542.99,482.44,483.51,624.63,645.42,609.73,513.81,17580.03,584.29,397.20,400.42,178.70,222.47,18700.39,9177.21,45799.05,46761.79,489.87,310.04,572.24,517.86,510.68,310.18,15463.80,220.78,220.78,214.29,505.11,42519.63,161.64,1487.64,49741.00,49209.21,579.45,237.94,46582.62,546.40,605.95,540.00,1924.30,612.38,45730.51,146.23,146.19,14455.17,162.08,193.65,1318.82,161.83,375.66,505.11,2755.41,162.42,269.28,161.77,185.77,576.25,161.60,162.38,161.35,172.96,14614.76,47903.59,1319.19,271.69,259.38,576.86,714.54,576.86,421.22,491.57,1314.11,1314.11,537.99,1281.60,300.42,515.14,611.34,385.95,388.41,315.26,644.94,14504.86,489.10,673.54,6339.68,7102.27,5989.90,86.87
2009-11-10,RMA,base,7,9561.20,1320.00,-4451.00,1589.70,5429.61,0.00,0.00,675.33,2.34,-0.16,48420.65,49451.42,44944.49,44993.13,4424.30,4424.30,750.67,13731.15,590.63,136.86,24252.99,1139.54,1137.68,438.12,385.94,12407.28,2335.64,13476.15,4061.16,18403.58,12225.16,32339.95,227.74,437.86,506.11,11057.67,386.41,500.48,6119.68,259.89,270.91,428.57,6047.15,8899.25,45926.21,6119.68,15808.44,531.16,613.55,182.84,46507.02,507.68,1464.38,46520.23,46517.97,660.20,223.93,1572.08,1583.36,1471.63,20711.69,13856.07,162.09,1031.03,1334.64,609.07,162.52,44998.79,609.70,528.94,520.62,528.94,611.14,161.89,16363.48,17601.81,163.28,162.44,16028.22,15033.03,16132.19,15963.61,383.35,859.68,369.86,881.77,769.57,11493.17,13742.93,15601.26,162.54,15547.75,564.50,688.05,161.35,1842.82,270.35,232.50,257.95,232.50,233.90,233.90,218.85,239.10,225.23,378.85,503.40,245.05,212.60,2274.27,394.40,10559.46,32988.46,47309.41,389.81,162.97,612.22,610.70,182.47,177.81,10489.46,223.00,620.22,620.60,395.94,25813.29,24693.30,650.80,7385.35,183.04,400.26,15816.53,394.27,177.81,9099.24,532.07,529.43,744.28,532.07,636.64,569.49,568.98,569.49,500.83,502.08,608.45,661.01,625.17,519.36,17271.05,598.04,402.28,404.85,178.37,218.29,18392.19,8697.65,45666.67,46824.32,494.89,276.89,563.92,538.17,525.76,276.49,15086.67,209.85,209.85,207.60,500.35,42493.86,162.10,1248.40,49740.11,49207.36,596.94,233.76,46504.62,543.56,623.78,553.42,1842.82,634.37,45926.21,144.39,144.24,14605.04,161.68,184.24,1252.17,161.66,328.69,500.35,2381.60,162.38,268.07,161.44,188.89,589.98,163.43,161.75,162.40,172.60,14780.92,47811.57,1141.92,271.51,256.58,594.20,695.00,594.20,427.87,507.68,1225.93,1225.92,555.35,1247.33,297.49,503.09,626.83,392.04,394.27,319.40,670.51,14587.85,508.04,706.19,6039.98,6773.53,5658.53,86.15
