datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2013-10-27,RMA,cache,1,6845.00,2511.00,2393.00,1022.98,6013.77,0.00,1.00,294.00,3.84,3.23,6918.75,5717.51,5717.51,416.85,11465.84,411.18,720.24,8719.69,8719.69,1200.78,2887.40,676.79,15531.14,14409.48,16134.09,489.87,503.57,14597.99,1878.21,12467.59,14432.16,8155.42,414.10,393.69,780.86,18930.57,309.91,655.27,492.00,395.79,12833.28,652.05,155.43,1536.93,621.27,1227.90,390.76,12724.61,88.38
2013-10-28,RMA,cache,1,5231.00,2642.00,2668.00,1093.11,4157.38,0.00,1.00,295.00,4.87,3.30,5276.49,6059.78,6059.78,444.32,11181.00,312.02,800.71,9414.76,9414.76,1275.56,3488.47,773.21,16453.57,14855.91,17026.89,533.86,549.88,14659.13,2092.66,13435.03,15108.09,8165.08,440.91,392.71,707.28,20149.56,324.58,653.76,479.66,453.52,13052.06,861.38,161.15,1855.03,580.34,1425.64,308.48,13084.47,89.38
2013-10-29,RMA,cache,1,7697.00,2671.00,2192.00,1042.06,7168.77,0.00,1.00,248.00,5.45,3.40,7731.83,5947.30,5947.30,460.76,10779.29,293.23,871.13,9479.26,9479.26,1315.77,3535.49,833.90,16963.83,15429.19,17625.72,570.21,589.07,14932.37,2067.76,13702.94,15425.44,8505.12,456.54,405.63,539.02,20499.91,339.45,605.80,468.01,463.14,13182.90,870.58,165.71,1950.97,592.08,1508.30,292.86,13291.55,89.65
2013-10-30,RMA,cache,1,7672.00,2575.00,1755.00,1153.41,7696.72,0.00,1.00,223.00,5.79,3.44,8030.13,5854.19,5854.19,479.37,10517.68,265.93,922.93,9487.72,9487.72,1350.32,3455.95,876.16,17279.56,15871.71,17979.17,611.43,633.08,15238.81,2041.28,13884.88,15583.01,8404.69,474.03,416.47,405.24,20766.19,352.91,534.12,457.88,472.52,13280.78,845.44,164.03,1927.41,549.78,1521.30,263.56,13407.10,89.50
2013-10-31,RMA,cache,1,8032.00,2306.00,2843.00,1309.42,6354.58,0.00,1.00,242.00,5.65,3.33,8200.99,5589.47,5589.47,508.97,10279.80,239.23,960.92,9222.00,9222.00,1367.47,3184.03,905.29,17330.92,16109.92,18117.95,653.70,676.09,15479.20,1963.41,13728.89,15521.56,8281.05,502.35,423.44,372.39,20618.81,364.20,478.28,452.50,468.52,13321.87,748.14,159.87,1808.27,488.89,1479.54,238.73,13380.45,89.25
2013-11-01,RMA,cache,1,8613.00,2012.00,4843.00,1300.42,4644.63,1.00,1.00,283.00,5.19,3.26,8776.06,5294.00,5294.00,547.04,10044.28,234.44,986.55,8864.35,8864.35,1373.13,2878.38,920.29,17210.00,16151.37,18072.82,694.87,716.93,15618.01,1876.58,13466.09,15368.65,7959.48,539.29,433.52,355.91,20377.27,373.03,451.37,452.67,453.58,13290.60,661.35,165.83,1641.84,447.59,1401.30,246.58,13271.41,88.67
2013-11-02,RMA,cache,1,8900.00,1739.00,3412.00,2971.70,4361.91,1.00,1.00,347.00,4.32,3.25,9006.61,5100.39,5100.39,586.64,9801.70,247.49,1003.69,8622.72,8622.72,1376.87,2671.14,929.29,17039.02,16076.26,17996.49,730.75,752.03,15670.00,1815.21,13331.42,15199.45,7686.49,578.48,448.84,340.86,20261.28,379.24,437.36,458.44,443.39,13263.49,604.58,174.01,1521.94,418.62,1341.67,278.75,13133.86,88.28
2013-11-03,RMA,cache,1,9107.00,1578.00,3870.00,2910.79,4009.80,1.00,1.00,423.00,3.44,3.19,9212.59,4893.78,4893.78,637.81,9515.70,271.65,1014.06,8447.93,8447.93,1380.28,2488.17,920.47,16844.54,15961.95,17954.74,773.88,793.88,15669.59,1763.42,13169.16,14985.89,7586.17,629.69,474.33,330.44,20120.98,382.43,427.77,468.22,439.41,13228.19,551.29,176.35,1434.66,409.70,1299.40,326.90,12978.68,87.97
2013-11-04,RMA,cache,1,10017.00,1430.00,3965.00,2599.90,5008.81,1.00,1.00,486.00,2.67,3.22,10143.71,4616.53,4616.53,693.46,9234.63,307.09,1016.72,8215.80,8215.80,1376.21,2317.52,874.76,16633.96,15828.63,17942.95,812.30,829.82,15633.69,1689.17,12895.55,14755.27,7579.18,685.54,510.77,325.16,19922.55,381.44,419.78,479.25,434.41,13152.48,504.26,174.09,1343.85,407.49,1249.86,387.87,12812.14,87.41
2013-11-05,RMA,cache,1,9947.00,1343.00,4954.00,2751.92,3707.64,1.00,1.00,554.00,2.13,3.35,10070.56,4585.16,4585.16,749.15,9052.12,347.86,1026.28,8272.80,8272.80,1378.01,2309.96,859.20,16530.62,15716.86,18020.09,825.42,839.32,15588.06,1681.77,12954.15,14619.19,7567.25,742.79,563.79,331.76,20062.70,377.95,415.45,491.53,442.17,13072.62,490.98,169.50,1313.32,429.89,1236.49,451.32,12697.19,87.12
