datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,anc,bac,bdt,cll,frk,god,gzl,hol2,mtz,old,rri2,snc,sss,tms,tss,uni,x2
2011-10-21,RMA,cache,2,17095.10,4418.00,-10382.00,800.80,11156.66,1.00,0.00,256.54,1.26,5435.88,456.17,245.03,7480.98,720.83,15027.64,15089.93,542.68,14369.01,354.28,605.74,13105.46,122.04,1305.24,1204.41,248.26,88.46
2011-10-22,RMA,cache,2,16658.40,4316.00,-9868.00,769.51,11158.69,1.00,0.00,261.04,1.18,4850.70,490.93,255.37,6745.83,746.95,15104.88,14988.77,587.73,14489.77,314.81,483.60,13291.23,121.95,1136.65,1114.86,257.05,87.56
2011-10-23,RMA,cache,2,16146.90,4468.00,-11620.00,815.36,8937.44,1.00,0.00,256.54,1.38,4380.44,530.17,259.25,6113.24,760.13,15060.56,14826.41,626.89,14490.83,299.29,396.90,13456.18,122.19,999.78,1039.99,259.02,86.42
2011-10-24,RMA,cache,2,15746.50,4446.00,-12170.00,823.74,8602.60,1.00,0.00,261.46,1.67,4010.57,563.61,258.36,5628.89,770.59,14971.32,14671.05,656.99,14447.61,294.63,350.62,13587.35,122.09,886.40,987.01,258.59,85.40
2011-10-25,RMA,cache,2,15515.50,4565.00,-10971.00,621.94,9891.65,1.00,0.00,251.13,2.03,3701.44,591.76,258.23,5357.00,760.45,14912.58,14562.95,682.90,14426.11,285.49,324.91,13696.89,124.80,797.07,942.83,257.18,84.63
2011-10-26,RMA,cache,2,14965.50,4443.00,-10704.00,482.19,9339.47,1.00,0.00,249.96,2.63,3309.30,619.21,252.61,4881.66,703.97,14805.73,14403.29,695.32,14364.17,275.64,307.92,13770.06,126.66,709.30,885.68,251.46,83.80
2011-10-27,RMA,cache,2,15281.20,4579.00,-10674.00,390.05,9653.54,1.00,0.00,239.17,3.20,2929.55,630.53,247.50,4254.57,676.51,14627.96,14152.02,677.67,14232.92,272.65,295.78,13812.36,126.23,618.26,813.94,246.25,82.70
2011-10-28,RMA,cache,2,15229.50,4419.00,-10619.00,349.73,9561.23,1.00,0.00,250.58,3.56,2633.90,615.65,243.78,3711.91,665.47,14424.74,13876.00,661.34,14082.92,271.14,286.01,13833.56,126.40,526.46,739.57,244.60,81.39
2011-10-29,RMA,cache,2,14748.80,4280.00,-10808.00,195.95,8984.99,1.00,0.00,264.00,3.90,2463.79,596.69,251.91,3458.32,647.65,14286.79,13721.38,652.02,13991.84,267.98,277.97,13848.66,128.25,458.35,695.12,254.22,80.45
2011-10-30,RMA,cache,2,14216.40,4349.00,-11025.00,95.32,8719.79,1.00,0.00,255.29,4.21,2412.80,582.40,259.58,3451.99,635.22,14270.95,13739.70,643.09,13991.13,271.51,272.30,13859.19,128.33,434.48,681.72,259.35,79.95
