datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2013-10-27,RMA,cache,3,7705.93,2392.80,2524.20,6081.99,0.00,1.00,294.00,3.84,3.23,7779.68,1719.47,872.58,846.89,6543.70,6543.70,441.08,12453.66,412.42,953.01,9716.16,9716.16,1501.69,4235.68,906.99,15517.89,14488.06,16080.53,573.16,598.01,14481.97,2492.42,12757.41,26236.27,14856.56,10427.11,436.24,387.26,772.22,18145.35,323.32,638.86,483.95,463.75,13143.12,987.03,156.27,2516.88,628.97,1984.74,392.16,500.85,13071.99,570.40,92.21
2013-10-28,RMA,cache,3,7806.22,3172.86,2536.77,7020.84,0.00,1.00,295.00,4.87,3.30,7851.71,1558.63,791.72,766.91,5948.35,5948.35,476.09,12626.85,309.88,998.33,9258.49,9258.49,1529.58,3733.43,944.71,15850.81,14886.18,16331.69,628.80,656.05,14634.10,2250.70,12309.51,25682.65,15146.99,10280.54,469.60,391.25,689.98,17796.82,334.62,635.17,472.68,430.23,13436.16,843.49,163.28,2251.97,581.61,1816.19,310.05,470.57,13380.94,507.97,91.14
2013-10-29,RMA,cache,3,7405.73,3506.64,2818.62,6851.54,0.00,1.00,248.00,5.45,3.40,7440.56,1368.32,602.21,766.11,5412.58,5412.58,499.06,12484.66,287.04,1028.31,8731.23,8731.23,1516.43,3255.81,944.41,15954.62,15217.51,16433.43,660.62,689.64,14820.10,2022.76,11915.54,25334.55,15086.33,9242.26,492.44,401.42,503.30,17559.42,342.27,542.79,461.95,391.36,13630.67,745.90,166.15,1982.60,559.96,1607.36,287.32,462.20,13556.06,480.44,89.43
2013-10-30,RMA,cache,3,5823.02,3704.03,2341.11,6271.02,0.00,1.00,223.00,5.79,3.44,6181.15,1366.26,597.82,768.44,5335.36,5335.36,521.02,12367.81,253.91,1046.97,8578.86,8578.86,1535.20,3193.74,942.12,16150.61,15428.07,16618.57,694.25,723.90,14987.25,1972.82,12085.92,25824.37,15287.86,8575.93,513.70,411.86,371.73,17952.57,348.27,434.90,455.25,396.67,13763.84,770.54,164.99,1902.87,528.90,1549.61,252.94,468.66,13687.87,424.41,89.08
2013-10-31,RMA,cache,3,8396.54,3798.53,1895.43,9119.71,0.00,1.00,242.00,5.65,3.33,8565.53,1461.34,667.67,793.67,5348.75,5348.75,540.83,12604.97,233.85,1060.23,8524.53,8524.53,1544.06,3277.90,941.15,16563.72,15640.60,16850.38,719.54,749.20,15157.34,1965.63,12312.66,26419.54,15794.83,8721.93,532.90,422.81,343.00,18412.47,355.96,369.26,456.04,405.54,13902.63,832.91,160.44,1895.29,450.07,1511.55,236.44,461.54,13917.47,375.16,88.76
2013-11-01,RMA,cache,3,8545.84,3766.68,2969.71,8241.61,1.00,1.00,283.00,5.19,3.26,8708.90,1264.22,603.98,660.24,5088.58,5088.58,563.00,12518.76,247.89,1055.11,8316.58,8316.58,1523.25,3084.85,924.90,16762.08,15895.72,17030.91,734.35,762.21,15330.89,1861.10,12087.71,26291.55,15840.70,8702.85,554.96,433.99,330.67,18281.71,362.32,329.85,460.85,389.55,14051.50,774.36,165.86,1804.80,412.09,1443.93,256.42,446.09,14079.15,361.61,89.23
2013-11-02,RMA,cache,3,9129.99,3557.35,4953.25,5115.52,1.00,1.00,347.00,4.32,3.25,9236.59,2850.31,2252.17,598.14,4696.65,4696.65,597.93,11840.92,286.50,1035.00,7752.14,7752.14,1496.67,2627.30,900.84,16608.59,16030.14,16914.20,751.18,775.85,15471.44,1717.07,11607.01,25717.38,15481.39,7971.29,589.26,450.48,318.79,17865.34,365.34,304.72,468.76,367.20,14126.96,636.08,174.16,1575.88,381.79,1306.42,301.41,423.34,14022.44,356.26,87.82
2013-11-03,RMA,cache,3,9968.51,3318.20,3505.00,7221.53,1.00,1.00,423.00,3.44,3.19,10074.11,2786.32,2191.26,595.06,4273.58,4273.58,635.05,11136.93,343.69,1006.88,7083.38,7083.38,1461.28,2218.33,853.62,16306.19,15961.74,16600.11,769.87,791.76,15530.82,1577.17,11045.15,25118.88,15099.64,7341.35,626.92,469.12,322.31,17349.35,367.79,297.40,480.89,355.15,14075.44,538.82,176.30,1359.97,376.92,1175.21,363.43,410.35,13838.18,376.60,87.01
2013-11-04,RMA,cache,3,9876.00,3093.53,3946.39,6790.28,1.00,1.00,486.00,2.67,3.22,10002.71,2440.94,1894.55,546.39,3905.69,3905.69,673.82,11066.05,409.93,972.89,6520.12,6520.12,1420.98,1950.99,776.93,16100.97,15783.35,16280.54,781.20,797.70,15519.94,1444.68,10585.21,24840.52,15074.97,7134.00,666.50,494.17,340.08,17013.41,368.27,304.95,493.16,349.16,13984.41,481.76,173.99,1200.04,393.44,1073.17,431.27,406.10,13736.68,402.36,85.91
2013-11-05,RMA,cache,3,10374.23,2973.28,4026.33,6910.65,1.00,1.00,554.00,2.13,3.35,10497.79,2651.79,2063.54,588.25,3677.86,3677.86,702.79,11460.99,473.16,931.39,6182.99,6182.99,1378.04,1809.81,732.88,16021.52,15653.81,16043.91,766.60,776.89,15489.96,1360.92,10267.93,24793.53,15180.48,7202.23,697.04,529.93,381.59,16832.81,366.72,324.02,505.50,341.47,13988.10,451.69,169.48,1102.97,425.88,1005.16,495.91,410.54,13814.18,445.36,85.30
