datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2006-11-17,RMA,cache,4,13122.00,2491.00,9919.89,340.50,5919.08,1.00,0.00,611.69,2.07,3.33,13688.46,4213.55,4213.55,441.71,12184.84,637.74,648.20,6168.56,6168.56,1009.24,1283.05,572.02,13802.57,13549.26,13935.37,473.58,484.56,14047.59,1384.53,9507.61,13449.44,9614.62,442.86,418.18,686.02,14665.09,294.93,658.60,517.99,311.91,12836.09,353.02,173.87,782.04,514.83,840.44,635.84,12776.42,85.49
2006-11-18,RMA,cache,4,13384.00,2450.00,9866.86,420.68,6115.78,1.00,0.00,607.01,2.53,3.16,13953.32,4071.15,4071.15,457.63,12274.50,622.74,691.56,5906.12,5906.12,1038.38,1219.60,609.98,13988.84,13587.37,13963.67,501.60,514.58,13928.85,1426.74,9363.32,13609.00,9380.64,457.99,430.58,662.06,14805.88,298.32,659.38,510.49,321.01,12932.79,332.47,175.10,795.70,515.40,864.27,621.77,12900.71,85.62
2006-11-19,RMA,cache,4,13135.00,2438.00,9684.66,1455.94,5139.27,1.00,0.00,610.79,3.13,3.21,13841.87,4014.29,4014.29,478.11,12399.22,612.72,734.15,5734.18,5734.18,1070.06,1240.81,645.70,14176.06,13716.47,13996.11,530.19,545.11,13892.50,1484.50,9432.76,13769.08,9169.84,478.05,439.65,644.03,15186.91,301.83,643.49,500.23,343.53,13043.62,326.08,175.47,801.83,504.53,869.29,613.90,13021.99,85.04
2006-11-20,RMA,cache,4,12694.00,2393.00,9789.70,2021.70,4189.83,1.00,0.00,621.90,3.72,3.20,13608.23,4082.21,4082.21,499.81,12536.74,609.84,783.33,5840.80,5840.80,1106.67,1395.48,692.10,14412.60,13865.56,14154.74,559.20,576.05,13907.47,1579.59,9751.83,13966.54,9030.35,499.76,452.99,627.16,15792.79,309.34,610.74,490.02,379.37,13149.27,339.10,174.92,861.86,493.43,906.58,613.26,13146.07,85.35
2006-11-21,RMA,cache,4,12536.00,2374.00,10017.77,2171.77,3703.64,1.00,0.00,632.13,4.16,3.28,13519.19,4206.84,4206.84,521.64,12678.79,613.65,840.78,6069.16,6069.16,1148.37,1581.44,751.45,14722.81,14040.28,14461.02,589.04,607.86,13968.88,1674.90,10180.18,14230.10,8932.99,521.57,467.13,620.43,16490.83,323.18,572.29,483.60,418.56,13255.87,363.07,174.16,942.54,494.93,959.11,622.78,13282.50,85.58
2006-11-22,RMA,cache,4,12143.00,2345.00,9272.36,2316.89,3845.26,1.00,0.00,640.20,4.37,3.24,13089.51,4277.27,4277.27,546.78,12802.42,621.33,893.53,6224.21,6224.21,1184.44,1716.40,800.48,15046.58,14253.67,14822.29,625.71,646.61,14074.06,1734.30,10457.95,14505.05,8843.02,546.60,482.87,630.08,16942.11,340.28,539.83,479.42,452.85,13369.66,383.56,173.43,1025.92,496.62,1016.34,632.89,13423.38,86.03
2006-11-23,RMA,cache,4,12311.00,2332.00,10254.70,2208.19,3128.45,1.00,0.00,650.74,4.34,3.11,13259.35,4202.31,4202.31,580.67,12895.95,630.07,931.55,6159.21,6159.21,1211.59,1693.52,815.48,15283.38,14480.13,15079.46,666.61,688.46,14209.03,1730.51,10452.12,14719.12,8760.30,580.15,502.63,642.84,16991.69,354.88,519.92,479.18,477.24,13486.51,377.69,174.04,1049.91,497.45,1050.33,640.90,13551.51,85.97
2006-11-24,RMA,cache,4,12627.00,2304.00,9097.05,2267.53,4355.74,1.00,0.00,668.76,4.35,2.99,13416.33,4007.93,4007.93,615.81,12974.42,639.36,951.30,5884.70,5884.70,1222.02,1609.19,813.24,15377.86,14669.96,15100.30,693.91,714.95,14349.24,1682.73,10231.84,14806.23,8592.93,615.36,524.99,647.87,16856.23,364.22,517.34,484.53,488.12,13598.97,362.90,175.23,1013.40,505.44,1028.50,651.22,13660.43,85.45
2006-11-25,RMA,cache,4,12700.00,2275.00,9203.48,2300.41,4161.09,1.00,0.00,682.24,3.95,3.06,13389.99,4032.30,4032.30,636.75,13085.68,650.67,979.64,5949.49,5949.49,1238.89,1674.21,851.44,15502.38,14806.78,15202.97,711.55,733.37,14481.87,1707.18,10444.29,14934.87,8494.91,637.29,551.96,652.52,17243.74,377.99,519.76,493.74,513.28,13717.49,373.17,174.58,1012.92,510.91,1017.30,668.55,13779.60,85.19
2006-11-26,RMA,cache,4,12963.00,2260.00,9490.31,2331.46,3959.23,1.00,0.00,693.33,3.46,3.13,13521.00,4040.80,4040.80,650.39,13178.20,665.76,1012.80,5938.51,5938.51,1255.57,1641.75,899.84,15626.10,14928.82,15318.95,726.29,750.15,14599.21,1716.56,10539.90,15068.39,8438.06,651.48,571.02,662.20,17460.67,394.58,526.55,505.55,513.07,13835.14,361.67,175.24,994.63,523.61,1018.15,682.52,13890.63,85.19
