datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vol,wci,x2
2006-11-17,RMA,cache,5,12081.36,3420.59,-9095.80,-93.22,6241.75,1.00,0.00,608.80,3.23,7310.84,7310.84,502.61,12453.04,627.34,1160.50,9894.76,9894.76,1632.10,4283.53,1085.04,15832.17,14537.25,16235.46,640.63,667.53,14456.44,3128.45,13267.69,15029.86,10434.18,498.64,416.30,663.37,18726.62,378.80,648.10,487.04,622.33,13144.94,1033.59,172.12,2679.78,513.98,2253.81,623.97,381.84,13179.00,412.14,92.57
2006-11-18,RMA,cache,5,13249.17,3507.06,-9919.90,-31.72,7490.41,1.00,0.00,605.80,3.22,6985.52,6985.52,592.02,12758.27,613.02,1292.25,9608.74,9608.74,1761.84,3791.55,1196.68,16329.64,15099.39,16612.96,758.60,788.96,14704.32,3030.68,13164.47,15532.18,10343.25,586.02,447.06,634.80,18838.76,401.38,647.80,474.70,616.30,13436.60,859.24,173.96,2394.56,500.82,2150.59,610.87,379.92,13630.77,426.53,92.03
2006-11-19,RMA,cache,5,14080.61,3531.57,-9866.90,907.16,7727.22,1.00,0.00,608.30,3.56,6529.82,6529.82,691.50,13010.43,607.13,1387.38,9119.60,9119.60,1842.69,3186.49,1264.01,16581.46,15588.93,16831.90,862.16,894.09,15018.42,2867.43,12819.63,15808.63,10198.41,684.75,497.77,619.17,18654.41,413.72,629.79,465.74,584.08,13758.85,668.78,174.81,2087.77,501.55,2016.10,607.14,370.74,13955.62,449.61,91.56
2006-11-20,RMA,cache,5,14977.28,3518.79,-9684.70,1441.39,8179.21,1.00,0.00,622.90,3.71,6071.45,6071.45,785.55,13238.10,610.04,1449.35,8535.72,8535.72,1892.88,2589.67,1297.23,16698.01,15916.58,16903.55,946.56,979.33,15303.62,2714.63,12402.84,15979.37,10009.51,779.18,560.78,613.40,18437.37,419.13,599.90,462.25,550.99,14057.24,518.54,174.43,1764.70,509.30,1842.26,612.17,361.84,14207.74,486.88,90.78
2006-11-21,RMA,cache,5,15369.93,3513.92,-9789.70,1509.55,8339.72,1.00,0.00,632.50,3.52,5752.70,5752.70,860.09,13473.93,620.26,1501.96,8157.33,8157.33,1935.59,2209.80,1334.57,16817.10,16150.50,16980.97,1007.23,1040.04,15548.33,2628.85,12153.03,16147.89,9804.16,854.62,625.43,617.23,18443.36,424.52,573.05,467.09,534.70,14341.23,438.00,173.64,1538.19,529.98,1712.82,623.79,364.85,14450.50,533.57,90.24
2006-11-22,RMA,cache,5,15532.66,3457.61,-10017.80,1534.35,9130.07,1.00,0.00,640.40,3.29,5416.52,5416.52,916.89,13644.78,629.98,1531.87,7712.62,7712.62,1955.59,1896.21,1340.50,16904.95,16331.07,17042.45,1060.05,1093.56,15743.46,2516.80,11742.47,16248.75,9628.15,912.31,687.43,630.25,18217.11,427.28,555.42,483.95,522.96,14588.22,378.44,172.96,1383.98,554.46,1629.59,633.75,377.17,14632.64,579.46,89.62
2006-11-23,RMA,cache,5,15947.32,3407.41,-9272.40,1330.23,8718.15,1.00,0.00,647.10,2.94,5076.80,5076.80,963.77,13767.25,638.40,1539.75,7115.54,7115.54,1957.33,1637.04,1298.13,16947.61,16460.31,17020.32,1107.23,1140.84,15899.35,2384.73,11222.72,16294.60,9478.48,960.12,739.70,639.17,17774.01,422.55,552.11,514.23,521.09,14783.72,335.09,173.76,1257.27,589.56,1530.97,641.61,395.08,14771.84,623.76,88.44
2006-11-24,RMA,cache,5,16061.93,3333.82,-10254.70,1264.19,9823.85,1.00,0.00,671.70,2.63,4887.56,4887.56,1004.68,13923.91,647.85,1540.71,6724.55,6724.55,1962.74,1536.30,1254.59,17021.50,16552.27,16946.09,1128.43,1161.46,16035.50,2312.63,11020.22,16378.59,9364.29,1002.86,796.90,643.53,17660.67,418.11,560.12,552.62,549.37,14945.67,320.12,174.80,1189.37,620.78,1430.68,653.38,414.64,14928.47,666.72,87.49
2006-11-25,RMA,cache,5,16655.74,3264.53,-9097.00,1174.51,10232.27,1.00,0.00,681.70,2.23,4729.66,4729.66,1013.37,14066.84,663.85,1530.14,6420.51,6420.51,1963.08,1479.65,1245.47,17090.24,16614.75,16852.48,1121.52,1155.32,16149.53,2262.91,10898.44,16446.26,9229.93,1014.09,835.57,649.86,17649.48,423.27,570.77,590.69,570.59,15079.65,312.34,174.09,1150.88,642.75,1342.73,671.22,428.84,15063.40,700.92,87.05
2006-11-26,RMA,cache,5,17299.92,3169.80,-9203.50,1073.18,10464.24,1.00,0.00,694.60,1.96,4490.57,4490.57,999.21,14169.62,678.53,1502.36,6077.73,6077.73,1943.03,1428.31,1244.53,17054.10,16636.46,16698.20,1105.17,1139.84,16239.75,2190.79,10670.56,16421.21,8939.25,1001.68,850.86,662.33,17572.90,433.32,582.60,628.07,569.78,15184.44,305.40,175.24,1105.06,653.50,1262.28,683.74,440.86,15166.87,720.19,86.32
2006-11-27,RMA,cache,5,17582.26,3070.32,-9490.30,607.06,10495.47,1.00,0.00,701.30,1.75,4220.30,4220.30,973.06,14218.62,689.43,1464.61,5595.15,5595.15,1908.89,1265.48,1241.54,16910.03,16599.30,16488.74,1086.31,1122.74,16289.75,2087.35,10265.89,16301.24,8511.48,976.19,845.67,675.66,17295.28,440.96,592.54,671.02,536.10,15269.41,289.28,178.35,1035.34,655.99,1212.85,694.42,447.24,15223.78,722.05,85.30
