datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2011-10-21,RMA,cache,6,18058.72,4188.23,9141.49,-134.78,14066.60,0.00,0.00,256.54,1.88,3.45,3993.32,3993.32,440.92,12106.97,252.13,636.97,5257.94,5257.94,1103.57,865.15,536.77,14271.94,14114.84,14297.04,471.29,482.53,14541.14,1236.86,8947.88,13664.47,9355.70,441.32,410.02,414.93,14061.02,293.23,584.72,448.50,247.76,12929.41,264.30,122.30,699.17,425.17,767.35,257.58,12549.40,85.49
2011-10-22,RMA,cache,6,17149.60,4049.07,9160.49,-141.11,13001.08,0.00,0.00,261.04,2.04,3.40,3209.92,3209.92,450.52,12182.34,262.50,628.53,4179.48,4179.48,1065.87,603.63,523.80,14008.51,13984.71,13794.48,480.77,491.89,14364.78,1087.80,7894.66,13541.51,8684.36,450.81,426.44,373.16,13410.67,290.48,445.15,440.05,223.21,12993.38,232.08,122.57,541.49,396.79,647.33,266.41,12751.82,82.99
2011-10-23,RMA,cache,6,17020.01,4136.59,8646.49,-46.09,13314.09,0.00,0.00,256.54,2.36,3.60,2881.10,2881.10,459.35,12310.52,266.17,622.36,3897.92,3897.92,1037.48,563.29,516.92,13813.05,13856.10,13477.74,487.18,497.87,14199.09,1066.97,7603.69,13451.27,8074.87,459.79,435.90,353.24,13557.60,280.84,375.47,441.93,223.85,13069.28,219.18,122.58,475.16,398.11,595.99,268.28,12902.44,81.44
2011-10-24,RMA,cache,6,17635.29,4161.37,10398.49,25.10,12776.91,0.00,0.00,261.46,3.00,3.80,2853.15,2853.15,465.71,12447.65,265.51,627.98,4122.42,4122.42,1019.81,640.79,524.63,13780.24,13728.33,13448.91,492.64,503.52,14035.07,1116.85,7920.46,13475.06,7688.12,466.49,443.66,335.51,14217.70,267.64,348.44,447.73,237.73,13147.55,213.93,122.63,478.12,387.20,603.59,267.51,13009.30,81.22
2011-10-25,RMA,cache,6,19185.94,4452.12,10948.49,-110.04,14203.70,0.00,0.00,251.13,3.79,3.76,2789.55,2789.55,471.27,12529.98,264.24,640.86,4291.75,4291.75,1008.63,691.52,529.81,13868.80,13674.42,13549.55,500.05,510.60,13914.35,1117.07,8031.24,13556.56,7346.83,471.77,451.79,315.91,14512.16,260.27,333.11,455.96,246.65,13212.74,207.71,125.42,514.09,389.07,636.91,265.28,13084.72,81.82
2011-10-26,RMA,cache,6,21167.36,4578.12,9749.49,-186.75,17299.90,0.00,0.00,249.96,4.61,3.66,2494.08,2494.08,477.47,12547.69,258.06,640.21,3844.62,3844.62,984.98,612.10,510.76,13837.27,13679.76,13425.71,504.11,513.35,13851.44,1016.13,7451.91,13507.98,6772.31,477.73,457.82,305.18,14000.73,259.39,319.43,464.50,237.38,13236.34,196.10,127.14,509.55,386.35,620.41,259.00,13125.96,81.30
2011-10-27,RMA,cache,6,22490.56,4849.08,9482.49,-223.56,18938.11,0.00,0.00,239.17,5.27,3.68,2180.51,2180.51,479.93,12532.39,252.55,622.50,3290.32,3290.32,945.42,548.49,496.26,13592.43,13608.93,13047.35,495.20,502.82,13778.65,909.89,6839.76,13280.47,6037.43,480.50,462.04,299.96,13445.01,256.97,307.68,472.08,226.15,13229.18,187.81,126.38,476.28,385.30,567.46,253.60,13114.17,79.80
2011-10-28,RMA,cache,6,23845.11,4879.58,9452.49,-216.58,20370.23,0.00,0.00,250.58,5.58,3.71,1934.15,1934.15,472.60,12462.12,249.80,598.29,2888.36,2888.36,901.77,504.44,484.75,13242.05,13396.99,12583.74,482.47,489.71,13640.69,829.45,6356.37,12966.72,5296.39,473.92,463.12,294.15,13004.13,251.67,297.93,479.01,218.84,13183.10,181.08,127.08,443.43,382.08,519.62,252.66,13031.84,78.71
2011-10-29,RMA,cache,6,24019.21,5160.86,9397.49,-327.84,21070.56,0.00,0.00,264.00,5.39,3.62,1645.00,1645.00,462.21,12310.86,258.49,570.10,2383.18,2383.18,856.72,432.21,462.33,12789.43,13094.01,11990.60,469.39,476.01,13443.25,738.37,5608.00,12561.74,4604.73,463.86,461.39,288.97,12140.73,247.41,288.62,485.34,206.97,13086.22,172.87,128.71,406.85,376.41,470.39,262.86,12890.09,77.38
2011-10-30,RMA,cache,6,23127.55,5139.09,9586.49,-384.82,20339.66,0.00,0.00,255.29,4.83,3.71,1376.58,1376.58,450.58,12106.74,265.54,536.92,1931.83,1931.83,811.86,364.92,434.73,12222.48,12705.99,11253.03,453.66,459.61,13184.43,656.08,4904.60,12048.72,4000.37,452.57,455.39,295.84,11341.17,242.00,283.40,489.88,196.95,12934.24,167.03,128.55,365.56,376.72,421.41,267.76,12688.20,75.54
