datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_filter,sf_tidal_energy,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2009-11-01,RMA,cache,7,9504.00,1959.00,-6810.00,958.31,4059.38,1.00,0.00,409.33,1.10,0.28,5176.44,5176.44,442.39,12307.23,468.54,722.48,7468.23,7468.23,1103.17,2106.26,659.66,14110.93,13611.55,14269.95,495.23,507.99,13981.03,1751.98,10653.60,13737.65,9950.94,441.04,395.02,827.51,15464.62,299.75,622.63,518.14,376.19,13067.11,477.68,157.04,1185.40,462.45,1108.13,401.66,12896.33,87.72
2009-11-02,RMA,cache,7,9533.70,1745.00,-7283.00,2526.63,1883.40,1.00,0.00,458.04,1.11,0.35,5347.92,5347.92,470.99,12500.18,410.24,806.55,7714.47,7714.47,1183.72,2418.32,746.27,14485.92,13815.98,14526.64,544.24,559.94,13952.17,1951.77,11107.39,14071.39,9927.02,468.76,415.57,814.28,16305.90,314.05,622.26,510.01,423.86,13168.42,540.50,154.54,1334.24,409.80,1226.77,408.11,13120.57,88.44
2009-11-03,RMA,cache,7,9507.30,1616.00,-4421.00,2512.28,4523.04,1.00,0.00,504.54,1.14,0.40,5519.90,5519.90,501.38,12714.51,410.02,896.53,8012.33,8012.33,1268.86,2756.51,832.65,14957.73,14125.28,14946.96,594.51,613.10,14046.41,2102.14,11598.36,14472.83,9908.14,498.26,428.83,797.82,17191.75,333.24,618.74,501.76,473.46,13309.40,629.53,155.08,1536.20,407.56,1365.61,439.72,13354.83,89.13
2009-11-04,RMA,cache,7,9585.40,1578.00,-4371.00,2478.63,4626.87,1.00,0.00,528.08,1.22,0.45,5865.39,5865.39,542.12,12977.68,426.57,994.86,8546.89,8546.89,1372.79,3261.48,932.43,15617.59,14538.29,15597.79,656.89,678.17,14247.49,2298.20,12359.67,15032.61,9887.57,537.98,444.06,749.81,18372.95,357.92,611.84,494.99,544.94,13500.56,789.68,156.45,1808.39,419.31,1534.49,481.46,13653.95,89.67
2009-11-05,RMA,cache,7,9373.10,1523.00,-4420.00,2332.43,4461.75,1.00,0.00,547.13,1.21,0.46,6013.49,6013.49,587.64,13207.45,452.65,1091.45,8953.47,8953.47,1459.55,3584.23,1022.06,16296.48,15049.55,16323.27,720.18,743.63,14538.80,2405.92,12835.50,15597.59,9918.23,582.51,461.85,620.17,19056.70,384.55,603.57,490.88,593.53,13734.12,892.19,159.92,2049.47,432.38,1700.02,514.11,13955.56,90.77
2009-11-06,RMA,cache,7,8794.50,1459.00,-4392.00,2236.96,3982.77,1.00,0.00,581.25,1.17,0.44,5709.03,5709.03,622.84,13358.44,483.77,1142.48,8528.45,8528.45,1497.59,3282.12,1052.68,16657.67,15518.67,16715.67,767.29,792.51,14856.49,2287.79,12535.70,15920.33,9902.35,616.67,479.23,527.02,18805.84,399.53,597.89,490.24,572.25,13959.21,776.71,167.06,1952.83,448.33,1669.08,536.83,14182.87,90.06
2009-11-07,RMA,cache,7,9809.80,1427.00,-3590.00,2079.23,5929.17,0.00,0.00,611.92,1.13,0.39,5436.79,5436.79,662.41,13506.33,512.94,1169.22,8082.24,8082.24,1524.66,2942.52,1071.56,16831.42,15860.97,16822.77,814.02,840.22,15150.20,2207.16,12223.72,16101.19,9856.86,655.51,498.64,513.99,18557.70,408.60,590.59,492.81,577.23,14175.35,666.98,162.94,1779.22,462.17,1574.80,561.19,14368.80,89.32
2009-11-08,RMA,cache,7,9183.90,1392.00,-4473.00,1892.84,4612.46,0.00,0.00,608.75,1.08,0.33,5014.99,5014.99,704.99,13599.46,541.06,1184.13,7338.95,7338.95,1527.39,2391.91,1077.22,16757.43,16059.86,16636.60,849.68,875.24,15373.82,2081.17,11596.23,16073.49,9732.90,697.75,522.81,527.56,17974.61,413.96,582.54,499.62,567.83,14363.03,506.08,159.30,1521.16,478.31,1445.47,591.12,14480.36,88.38
2009-11-09,RMA,cache,7,9721.80,1340.00,-4447.00,1746.73,5460.86,0.00,0.00,647.67,1.09,0.27,4684.24,4684.24,743.48,13712.88,568.40,1189.89,6721.28,6721.28,1522.76,1937.30,1078.52,16593.58,16130.61,16364.36,875.07,899.78,15534.41,1980.74,11094.30,15984.55,9603.78,736.25,550.12,546.90,17616.19,420.25,573.45,510.85,560.09,14528.12,408.39,162.33,1276.28,493.31,1323.50,611.38,14579.01,87.05
2009-11-10,RMA,cache,7,9561.20,1320.00,-4451.00,1589.70,5429.61,0.00,0.00,675.33,1.07,0.23,4384.21,4384.21,776.20,13822.02,590.93,1191.89,6273.45,6273.45,1515.72,1590.68,1082.04,16434.86,16131.28,16169.42,895.47,919.24,15634.66,1895.12,10614.79,15888.17,9504.33,769.12,579.09,569.00,17278.59,426.52,564.97,526.09,553.98,14681.67,349.09,162.27,1094.67,510.44,1239.17,626.87,14661.97,86.21
2009-11-11,RMA,cache,7,9870.30,1296.00,-4455.00,1422.68,5695.18,0.00,0.00,680.75,1.09,0.22,4198.82,4198.82,805.16,13952.59,609.35,1198.74,6085.78,6085.78,1514.41,1427.15,1092.29,16358.37,16099.70,16118.84,916.84,939.27,15705.87,1859.39,10430.24,15873.88,9435.37,798.37,608.97,590.32,17308.79,434.05,557.50,544.74,566.86,14817.11,323.37,163.90,989.08,528.37,1180.39,656.07,14761.86,85.34
2009-11-12,RMA,cache,7,9853.80,1278.00,-4451.00,1313.44,5891.59,0.00,0.00,692.38,1.12,0.23,4262.66,4262.66,838.10,14115.67,627.10,1217.69,6320.94,6320.94,1528.30,1475.26,1113.13,16455.55,16094.78,16311.08,945.22,966.61,15771.59,1896.33,10751.15,16008.99,9441.92,831.67,642.92,608.02,17848.87,446.19,551.06,566.38,612.14,14951.03,323.88,170.68,982.41,547.11,1181.13,676.99,14898.06,85.41
2009-11-13,RMA,cache,7,9563.40,1279.00,-4455.00,1148.97,5885.79,0.00,0.00,699.46,1.10,0.27,4284.63,4284.63,865.69,14237.79,645.16,1240.10,6474.66,6474.66,1543.89,1503.10,1136.41,16644.18,16165.67,16549.83,972.32,992.46,15849.28,1901.83,10898.37,16180.63,9456.71,859.26,675.86,628.64,18088.11,461.74,546.55,590.57,641.33,15073.42,322.97,175.74,1018.12,571.18,1210.79,687.47,15028.22,85.75
2009-11-14,RMA,cache,7,9496.30,1310.00,-4656.00,1140.08,5360.06,0.00,0.00,703.00,1.07,0.34,4230.57,4230.57,887.83,14351.00,662.12,1256.34,6403.35,6403.35,1553.83,1489.51,1149.41,16812.90,16294.60,16676.47,994.23,1013.43,15954.85,1875.85,10856.42,16309.69,9459.69,881.38,701.95,651.29,18052.22,478.24,543.86,616.43,653.31,15186.14,322.55,176.17,1027.94,593.84,1209.51,696.86,15158.64,85.77
2009-11-15,RMA,cache,7,9554.60,1297.00,-4648.00,1139.48,5341.31,0.00,0.00,710.83,1.02,0.40,4135.57,4135.57,906.86,14463.07,676.75,1263.39,6199.52,6199.52,1553.83,1456.73,1154.49,16897.66,16419.48,16661.31,1011.02,1029.25,16070.11,1835.48,10724.23,16366.25,9464.00,900.65,722.55,669.24,17886.86,492.65,543.27,643.39,658.61,15293.23,322.84,174.74,1024.48,612.10,1187.96,703.69,15275.93,85.58
2009-11-16,RMA,cache,7,9669.00,1299.00,-4569.00,1177.05,5460.09,0.00,0.00,728.38,1.01,0.42,4112.32,4112.32,923.47,14594.65,687.52,1265.09,6105.14,6105.14,1549.43,1475.25,1158.21,16937.15,16496.17,16582.33,1022.29,1039.87,16174.59,1816.80,10785.37,16400.20,9480.36,917.70,738.74,682.28,17985.64,507.46,543.97,671.07,671.53,15396.67,331.48,175.28,1018.24,627.83,1158.64,709.57,15386.27,85.27
2009-11-17,RMA,cache,7,9373.10,1310.00,-4390.00,1226.82,5334.61,0.00,0.00,747.38,1.07,0.44,4303.90,4303.90,938.81,14761.77,694.96,1270.18,6432.16,6432.16,1550.16,1667.73,1168.69,17088.16,16553.17,16686.29,1034.30,1051.83,16268.04,1861.89,11330.85,16539.08,9540.52,933.78,755.01,691.63,18649.66,527.94,544.71,710.08,714.70,15508.26,367.58,181.50,1063.97,641.98,1155.83,720.26,15516.67,85.49
2009-11-18,RMA,cache,7,8963.90,1304.00,-4098.00,1209.02,5232.12,0.00,0.00,742.96,1.06,0.42,4435.47,4435.47,952.09,14881.76,702.43,1279.62,6771.05,6771.05,1555.32,1817.28,1177.53,17317.74,16655.00,16963.99,1047.35,1064.68,16363.63,1890.35,11711.08,16743.53,9620.46,947.49,772.17,699.19,19051.53,551.17,546.00,764.00,749.12,15620.90,392.09,186.64,1141.61,655.89,1200.94,735.81,15634.73,86.31
2009-11-19,RMA,cache,7,8921.00,1306.00,-4094.00,1150.13,5272.40,0.00,0.00,729.83,1.00,0.40,4190.18,4190.18,957.99,14927.88,716.35,1276.50,6344.70,6344.70,1543.75,1653.39,1166.71,17350.78,16773.19,16963.77,1052.55,1069.52,16463.60,1814.01,11253.69,16775.74,9536.86,952.84,786.47,707.83,18578.79,559.70,549.91,792.30,720.78,15707.16,363.67,188.43,1098.70,666.95,1178.79,745.80,15707.92,85.85
