datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2013-10-27,RMA,ft,1,6845.00,2511.00,-2393.00,1022.98,6013.77,0.00,1.00,294.00,3.84,3.69,5737.82,5737.82,415.63,11547.28,409.81,631.95,8599.10,8599.10,1213.33,2872.95,502.84,15579.26,14435.10,16133.39,469.79,483.34,14605.60,1854.43,12449.75,14480.69,8030.90,413.31,393.84,781.25,18921.54,324.46,654.34,490.86,395.41,12850.82,571.79,155.82,1667.44,619.00,1300.64,388.68,12755.86,88.28
2013-10-28,RMA,ft,1,5231.00,2642.00,-2668.00,1093.11,4157.38,0.00,1.00,295.00,4.87,3.76,6045.69,6045.69,434.33,11275.09,309.85,683.89,9179.87,9179.87,1285.23,3394.69,518.88,16492.22,14897.93,16997.74,491.85,506.67,14681.49,2052.77,13337.64,15154.14,7954.19,432.17,392.79,708.20,20064.71,343.63,653.03,477.68,456.56,13086.92,703.98,161.26,1963.41,579.69,1497.36,306.17,13134.10,89.12
2013-10-29,RMA,ft,1,7697.00,2671.00,-2192.00,1042.06,7168.77,0.00,1.00,248.00,5.45,3.86,5917.52,5917.52,443.85,10858.39,291.27,712.98,9201.67,9201.67,1321.85,3435.49,556.02,16983.04,15471.59,17565.63,512.12,529.25,14963.19,2024.70,13590.52,15457.57,8236.54,441.27,405.40,539.57,20416.91,362.62,606.00,465.50,464.92,13232.99,720.27,165.62,2055.53,590.39,1569.87,291.03,13349.94,89.27
2013-10-30,RMA,ft,1,7672.00,2575.00,-1755.00,1153.41,7696.72,0.00,1.00,223.00,5.79,3.90,5804.95,5804.95,454.27,10559.23,264.37,754.40,9182.53,9182.53,1353.88,3340.51,593.31,17290.12,15906.81,17910.53,537.12,556.85,15271.30,1993.49,13757.14,15609.19,8130.17,450.99,415.27,404.37,20680.89,379.97,535.08,455.16,471.32,13340.25,704.10,163.93,2027.38,547.29,1573.48,262.00,13469.02,89.11
2013-10-31,RMA,ft,1,8032.00,2306.00,-2843.00,1309.42,6354.58,0.00,1.00,242.00,5.65,3.79,5531.01,5531.01,472.14,10283.12,237.62,784.07,8916.16,8916.16,1368.28,3079.04,623.31,17342.31,16140.78,18049.12,562.58,583.61,15511.42,1910.37,13603.34,15544.88,7989.39,468.11,419.60,371.19,20547.70,394.54,479.49,449.59,465.16,13383.97,636.75,160.11,1904.71,486.90,1522.12,236.81,13441.59,88.84
2013-11-01,RMA,ft,1,8613.00,2012.00,-4843.00,1300.42,4644.63,1.00,1.00,283.00,5.19,3.72,5234.41,5234.41,495.55,10018.87,232.50,804.99,8603.12,8603.12,1371.03,2809.69,648.48,17231.97,16183.49,18020.74,586.96,608.31,15651.12,1819.07,13369.13,15397.58,7672.29,490.91,425.33,352.92,20342.99,406.40,452.51,449.17,444.75,13351.76,586.34,165.88,1741.98,448.28,1436.82,244.26,13331.09,88.33
2013-11-02,RMA,ft,1,8900.00,1739.00,-3412.00,2971.70,4361.91,1.00,1.00,347.00,4.32,3.71,5037.44,5037.44,519.65,9761.07,245.19,824.66,8409.38,8409.38,1371.80,2634.29,672.04,17080.25,16115.04,17972.61,608.86,629.92,15706.41,1749.14,13260.46,15243.20,7420.91,514.80,434.51,337.14,20260.06,414.67,438.37,453.75,429.11,13323.75,559.08,173.84,1626.95,415.83,1373.18,276.38,13194.47,88.00
2013-11-03,RMA,ft,1,9107.00,1578.00,-3870.00,2910.79,4009.80,1.00,1.00,423.00,3.44,3.65,4832.91,4832.91,549.54,9473.68,269.20,850.80,8275.96,8275.96,1374.67,2476.91,690.10,16912.39,16013.61,17958.63,630.67,650.18,15712.43,1690.72,13121.17,15051.15,7336.96,544.86,449.39,327.33,20150.24,418.99,428.65,461.85,420.27,13290.26,526.74,176.24,1549.97,404.00,1333.74,324.78,13045.15,87.74
2013-11-04,RMA,ft,1,10017.00,1430.00,-3965.00,2599.90,5008.81,1.00,1.00,486.00,2.67,3.68,4569.02,4569.02,578.96,9199.87,304.69,861.93,8088.05,8088.05,1374.69,2335.00,693.99,16736.04,15899.43,17979.01,649.26,666.92,15686.41,1618.37,12881.52,14852.19,7356.15,574.75,470.78,322.46,19989.55,417.10,420.56,470.49,410.58,13221.10,491.37,174.07,1473.90,398.52,1284.13,386.23,12890.98,87.23
2013-11-05,RMA,ft,1,9947.00,1343.00,-4954.00,2751.92,3707.64,1.00,1.00,554.00,2.13,3.81,4546.29,4546.29,607.72,9028.88,345.23,852.31,8149.35,8149.35,1376.93,2329.80,700.30,16672.74,15814.20,18088.17,662.56,679.39,15655.09,1614.33,12949.69,14753.42,7368.18,604.51,500.56,329.58,20145.92,410.99,416.17,479.26,412.31,13152.91,475.72,169.58,1457.37,412.80,1272.03,450.27,12794.52,86.99
2013-11-06,RMA,ft,1,9531.00,1277.00,-5040.00,2859.75,3275.46,1.00,1.00,604.00,1.87,3.92,4745.61,4745.61,624.32,8899.69,379.11,846.31,8320.80,8320.80,1378.45,2372.31,715.51,16703.69,15795.75,18285.83,666.94,683.26,15639.94,1660.14,13178.94,14675.06,7522.67,622.12,525.31,353.31,20420.11,412.23,415.20,487.67,422.28,13109.24,465.90,165.20,1481.92,436.98,1301.35,510.27,12736.60,87.08
2013-11-07,RMA,ft,1,9395.00,1221.00,-5069.00,2899.51,2855.43,1.00,1.00,622.00,1.82,3.88,4936.64,4936.64,631.97,8766.24,409.12,862.11,8446.42,8446.42,1387.38,2376.87,730.78,16773.59,15821.89,18490.43,672.57,690.09,15641.53,1713.90,13350.70,14593.52,7716.52,630.76,543.54,391.37,20576.64,417.56,415.33,498.53,440.94,13064.67,454.15,162.01,1495.81,459.62,1327.58,565.19,12664.02,87.22
2013-11-08,RMA,ft,1,9192.00,1170.00,-5663.00,2956.97,1901.21,1.00,1.00,652.00,1.94,3.81,5162.38,5162.38,636.60,8685.05,436.33,885.51,8596.36,8596.36,1408.81,2385.12,750.65,16928.01,15853.06,18658.71,680.12,699.58,15650.99,1791.93,13599.22,14666.61,7859.39,636.10,557.81,436.82,20783.89,424.67,415.99,512.80,468.43,12998.85,450.96,160.65,1499.27,482.59,1340.29,603.28,12572.47,87.28
2013-11-09,RMA,ft,1,9443.00,1131.00,-4982.00,2991.85,2701.45,1.00,1.00,689.00,2.26,3.80,5430.29,5430.29,641.69,8691.35,459.67,908.42,8837.09,8837.09,1436.11,2475.87,769.47,17142.45,15897.03,18853.55,689.88,710.43,15666.10,1890.19,13969.76,14861.25,8003.57,641.19,567.63,484.22,21138.89,434.38,417.27,529.14,498.72,12911.03,466.05,160.04,1529.60,499.21,1361.80,626.91,12519.97,87.70
2013-11-10,RMA,ft,1,9277.00,1096.00,-5170.00,3077.22,2240.23,1.00,1.00,738.00,2.66,3.70,5583.03,5583.03,649.38,8720.00,483.10,930.70,8931.00,8931.00,1461.13,2505.64,785.53,17318.94,15957.12,19001.49,701.62,723.20,15691.03,1952.30,14160.62,15008.00,8164.98,648.69,574.13,530.17,21335.00,444.55,418.14,546.52,517.77,12828.89,470.99,161.63,1542.17,509.64,1380.07,654.85,12473.97,87.94
2013-11-11,RMA,ft,1,9021.00,1080.00,-5167.00,3138.48,1925.96,1.00,1.00,735.00,2.93,3.70,5791.83,5791.83,659.12,8816.67,503.77,955.50,9205.36,9205.36,1491.88,2617.15,806.16,17542.28,16041.85,19144.27,716.06,738.74,15733.75,2040.65,14504.71,15245.72,8204.79,658.18,579.62,566.46,21656.91,456.60,419.22,563.99,545.91,12782.91,494.42,165.21,1586.62,519.68,1414.55,689.38,12482.53,88.29
2013-11-12,RMA,ft,1,9043.00,1080.00,-4485.00,3217.36,2550.00,1.00,1.00,744.00,3.10,3.69,5917.82,5917.82,670.10,8929.73,530.29,975.94,9384.18,9384.18,1520.15,2703.65,822.08,17712.70,16172.33,19293.55,732.23,755.35,15805.51,2087.38,14736.84,15412.01,8377.41,668.52,585.60,595.50,21877.88,469.71,420.02,580.49,559.31,12787.95,513.56,170.47,1642.66,530.33,1467.01,722.04,12532.98,88.61
2013-11-13,RMA,ft,1,8722.00,1069.00,-4593.00,3306.40,2004.70,1.00,1.00,744.00,3.18,3.65,5988.01,5988.01,684.23,9025.74,558.93,1002.63,9519.33,9519.33,1552.06,2758.90,842.67,17830.23,16305.60,19413.13,751.26,775.42,15895.13,2117.74,14895.81,15519.98,8469.44,682.14,592.17,624.31,22026.96,481.72,420.62,596.76,568.60,12827.90,527.23,175.31,1683.08,539.37,1509.66,734.78,12580.59,88.79
2013-11-14,RMA,ft,1,8532.00,1065.00,-4589.00,3495.27,1620.29,1.00,1.00,737.00,3.16,3.68,6204.16,6204.16,703.20,9164.69,573.40,1034.05,9879.17,9879.17,1596.98,2927.05,870.70,18026.99,16440.86,19568.36,772.82,798.08,16000.51,2200.11,15272.70,15718.93,8574.17,700.89,600.95,655.18,22384.19,495.57,421.38,614.28,594.71,12913.58,560.71,183.24,1762.00,546.28,1573.38,739.16,12666.62,89.04
2013-11-15,RMA,ft,1,8337.00,1060.00,-5207.00,3421.13,863.84,1.00,1.00,718.00,3.08,3.64,6387.65,6387.65,723.46,9264.16,576.17,1077.41,10235.83,10235.83,1650.20,3062.25,896.46,18158.69,16606.34,19735.48,796.31,821.93,16127.74,2276.89,15597.82,15820.09,8882.34,720.79,613.20,678.91,22665.97,512.29,422.21,628.14,617.10,13019.61,583.94,188.52,1857.07,562.83,1663.26,738.18,12747.48,89.66
2013-11-16,RMA,ft,1,8444.00,1040.00,-4110.00,3447.16,1981.30,1.00,1.00,718.00,2.84,3.62,6315.04,6315.04,739.46,9346.14,595.36,1101.20,10275.47,10275.47,1689.68,3046.75,917.47,18196.74,16722.79,19895.70,819.00,845.48,16244.10,2273.34,15608.43,15864.97,9234.05,735.91,624.91,698.73,22696.54,525.16,422.71,640.25,608.63,13097.63,584.90,188.66,1881.67,580.69,1701.31,732.88,12781.82,89.77
2013-11-17,RMA,ft,1,8397.00,1042.00,-3559.00,3417.75,2544.63,1.00,1.00,724.00,2.57,3.67,6369.28,6369.28,757.68,9489.90,614.74,1120.59,10384.17,10384.17,1726.34,3060.98,940.65,18282.66,16817.70,20079.68,841.07,868.48,16351.06,2303.10,15751.17,15971.15,9350.95,753.39,634.43,713.29,22855.62,536.70,423.13,652.53,610.38,13177.04,592.41,190.14,1892.48,589.81,1724.42,723.34,12841.77,89.95
2013-11-18,RMA,ft,1,8521.00,1044.00,-4057.00,3380.37,2216.01,1.00,1.00,718.00,2.27,3.65,6358.67,6358.67,778.13,9623.59,627.53,1145.27,10408.27,10408.27,1757.00,3019.29,959.85,18281.20,16899.79,20262.77,860.84,888.71,16442.89,2319.49,15769.56,15961.27,9542.71,773.67,644.72,722.13,22890.34,546.28,423.54,665.27,607.82,13259.01,582.85,194.50,1896.21,596.27,1742.27,720.06,12877.09,90.12
2013-11-19,RMA,ft,1,8283.00,1046.00,-4027.00,3285.32,2124.73,1.00,1.00,705.00,2.03,3.59,6264.58,6264.58,797.38,9736.97,638.27,1165.46,10372.01,10372.01,1781.31,2938.46,979.53,18254.14,16940.41,20392.98,878.00,906.26,16512.98,2317.83,15671.13,15908.83,9658.76,793.10,657.43,725.71,22820.76,553.91,423.83,679.26,599.12,13277.83,563.97,193.62,1884.78,601.11,1746.38,721.63,12895.14,90.12
2013-11-20,RMA,ft,1,8360.00,1048.00,-4789.00,2429.21,2338.18,1.00,1.00,716.00,1.88,3.66,6331.22,6331.22,813.58,9840.81,647.57,1177.99,10422.48,10422.48,1801.49,2934.69,998.92,18229.98,16639.45,20532.15,892.26,920.73,16560.07,2352.07,15739.37,15855.67,9702.01,809.64,670.71,729.63,22939.16,561.83,423.93,696.80,603.32,13065.41,555.34,196.29,1891.44,610.15,1762.67,718.74,12920.61,89.97
2013-11-21,RMA,ft,1,8525.00,1092.00,-2631.00,714.32,6536.72,1.00,1.00,695.00,1.86,3.69,6143.28,6143.28,826.95,9822.51,669.39,1243.06,10442.73,10442.73,1824.29,2908.59,997.29,18125.77,15685.97,20603.02,918.29,945.63,16467.83,2313.56,15578.50,15584.80,9708.39,822.56,683.63,738.74,22776.99,558.42,425.31,717.51,619.18,12154.12,540.96,202.40,1890.82,622.93,1774.57,715.52,12861.85,90.02
2013-11-22,RMA,ft,1,9644.00,1307.00,-2429.00,-74.30,8906.41,1.00,1.00,658.00,2.05,3.68,5466.09,5466.09,849.71,9685.71,698.38,1255.42,9952.91,9952.91,1821.86,2700.60,958.86,17793.83,14792.28,20277.66,939.85,963.77,15746.35,2137.62,14846.28,15247.41,9704.25,845.02,700.24,747.28,22069.71,524.88,429.67,739.42,594.06,10361.03,510.66,206.78,1792.51,634.44,1676.25,713.82,12627.02,89.52
2013-11-23,RMA,ft,1,8966.00,1247.00,-2274.00,291.77,7909.57,1.00,1.00,652.00,2.46,3.73,5539.28,5539.28,857.27,9748.81,707.61,1188.63,9612.63,9612.63,1805.83,2705.57,977.39,17749.54,14329.37,20198.40,938.55,958.75,15000.31,2090.66,14923.84,15553.15,9175.79,852.12,713.66,751.76,22245.25,511.43,434.85,764.53,558.47,9336.66,526.88,206.86,1758.20,656.96,1583.67,693.02,12565.67,88.33
2013-11-24,RMA,ft,1,9097.00,1185.00,-2048.00,97.51,8346.09,1.00,1.00,716.00,3.11,3.78,5926.98,5926.98,864.31,9873.88,699.70,1158.96,9843.40,9843.40,1800.98,2937.17,995.51,18100.11,14755.07,20283.56,942.07,961.28,14872.85,2143.48,15350.07,15885.69,8699.56,859.27,727.20,754.39,22639.79,519.60,440.28,786.27,578.15,9426.11,581.14,212.05,1823.50,667.19,1587.23,669.35,12647.03,88.54
