datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2011-10-21,RMA,ft,2,17095.10,4418.00,10382.00,800.80,11156.66,1.00,0.00,256.54,4.87,3.37,17921.46,5389.41,5389.41,435.93,12354.36,245.74,697.50,7218.21,7218.21,1272.58,1972.16,547.34,14962.88,14209.65,15010.04,479.22,498.27,14330.46,1963.57,10932.84,14300.84,9275.66,436.47,412.25,361.06,15979.74,325.93,609.28,437.40,374.39,13071.23,353.48,122.39,1320.87,410.69,1225.03,249.94,13034.51,88.18
2011-10-22,RMA,ft,2,16658.40,4316.00,9868.00,769.51,11158.69,1.00,0.00,261.04,5.05,3.35,17480.20,4798.51,4798.51,451.48,12512.29,256.13,722.64,6506.53,6506.53,1283.90,1636.06,575.46,15027.70,14425.24,14913.05,502.34,522.53,14375.20,1803.29,10405.05,14412.47,8602.82,451.54,419.23,319.15,15824.64,331.63,491.15,433.27,347.73,13239.07,306.74,122.26,1154.81,382.61,1121.67,258.70,13277.49,87.32
2011-10-23,RMA,ft,2,16146.90,4468.00,11620.00,815.36,8937.44,1.00,0.00,256.54,4.83,3.33,16904.80,4332.66,4332.66,471.94,12633.82,260.11,739.19,5918.73,5918.73,1280.15,1392.23,598.74,14982.86,14539.67,14762.76,522.95,544.10,14434.20,1683.38,9931.32,14413.79,8011.64,472.13,428.91,304.86,15695.94,331.42,404.99,436.96,337.70,13387.64,274.75,122.60,1019.40,375.63,1036.69,260.67,13421.15,86.22
2011-10-24,RMA,ft,2,15746.50,4446.00,12170.00,823.74,8602.60,1.00,0.00,261.46,4.37,3.25,17150.35,3974.04,3974.04,490.48,12718.64,259.25,759.20,5483.74,5483.74,1278.49,1186.61,619.44,14901.63,14563.04,14624.07,539.27,560.97,14467.87,1592.70,9534.83,14377.11,7558.59,491.03,444.95,301.52,15585.49,327.71,358.08,445.84,332.90,13509.76,250.73,122.46,904.89,369.34,976.52,260.34,13505.50,85.22
2011-10-25,RMA,ft,2,15515.50,4565.00,10971.00,621.94,9891.65,1.00,0.00,251.13,3.78,3.27,16919.59,3672.51,3672.51,506.36,12801.01,259.09,780.33,5234.58,5234.58,1283.43,1044.50,635.96,14855.72,14553.47,14535.10,554.61,575.57,14483.06,1511.29,9247.53,14365.19,7257.51,506.93,461.02,292.76,15562.52,322.51,331.83,459.99,329.24,13622.10,236.65,125.24,808.21,355.22,920.79,259.07,13577.59,84.47
2011-10-26,RMA,ft,2,14965.50,4443.00,10704.00,482.19,9339.47,1.00,0.00,249.96,3.04,3.32,16082.66,3292.83,3292.83,521.09,12832.27,253.48,775.51,4787.19,4787.19,1269.89,865.94,634.00,14760.80,14536.11,14390.39,564.07,584.15,14487.75,1380.94,8700.73,14312.01,6987.63,521.69,475.69,283.32,15244.57,316.49,314.39,476.54,310.75,13697.85,218.10,127.17,716.81,344.11,856.38,253.60,13618.60,83.65
2011-10-27,RMA,ft,2,15281.20,4579.00,10674.00,390.05,9653.54,1.00,0.00,239.17,2.41,3.25,16138.59,2927.75,2927.75,529.56,12824.20,248.41,749.37,4203.16,4203.16,1237.55,695.48,626.22,14601.49,14493.74,14165.83,563.60,583.53,14477.53,1249.39,8002.42,14195.72,6736.67,530.51,485.63,281.91,14693.24,308.61,301.98,491.87,281.83,13741.35,199.77,126.81,627.43,341.30,781.23,248.61,13629.10,82.62
2011-10-28,RMA,ft,2,15229.50,4419.00,10619.00,349.73,9561.23,1.00,0.00,250.58,1.81,3.23,16110.96,2644.36,2644.36,527.67,12811.09,244.83,731.22,3697.10,3697.10,1204.36,565.94,626.66,14423.57,14418.51,13922.88,557.22,577.92,14448.37,1152.31,7383.60,14066.29,6560.44,529.36,491.10,282.84,14187.01,299.23,292.32,505.76,263.33,13764.14,184.16,126.94,544.74,344.63,712.16,247.34,13626.43,81.42
2011-10-29,RMA,ft,2,14748.80,4280.00,10808.00,195.95,8984.99,1.00,0.00,264.00,1.36,3.33,15708.94,2480.83,2480.83,518.25,12824.44,253.12,718.70,3448.80,3448.80,1176.00,500.12,624.53,14314.96,14327.30,13795.62,549.32,570.85,14404.58,1096.32,7056.70,13997.71,6510.03,520.51,493.02,281.98,13987.67,287.79,284.65,518.16,259.14,13782.35,173.56,128.93,492.32,351.20,679.14,257.32,13631.20,80.55
2011-10-30,RMA,ft,2,14216.40,4349.00,11025.00,95.32,8719.79,1.00,0.00,255.29,1.19,3.52,15491.10,2431.44,2431.44,507.63,12857.71,261.06,709.29,3416.36,3416.36,1154.03,480.46,620.25,14327.79,14250.85,13830.25,541.99,563.96,14356.71,1075.40,7045.41,14018.45,6548.21,510.10,488.23,287.35,14131.68,276.97,279.52,527.53,265.53,13797.92,167.98,129.18,476.74,362.15,675.09,262.75,13646.81,80.04
2011-10-31,RMA,ft,2,14025.00,4367.00,11033.00,-35.78,8988.33,1.00,0.00,245.29,1.25,3.52,15618.55,2379.23,2379.23,499.49,12866.87,255.98,702.80,3326.83,3326.83,1136.44,449.01,613.23,14453.49,14222.61,13959.17,534.62,556.01,14321.43,1047.18,6939.09,14111.05,6558.92,501.86,482.03,292.25,14054.90,272.59,279.53,532.39,268.85,13809.61,165.07,128.14,484.11,373.89,672.19,256.39,13667.60,80.05
2011-11-01,RMA,ft,2,14077.80,4379.00,8843.00,-205.36,11494.05,1.00,0.00,253.21,1.58,3.44,15752.69,2227.01,2227.01,496.01,12869.25,250.31,700.54,3144.05,3144.05,1119.38,424.88,585.10,14579.37,14252.12,13987.21,528.31,547.69,14309.13,995.81,6679.71,14194.06,6612.98,498.34,479.60,287.30,13694.57,270.69,280.46,532.36,276.36,13811.45,165.23,127.46,464.12,356.34,632.02,253.17,13693.72,79.54
2011-11-02,RMA,ft,2,13613.60,4350.00,11099.00,1055.55,7707.44,1.00,0.00,247.54,2.07,3.37,15511.99,1993.30,1993.30,487.82,12872.00,251.92,675.79,3065.46,3065.46,1099.32,455.14,554.95,14569.35,14299.96,13771.89,511.90,531.55,14314.49,942.11,6508.22,14178.43,6559.10,490.63,480.09,282.92,13514.92,264.98,275.29,527.18,291.16,13794.17,168.24,128.71,448.69,361.61,571.87,255.04,13716.58,78.76
2011-11-03,RMA,ft,2,14009.60,4182.00,11235.00,961.13,7736.24,1.00,0.00,251.38,2.68,3.36,15750.38,2107.81,2107.81,469.11,12911.25,250.71,651.58,3172.70,3172.70,1073.40,542.25,556.92,14481.80,14302.43,13640.11,495.40,517.17,14315.08,949.83,6999.92,14067.56,6303.92,472.40,467.26,286.38,14367.31,265.39,267.77,519.06,304.97,13802.67,179.81,130.43,461.24,371.68,543.29,255.34,13730.71,78.51
2011-11-04,RMA,ft,2,13050.40,3614.00,11163.00,733.07,6275.29,1.00,0.00,320.79,3.22,3.43,14557.37,2216.96,2216.96,451.98,12927.13,259.98,635.72,3467.34,3467.34,1042.03,640.39,557.10,14517.88,14244.40,13763.34,486.53,508.44,14286.91,955.33,7528.48,14063.94,6176.06,455.23,453.10,282.89,14976.24,272.28,263.72,510.65,321.97,13809.87,192.98,132.41,489.81,375.17,545.70,278.44,13717.24,79.14
2011-11-05,RMA,ft,2,12460.80,3175.00,9818.00,593.18,6591.66,1.00,0.00,424.88,3.85,3.46,13827.84,2269.33,2269.33,446.53,12901.62,304.75,619.05,3610.18,3610.18,1009.57,705.05,553.26,14580.66,14206.69,13888.35,479.06,498.89,14254.83,939.42,7795.17,14102.30,5904.98,449.15,440.54,288.12,15351.01,280.18,261.48,500.51,324.37,13766.33,202.64,133.17,522.93,380.41,571.44,344.30,13705.12,79.58
2011-11-06,RMA,ft,2,13118.60,2935.00,9752.00,-87.15,7651.66,1.00,0.00,426.58,4.35,3.46,14381.51,2309.99,2309.99,444.99,12862.09,372.83,607.15,3707.40,3707.40,978.59,743.71,546.99,14634.53,14213.46,13996.47,476.07,494.75,14239.36,923.68,7961.13,14135.30,5593.08,447.23,431.17,332.77,15560.27,287.78,261.02,491.67,319.23,13659.90,210.52,130.41,544.83,383.60,585.48,413.82,13697.51,79.78
2011-11-07,RMA,ft,2,12650.00,2825.00,9752.00,-67.39,6958.52,1.00,0.00,465.29,4.58,3.42,13818.13,2276.07,2276.07,446.36,12810.33,418.86,601.62,3726.84,3726.84,953.78,746.63,541.90,14642.89,14237.91,14055.82,478.25,494.57,14239.25,897.79,7958.36,14143.75,5328.56,448.16,429.91,401.54,15554.33,292.70,265.02,483.15,314.50,13559.20,214.14,129.45,549.20,391.78,592.70,439.46,13690.94,79.92
2011-11-08,RMA,ft,2,12788.60,2668.00,9213.00,15.88,7287.75,1.00,0.00,465.75,4.52,3.39,13848.64,2235.53,2235.53,451.39,12766.42,442.15,594.84,3731.19,3731.19,932.20,736.54,537.21,14611.26,14251.51,14068.82,479.73,493.64,14243.67,873.71,7933.95,14126.05,5152.10,452.59,430.70,442.46,15540.98,293.81,274.98,477.00,306.55,13500.17,214.65,130.73,540.88,400.51,588.91,462.73,13685.38,80.00
2011-11-09,RMA,ft,2,12978.90,2467.00,8452.00,24.47,7958.91,1.00,0.00,530.08,4.27,3.35,13968.38,2157.63,2157.63,456.63,12714.59,461.35,587.79,3644.44,3644.44,912.21,695.75,532.07,14540.02,14249.58,14046.50,479.87,492.26,14242.95,843.59,7785.19,14084.12,5006.14,457.54,431.27,467.12,15390.42,293.45,289.55,474.41,292.86,13471.41,211.43,131.64,522.26,405.86,577.34,481.29,13674.61,80.11
2011-11-10,RMA,ft,2,13060.30,2123.00,9195.00,-3.68,6970.97,1.00,0.00,538.79,3.74,3.30,14039.29,2057.31,2057.31,459.16,12652.49,478.38,579.67,3465.07,3465.07,892.19,630.35,527.19,14407.93,14216.90,13921.36,477.97,489.70,14228.17,813.81,7555.64,13994.40,4905.12,460.34,432.48,487.69,15147.73,290.43,304.37,473.26,280.36,13478.36,204.57,136.56,490.88,411.75,554.66,519.11,13648.43,79.92
2011-11-11,RMA,ft,2,13073.50,2066.00,8257.00,398.56,7432.69,1.00,0.00,545.92,3.23,3.36,14022.25,2028.79,2028.79,458.13,12629.38,506.53,571.22,3460.70,3460.70,870.99,606.50,522.37,14343.51,14164.80,13878.08,474.95,486.28,14197.57,800.22,7565.44,13965.04,4920.45,459.44,433.82,508.57,15199.23,286.60,317.26,472.15,273.94,13560.05,200.51,142.18,467.78,421.28,535.03,541.71,13629.86,79.81
2011-11-12,RMA,ft,2,12751.20,2260.00,8248.00,339.95,7321.50,1.00,0.00,554.33,2.83,3.33,13649.45,1982.59,1982.59,455.88,12586.83,531.09,563.07,3439.28,3439.28,852.71,587.86,515.74,14343.51,14137.08,13922.97,470.90,481.65,14171.27,781.64,7438.57,13978.44,4978.55,457.26,433.37,536.82,15056.66,283.23,330.93,473.19,267.26,13621.12,196.04,142.80,459.90,433.71,526.77,550.44,13619.80,79.98
2011-11-13,RMA,ft,2,12219.90,2246.00,8256.00,600.44,6707.48,1.00,0.00,540.46,2.71,3.21,13317.92,1922.46,1922.46,451.59,12538.10,544.54,554.89,3347.14,3347.14,836.95,582.22,512.05,14338.80,14126.08,13913.37,465.90,476.35,14157.42,758.56,7203.45,13971.42,5070.39,453.11,432.44,558.22,14726.49,279.90,346.25,474.12,262.78,13649.30,193.19,142.72,457.09,441.10,520.96,554.86,13615.24,79.66
2011-11-14,RMA,ft,2,12571.90,2209.00,8971.00,743.25,6201.34,1.00,0.00,546.50,2.70,3.26,13706.59,1965.76,1965.76,445.05,12544.50,548.77,548.04,3403.25,3403.25,822.22,616.85,507.74,14371.55,14121.78,13923.11,460.55,471.38,14149.18,755.84,7306.35,13993.48,5285.67,446.87,429.56,570.32,14806.08,276.47,360.90,473.28,267.46,13664.13,194.93,143.95,460.82,438.85,516.47,549.82,13619.83,79.31
2011-11-15,RMA,ft,2,12879.90,2182.00,8632.00,815.28,6752.17,1.00,0.00,567.67,2.83,3.31,14017.45,2099.58,2099.58,438.14,12586.30,546.62,542.65,3593.95,3593.95,810.44,668.42,502.46,14531.70,14143.61,14038.99,455.40,466.85,14148.83,773.05,7662.72,14105.23,5542.95,440.03,425.63,574.30,15197.81,274.87,373.98,470.67,277.15,13676.55,198.72,145.27,474.36,434.92,516.00,552.72,13638.35,79.74
2011-11-16,RMA,ft,2,13167.00,2136.00,8923.00,964.91,6522.51,1.00,0.00,576.21,3.27,3.23,14274.42,2192.16,2192.16,431.77,12620.73,550.29,536.81,3696.59,3696.59,800.47,701.84,496.81,14718.11,14212.56,14173.27,450.40,461.86,14173.33,784.86,7891.32,14230.91,5685.30,433.55,420.31,572.20,15448.08,275.36,386.38,467.15,283.05,13690.15,202.21,146.08,489.52,431.62,515.63,567.00,13666.12,80.02
2011-11-17,RMA,ft,2,13268.20,2131.00,5652.00,1133.05,9659.00,1.00,0.00,579.75,3.72,3.24,14313.05,2217.66,2217.66,429.64,12667.26,562.70,530.78,3751.86,3751.86,788.99,729.59,492.26,14845.62,14311.86,14257.56,447.80,457.95,14225.13,778.80,8031.73,14317.42,5678.61,430.96,418.70,574.04,15670.97,276.20,398.67,462.02,281.36,13714.43,207.55,145.62,497.10,433.04,511.50,577.52,13704.58,79.93
2011-11-18,RMA,ft,2,13389.20,2092.00,6690.00,1153.94,8576.54,1.00,0.00,584.50,3.93,3.38,14328.48,2306.56,2306.56,428.31,12732.61,572.65,524.02,3973.42,3973.42,775.61,793.76,489.39,14978.41,14416.87,14375.59,445.16,454.94,14292.64,785.48,8387.47,14415.04,5583.28,429.52,415.02,580.67,16180.44,276.84,408.63,457.34,283.95,13756.90,215.22,145.50,510.56,426.35,509.88,582.61,13757.91,80.09
