datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2013-10-27,RMA,ft,3,7705.93,2392.80,2524.20,6081.99,0.00,1.00,294.00,3.84,3.23,7779.68,1719.47,872.58,846.89,6476.90,6476.90,430.13,12441.05,411.02,795.61,9690.26,9690.26,1501.34,4259.39,568.54,15538.24,14496.24,16087.51,512.60,535.35,14490.23,2421.18,12757.98,26323.51,14849.05,10276.78,426.75,386.46,772.16,18197.25,352.67,638.06,482.75,444.69,13136.79,928.83,156.77,2717.90,631.45,2076.78,389.67,506.01,13062.63,574.40,91.94
2013-10-28,RMA,ft,3,7806.22,3172.86,2536.77,7020.84,0.00,1.00,295.00,4.87,3.30,7851.71,1558.63,791.72,766.91,5885.37,5885.37,450.48,12611.90,307.68,849.23,9229.90,9229.90,1539.85,3804.51,596.34,15888.32,14896.81,16364.40,541.92,567.14,14642.78,2170.15,12335.99,25809.60,15158.07,10138.04,446.59,389.51,688.44,17881.66,366.58,634.93,470.71,412.66,13430.25,818.73,163.25,2461.01,582.96,1903.95,307.64,475.20,13373.22,509.53,90.91
2013-10-29,RMA,ft,3,7405.73,3506.64,2818.62,6851.54,0.00,1.00,248.00,5.45,3.40,7440.56,1368.32,602.21,766.11,5363.52,5363.52,462.40,12488.43,285.55,826.37,8700.16,8700.16,1524.41,3376.34,628.57,16022.10,15241.34,16497.72,554.90,579.06,14834.24,1945.22,11979.29,25507.19,15135.60,9168.51,458.68,398.79,500.31,17687.93,373.34,544.36,459.34,378.68,13628.78,732.29,166.10,2185.66,559.31,1667.87,285.77,465.98,13561.01,480.09,89.26
2013-10-30,RMA,ft,3,5823.02,3704.03,2341.11,6271.02,0.00,1.00,223.00,5.79,3.44,6181.15,1366.26,597.82,768.44,5284.14,5284.14,473.32,12393.39,252.83,833.96,8534.62,8534.62,1536.54,3300.18,651.33,16246.50,15475.11,16705.99,570.72,595.58,15012.58,1890.22,12128.06,25973.36,15361.32,8517.70,469.33,407.99,369.52,18060.90,380.72,437.09,451.97,383.85,13773.41,744.14,164.88,2101.91,526.53,1604.70,251.67,471.65,13711.01,423.30,88.90
2013-10-31,RMA,ft,3,8396.54,3798.53,1895.43,9119.71,0.00,1.00,242.00,5.65,3.33,8565.53,1461.34,667.67,793.67,5280.66,5280.66,483.36,12631.13,232.53,841.22,8444.40,8444.40,1536.49,3316.68,667.71,16660.07,15710.58,16938.76,587.60,613.13,15198.25,1870.47,12305.85,26511.23,15859.18,8586.14,479.07,417.02,341.14,18471.07,387.85,371.07,451.90,392.40,13924.19,773.43,160.73,2068.86,447.27,1569.62,235.08,463.95,13949.96,374.19,88.51
2013-11-01,RMA,ft,3,8545.84,3766.68,2969.71,8241.61,1.00,1.00,283.00,5.19,3.26,8708.90,1264.22,603.98,660.24,5007.73,5007.73,496.39,12545.55,246.32,835.90,8162.99,8162.99,1506.75,3101.50,677.96,16846.86,15974.87,17104.56,599.96,625.11,15382.97,1754.62,12049.96,26357.65,15902.93,8464.17,492.02,424.25,328.87,18316.46,393.16,331.46,455.03,375.75,14078.62,707.19,166.04,1942.36,409.21,1476.44,255.02,447.78,14113.27,359.46,88.83
2013-11-02,RMA,ft,3,9129.99,3557.35,4953.25,5115.52,1.00,1.00,347.00,4.32,3.25,9236.59,2850.31,2252.17,598.14,4622.32,4622.32,518.08,11893.76,284.96,831.95,7603.32,7603.32,1473.37,2672.52,689.18,16694.60,16108.87,16983.99,612.68,636.10,15529.51,1604.65,11590.96,25825.23,15569.61,7740.79,513.26,433.45,316.87,17926.61,396.13,305.88,460.01,355.81,14161.89,596.76,174.06,1698.60,380.51,1329.04,300.22,424.10,14068.22,352.77,87.51
2013-11-03,RMA,ft,3,9968.51,3318.20,3505.00,7221.53,1.00,1.00,423.00,3.44,3.19,10074.11,2786.32,2191.26,595.06,4211.17,4211.17,540.16,11214.05,342.24,824.92,6997.31,6997.31,1437.22,2289.32,695.48,16407.35,16044.68,16685.14,622.91,643.84,15594.71,1463.42,11062.86,25273.90,15213.25,7129.68,535.70,444.16,320.63,17447.44,397.20,297.83,469.47,344.44,14127.37,512.19,176.33,1468.42,374.09,1187.79,362.50,409.77,13904.77,370.16,86.79
2013-11-04,RMA,ft,3,9876.00,3093.53,3946.39,6790.28,1.00,1.00,486.00,2.67,3.22,10002.71,2440.94,1894.55,546.39,3856.24,3856.24,561.39,11146.93,408.74,801.06,6501.32,6501.32,1400.37,2028.80,681.35,16215.54,15877.94,16390.37,630.43,648.07,15592.62,1340.48,10635.22,25030.62,15185.92,6914.85,557.58,458.60,339.08,17145.86,394.68,304.51,478.74,336.78,14053.05,460.99,174.06,1296.75,387.52,1074.23,430.77,403.52,13815.95,392.11,85.81
2013-11-05,RMA,ft,3,10374.23,2973.28,4026.33,6910.65,1.00,1.00,554.00,2.13,3.35,10497.79,2651.79,2063.54,588.25,3635.81,3635.81,578.77,11525.25,472.23,771.66,6180.85,6180.85,1358.85,1872.70,670.24,16143.73,15758.28,16178.98,631.50,646.20,15571.62,1265.12,10329.31,24993.23,15286.77,6950.15,575.65,478.20,381.08,16978.47,389.29,322.72,487.21,328.36,14063.24,430.35,169.56,1184.61,414.80,995.10,495.34,404.10,13891.50,426.81,85.24
