datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_filter,sf_tidal_energy,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2006-11-17,RMA,ft,5,12081.36,3420.59,-9095.80,-93.22,6241.75,1.00,0.00,608.80,1.18,0.52,7266.66,7266.66,465.49,12435.74,629.41,906.81,9688.70,9688.70,1602.58,4146.65,637.46,15795.65,14523.86,16161.77,545.57,575.50,14454.64,3083.23,13171.77,14973.84,10164.45,465.72,425.27,686.67,18683.74,426.08,648.37,511.58,627.88,12903.27,831.48,174.30,2761.31,532.80,2312.85,628.78,13139.65,92.21
2006-11-18,RMA,ft,5,13249.17,3507.06,-9919.90,-31.72,7490.41,1.00,0.00,605.80,1.20,0.51,6930.27,6930.27,511.46,12721.69,615.12,1009.32,9411.15,9411.15,1726.17,3682.22,719.81,16285.96,15062.41,16554.41,611.82,645.49,14685.99,2970.34,13074.98,15469.47,9995.45,510.08,440.37,657.15,18814.19,454.79,650.05,503.06,615.88,13263.11,721.44,175.55,2496.68,519.92,2199.35,615.26,13573.41,91.67
2006-11-19,RMA,ft,5,14080.61,3531.57,-9866.90,907.16,7727.22,1.00,0.00,608.30,1.17,0.44,6471.43,6471.43,566.73,12955.58,608.47,1080.44,8944.44,8944.44,1799.66,3109.16,795.74,16541.96,15540.16,16790.18,673.49,709.06,14988.17,2795.79,12742.95,15748.28,9791.55,564.21,464.39,636.53,18648.26,470.94,633.59,494.13,579.36,13634.01,591.10,175.77,2192.14,514.75,2050.02,610.41,13886.35,91.21
2006-11-20,RMA,ft,5,14977.28,3518.79,-9684.70,1441.39,8179.21,1.00,0.00,622.90,1.18,0.36,6019.76,6019.76,623.11,13166.75,610.21,1131.79,8405.55,8405.55,1842.55,2542.99,862.07,16673.36,15867.59,16885.85,728.85,766.25,15267.76,2637.08,12348.03,15929.85,9567.52,620.41,499.08,623.33,18456.93,478.74,604.25,488.73,544.27,13957.22,481.02,175.15,1869.25,509.25,1863.22,614.24,14133.78,90.50
2006-11-21,RMA,ft,5,15369.93,3513.92,-9789.70,1509.55,8339.72,1.00,0.00,632.50,1.22,0.30,5708.03,5708.03,672.92,13387.24,620.25,1165.99,8045.21,8045.21,1874.60,2165.67,920.68,16812.44,16110.46,16988.42,775.23,812.95,15512.66,2544.91,12103.87,16111.13,9330.44,670.53,539.02,626.21,18471.04,486.21,576.96,490.07,527.13,14254.96,413.79,174.34,1641.56,516.83,1720.49,625.75,14377.10,89.95
2006-11-22,RMA,ft,5,15532.66,3457.61,-10017.80,1534.35,9130.07,1.00,0.00,640.40,1.22,0.25,5380.78,5380.78,714.28,13546.59,630.00,1204.19,7609.10,7609.10,1883.71,1862.88,961.64,16917.35,16304.72,17071.69,812.65,849.04,15712.30,2427.18,11705.96,16221.90,9120.02,712.63,581.47,645.12,18257.05,490.28,558.62,497.60,514.95,14510.27,358.66,173.63,1483.50,531.33,1628.46,635.75,14561.91,89.31
2006-11-23,RMA,ft,5,15947.32,3407.41,-9272.40,1330.23,8718.15,1.00,0.00,647.10,1.21,0.24,5055.00,5055.00,745.89,13660.94,638.43,1235.42,7038.31,7038.31,1879.31,1616.84,981.87,16975.79,16448.54,17072.16,843.90,879.67,15875.36,2294.08,11217.49,16279.82,8933.68,745.09,620.27,653.45,17847.74,485.48,554.59,514.06,511.24,14711.91,317.41,174.45,1345.76,557.76,1533.76,643.88,14705.60,88.17
2006-11-24,RMA,ft,5,16061.93,3333.82,-10254.70,1264.19,9823.85,1.00,0.00,671.70,1.22,0.26,4872.78,4872.78,773.20,13809.19,647.87,1247.96,6641.15,6641.15,1880.62,1494.64,999.33,17063.68,16555.20,17017.29,871.79,908.70,16020.62,2222.18,11018.22,16377.19,8762.44,773.16,657.74,655.27,17742.21,479.91,562.13,538.81,534.34,14879.06,301.92,175.58,1246.11,580.23,1429.89,655.88,14868.17,87.31
2006-11-25,RMA,ft,5,16655.74,3264.53,-9097.00,1174.51,10232.27,1.00,0.00,681.70,1.20,0.28,4708.59,4708.59,795.76,13942.72,663.79,1244.88,6285.08,6285.08,1873.95,1402.60,1030.41,17132.35,16628.69,16927.24,887.79,926.32,16144.09,2167.48,10857.16,16448.07,8567.22,796.59,683.74,660.00,17699.88,482.23,572.75,568.09,555.08,15017.34,297.03,174.88,1168.39,596.16,1317.06,673.95,15007.12,86.88
2006-11-26,RMA,ft,5,17299.92,3169.80,-9203.50,1073.18,10464.24,1.00,0.00,694.60,1.20,0.32,4462.96,4462.96,807.79,14036.88,678.52,1217.74,5895.39,5895.39,1845.09,1332.94,1050.44,17084.50,16652.97,16763.39,894.42,933.97,16240.94,2090.52,10588.19,16418.26,8233.38,809.86,702.87,671.22,17592.35,486.66,585.09,599.57,558.58,15125.44,296.15,176.01,1101.80,606.71,1213.91,686.60,15112.38,86.15
