datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,anc,bac,bdt,cll,frk,god,gzl,hol2,mtz,old,rri2,snc,sss,tms,tss,uni,x2
2011-10-21,RMA,ft,6,18058.72,4188.23,-9141.49,-134.78,14066.60,0.00,0.00,256.54,1.81,4014.91,427.41,245.45,5274.62,491.78,14278.88,14317.82,455.22,13668.27,397.31,581.76,12963.11,121.87,727.19,770.86,248.13,85.45
2011-10-22,RMA,ft,6,17149.60,4049.07,-9160.49,-141.11,13001.08,0.00,0.00,261.04,2.04,3250.38,426.17,255.65,4263.45,490.63,14040.62,13862.11,455.30,13569.10,354.04,441.04,13031.28,122.09,559.24,630.30,257.05,83.14
2011-10-23,RMA,ft,6,17020.01,4136.59,-8646.49,-46.09,13314.09,0.00,0.00,256.54,2.59,2924.73,424.62,259.18,3972.23,487.07,13874.20,13572.85,454.07,13503.00,331.39,368.37,13111.14,122.15,486.22,568.32,259.07,81.76
2011-10-24,RMA,ft,6,17635.29,4161.37,-10398.49,25.10,12776.91,0.00,0.00,261.46,3.37,2882.38,422.25,258.40,4135.07,486.44,13859.30,13543.02,451.83,13538.25,312.67,338.83,13192.33,122.09,482.54,569.68,258.56,81.42
2011-10-25,RMA,ft,6,19185.94,4452.12,-10948.49,-110.04,14203.70,0.00,0.00,251.13,4.26,2792.74,420.39,258.01,4230.64,488.61,13941.14,13623.12,450.34,13611.33,294.47,321.76,13255.31,124.92,507.03,593.54,257.18,81.80
2011-10-26,RMA,ft,6,21167.36,4578.12,-9749.49,-186.75,17299.90,0.00,0.00,249.96,5.02,2479.38,419.79,252.68,3760.01,480.46,13891.54,13484.04,449.77,13549.66,284.35,307.15,13277.15,126.76,489.65,570.13,251.39,81.17
2011-10-27,RMA,ft,6,22490.56,4849.08,-9482.49,-223.56,18938.11,0.00,0.00,239.17,5.57,2156.60,419.27,247.32,3206.20,469.97,13637.33,13107.30,445.59,13318.55,278.50,295.39,13267.52,126.03,447.96,514.79,246.10,79.64
2011-10-28,RMA,ft,6,23845.11,4879.58,-9452.49,-216.58,20370.23,0.00,0.00,250.58,5.60,1901.26,415.75,244.22,2791.47,464.25,13280.53,12644.82,437.82,13002.18,271.88,285.78,13218.56,126.70,412.24,468.46,244.83,78.51
2011-10-29,RMA,ft,6,24019.21,5160.86,-9397.49,-327.84,21070.56,0.00,0.00,264.00,5.21,1607.01,409.54,252.76,2294.01,454.93,12819.14,12051.34,427.78,12591.30,266.14,276.52,13118.68,128.35,374.00,420.81,254.90,77.14
2011-10-30,RMA,ft,6,23127.55,5139.09,-9586.49,-384.82,20339.66,0.00,0.00,255.29,4.48,1338.99,401.17,259.49,1861.26,442.28,12246.43,11321.21,415.89,12075.47,271.38,271.05,12962.44,128.18,331.81,372.85,259.26,75.34
2011-10-31,RMA,ft,6,21705.63,5122.64,-9803.49,-463.79,19082.12,0.00,0.00,245.29,3.57,1115.68,391.17,253.58,1505.28,426.86,11627.05,10560.26,401.71,11522.06,274.91,271.94,12762.75,126.97,295.05,333.25,252.11,74.14
2011-11-01,RMA,ft,6,20369.59,5293.39,-9811.49,-565.70,18092.08,0.00,0.00,253.21,2.71,905.32,379.78,248.94,1183.35,400.27,10982.70,9768.29,385.26,10959.97,270.87,271.14,12541.03,126.56,261.72,300.63,249.12,72.55
2011-11-02,RMA,ft,6,19214.31,5392.62,-8843.00,783.74,16878.58,0.00,0.00,247.54,2.07,723.26,366.50,250.46,928.12,378.76,10302.69,8882.42,366.34,10356.16,265.81,263.66,12296.79,127.99,234.00,271.21,250.37,70.57
2011-11-03,RMA,ft,6,17702.62,5462.25,-11099.00,800.90,13005.75,0.00,0.00,251.38,1.72,658.07,348.39,250.31,838.51,368.15,9647.40,8163.45,349.58,9756.19,268.18,258.28,12030.08,129.43,211.06,247.72,251.51,69.57
2011-11-04,RMA,ft,6,17158.89,5464.24,-11235.00,705.76,12189.34,0.00,0.00,320.79,1.66,639.04,327.72,274.61,892.21,355.66,9322.19,7998.48,332.58,9468.67,263.46,256.11,11715.95,131.45,202.28,242.01,283.28,70.32
