datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2013-10-27,RMA,suisun,1,6845.00,2511.00,2393.00,1022.98,6013.77,0.00,1.00,294.00,3.84,3.69,5779.51,5779.51,416.38,11522.45,411.22,713.67,8682.50,8682.50,1193.70,2769.80,665.35,15097.32,13487.08,15568.54,487.62,501.12,14071.58,1853.52,12497.85,14460.51,9918.36,413.68,393.01,781.02,18867.85,308.90,655.38,492.14,380.81,12731.88,540.27,155.70,1588.34,620.27,1258.93,390.72,12275.06,88.22
2013-10-28,RMA,suisun,1,5231.00,2642.00,2668.00,1093.11,4157.38,0.00,1.00,295.00,4.87,3.76,6106.47,6106.47,442.86,11808.90,312.02,788.95,9266.21,9266.21,1263.64,3268.20,755.65,16227.48,13796.99,16626.92,529.20,544.89,13909.84,2062.70,13412.62,15500.36,10282.23,439.59,392.24,707.91,20110.15,321.90,654.02,479.84,430.94,12718.71,652.91,161.27,1858.72,579.78,1434.72,308.48,12483.51,89.09
2013-10-29,RMA,suisun,1,7697.00,2671.00,2192.00,1042.06,7168.77,0.00,1.00,248.00,5.45,3.86,5979.88,5979.88,458.36,11955.34,293.23,854.34,9285.58,9285.58,1298.14,3294.67,811.10,16731.43,14309.61,17292.73,563.16,581.47,14033.37,2033.42,13699.04,15970.26,10841.02,454.32,405.08,540.05,20538.51,335.12,605.94,468.20,434.05,12760.75,664.76,165.67,1942.26,592.01,1504.79,292.86,12693.08,89.22
2013-10-30,RMA,suisun,1,7672.00,2575.00,1755.00,1153.41,7696.72,0.00,1.00,223.00,5.79,3.90,5869.05,5869.05,475.77,12108.81,265.89,901.83,9274.70,9274.70,1328.38,3194.46,848.97,17036.64,14727.17,17642.86,601.56,622.49,14232.75,2001.29,13905.70,16257.21,10908.28,470.68,415.75,405.74,20867.19,346.66,533.80,457.99,439.08,12868.32,647.53,163.95,1914.98,549.62,1510.91,263.57,12862.85,89.06
2013-10-31,RMA,suisun,1,8032.00,2306.00,2843.00,1309.42,6354.58,0.00,1.00,242.00,5.65,3.79,5596.97,5596.97,503.57,12012.62,239.19,936.29,9017.55,9017.55,1342.75,2933.67,874.83,17007.58,14950.16,17686.32,640.63,662.25,14399.71,1919.99,13779.93,16171.18,10837.97,497.30,422.46,372.49,20745.63,356.34,477.65,452.42,433.03,12971.84,585.69,160.06,1797.70,488.61,1463.87,238.74,12908.57,88.79
2013-11-01,RMA,suisun,1,8613.00,2012.00,4843.00,1300.42,4644.63,1.00,1.00,283.00,5.19,3.72,5296.52,5296.52,539.36,11753.73,234.40,958.75,8716.12,8716.12,1345.96,2669.55,886.02,16744.86,14939.22,17472.83,678.53,699.79,14471.12,1828.35,13553.98,15863.62,10496.68,532.06,432.09,355.54,20498.44,363.81,450.75,452.28,413.43,12985.62,540.90,165.89,1645.02,447.52,1383.50,246.57,12813.95,88.27
2013-11-02,RMA,suisun,1,8900.00,1739.00,3412.00,2971.70,4361.91,1.00,1.00,347.00,4.32,3.71,5096.43,5096.43,576.18,11445.37,247.45,971.64,8539.11,8539.11,1346.63,2496.35,889.89,16451.89,14785.23,17245.74,710.87,731.30,14452.78,1757.44,13449.80,15572.99,10024.18,568.55,446.66,340.32,20354.70,368.58,436.77,457.65,397.68,12967.53,517.23,173.89,1535.99,417.99,1321.52,278.73,12683.15,87.94
2013-11-03,RMA,suisun,1,9107.00,1578.00,3870.00,2910.79,4009.80,1.00,1.00,423.00,3.44,3.65,4893.15,4893.15,623.24,11106.93,271.63,977.44,8424.97,8424.97,1346.56,2337.69,875.66,16140.85,14602.36,17015.74,749.18,768.24,14392.26,1696.42,13317.87,15236.95,9643.51,615.72,470.67,330.04,20175.33,370.42,427.15,466.99,389.70,12922.83,487.87,176.26,1460.36,408.59,1282.45,326.86,12535.61,87.69
2013-11-04,RMA,suisun,1,10017.00,1430.00,3965.00,2599.90,5008.81,1.00,1.00,486.00,2.67,3.68,4626.26,4626.26,673.86,10816.36,307.15,975.98,8252.81,8252.81,1339.17,2194.78,826.78,15803.75,14397.60,16793.69,781.91,798.36,14302.10,1616.95,13077.18,14886.30,9414.06,666.62,504.82,324.87,19931.36,368.55,419.12,477.45,382.00,12834.14,454.77,174.06,1385.60,405.88,1236.55,387.84,12365.67,87.19
2013-11-05,RMA,suisun,1,9947.00,1343.00,4954.00,2751.92,3707.64,1.00,1.00,554.00,2.13,3.81,4606.38,4606.38,723.38,10691.94,347.96,980.44,8337.15,8337.15,1337.72,2181.02,807.41,15654.80,14210.73,16757.64,789.91,802.83,14198.92,1604.66,13147.03,14780.66,9281.89,717.72,554.06,331.52,20023.18,363.14,414.79,488.92,384.41,12733.31,438.01,169.54,1362.17,427.14,1221.91,451.31,12237.96,86.93
