datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,cu_sbay,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2013-10-27,RMA,suisun,3,7705.93,2392.80,2524.20,6081.99,0.00,1.00,294.00,3.84,3.23,7779.68,1719.47,872.58,664.70,182.19,6460.38,6460.38,438.21,12660.92,411.73,918.29,9777.98,9777.98,1457.53,4048.77,859.49,15396.93,14077.79,15890.36,561.61,585.25,14226.92,2368.30,12610.85,26297.01,15119.55,10445.80,433.63,386.52,772.63,18018.66,320.12,640.01,484.42,419.45,13145.62,851.79,156.67,2543.69,629.95,1964.57,392.14,502.53,12938.06,569.98,91.71
2013-10-28,RMA,suisun,3,7806.22,3172.86,2536.77,7020.84,0.00,1.00,295.00,4.87,3.30,7851.71,1558.63,791.72,635.73,131.18,5853.36,5853.36,470.34,12737.55,309.75,955.25,9288.08,9288.08,1478.82,3600.41,890.39,15636.02,14394.86,16103.02,610.61,636.22,14299.00,2127.23,12134.19,25619.48,15305.17,10414.03,464.34,390.47,690.53,17570.80,329.81,635.77,473.15,384.43,13353.76,743.07,163.28,2291.87,581.88,1795.58,310.06,471.87,13196.06,507.04,90.67
2013-10-29,RMA,suisun,3,7405.73,3506.64,2818.62,6851.54,0.00,1.00,248.00,5.45,3.40,7440.56,1368.32,602.21,635.40,130.71,5316.82,5316.82,490.83,12481.25,287.02,978.72,8698.35,8698.35,1461.22,3169.62,887.12,15680.44,14637.71,16153.99,637.85,664.80,14405.10,1906.75,11790.21,25260.17,15182.17,10039.19,484.79,400.46,503.80,17343.81,336.12,542.15,462.24,346.76,13489.83,661.06,166.12,2021.95,559.95,1572.69,287.33,462.99,13277.14,480.31,89.00
2013-10-30,RMA,suisun,3,5823.02,3704.03,2341.11,6271.02,0.00,1.00,223.00,5.79,3.44,6181.15,1366.26,597.82,636.26,132.18,5231.63,5231.63,510.25,12403.13,253.89,990.74,8707.59,8707.59,1475.49,3082.46,879.73,15879.51,14748.32,16386.36,666.67,693.92,14483.78,1851.85,11952.56,25776.31,15429.03,9636.73,503.63,410.59,371.68,17752.89,340.66,433.80,455.14,348.41,13551.30,668.24,164.89,1938.93,529.35,1513.50,252.94,469.15,13327.77,424.41,88.65
2013-10-31,RMA,suisun,3,8396.54,3798.53,1895.43,9119.71,0.00,1.00,242.00,5.65,3.33,8565.53,1461.34,667.67,645.41,148.26,5218.79,5218.79,527.45,12952.46,233.85,997.24,8613.41,8613.41,1478.84,3099.73,872.73,16421.39,14918.57,16780.22,687.00,714.12,14579.54,1836.26,12148.39,26413.72,16072.04,9587.64,520.36,421.12,342.71,18236.16,346.57,367.97,455.48,353.39,13633.42,692.00,160.65,1906.23,450.30,1477.32,236.44,461.96,13577.39,375.32,88.28
2013-11-01,RMA,suisun,3,8545.84,3766.68,2969.71,8241.61,1.00,1.00,283.00,5.19,3.26,8708.90,1264.22,603.98,604.46,55.78,4956.85,4956.85,546.73,12848.72,247.94,986.44,8204.06,8204.06,1453.30,2896.20,851.82,16659.75,15204.96,17051.78,697.49,722.66,14719.74,1730.62,11978.82,26389.76,16180.70,9635.78,539.62,431.53,330.27,18192.51,351.76,328.64,459.57,337.78,13771.53,632.76,166.02,1790.84,411.62,1394.95,256.41,446.23,13760.40,361.84,88.59
2013-11-02,RMA,suisun,3,9129.99,3557.35,4953.25,5115.52,1.00,1.00,347.00,4.32,3.25,9236.59,2850.31,2252.17,456.67,141.47,4582.49,4582.49,577.04,12015.67,286.58,961.85,7606.18,7606.18,1423.46,2489.76,825.19,16360.19,15321.20,16800.19,709.21,731.22,14828.53,1590.98,11569.75,25824.29,15646.42,9398.34,569.51,446.45,318.23,17817.79,354.15,303.88,466.42,320.03,13829.38,536.39,174.11,1569.48,381.81,1258.55,301.38,422.88,13594.65,356.09,87.29
2013-11-03,RMA,suisun,3,9968.51,3318.20,3505.00,7221.53,1.00,1.00,423.00,3.44,3.19,10074.11,2786.32,2191.26,457.56,137.50,4170.84,4170.84,608.28,11354.08,343.81,931.30,7037.00,7037.00,1385.92,2124.36,779.17,15870.34,15150.23,16323.11,722.01,741.19,14820.47,1456.04,11046.69,25159.53,14982.34,9034.50,601.39,463.28,321.74,17300.72,356.42,296.88,477.67,310.90,13694.97,462.52,176.34,1358.12,376.22,1127.89,363.39,409.44,13240.13,375.43,86.58
2013-11-04,RMA,suisun,3,9876.00,3093.53,3946.39,6790.28,1.00,1.00,486.00,2.67,3.22,10002.71,2440.94,1894.55,441.87,104.52,3802.06,3802.06,640.17,11378.45,410.10,896.25,6691.55,6691.55,1344.59,1870.22,706.62,15566.42,14806.61,16030.55,727.50,741.49,14702.58,1327.60,10559.03,24765.02,14900.87,8885.30,634.12,485.76,339.54,16901.91,357.37,304.73,488.99,306.86,13483.31,417.23,174.04,1199.69,391.95,1025.58,431.23,404.70,13046.23,400.13,85.61
2013-11-05,RMA,suisun,3,10374.23,2973.28,4026.33,6910.65,1.00,1.00,554.00,2.13,3.35,10497.79,2651.79,2063.54,454.10,134.15,3568.55,3568.55,662.64,11941.81,473.39,853.84,6370.13,6370.13,1301.77,1717.72,663.27,15596.44,14611.50,15939.60,709.88,718.12,14592.63,1245.15,10168.91,24636.32,15178.88,8739.66,658.09,517.19,380.85,16632.85,355.69,324.11,500.05,300.69,13432.21,389.97,169.53,1093.96,423.01,951.13,495.88,408.26,13194.08,440.92,85.03
2013-11-06,RMA,suisun,3,11565.15,2857.46,5002.27,7131.95,1.00,1.00,604.00,1.87,3.46,11932.36,2754.71,2179.71,453.95,121.05,3528.88,3528.88,665.10,12066.69,533.82,818.81,6090.20,6090.20,1255.37,1598.28,670.98,15654.08,14660.79,15892.28,686.82,693.75,14582.09,1216.73,10112.42,24856.76,15238.44,8122.97,662.82,545.41,437.91,16695.86,348.63,348.96,510.00,294.63,13530.34,365.99,164.74,1019.45,460.09,901.09,557.43,416.84,13375.92,482.43,84.76
2013-11-07,RMA,suisun,3,11744.99,2793.30,5077.34,7026.21,1.00,1.00,622.00,1.82,3.42,11952.93,2743.53,2209.52,415.40,118.61,3528.15,3528.15,656.24,11416.16,584.38,796.35,5996.40,5996.40,1213.55,1484.21,672.82,15586.60,14726.79,15832.00,671.74,679.03,14606.26,1203.49,10271.62,25264.62,15023.88,7199.02,655.32,563.92,496.49,16977.96,340.69,376.26,522.51,292.52,13579.97,343.28,161.61,952.02,490.51,864.65,601.70,421.57,13320.71,512.51,84.48
2013-11-08,RMA,suisun,3,11537.53,2740.80,5097.45,6662.98,1.00,1.00,652.00,1.94,3.35,11696.71,2797.47,2232.35,429.78,135.34,3557.92,3557.92,645.97,10658.98,615.21,785.31,6100.83,6100.83,1182.77,1414.55,674.23,15493.73,14683.59,15847.02,661.35,669.21,14593.34,1207.88,10513.90,25723.22,14793.63,6972.45,645.65,575.53,550.26,17318.70,332.08,404.64,538.76,292.31,13508.73,327.73,160.25,917.36,516.21,852.30,627.47,424.16,13102.24,533.60,84.64
2013-11-09,RMA,suisun,3,11541.68,2688.62,5684.38,5997.38,1.00,1.00,689.00,2.26,3.34,11642.98,2761.77,2205.80,427.47,128.50,3294.13,3294.13,636.94,9798.80,640.95,775.43,5752.81,5752.81,1154.87,1194.98,667.31,15093.52,14489.31,15605.00,652.36,660.28,14510.09,1140.59,10089.90,25185.98,14157.11,6908.76,636.60,579.70,592.61,16886.93,327.89,438.47,556.64,277.44,13302.32,292.56,159.89,834.53,531.80,804.28,656.74,428.67,12719.59,548.25,84.24
2013-11-10,RMA,suisun,3,11413.30,2633.00,4997.85,6522.16,1.00,1.00,738.00,2.66,3.24,11527.75,2751.22,2205.44,419.22,126.56,3063.17,3063.17,629.40,9235.15,674.73,760.07,5367.73,5367.73,1125.32,1015.08,654.07,14574.19,14103.17,15199.13,644.19,652.02,14322.95,1077.69,9688.47,24698.26,13534.39,6611.78,629.05,578.83,619.97,16495.89,322.90,472.09,574.37,266.72,12953.66,267.61,161.98,741.97,544.51,740.99,694.58,432.47,12257.61,555.93,83.48
2013-11-11,RMA,suisun,3,11653.60,2580.00,5181.62,6599.27,1.00,1.00,735.00,2.93,3.24,11784.04,2657.62,2163.45,397.64,96.53,2985.94,2985.94,622.60,8920.64,713.08,745.78,5268.53,5268.53,1099.21,937.69,642.37,14193.59,13640.05,14932.43,636.09,643.97,14055.81,1051.91,9622.78,24706.23,13211.08,6296.37,622.32,576.33,647.68,16444.79,315.08,499.99,590.52,263.54,12588.21,255.80,166.20,684.92,558.52,703.95,729.26,433.30,11873.65,560.92,83.11
2013-11-12,RMA,suisun,3,11385.69,1582.16,5175.45,5363.14,1.00,1.00,744.00,3.10,3.23,11515.04,2658.10,2131.56,409.65,116.89,2847.11,2847.11,615.20,8588.33,734.33,732.99,5057.75,5057.75,1072.95,851.30,629.41,13818.11,13239.37,14685.83,626.59,634.10,13790.60,1005.66,9341.50,24423.82,12813.07,6180.97,614.80,573.45,679.47,16147.81,308.62,520.29,604.14,256.49,12269.83,240.96,171.44,642.98,569.06,676.79,737.90,431.03,11586.02,567.23,82.91
