datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu,vcu2,vol,wci,x2
2006-11-17,RMA,suisun,4,13122.00,2491.00,9919.89,5919.08,1.00,0.00,611.69,2.07,3.33,13688.46,410.06,9.36,400.70,4329.27,4329.27,440.58,12077.54,637.64,645.84,6502.96,6502.96,1011.49,1184.13,563.44,13601.24,13220.24,13776.57,471.42,482.55,13877.98,1367.93,9484.26,22228.37,13419.04,9888.45,441.85,418.29,686.02,14443.08,293.73,659.09,518.22,298.47,12811.13,326.24,173.92,813.17,515.23,845.90,635.87,391.74,390.62,12551.71,406.55,85.58
2006-11-18,RMA,suisun,4,13384.00,2450.00,9866.86,6115.78,1.00,0.00,607.01,2.53,3.16,13953.32,494.37,81.87,412.50,4182.03,4182.03,455.16,12240.18,622.67,685.44,6218.56,6218.56,1038.88,1099.59,597.03,13846.91,13206.57,13929.18,497.64,510.74,13697.35,1408.39,9326.70,22548.16,13651.44,9721.51,455.68,429.99,662.07,14580.19,296.56,659.91,510.85,304.32,12832.21,299.45,175.14,799.29,515.46,852.74,621.79,410.17,408.07,12680.48,426.52,85.69
2006-11-19,RMA,suisun,4,13135.00,2438.00,9684.66,5139.27,1.00,0.00,610.79,3.13,3.21,13841.87,1545.19,1052.89,492.30,4116.98,4116.98,473.75,12432.65,612.69,723.12,6026.35,6026.35,1067.78,1102.31,627.54,14116.72,13341.91,14071.09,523.62,538.66,13623.49,1468.29,9366.68,23135.33,13899.54,9603.59,473.88,438.14,644.06,14967.04,300.51,643.83,500.62,322.82,12900.53,288.46,175.52,785.97,503.99,844.73,613.91,403.12,400.55,12815.16,433.12,85.19
2006-11-20,RMA,suisun,4,12694.00,2393.00,9789.70,4189.83,1.00,0.00,621.90,3.72,3.20,13608.23,2074.26,1640.36,433.90,4171.68,4171.68,492.79,12680.36,609.84,766.43,6083.33,6083.33,1100.80,1225.11,667.64,14472.86,13539.39,14343.25,549.11,566.05,13627.33,1567.64,9644.59,24026.66,14231.04,9492.18,492.97,450.17,627.24,15596.40,310.44,610.92,490.32,352.69,12994.53,292.68,175.01,829.55,492.21,871.84,613.26,384.91,383.67,12973.19,442.66,85.43
2006-11-21,RMA,suisun,4,12536.00,2374.00,10017.77,3703.64,1.00,0.00,632.13,4.16,3.28,13519.19,2230.55,1781.88,448.67,4275.79,4275.79,511.44,12957.58,613.67,818.15,6261.80,6261.80,1138.57,1383.34,720.93,14904.80,13784.35,14736.32,574.91,593.63,13701.62,1666.11,10034.49,25008.56,14636.91,9409.48,511.62,462.64,620.40,16329.60,326.35,572.32,483.65,385.23,13112.69,306.44,174.26,899.82,493.01,916.33,622.78,377.04,376.37,13157.00,466.08,85.64
2006-11-22,RMA,suisun,4,12143.00,2345.00,9272.36,3845.26,1.00,0.00,640.20,4.37,3.24,13089.51,2399.35,1898.26,501.09,4326.66,4326.66,532.88,13211.96,621.37,866.42,6386.97,6386.97,1170.91,1505.71,764.87,15321.40,14064.36,15182.99,607.18,627.68,13830.30,1725.76,10286.20,25627.13,15032.56,9339.97,533.00,476.26,629.86,16807.04,344.11,539.77,478.94,413.97,13252.05,319.61,173.55,979.08,493.82,972.81,632.88,374.37,373.98,13349.67,471.07,86.05
2006-11-23,RMA,suisun,4,12311.00,2332.00,10254.70,3128.45,1.00,0.00,650.74,4.34,3.11,13259.35,2264.58,1801.24,463.34,4245.90,4245.90,562.53,13357.06,630.13,900.93,6327.26,6327.26,1194.93,1503.14,776.28,15572.51,14329.38,15490.94,643.17,664.54,13983.84,1719.07,10261.76,25718.02,15275.19,9229.90,562.34,493.25,642.65,16844.90,357.34,519.97,477.84,434.40,13400.02,321.55,174.13,1010.54,493.57,1012.83,640.89,374.15,373.86,13516.71,476.68,86.00
2006-11-24,RMA,suisun,4,12627.00,2304.00,9097.05,4355.74,1.00,0.00,668.76,4.35,2.99,13416.33,2347.33,1854.39,492.94,4053.77,4053.77,593.50,13427.60,639.42,917.30,6088.60,6088.60,1202.83,1444.14,771.11,15662.41,14532.51,15545.34,665.96,686.81,14132.64,1669.13,10027.93,25489.63,15346.37,9113.93,593.40,512.80,647.70,16674.31,365.18,517.61,482.13,444.28,13536.17,318.05,175.31,984.18,500.23,993.83,651.21,376.40,376.32,13638.46,489.87,85.52
2006-11-25,RMA,suisun,4,12700.00,2275.00,9203.48,4161.09,1.00,0.00,682.24,3.95,3.06,13389.99,2375.09,1892.01,483.08,4073.29,4073.29,610.44,13594.22,650.72,942.18,6134.16,6134.16,1217.50,1499.09,806.34,15838.96,14690.27,15682.79,679.68,701.81,14277.47,1696.34,10195.36,25945.45,15522.59,9077.09,611.33,536.42,652.41,17035.04,379.76,520.05,490.10,466.67,13669.06,324.15,174.71,987.60,503.89,985.07,668.52,377.09,376.90,13769.76,502.76,85.30
2006-11-26,RMA,suisun,4,12963.00,2260.00,9490.31,3959.23,1.00,0.00,693.33,3.46,3.13,13521.00,2407.17,1921.70,485.47,4076.78,4076.78,620.67,13751.75,665.83,972.62,6101.03,6101.03,1232.36,1457.09,852.87,15989.98,14839.91,15831.74,691.55,715.61,14412.87,1706.35,10259.26,26282.95,15683.27,8994.07,622.08,552.19,662.12,17239.15,394.78,526.91,500.49,464.96,13805.02,318.50,175.37,968.60,514.91,985.12,682.51,379.75,379.65,13906.14,516.49,85.26
