datetime,model,scene,case,sac_flow,sjr_flow,exports,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,cu_total,cu_delta,cu_suisun,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2006-11-17,RMA,suisun,5,12081.36,3420.59,9095.80,6241.75,1.00,0.00,608.80,5.55,3.43,12647.82,307.48,-93.22,400.70,7250.88,7250.88,504.12,12795.85,632.43,1134.33,9845.13,9845.13,1595.00,3913.02,1042.63,15829.96,14089.47,16212.76,631.54,658.19,14200.44,3053.98,13082.01,27017.50,15448.25,10553.25,502.05,430.93,689.12,18688.98,380.06,651.33,513.77,576.58,12886.90,743.02,174.24,2584.13,532.92,2197.98,631.81,406.24,12913.31,429.95,91.83
2006-11-18,RMA,suisun,5,13249.17,3507.06,9919.90,7490.41,1.00,0.00,605.80,5.44,3.46,13818.49,380.78,-31.72,412.50,6901.66,6901.66,586.61,13181.73,617.97,1252.77,9520.39,9520.39,1713.00,3435.80,1141.49,16286.31,14509.04,16608.39,740.71,770.63,14292.47,2937.36,12924.57,27006.25,15950.59,10562.23,582.27,460.52,659.93,18714.14,399.81,652.77,506.15,561.80,13128.49,640.25,175.50,2321.02,524.33,2084.35,618.13,408.76,13334.10,446.18,91.34
2006-11-19,RMA,suisun,5,14080.61,3531.57,9866.90,7727.22,1.00,0.00,608.30,4.71,3.39,14787.48,1399.46,907.16,492.30,6436.31,6436.31,677.10,13423.59,610.62,1336.71,9031.38,9031.38,1784.99,2859.57,1198.86,16493.42,14981.25,16801.28,834.71,866.04,14523.75,2763.40,12538.32,26700.97,16179.18,10504.91,671.67,506.44,639.14,18445.77,409.42,635.90,498.08,526.48,13464.77,525.07,175.74,2029.08,525.89,1941.66,612.46,402.36,13680.70,468.13,90.89
2006-11-20,RMA,suisun,5,14977.28,3518.79,9684.70,8179.21,1.00,0.00,622.90,3.91,3.40,15891.51,1875.29,1441.39,433.90,5977.56,5977.56,761.69,13573.51,611.04,1389.70,8477.10,8477.10,1828.96,2300.38,1224.85,16569.81,15335.42,16829.73,910.23,942.36,14772.83,2605.97,12088.61,26412.57,16264.16,10402.13,756.49,563.46,625.06,18145.09,412.10,606.51,494.16,492.97,13786.80,429.41,175.12,1723.94,529.06,1763.34,614.86,389.47,13943.25,500.93,90.23
2006-11-21,RMA,suisun,5,15369.93,3513.92,9789.70,8339.72,1.00,0.00,632.50,3.23,3.54,16353.12,1958.22,1509.55,448.67,5658.67,5658.67,828.17,13802.03,620.43,1434.02,8089.08,8089.08,1865.75,1926.42,1255.46,16693.00,15611.42,16895.91,963.38,995.54,15010.90,2514.75,11806.55,26485.65,16411.36,10275.98,823.78,621.76,626.45,18087.28,413.94,579.46,498.76,473.85,14088.95,370.57,174.29,1504.49,542.89,1624.72,625.82,389.50,14201.05,542.03,89.67
2006-11-22,RMA,suisun,5,15532.66,3457.61,10017.80,9130.07,1.00,0.00,640.40,2.73,3.53,16479.17,2035.44,1534.35,501.09,5330.00,5330.00,878.00,13964.82,630.16,1456.91,7662.52,7662.52,1879.53,1634.38,1254.93,16784.60,15835.07,16980.33,1009.38,1042.15,15216.87,2398.23,11387.79,26279.90,16510.48,10148.76,874.43,677.61,645.05,17813.91,413.62,561.32,512.76,460.82,14359.52,322.53,173.60,1354.17,562.70,1538.47,635.83,399.07,14407.41,583.05,89.05
2006-11-23,RMA,suisun,5,15947.32,3407.41,9272.40,8718.15,1.00,0.00,647.10,2.57,3.50,16895.67,1793.57,1330.23,463.34,4999.98,4999.98,918.75,14046.10,638.59,1459.07,7127.30,7127.30,1875.86,1402.62,1209.02,16814.38,15981.03,17007.45,1049.94,1082.64,15380.08,2267.21,10872.94,25854.35,16531.26,10006.20,916.09,724.81,653.85,17344.05,407.58,557.76,539.08,458.23,14570.80,287.37,174.45,1229.56,594.29,1453.40,643.96,415.57,14543.83,622.91,87.95
2006-11-24,RMA,suisun,5,16061.93,3333.82,10254.70,9823.85,1.00,0.00,671.70,2.76,3.56,16851.26,1757.13,1264.19,492.94,4807.01,4807.01,953.62,14249.58,648.05,1454.86,6754.40,6754.40,1876.90,1286.31,1163.44,16927.69,16070.59,17014.99,1065.11,1097.04,15516.80,2199.88,10658.04,25853.25,16646.89,9875.80,952.68,775.79,655.67,17235.63,401.61,565.73,575.09,482.35,14733.96,273.85,175.57,1138.21,622.13,1358.96,655.99,433.66,14700.30,661.74,87.09
2006-11-25,RMA,suisun,5,16655.74,3264.53,9097.00,10232.27,1.00,0.00,681.70,3.01,3.49,17345.73,1657.59,1174.51,483.08,4639.62,4639.62,957.95,14509.00,664.10,1439.69,6434.26,6434.26,1873.74,1208.73,1152.23,17092.30,16158.53,17030.54,1054.04,1086.82,15636.35,2155.48,10509.05,25970.50,16792.44,9738.84,959.43,810.00,660.26,17245.71,404.20,576.47,614.43,502.51,14872.00,269.92,174.84,1071.51,641.55,1256.73,674.06,447.17,14867.68,692.70,86.71
2006-11-26,RMA,suisun,5,17299.92,3169.80,9203.50,10464.24,1.00,0.00,694.60,3.40,3.47,17857.92,1558.65,1073.18,485.47,4397.73,4397.73,941.42,14740.01,678.78,1407.29,6061.23,6061.23,1850.76,1159.47,1148.93,17174.00,16248.19,17005.46,1035.04,1068.85,15748.63,2087.71,10254.56,26025.36,16863.40,9496.46,944.54,822.56,671.31,17184.45,411.65,588.69,654.88,505.17,14991.82,270.49,175.93,1017.93,651.50,1165.35,686.74,458.75,15012.06,710.51,86.05
2006-11-27,RMA,suisun,5,17582.26,3070.32,9490.30,10495.47,1.00,0.00,701.30,3.65,3.47,18127.13,956.77,607.06,349.71,4136.22,4136.22,913.94,14875.70,689.77,1366.23,5576.95,5576.95,1814.04,1046.46,1144.29,17101.59,16309.82,16867.69,1014.95,1049.58,15845.16,1986.01,9836.62,25919.58,16801.53,9180.54,917.71,816.04,685.21,16910.59,418.00,599.27,697.49,477.02,15105.99,267.14,179.18,961.73,654.33,1117.89,697.93,465.71,15123.23,712.08,85.08
2006-11-28,RMA,suisun,5,17957.62,2981.07,10094.90,10910.22,1.00,0.00,707.10,3.83,3.40,18562.87,767.69,407.40,360.29,3795.36,3795.36,913.17,14877.95,698.51,1329.50,5191.27,5191.27,1780.30,941.24,1095.37,16920.75,16323.81,16620.14,1015.91,1048.10,15917.40,1861.59,9290.62,25549.34,16625.01,8779.39,915.58,811.96,698.66,16356.31,411.18,609.14,742.64,464.95,15210.69,260.96,182.07,895.21,657.29,1070.08,706.10,471.31,15191.37,712.26,84.25
