datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh2,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vol,x2
2011-10-21,RMA,suisun,6,18058.72,4188.23,9141.49,-134.78,14066.60,0.00,0.00,256.54,1.88,2.99,18885.08,4044.06,4044.06,438.83,12042.19,252.14,628.63,5604.25,5604.25,1091.27,848.72,525.86,13970.33,13560.97,14170.74,466.54,477.62,14235.13,1203.07,8878.59,13627.29,9825.56,439.38,409.70,414.80,13821.90,293.44,583.69,448.80,240.04,12970.57,237.45,122.30,712.25,425.25,770.42,257.58,12392.90,85.45
2011-10-22,RMA,suisun,6,17149.60,4049.07,9160.49,-141.11,13001.08,0.00,0.00,261.04,2.04,2.95,17971.39,3281.80,3281.80,446.92,12088.82,262.50,619.34,4530.09,4530.09,1056.16,589.23,512.60,13732.84,13419.65,13747.60,474.88,485.84,13999.34,1056.62,7847.91,13451.14,9627.15,447.37,425.63,373.16,13129.23,290.84,442.61,439.95,214.99,12907.66,200.50,122.57,548.26,396.12,632.99,266.42,12527.32,83.23
2011-10-23,RMA,suisun,6,17020.01,4136.59,8646.49,-46.09,13314.09,0.00,0.00,256.54,2.36,3.14,17777.90,2960.13,2960.13,454.32,12267.33,266.15,611.41,4188.81,4188.81,1029.54,513.91,503.83,13632.83,13360.05,13489.29,480.19,490.72,13810.25,1034.05,7526.57,13420.60,9313.77,454.90,434.06,353.46,13248.20,280.97,373.24,441.25,213.83,12911.14,188.09,122.66,473.05,397.06,568.11,268.29,12659.74,81.85
2011-10-24,RMA,suisun,6,17635.29,4161.37,10398.49,25.10,12776.91,0.00,0.00,261.46,3.00,3.34,19039.14,2919.94,2919.94,459.21,12513.14,265.49,613.24,4315.35,4315.35,1011.94,538.67,507.15,13725.68,13359.40,13513.48,483.95,494.62,13673.84,1084.05,7779.52,13562.56,8957.88,460.12,440.62,335.77,13906.69,266.78,346.72,446.08,224.31,12977.06,183.13,122.73,462.57,385.85,563.43,267.53,12812.87,81.49
2011-10-25,RMA,suisun,6,19185.94,4452.12,10948.49,-110.04,14203.70,0.00,0.00,251.13,3.79,3.30,20590.03,2830.88,2830.88,463.04,12707.27,264.22,621.41,4388.52,4388.52,998.91,554.58,507.09,13920.66,13436.79,13686.73,488.68,498.91,13615.37,1083.63,7844.04,13765.90,8652.84,463.71,447.67,316.10,14213.38,257.99,331.72,452.99,230.47,13070.08,178.41,125.51,483.02,387.44,585.66,265.30,12960.90,81.86
2011-10-26,RMA,suisun,6,21167.36,4578.12,9749.49,-186.75,17299.90,0.00,0.00,249.96,4.61,3.20,22284.51,2517.02,2517.02,467.09,12798.68,258.03,617.35,3905.98,3905.98,973.20,488.78,485.49,13956.17,13544.54,13657.14,489.60,498.38,13619.07,979.94,7262.97,13788.74,8387.67,467.59,452.73,305.38,13716.43,256.37,318.34,460.21,221.54,13142.56,171.83,127.18,470.81,384.24,568.19,259.01,13067.92,81.21
2011-10-27,RMA,suisun,6,22490.56,4849.08,9482.49,-223.56,18938.11,0.00,0.00,239.17,5.27,3.22,23347.96,2191.09,2191.09,467.34,12841.88,252.53,597.11,3340.29,3340.29,932.10,443.00,469.79,13801.35,13576.12,13387.19,478.39,485.50,13620.01,872.83,6645.83,13628.28,8118.55,468.18,455.82,300.19,13166.27,253.52,306.84,466.56,211.52,13194.67,168.40,126.39,435.77,382.80,519.27,253.61,13123.01,79.63
2011-10-28,RMA,suisun,6,23845.11,4879.58,9452.49,-216.58,20370.23,0.00,0.00,250.58,5.58,3.25,24726.57,1934.83,1934.83,458.14,12835.55,249.79,571.16,2922.21,2922.21,887.11,410.88,457.64,13555.99,13492.18,13039.28,464.16,470.92,13576.40,793.00,6143.91,13384.00,7807.99,459.72,455.52,294.30,12721.14,247.75,297.26,472.20,205.02,13217.60,164.98,127.07,404.75,379.07,476.58,252.67,13117.31,78.44
2011-10-29,RMA,suisun,6,24019.21,5160.86,9397.49,-327.84,21070.56,0.00,0.00,264.00,5.39,3.16,24979.35,1643.36,1643.36,446.45,12750.57,258.50,542.50,2443.83,2443.83,841.19,359.32,435.92,13193.09,13322.90,12566.43,450.17,456.31,13484.64,703.10,5397.23,13025.36,7485.26,448.34,452.48,289.03,11843.36,243.42,288.07,477.07,194.94,13194.64,160.06,128.71,372.81,372.91,433.30,262.87,13050.19,77.04
2011-10-30,RMA,suisun,6,23127.55,5139.09,9586.49,-384.82,20339.66,0.00,0.00,255.29,4.83,3.25,24402.25,1380.94,1380.94,433.95,12613.25,265.53,509.79,2026.93,2026.93,796.24,313.29,409.78,12698.78,13074.17,11934.18,434.11,439.60,13340.79,622.72,4702.00,12539.32,7159.82,436.14,445.37,295.85,11035.08,238.20,283.00,480.04,186.75,13124.44,157.08,128.55,336.11,372.82,388.60,267.77,12929.11,75.16
