datetime,model,scene,case,sac_flow,sjr_flow,exports,cu_flow,ndo,dcc,smscg,vern_ec,sf_tidal_energy,sf_tidal_filter,northern_flow,anc,anh,bac,bdl,bdt,bet,cll,cse,dsj,emm2,frk,god,gys,gzl,hll,hol2,ibs,jer,mal,mrz,mtz,nsl2,obi,oh4,old,pct,ppt,rri2,rsl,sal,snc,srv,sss,tms,trp,tss,uni,vcu2,vol,wci,x2
2009-11-01,RMA,suisun,7,9504.00,1959.00,6810.00,958.31,4059.38,1.00,0.00,409.33,3.03,3.15,9868.70,5206.51,5206.51,441.01,12295.17,466.96,713.38,7659.72,7659.72,1097.31,1935.24,642.16,13974.73,13260.52,14172.20,491.15,503.77,13804.34,1708.47,10581.75,22551.54,13794.42,10103.20,439.81,395.09,827.65,15343.83,297.78,622.95,518.42,351.22,12985.51,425.74,157.05,1196.66,462.47,1100.53,401.60,350.85,12652.97,400.03,87.51
2009-11-02,RMA,suisun,7,9533.70,1745.00,7283.00,2526.63,1883.40,1.00,0.00,458.04,3.72,3.20,9948.03,5363.08,5363.08,467.22,12638.60,409.22,788.54,7863.80,7863.80,1170.37,2199.77,718.28,14473.72,13441.27,14559.67,536.15,551.58,13708.06,1898.21,11010.23,24070.15,14289.20,10077.32,465.24,415.18,814.35,16206.18,309.05,622.73,510.42,386.90,13036.01,459.32,154.58,1318.15,409.83,1195.54,408.13,369.85,12909.44,398.25,88.18
2009-11-03,RMA,suisun,7,9507.30,1616.00,4421.00,2512.28,4523.04,1.00,0.00,504.54,4.35,3.30,9840.33,5510.83,5510.83,494.84,13024.99,409.40,867.35,8105.82,8105.82,1245.05,2507.41,792.49,15083.08,13800.45,15098.90,581.15,599.13,13783.52,2039.34,11477.62,25440.90,14864.47,10079.57,492.06,427.64,797.72,17132.80,324.05,619.34,502.23,424.21,13170.93,508.85,155.11,1496.87,407.36,1317.36,439.79,375.40,13201.69,408.00,88.82
2009-11-04,RMA,suisun,7,9585.40,1578.00,4371.00,2478.63,4626.87,1.00,0.00,528.08,4.85,3.54,9898.50,5817.62,5817.62,531.34,13561.52,426.17,953.12,8578.60,8578.60,1338.03,2955.10,878.32,15930.89,14293.06,15868.70,636.23,656.66,13996.38,2224.46,12215.96,27083.77,15664.53,10137.41,527.70,441.60,749.51,18388.05,342.97,612.55,495.39,481.84,13381.70,601.17,156.45,1746.14,418.72,1472.97,481.47,374.88,13575.90,416.83,89.28
2009-11-05,RMA,suisun,7,9373.10,1523.00,4420.00,2332.43,4461.75,1.00,0.00,547.13,4.93,3.51,9691.18,5932.05,5932.05,571.63,14064.99,452.47,1037.91,8927.12,8927.12,1414.53,3242.50,955.02,16749.82,14886.64,16728.12,691.14,713.42,14312.50,2318.46,12670.38,28002.83,16447.83,10215.09,567.19,457.72,619.81,19119.92,363.63,604.35,491.06,516.90,13662.16,657.81,159.89,1966.61,431.08,1630.80,514.13,373.26,13977.56,427.19,90.22
2009-11-06,RMA,suisun,7,8794.50,1459.00,4392.00,2236.96,3982.77,1.00,0.00,581.25,4.73,3.37,9152.73,5621.24,5621.24,602.11,14255.65,483.95,1080.48,8537.48,8537.48,1444.22,2994.30,978.50,17065.59,15391.51,17146.00,730.82,754.55,14640.18,2190.66,12358.66,27648.73,16744.96,10210.77,596.79,473.25,526.70,18844.03,375.43,598.72,490.01,493.74,13948.87,598.53,166.93,1885.29,446.35,1606.35,536.86,372.24,14266.99,439.38,89.49
2009-11-07,RMA,suisun,7,9809.80,1427.00,3590.00,2079.23,5929.17,0.00,0.00,611.92,4.25,3.25,10171.40,5360.34,5360.34,636.16,14330.02,513.30,1100.83,8133.39,8133.39,1466.41,2697.35,993.90,17188.25,15728.98,17258.38,770.12,794.63,14927.86,2111.04,12015.16,27272.56,16841.97,10174.55,630.26,490.44,513.61,18524.00,381.81,591.40,491.95,502.11,14196.98,525.73,163.01,1733.04,459.43,1524.30,561.22,373.21,14455.26,452.75,88.87
2009-11-08,RMA,suisun,7,9183.90,1392.00,4473.00,1892.84,4612.46,0.00,0.00,608.75,3.59,3.09,9586.31,4968.38,4968.38,672.59,14274.41,541.55,1112.05,7446.33,7446.33,1466.52,2181.91,999.18,17034.20,15908.03,17074.97,799.65,823.57,15137.56,1992.77,11357.01,26519.65,16686.04,10079.33,666.44,511.71,527.22,17842.16,385.13,583.28,497.88,497.92,14392.99,412.51,159.40,1479.91,474.55,1395.88,591.16,376.96,14546.43,468.93,88.01
2009-11-09,RMA,suisun,7,9721.80,1340.00,4447.00,1746.73,5460.86,0.00,0.00,647.67,2.94,3.12,10314.58,4671.56,4671.56,705.25,14244.20,568.98,1115.93,6873.26,6873.26,1460.55,1762.62,1000.79,16808.88,15972.57,16788.68,820.59,843.83,15293.53,1898.65,10836.03,26071.44,16486.13,10003.06,699.10,535.51,546.58,17402.45,389.50,574.06,507.94,493.10,14551.23,346.86,162.40,1242.64,488.05,1270.29,611.41,382.31,14613.99,484.82,86.84
2009-11-10,RMA,suisun,7,9561.20,1320.00,4451.00,1589.70,5429.61,0.00,0.00,675.33,2.51,3.04,10150.30,4396.02,4396.02,732.88,14237.61,591.57,1117.16,6427.47,6427.47,1452.79,1434.84,1004.64,16597.56,15989.20,16558.90,837.71,860.23,15404.18,1814.25,10352.60,25683.99,16306.68,9921.25,726.86,560.55,568.69,16996.18,394.09,565.46,521.73,488.34,14692.94,304.85,162.34,1066.26,503.39,1183.48,626.92,387.43,14677.15,502.66,86.10
2009-11-11,RMA,suisun,7,9870.30,1296.00,4455.00,1422.68,5695.18,0.00,0.00,680.75,2.39,3.12,10276.86,4218.62,4218.62,757.61,14300.98,609.91,1123.44,6237.95,6237.95,1451.07,1266.59,1014.81,16500.26,15983.89,16452.57,856.56,877.97,15497.06,1781.47,10158.36,25720.45,16252.11,9866.80,751.86,586.28,590.05,16974.11,399.77,557.89,538.58,500.60,14823.81,284.09,163.94,966.82,519.06,1120.16,656.14,392.75,14770.21,520.10,85.29
2009-11-12,RMA,suisun,7,9853.80,1278.00,4451.00,1313.44,5891.59,0.00,0.00,692.38,2.53,3.23,10378.03,4268.86,4268.86,786.17,14530.38,627.74,1141.25,6414.88,6414.88,1464.77,1265.06,1034.24,16623.18,16008.33,16598.43,882.35,902.99,15592.96,1821.98,10448.55,26382.44,16432.63,9822.90,780.73,615.42,607.77,17500.34,409.03,551.43,557.99,541.42,14969.94,279.95,170.72,952.68,534.98,1112.99,677.05,398.96,14931.14,539.56,85.33
2009-11-13,RMA,suisun,7,9563.40,1279.00,4455.00,1148.97,5885.79,0.00,0.00,699.46,2.94,3.15,10210.76,4271.57,4271.57,810.58,14719.53,645.89,1162.37,6523.13,6523.13,1480.55,1265.43,1055.99,16831.56,16101.49,16830.01,907.20,926.71,15698.40,1828.93,10583.33,26659.80,16655.55,9795.20,805.08,643.98,628.36,17740.48,422.04,546.91,579.59,567.67,15123.09,276.15,175.79,969.82,556.41,1133.04,687.53,404.96,15103.33,562.22,85.59
2009-11-14,RMA,suisun,7,9496.30,1310.00,4656.00,1140.08,5360.06,0.00,0.00,703.00,3.66,3.05,9846.14,4202.49,4202.49,830.55,14863.09,662.82,1177.72,6432.67,6432.67,1490.65,1248.31,1068.02,17009.91,16235.70,16965.59,927.33,945.96,15821.22,1803.04,10539.63,26613.17,16810.88,9828.06,824.97,666.69,651.06,17712.85,436.79,544.21,602.52,579.12,15266.24,276.81,176.24,965.65,576.82,1129.25,696.91,411.82,15261.04,584.36,85.58
2009-11-15,RMA,suisun,7,9554.60,1297.00,4648.00,1139.48,5341.31,0.00,0.00,710.83,4.26,2.88,9831.79,4096.15,4096.15,847.88,14979.40,677.35,1184.27,6227.95,6227.95,1490.65,1228.22,1072.74,17110.07,16362.49,16986.09,942.69,960.37,15946.65,1763.31,10402.00,26443.52,16878.15,9902.70,842.49,684.76,669.09,17554.17,449.96,543.61,626.28,585.09,15394.40,281.05,174.83,955.92,593.22,1109.33,703.72,420.97,15393.49,602.65,85.37
2009-11-16,RMA,suisun,7,9669.00,1299.00,4569.00,1177.05,5460.09,0.00,0.00,728.38,4.57,2.87,9907.14,4058.65,4058.65,862.92,15115.73,687.99,1185.67,6125.86,6125.86,1486.02,1251.63,1076.46,17180.97,16455.78,16947.15,952.80,969.87,16065.39,1746.23,10442.14,26605.25,16925.70,9981.03,857.95,698.84,682.18,17657.29,463.39,544.31,650.42,598.35,15510.85,291.08,175.37,948.23,606.98,1081.12,709.58,431.84,15516.43,619.23,85.05
2009-11-17,RMA,suisun,7,9373.10,1310.00,4390.00,1226.82,5334.61,0.00,0.00,747.38,4.70,3.06,9641.43,4221.57,4221.57,876.54,15366.23,695.38,1190.34,6401.59,6401.59,1486.06,1408.95,1086.50,17405.74,16551.31,17086.71,963.60,980.69,16186.33,1793.81,10952.20,27456.49,17135.68,10086.08,872.27,713.01,691.56,18354.84,481.47,545.05,682.03,639.20,15636.49,313.78,181.58,988.42,619.07,1077.63,720.28,443.29,15673.22,634.22,85.23
2009-11-18,RMA,suisun,7,8963.90,1304.00,4098.00,1209.02,5232.12,0.00,0.00,742.96,4.52,3.03,9235.14,4329.41,4329.41,888.24,15594.62,702.85,1199.49,6681.87,6681.87,1490.42,1528.02,1094.78,17696.45,16694.77,17421.73,975.40,992.34,16311.73,1821.01,11301.78,28019.09,17420.47,10137.74,884.36,728.07,699.12,18781.45,502.32,546.33,725.12,671.21,15774.32,329.13,186.73,1058.31,630.72,1122.96,735.83,453.85,15833.12,646.62,85.94
2009-11-19,RMA,suisun,7,8921.00,1306.00,4094.00,1150.13,5272.40,0.00,0.00,729.83,4.29,2.84,9210.53,4092.46,4092.46,893.74,15633.13,716.76,1196.63,6305.79,6305.79,1478.36,1405.04,1084.37,17720.57,16835.26,17458.89,979.99,996.53,16429.04,1740.92,10843.67,27513.24,17433.07,10062.62,889.30,741.11,707.74,18285.00,510.94,550.25,750.82,646.10,15890.47,320.57,188.52,1023.84,642.11,1103.46,745.82,464.24,15930.78,659.33,85.52
