datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol
2011-10-18,SCHISM,baseline,2,23605.95,18453.68,5053.27,-10840.83,-425.78,18244.17,1.00,0.00,1.87,0.31,90.40,55.60,481.38,672.78,575.41,563.48,686.69,502.56,788.20,18752.55,12658.85,10102.33,3172.89,597.79,7556.65,2328.25,341.28,261.15,570.81,700.58,337.00,13231.54,1078.79,12298.17,9885.12,11770.13,1293.14,171.25,1677.60,7561.24,10102.50,387.80,502.56,563.48,12252.76,15031.43,14502.31,481.69,408.65,455.50
2011-10-19,SCHISM,baseline,2,22376.62,17512.56,4815.34,-10249.73,-315.84,17258.07,1.00,0.00,4.14,0.12,88.80,59.90,375.74,571.23,379.92,323.72,368.62,463.74,696.23,18534.14,13077.78,10042.82,3971.22,677.55,7641.31,2983.85,456.98,302.05,642.21,443.86,306.99,12244.99,1270.28,12105.61,9998.60,11835.37,2017.62,399.51,2489.71,7652.24,10041.62,378.00,463.74,323.72,13498.24,14741.75,15629.04,466.70,427.54,463.11
2011-10-20,SCHISM,baseline,2,21683.07,16874.47,4793.10,-10257.81,-428.53,16646.88,1.00,0.00,4.77,0.09,87.60,49.70,478.23,375.23,378.86,369.26,317.72,422.23,363.07,18105.29,12364.82,8957.92,2998.66,448.51,6914.19,2806.74,389.08,343.20,658.64,308.92,247.33,11847.39,1348.19,12018.19,10074.13,12181.99,1822.61,350.68,2018.79,6927.53,8957.57,412.47,422.23,369.26,14219.56,14890.88,15999.09,449.78,427.11,461.63
2011-10-21,SCHISM,baseline,2,21179.10,16399.98,4683.46,-9773.10,-410.27,16499.73,1.00,0.00,5.04,0.09,86.00,51.20,461.47,371.39,383.12,384.82,331.22,418.84,336.78,17420.51,11469.41,7899.21,2386.33,422.66,6063.38,2539.86,458.88,366.06,459.72,323.08,205.12,12026.48,1379.16,12015.82,9475.15,12549.40,1567.89,198.18,1656.68,6074.52,7897.98,418.84,418.84,384.82,14474.74,15031.92,15883.95,489.71,416.50,462.47
2011-10-22,SCHISM,baseline,2,21024.65,15944.61,4848.45,-11502.75,-435.74,14806.09,1.00,0.00,4.99,0.04,84.80,57.00,492.74,355.17,384.61,366.70,321.79,434.75,339.14,16776.54,10490.93,6786.06,1854.38,339.78,5217.65,2224.38,401.21,386.95,348.76,323.93,223.76,12292.09,1378.36,12002.12,8430.30,12787.71,1348.79,169.51,1352.19,5226.93,6783.75,414.81,434.75,366.70,14454.65,14979.13,15480.81,550.69,413.96,469.87
2011-10-23,SCHISM,baseline,2,20575.58,15629.80,4815.59,-12049.64,-430.07,13771.61,1.00,0.00,4.61,0.01,84.60,161.70,591.77,343.20,378.86,360.08,339.56,439.20,333.14,16111.07,9657.81,5935.98,1489.11,285.06,4557.74,1994.21,362.65,381.41,337.00,330.79,217.26,12510.65,1370.57,11969.97,7236.30,12908.38,1194.51,159.51,1138.05,4564.91,5933.99,399.51,439.20,360.08,14255.83,14775.40,14938.57,614.49,422.66,496.66
2011-10-24,SCHISM,baseline,2,20167.15,15237.63,4947.30,-10832.09,-289.14,14571.50,1.00,0.00,4.08,0.06,84.20,297.70,586.84,357.95,383.97,362.43,327.79,439.20,339.35,16246.04,9453.53,5793.55,1295.15,250.79,4252.86,1887.49,361.36,371.82,325.65,330.36,186.24,12678.37,1430.81,11980.80,6356.57,13029.95,1108.54,153.63,988.44,4258.78,5791.93,413.11,439.20,362.43,14066.07,14624.82,14477.73,695.61,442.59,549.43
2011-10-25,SCHISM,baseline,2,19731.44,15125.00,4812.01,-10677.56,-179.41,14045.30,1.00,0.00,3.38,0.12,83.00,298.40,477.81,354.53,387.59,378.00,326.08,439.20,330.79,15897.50,9023.78,5504.40,1115.01,230.25,3861.23,1717.82,361.79,364.35,335.07,320.07,167.33,12858.99,1426.43,11932.90,5805.82,13102.10,1025.45,153.63,881.26,3864.59,5503.68,429.66,439.20,378.00,13889.72,14421.09,14153.66,741.15,475.78,617.41
2011-10-26,SCHISM,baseline,2,19603.04,15255.08,4956.54,-10583.57,-78.75,14054.75,1.00,0.00,2.66,0.10,81.60,171.50,250.25,361.36,410.98,395.46,311.49,439.20,331.22,14741.87,8022.35,4596.36,768.20,206.86,3294.07,1490.50,315.79,344.70,337.00,315.57,158.64,12952.89,1343.59,11714.52,5491.17,13028.78,900.09,150.37,707.63,3300.10,4596.36,453.59,439.20,395.46,13599.22,14042.08,13692.61,656.15,516.66,651.78
2011-10-27,SCHISM,baseline,2,18902.21,14986.65,4784.30,-10548.57,-10.29,13148.22,1.00,0.00,2.04,0.03,80.40,135.60,145.89,358.38,431.78,399.93,316.43,445.13,328.00,13571.59,7016.91,3656.27,563.27,188.20,2813.60,1313.98,251.87,332.72,323.50,316.43,157.55,12916.11,1283.92,11413.84,5114.92,12896.46,771.30,144.71,585.45,2816.84,3655.33,476.63,445.13,399.93,13224.16,13638.16,13012.66,615.11,538.10,644.29
2011-10-28,SCHISM,baseline,2,18416.13,14479.83,4650.34,-10730.42,121.01,12215.04,1.00,0.00,1.50,0.07,80.00,127.70,6.69,369.26,464.59,408.01,307.85,464.59,331.22,13105.79,6451.78,3201.99,448.09,176.25,2516.81,1201.55,235.23,312.78,316.43,302.69,151.89,12822.68,1255.43,11156.54,4639.17,12805.20,675.68,129.47,477.68,2519.69,3201.80,497.08,464.59,408.01,12866.55,13199.86,12295.63,601.55,530.96,643.46
2011-10-29,SCHISM,baseline,2,18378.58,14119.70,4720.44,-11005.71,245.46,11847.86,1.00,0.00,1.20,0.21,79.80,70.60,-174.86,360.51,477.47,394.19,316.00,495.19,323.72,13105.46,6172.78,2962.02,376.72,171.25,2335.59,1114.61,225.49,292.59,316.43,297.75,151.46,12794.44,1235.14,10952.10,4106.01,12722.62,641.38,129.47,406.31,2336.94,2961.26,497.30,495.19,394.19,12621.14,12797.46,11872.63,605.72,518.56,643.25
2011-10-30,SCHISM,baseline,2,18628.77,14051.67,4737.06,-10940.46,382.94,12042.42,1.00,0.00,1.09,0.37,78.20,109.90,-273.04,360.51,460.57,369.26,304.84,527.18,323.93,13556.93,6281.49,2912.03,324.15,161.03,2250.72,1074.13,218.78,278.82,316.43,302.26,150.37,12760.47,1225.89,10747.31,3686.37,12673.16,638.67,129.47,392.91,2252.65,2910.89,486.12,527.18,369.26,12512.68,12512.34,11861.28,620.33,514.98,641.17
2011-10-31,SCHISM,baseline,2,18055.67,13843.28,4749.37,-8782.11,528.53,13494.39,1.00,0.00,1.30,0.31,77.80,669.10,140.57,336.78,446.61,357.52,295.82,554.25,311.28,13754.90,6207.06,2653.53,278.60,152.98,2125.44,1012.24,218.99,269.34,316.43,295.82,150.37,12715.05,1209.80,10478.76,3517.84,12613.06,611.36,129.47,407.80,2126.61,2652.96,481.69,554.25,357.52,12461.27,12401.59,11946.11,611.78,510.14,627.21
2011-11-01,SCHISM,baseline,2,18056.44,13813.66,4718.91,-11024.66,416.61,11334.08,1.00,0.00,1.69,0.20,77.20,190.30,-226.31,347.69,460.15,357.52,311.71,560.54,306.56,12176.59,5483.56,2643.58,240.20,152.98,1826.73,887.61,270.85,257.91,303.77,300.33,150.37,12662.05,1146.12,10237.05,3504.14,12541.49,484.22,129.47,320.29,1828.50,2643.00,489.50,560.54,357.52,12533.23,12485.38,11950.68,377.36,509.72,573.74
2011-11-02,SCHISM,baseline,2,17516.86,13525.00,4530.73,-11114.15,508.95,10424.49,1.00,0.00,2.29,0.18,78.40,317.80,-191.15,364.99,457.40,356.88,296.68,572.06,354.74,13380.44,5489.00,2202.29,265.24,153.20,1631.40,865.27,228.52,246.25,295.82,300.76,150.37,12535.76,1110.16,10027.51,3313.86,12413.05,472.61,129.47,350.47,1632.98,2201.91,492.45,572.06,356.88,12304.24,12445.09,11962.35,336.14,500.46,515.61
2011-11-03,SCHISM,baseline,2,16470.26,12752.52,3929.69,-11042.86,684.28,8672.80,1.00,0.00,2.87,0.19,78.40,260.70,-423.58,357.31,447.03,339.56,289.80,560.54,319.86,15106.22,6483.43,2531.02,350.68,152.54,1757.58,862.61,248.84,237.17,309.56,283.13,150.37,12363.64,1112.18,9906.14,3115.21,12227.93,437.71,129.47,346.84,1760.53,2529.30,474.30,560.54,339.56,12202.09,12515.37,12045.93,405.03,429.66,524.02
2011-11-04,SCHISM,baseline,2,16374.90,12793.12,3480.62,-9675.02,811.56,9368.93,1.00,0.00,3.43,0.21,80.20,239.70,-571.86,354.32,419.69,339.35,347.69,555.51,306.77,15080.96,6533.65,2573.63,395.89,156.68,1744.59,823.60,245.60,243.23,303.34,313.43,150.37,12233.17,1075.96,9508.18,2737.66,12053.70,459.30,110.54,369.69,1747.94,2572.86,433.47,555.51,339.35,12068.75,12411.20,12102.91,461.63,410.35,508.04
2011-11-05,SCHISM,baseline,2,16375.30,12881.86,3238.84,-9624.74,1218.23,8771.17,1.00,0.00,4.04,0.25,78.80,102.80,-1115.43,359.23,378.43,337.00,429.87,524.86,375.66,15344.78,6778.76,2745.30,448.09,156.90,1807.30,811.88,251.22,251.22,298.61,402.48,150.37,12114.57,1029.71,9175.15,2649.32,11838.75,473.04,108.58,391.21,1811.62,2744.15,408.86,524.86,337.00,11975.38,12309.31,12203.95,490.55,401.21,484.43
2011-11-06,SCHISM,baseline,2,16174.49,12720.02,3126.14,-9491.96,1306.56,8502.10,1.00,0.00,4.46,0.20,80.20,120.30,-1186.26,385.89,386.52,328.65,443.43,488.65,437.50,14889.25,6597.23,2791.29,456.76,156.03,1802.19,781.40,236.96,257.91,295.82,439.20,150.37,11929.69,991.90,8720.35,2597.98,11605.61,471.14,109.24,398.44,1807.69,2789.19,402.91,488.65,328.65,11785.21,12171.01,12223.88,509.30,393.12,486.33
2011-11-07,SCHISM,baseline,2,16312.82,12884.74,2965.52,-9077.08,1265.33,8935.94,1.00,0.00,4.55,0.15,78.60,120.40,-1144.93,392.70,388.65,319.22,479.79,465.01,465.85,14417.27,6441.22,2851.71,456.76,155.37,1745.18,744.67,229.39,256.83,319.86,460.78,150.37,11738.26,956.87,8352.67,2564.23,11338.85,456.55,128.82,388.44,1749.51,2849.80,389.29,465.01,319.22,11560.62,12039.84,12050.15,501.30,399.72,494.77
2011-11-08,SCHISM,baseline,2,16464.30,13020.04,2751.73,-8364.08,1265.97,9585.98,1.00,0.00,4.41,0.11,78.00,125.50,-1140.47,402.48,398.02,316.43,475.78,459.51,497.08,13847.56,6159.86,2743.77,447.88,155.37,1671.29,702.24,217.91,248.41,358.59,471.98,149.72,11476.55,932.79,8008.13,2573.05,11063.32,436.87,127.30,377.15,1675.43,2742.62,389.08,459.51,316.43,11270.11,11803.17,11795.04,479.37,410.98,485.91
2011-11-09,SCHISM,baseline,2,16528.93,13066.97,2692.72,-9018.15,1289.32,8914.18,1.00,0.00,4.00,0.06,78.00,111.80,-1177.52,406.10,380.35,305.48,538.94,445.13,513.93,13402.71,5789.40,2471.83,383.76,158.64,1552.63,651.57,207.73,237.39,398.23,499.19,149.72,11186.69,911.54,7639.73,2590.89,10723.03,409.50,129.26,342.56,1556.00,2470.68,391.42,445.13,305.48,10909.77,11456.33,11423.36,455.50,414.59,475.99
2011-11-10,SCHISM,baseline,2,16401.77,12910.66,2632.63,-8133.61,885.32,10015.47,1.00,0.00,3.43,0.09,78.00,112.40,-772.92,418.63,393.34,301.83,546.91,439.20,561.38,13470.21,5764.31,2362.22,340.85,159.72,1507.19,620.95,204.47,233.71,425.20,548.80,150.37,10699.43,880.03,7377.00,2498.75,10330.26,378.43,129.47,307.63,1510.37,2362.22,395.68,439.20,301.83,10643.83,11136.09,11072.18,437.71,410.77,470.71
2011-11-11,SCHISM,baseline,2,15869.90,12482.79,2608.59,-8132.21,915.32,9430.96,1.00,0.00,2.93,0.08,77.60,40.30,-875.02,428.39,387.16,299.04,557.82,449.57,566.62,13206.71,5752.22,2378.62,321.57,158.20,1473.01,593.61,198.18,233.71,448.30,549.01,150.37,10224.00,862.20,7122.51,2392.88,10019.94,364.78,120.33,296.68,1476.59,2378.62,390.78,449.57,299.04,10464.88,10897.99,10887.75,423.72,409.28,458.03
