datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2021-01-01,SCHISM,base,2021,8824.24,8461.30,1009.59,2358.64,229.50,7704.69,0.00,1.00,2.80,2.64,37.40,27.50,-202.00,749.42,758.30,620.75,787.38,996.18,790.47,20741.34,12677.36,7887.08,1599.96,216.39,4414.27,1606.09,665.50,638.25,700.58,760.77,184.29,8621.85,1389.94,8163.73,9132.47,8761.99,1100.86,171.25,1020.57,4429.20,7885.32,27693.30,839.21,996.18,620.75,11834.69,13435.67,18488.16,890.27,938.51,996.38,751.69
2021-01-02,SCHISM,base,2021,8722.18,8351.58,1000.73,2352.36,159.27,7529.82,0.00,1.00,3.84,3.13,37.60,16.90,-142.37,760.98,763.46,620.75,802.41,996.18,783.26,21593.78,13395.67,8248.01,2093.95,255.11,4934.39,1719.79,675.68,643.67,700.58,775.63,192.10,8447.26,1390.14,8331.85,7617.51,9379.12,1061.16,171.25,1109.35,4953.21,8245.55,29332.76,830.18,996.18,620.75,14010.75,14958.27,18125.70,911.75,930.14,984.78,758.92
2021-01-03,SCHISM,base,2021,8349.99,7989.18,996.38,2332.37,290.12,7304.12,0.00,1.00,3.27,3.14,37.40,10.50,-279.62,771.50,770.47,621.79,821.54,996.18,839.42,21268.72,13230.53,8141.47,2061.84,260.50,4815.26,1679.38,674.44,640.75,700.58,798.71,192.10,8873.40,1390.74,8409.33,7671.10,9575.76,1135.02,171.25,1165.49,4833.94,8140.07,28881.87,832.03,996.18,621.79,14098.88,15293.95,18143.39,925.64,923.19,974.39,765.93
2021-01-04,SCHISM,base,2021,8311.50,7929.04,991.36,2786.24,-25.43,6491.18,0.00,1.00,2.73,3.27,37.60,43.00,68.43,785.94,785.11,637.42,832.85,996.18,891.49,21883.29,13873.21,8677.65,2362.80,290.44,5274.23,1800.43,685.23,645.75,700.58,811.88,192.10,9100.02,1394.93,8365.96,7971.60,9858.07,1147.13,171.25,1247.40,5290.77,8675.56,29614.83,837.37,996.18,637.42,14459.30,15718.67,18147.77,939.12,923.60,961.35,782.64
2021-01-05,SCHISM,base,2021,9171.57,8767.19,979.53,2768.64,174.34,7556.80,0.00,1.00,2.15,3.02,37.60,49.00,-125.34,804.88,790.67,640.75,835.11,996.18,937.28,19525.08,12041.53,7396.45,1559.96,220.73,4193.10,1524.86,639.50,630.34,700.58,819.49,192.10,9249.89,1385.15,8026.74,7923.99,9502.30,1169.32,171.25,1134.21,4209.02,7395.74,27259.11,840.04,996.18,640.75,13246.45,14924.17,18142.58,932.18,921.76,943.00,790.47
2021-01-06,SCHISM,base,2021,8995.06,8587.85,971.24,3444.22,97.47,6619.55,0.00,1.00,1.97,2.98,37.80,48.20,-49.27,824.42,804.06,640.75,836.34,992.92,971.34,18977.38,11303.47,6858.16,1366.58,209.46,3848.56,1482.16,604.68,617.20,705.76,821.13,192.10,9356.43,1374.37,7874.77,7254.54,9483.28,1077.38,171.25,1006.96,3863.10,6857.45,27064.95,844.14,992.92,640.75,13004.94,14701.12,17758.24,928.09,918.08,934.63,803.65
2021-01-07,SCHISM,base,2021,9474.98,9088.24,955.88,3569.67,164.98,7026.17,0.00,1.00,2.29,3.06,37.80,37.90,-127.08,825.66,809.82,640.75,839.21,982.13,1005.94,18808.65,11166.42,6776.44,1328.59,205.77,3816.88,1479.17,611.78,608.23,711.77,826.89,192.10,9424.98,1374.17,7806.52,6603.84,9551.57,1045.34,171.25,973.38,3830.11,6773.95,27901.90,839.83,982.13,640.75,12710.85,14528.22,17588.37,927.07,913.38,932.59,807.15
2021-01-08,SCHISM,base,2021,9800.76,9406.24,942.23,4087.12,172.70,6828.58,0.00,1.00,3.08,3.02,36.40,71.30,-101.40,823.60,786.35,636.38,837.37,976.64,1047.17,19995.40,11752.16,7221.06,1554.81,218.13,4178.65,1568.88,635.75,610.32,714.67,834.90,192.10,9466.85,1385.15,7725.54,6503.81,9739.78,1039.87,168.64,1014.07,4193.10,7218.41,28514.05,833.05,976.64,636.38,12636.97,14600.92,17644.69,935.24,903.36,929.12,791.70
2021-01-09,SCHISM,base,2021,9514.67,9148.63,1028.57,4425.37,373.58,6491.46,0.00,1.00,4.08,2.98,37.80,60.00,-313.58,815.38,783.46,635.54,839.21,976.64,1054.27,20855.32,12277.57,7547.65,1748.33,238.25,4405.78,1638.51,650.12,617.83,715.71,835.93,192.10,9470.48,1394.53,7634.26,6765.04,9914.06,1066.43,166.25,1081.02,4421.09,7545.00,28299.70,827.30,976.64,635.54,13044.22,14986.41,17826.69,948.71,888.83,932.18,787.38
2021-01-10,SCHISM,base,2021,9143.01,8774.39,1034.03,3925.44,202.54,6454.14,0.00,1.00,5.04,3.01,37.80,50.50,-152.04,811.88,777.28,634.29,824.42,976.64,1039.66,22020.96,13112.67,8170.04,2167.77,276.67,4931.28,1794.73,675.27,633.46,716.74,837.57,191.24,9412.52,1407.69,7617.51,6789.09,10155.62,1144.51,162.33,1242.37,4948.09,8167.77,28956.90,825.86,976.64,634.29,13724.34,15539.03,18156.37,966.45,886.38,932.38,782.84
