datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,oh4,rsl,vcu,mtz
2011-10-18,SCHISM,base,6,24081.40,18929.13,4278.78,9709.52,446.73,6203.98,1.00,0.00,1.07,89.80,52.20,-394.53,660.72,571.02,549.85,686.89,492.87,806.73,18333.29,2373.60,9939.38,2467.21,732.88,7989.17,2767.44,371.18,269.77,563.69,700.58,337.00,13286.33,1173.96,12450.65,10065.87,11658.38,1438.38,171.25,388.01,492.87,549.85,12494.31
2011-10-19,SCHISM,base,6,23465.05,18601.00,4169.90,9424.01,612.93,2370.50,1.00,0.00,1.71,86.80,56.70,-556.23,602.80,424.78,345.13,412.47,437.71,675.48,17701.31,2349.49,9614.63,2442.58,357.31,7488.33,2594.15,385.67,294.31,642.83,447.03,313.43,12199.39,1197.53,12254.44,9816.53,11671.95,1662.80,415.87,376.51,437.71,345.13,13324.35
2011-10-20,SCHISM,base,6,22408.02,17599.42,4117.92,9151.08,499.29,-130.45,1.00,0.00,1.71,83.80,46.60,-452.69,430.72,410.77,368.62,320.29,421.39,396.10,16353.65,2239.49,8014.80,2316.66,290.44,6172.60,2025.81,292.16,301.83,695.40,329.07,250.79,11803.85,1123.91,12142.12,9803.25,11790.97,1287.33,233.71,405.88,421.39,368.62,13511.61
2011-10-21,SCHISM,base,6,21863.24,17084.13,4093.28,8900.82,493.31,4032.83,1.00,0.00,1.81,82.60,48.20,-445.11,370.75,396.10,385.03,288.94,439.20,362.22,14820.69,2051.91,5958.84,2121.17,349.83,4810.32,1592.44,300.54,312.78,475.36,279.04,198.40,11819.95,1057.92,11979.61,9402.31,11923.93,1042.50,150.37,418.84,439.20,385.03,13351.81
2011-10-22,SCHISM,base,6,22410.89,17330.85,4149.11,9531.67,421.79,-3952.63,1.00,0.00,2.05,82.20,52.10,-369.69,351.33,396.10,390.57,292.81,439.20,326.29,14156.96,2020.93,4729.85,2079.75,246.90,3901.83,1416.27,299.04,318.79,352.39,275.16,212.49,11928.16,1056.10,11842.99,8170.57,12072.81,842.71,139.92,418.84,439.20,390.57,13279.29
2011-10-23,SCHISM,base,6,23364.47,18418.69,4308.25,10676.36,368.11,3139.40,1.00,0.00,2.60,82.80,158.90,-209.21,352.82,401.21,379.28,293.02,439.20,316.21,14326.68,2116.70,4342.12,2187.75,200.57,3488.00,1383.55,248.84,309.13,309.56,275.16,193.19,12092.42,1094.79,11786.23,6812.95,12281.96,747.97,138.62,409.71,439.20,379.28,13222.66
2011-10-24,SCHISM,base,6,25116.49,20186.97,4515.77,10342.74,447.99,15450.08,1.00,0.00,3.38,82.60,290.40,-157.59,347.91,387.16,378.22,311.28,433.69,306.13,15431.15,2334.81,4664.15,2440.66,183.85,3422.25,1422.84,254.46,296.25,295.82,310.64,161.03,12301.37,1172.95,11830.28,5721.33,12539.80,722.33,137.53,399.72,433.69,378.22,13205.73
2011-10-25,SCHISM,base,6,26442.29,21835.85,4715.01,9614.60,501.03,47351.09,1.00,0.00,4.27,81.20,293.50,-207.53,355.60,393.34,394.61,303.55,418.84,323.29,15156.93,2352.57,4500.87,2500.09,176.68,3126.18,1301.56,260.28,292.16,296.25,294.96,149.28,12511.33,1172.14,11791.65,5092.68,12665.58,706.18,221.81,400.36,418.84,394.61,13158.12
2011-10-26,SCHISM,base,6,27522.85,23174.89,4864.50,9467.33,526.46,54090.35,1.00,0.00,5.03,80.20,166.10,-360.36,358.16,395.46,398.44,317.07,418.84,316.86,14080.24,2309.70,3532.46,2447.59,191.67,2587.82,1082.64,241.06,277.31,309.99,308.92,150.37,12597.40,1105.71,11589.82,4834.13,12651.28,636.59,197.96,417.57,418.84,398.44,12892.93
2011-10-27,SCHISM,base,6,27848.63,23933.07,5021.68,9424.70,552.98,48259.60,1.00,0.00,5.57,77.40,130.10,-422.88,368.83,398.23,398.44,322.86,429.87,336.57,13430.55,2365.69,2885.02,2495.67,222.89,2173.79,949.32,254.46,275.16,311.07,316.43,167.77,12582.92,1048.39,11324.39,4062.79,12534.41,564.73,223.11,418.84,429.87,398.44,12414.23
2011-10-28,SCHISM,base,6,27505.03,23568.73,5149.86,9492.96,650.14,45038.75,1.00,0.00,5.60,75.60,121.50,-528.64,370.54,402.27,412.26,323.50,439.20,336.14,12699.64,2395.78,2342.92,2526.03,214.88,1821.83,829.56,235.88,264.81,316.43,312.57,214.01,12484.70,995.97,10967.97,3141.51,12304.58,507.40,154.72,428.81,439.20,412.26,11776.23
2011-10-29,SCHISM,base,6,26668.05,22409.17,5130.78,9696.11,717.39,27805.62,1.00,0.00,5.20,73.40,65.00,-652.39,372.89,412.47,410.35,321.57,452.96,335.28,11647.49,2404.45,1806.71,2510.09,206.21,1512.16,723.57,241.28,259.21,328.22,316.43,204.69,12281.12,941.36,10577.59,2521.61,11967.77,451.69,147.10,432.84,452.96,410.35,11019.49
2011-10-30,SCHISM,base,6,25607.75,21030.65,5208.91,9807.55,798.96,16341.88,1.00,0.00,4.47,71.40,101.20,-697.76,370.75,396.53,387.38,309.56,459.51,340.63,10629.38,2420.05,1422.84,2505.09,181.68,1292.74,646.37,202.95,249.28,317.07,308.06,186.24,12013.28,896.20,10204.24,2054.25,11591.86,399.51,129.47,416.50,459.51,387.38,10241.86
2011-10-31,SCHISM,base,6,23998.34,19785.94,5343.52,9322.20,877.79,4897.51,1.00,0.00,3.56,69.20,644.00,-233.79,354.96,404.18,366.91,306.13,449.78,332.72,9647.61,2380.35,1075.76,2452.78,168.20,1108.14,571.43,194.93,242.79,316.43,295.82,164.51,11752.33,858.51,9814.80,1690.82,11236.41,349.40,129.47,406.52,449.78,366.91,9449.38
2011-11-01,SCHISM,base,6,22693.36,18450.59,5427.80,9982.75,697.68,10377.44,1.00,0.00,2.70,68.00,181.50,-516.18,340.42,388.23,349.83,309.35,439.20,319.43,7512.78,2242.78,1062.58,2301.97,156.68,903.16,486.75,201.65,232.63,306.77,297.54,151.46,11539.91,859.53,9484.14,1569.47,11145.29,304.84,129.47,400.36,439.20,349.83,8838.95
2011-11-02,SCHISM,base,6,21419.78,17427.93,5463.26,11167.71,684.56,-14646.46,1.00,0.00,2.07,69.40,298.00,-386.56,336.78,380.35,342.99,299.25,423.08,354.53,8112.59,2175.92,636.59,2209.47,153.20,787.58,451.05,171.68,233.06,297.75,295.82,150.37,11274.54,791.70,9126.40,1369.97,10762.86,288.94,129.47,390.99,423.08,342.99,8292.12
2011-11-03,SCHISM,base,6,20101.44,16383.70,5380.46,11198.62,699.38,-20686.21,1.00,0.00,1.72,69.00,248.40,-450.98,329.50,367.98,337.00,313.21,399.08,319.00,9531.69,2352.77,738.05,2415.24,150.37,791.91,444.28,171.68,218.13,316.43,303.12,150.37,10759.10,777.69,8953.58,1284.12,10177.62,266.54,120.99,370.54,399.08,337.00,7722.55
