datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol
2009-10-29,SCHISM,base,7,12335.26,10035.91,2348.66,6868.43,-505.47,8320.96,0.00,0.00,0.84,3.13,89.00,63.50,568.97,683.78,606.98,607.39,681.91,520.24,839.21,17436.58,11477.91,9599.95,2471.45,393.12,6910.46,1894.35,296.68,260.28,574.99,700.58,332.07,13366.71,950.75,12499.36,9928.70,11884.99,1236.15,171.25,1469.63,6920.59,9599.95,389.29,520.24,607.39,11679.58,14624.65,14267.97,474.94,401.42,445.97
2009-10-30,SCHISM,base,7,11801.07,9615.02,2218.05,6130.50,-549.62,8438.25,0.00,0.00,2.13,3.00,88.80,49.90,599.52,595.91,424.78,372.46,652.41,520.24,838.39,17688.62,11878.89,8847.65,2688.92,412.68,6759.17,2263.10,361.36,287.21,621.37,695.61,327.79,12234.35,1084.46,12149.05,9836.53,11850.27,1464.86,179.29,1724.12,6773.77,8847.47,359.66,520.24,372.46,12733.73,13671.90,15041.35,463.95,430.51,450.84
2009-10-31,SCHISM,base,7,11944.29,9519.00,2068.14,6783.51,-498.57,7727.49,0.00,0.00,2.62,3.04,88.80,41.20,539.77,486.75,363.93,330.36,481.90,517.08,818.87,18952.08,12128.43,8691.94,2583.03,351.97,6675.39,2564.04,449.99,317.50,651.78,578.13,316.43,11842.14,1247.20,12006.01,9711.49,11919.53,1570.86,568.08,1720.38,6690.37,8691.42,381.63,517.08,330.36,13602.90,14063.23,15553.05,459.09,433.26,457.61
2009-11-01,SCHISM,base,7,11933.06,9520.36,1880.30,6934.54,-893.80,7772.62,0.00,0.00,3.31,3.14,88.80,48.60,942.40,434.32,388.65,364.14,441.95,503.83,794.79,20024.81,12525.82,8715.12,2549.84,353.04,6658.08,2819.70,550.48,372.67,666.13,462.26,313.00,11904.29,1401.91,12002.79,9540.16,12193.65,1659.84,395.46,1684.90,6671.64,8714.08,405.46,503.83,364.14,14322.85,14858.08,16224.00,497.08,429.45,464.16
2009-11-02,SCHISM,base,7,11893.11,9546.76,1762.46,4428.10,-892.14,10119.61,0.00,0.00,3.93,3.19,89.00,57.20,949.34,416.72,400.36,378.00,463.32,500.03,763.66,20953.17,13012.83,8858.09,2652.57,407.16,6638.46,2984.80,655.53,434.11,673.61,440.89,302.05,12133.33,1525.06,12062.33,9332.88,12579.89,1754.43,192.10,1716.83,6652.55,8856.52,418.84,500.03,378.00,15049.63,15618.66,16912.37,581.69,428.39,474.73
2009-11-03,SCHISM,base,7,11798.87,9478.15,1725.07,4362.77,-866.07,10027.24,0.00,0.00,4.42,3.37,90.20,125.60,991.67,416.50,405.67,378.00,485.07,500.03,748.18,21460.13,13333.06,8927.50,2737.08,487.81,6515.78,2986.32,739.70,494.98,680.25,466.07,286.57,12399.90,1609.85,12149.89,9152.08,12992.18,1822.41,158.20,1805.34,6529.18,8924.71,418.84,500.03,378.00,15693.96,16187.55,17487.57,677.97,435.17,492.03
2009-11-04,SCHISM,base,7,11421.36,9080.78,1660.56,4391.26,-779.53,9470.19,0.00,0.00,4.76,3.56,89.20,68.60,848.13,414.38,411.41,371.61,512.03,496.24,728.33,22862.88,14651.03,9975.02,3369.59,606.77,6999.68,3244.66,895.38,587.34,677.97,481.69,274.73,12690.32,1819.86,12393.66,8946.27,13657.03,1968.64,150.37,2078.78,7012.11,9973.30,418.84,496.24,371.61,16638.66,17273.72,18220.44,838.19,441.74,549.22
2009-11-05,SCHISM,base,7,11687.89,9307.44,1583.72,4357.29,-724.18,9638.51,0.00,0.00,4.76,3.45,88.80,87.50,811.68,424.36,416.29,363.07,529.28,487.60,518.35,22268.77,13940.25,9297.20,3007.58,458.88,6540.26,3015.92,860.97,616.58,668.21,501.30,274.08,12975.39,1783.33,12236.38,9035.60,13790.62,2024.25,150.37,2039.84,6555.98,9294.95,416.29,487.60,363.07,16810.33,17482.36,18885.73,928.09,458.67,577.50
2009-11-06,SCHISM,base,7,11853.22,9493.60,1543.54,3622.33,-643.72,10418.15,0.00,0.00,4.36,3.36,87.80,165.20,808.92,429.02,423.51,357.52,529.28,482.54,520.24,21474.27,13476.16,8602.31,2708.81,394.61,6160.75,2854.94,838.39,640.96,635.13,520.24,295.17,13113.00,1783.73,12140.26,9178.62,13896.23,1837.13,150.37,1806.12,6173.86,8600.74,416.50,482.54,357.52,16908.93,17499.46,18742.85,993.33,479.37,615.95
2009-11-07,SCHISM,base,7,12007.03,9455.65,1502.28,4448.48,-467.76,9528.59,0.00,0.00,3.67,3.18,86.20,142.10,609.86,435.38,419.26,357.52,552.16,479.79,523.39,20590.87,12695.71,8000.58,2186.20,317.07,5569.79,2625.96,821.75,642.62,615.11,526.34,311.71,13246.62,1747.35,11893.46,8627.60,13820.16,1692.39,141.01,1552.63,5580.65,7999.70,422.66,479.79,357.52,16690.23,17526.99,18412.36,1042.30,508.88,661.56
