datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2015-02-18,SCHISM,base,slr-base,22456.37,19274.29,1547.75,6223.15,16981.15,0.00,1.00,2.27,3.18,72.60,65.40,-734.40,-29.05,-29.05,817.43,724.40,708.04,1020.57,496.87,1154.19,12099.45,2511.43,382.90,302.48,304.41,529.49,449.57,375.44,333.57,805.09,855.63,366.91,6663.08,589.22,3488.37,505.72,6660.05,354.74,253.38,332.29,529.70,383.12,19241.61,492.03,496.87,708.04,6983.33,7472.43,8344.62,438.14,470.29,436.87,750.45
2015-02-19,SCHISM,base,slr-base,22340.37,19185.10,1546.80,6202.02,16893.87,0.00,1.00,4.20,3.21,74.00,68.00,-723.25,-74.02,-74.02,737.22,599.46,562.85,978.06,488.44,1154.80,12996.40,3944.44,888.22,308.06,320.29,563.90,450.42,370.75,347.91,809.82,875.93,333.14,6678.95,552.58,3224.46,384.18,6204.91,365.42,239.77,328.43,564.10,887.81,23244.51,486.54,488.44,562.85,7041.59,7834.32,8954.44,430.29,457.61,442.59,690.01
2015-02-20,SCHISM,base,slr-base,22144.37,19030.81,1544.67,6166.14,16880.21,0.00,1.00,4.04,3.29,74.60,119.70,-522.99,106.88,106.88,742.19,614.28,474.73,934.83,500.03,1035.81,12276.88,4231.96,1057.11,315.36,300.11,665.30,442.16,350.47,355.17,824.83,955.44,331.86,6308.91,539.99,2489.71,551.95,5567.25,367.98,185.37,338.50,665.92,1056.10,22339.36,483.59,500.03,474.73,6757.03,7738.40,9224.23,423.08,444.28,442.59,687.52
2015-02-21,SCHISM,base,slr-base,21882.67,18824.57,1541.32,6119.19,16632.10,0.00,1.00,3.52,3.49,75.20,585.40,-87.30,629.42,629.42,692.49,560.75,476.42,904.39,485.49,988.85,11906.66,4349.32,1163.67,314.71,267.40,758.92,429.23,336.57,357.52,820.93,947.28,312.35,5734.16,531.59,1940.51,665.92,4959.06,357.95,192.10,328.86,759.54,1162.87,21763.03,481.90,485.49,476.42,6435.32,7453.36,9256.82,415.87,439.20,442.37,640.54
2015-02-22,SCHISM,base,slr-base,21552.13,18564.34,1536.71,6060.89,16392.83,0.00,1.00,3.01,3.59,72.20,506.00,-129.12,571.23,571.23,638.04,537.68,481.06,890.88,476.42,947.08,11130.47,4134.93,1601.54,293.02,243.66,828.33,429.87,339.78,347.91,810.85,915.63,282.26,5180.15,535.16,1623.69,860.97,4710.04,344.70,186.46,306.34,828.53,1601.15,21073.59,470.93,476.42,481.06,6114.24,7125.52,9532.38,400.57,430.08,436.44,609.90
2015-02-23,SCHISM,base,slr-base,21142.29,18241.98,1530.79,5989.46,16000.37,0.00,1.00,2.50,3.41,71.40,156.40,-526.84,177.99,177.99,661.97,522.76,487.39,902.95,459.51,930.34,9488.47,3379.94,1463.86,268.05,238.47,710.53,417.78,319.00,343.84,823.19,894.16,265.46,4937.49,544.61,1352.59,1205.98,4424.04,339.14,185.16,291.95,710.11,1463.66,20071.64,471.56,459.51,487.39,5970.19,6757.38,9097.59,373.10,432.63,424.78,626.17
2015-02-24,SCHISM,base,slr-base,20638.52,17845.99,1523.47,5902.36,15619.34,0.00,1.00,2.17,3.24,70.80,99.80,-540.54,126.97,126.97,656.77,532.43,497.72,898.25,459.51,935.45,9745.13,3212.00,907.66,256.62,236.09,684.82,405.88,296.25,339.99,829.77,898.25,252.08,4582.20,539.99,1266.47,1025.04,4057.22,333.14,186.24,283.99,685.44,907.86,20007.28,469.02,459.51,497.72,5201.81,6457.32,8559.03,372.25,431.35,421.81,619.08
2015-02-25,SCHISM,base,slr-base,20021.47,17361.04,1514.69,5796.20,15125.61,0.00,1.00,2.04,3.28,71.00,146.10,-468.25,272.50,272.50,656.15,540.62,490.97,892.52,459.51,930.75,9757.38,3074.31,793.97,238.47,236.52,688.14,403.33,288.72,332.72,836.75,898.25,233.71,4097.11,535.37,1247.20,753.96,3663.94,319.22,191.24,268.26,688.35,793.76,19686.54,466.70,459.51,490.97,4754.79,6110.28,8010.76,372.03,425.20,419.69,620.95
2015-02-26,SCHISM,base,slr-base,19265.62,16767.20,1504.30,5666.66,14567.89,0.00,1.00,1.88,3.34,73.80,213.70,-321.69,370.96,370.96,641.38,538.52,474.30,876.75,459.51,923.80,9982.76,3163.25,796.03,237.39,236.96,697.47,392.27,293.24,329.07,832.64,892.93,220.08,3749.89,526.97,1202.56,686.48,3327.99,308.27,184.07,262.87,698.30,796.65,19367.81,459.72,459.51,474.30,4477.30,5842.62,7692.07,376.08,415.65,410.35,600.92
2015-02-27,SCHISM,base,slr-base,18343.54,16043.30,1492.19,5509.09,13792.16,0.00,1.00,1.64,3.63,71.40,113.60,-420.87,250.48,250.48,603.01,501.72,462.26,858.92,459.51,915.43,11748.43,4156.24,1206.79,254.89,232.63,822.57,399.72,323.72,317.07,807.35,875.32,212.93,3375.43,496.03,1159.24,804.88,3033.56,289.58,174.07,251.87,823.81,1206.79,22423.39,450.21,459.51,462.26,4870.00,6522.22,7683.44,383.76,410.98,414.81,537.89
