datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2015-02-18,SCHISM,base,slr-slr,22187.09,19011.20,1525.49,6109.85,16802.90,0.00,1.00,2.38,5.14,86.40,69.80,-730.00,-24.65,-24.65,754.17,686.27,639.50,1026.87,500.03,1153.99,18087.40,7209.02,3022.37,357.52,316.64,921.97,481.06,383.54,350.47,759.95,882.69,364.14,6788.56,548.80,4657.72,560.54,7099.80,356.88,260.07,341.49,927.89,3019.91,27282.04,486.12,500.03,639.50,9190.77,9587.51,11348.38,446.40,457.61,448.72,708.66
2015-02-19,SCHISM,base,slr-slr,22075.54,18926.48,1524.61,6072.89,16735.99,0.00,1.00,4.29,6.66,86.60,71.80,-719.45,-70.22,-70.22,597.16,510.56,480.21,981.73,500.03,1154.19,25836.52,14778.21,9067.38,1282.32,326.50,3438.23,533.69,400.99,386.10,685.44,913.38,353.04,6933.93,513.93,5046.89,3049.87,8508.05,403.54,243.66,449.57,3461.15,9063.04,34244.51,475.78,500.03,480.21,12663.73,15189.19,17431.85,448.94,441.10,465.85,563.27
2015-02-20,SCHISM,base,slr-slr,21886.70,18779.32,1522.59,6011.07,16755.46,0.00,1.00,4.16,6.78,86.40,125.40,-517.29,112.58,112.58,640.13,572.27,464.16,940.55,500.03,1045.95,24463.60,14836.71,9335.83,1379.16,303.98,3892.71,617.62,389.93,387.59,696.85,907.04,353.89,7042.12,526.97,4123.44,7428.97,8444.28,437.92,202.95,496.24,3914.67,9330.80,32974.62,467.55,500.03,464.16,12847.89,16215.46,18892.35,441.53,441.31,463.53,616.78
2015-02-21,SCHISM,base,slr-slr,21633.72,18581.69,1519.35,5931.45,16548.89,0.00,1.00,3.62,6.98,86.60,625.70,-47.00,669.72,669.72,653.24,560.54,464.80,904.18,500.03,993.33,23352.61,14284.27,8983.30,1283.72,278.17,4001.70,729.78,376.51,380.99,700.58,908.07,349.62,7247.63,536.21,4716.28,7154.78,8286.00,453.17,185.16,488.44,4021.57,8978.95,31841.84,468.39,500.03,464.80,12849.57,15739.59,18917.72,435.81,452.11,460.78,621.16
2015-02-22,SCHISM,base,slr-slr,21313.40,18331.54,1514.85,5833.75,16359.39,0.00,1.00,3.10,7.08,85.20,544.90,-90.22,610.13,610.13,620.75,522.34,461.84,874.91,500.03,969.71,21684.92,13428.97,9413.56,1058.73,251.00,3840.18,743.63,377.79,378.00,697.26,916.45,332.29,7198.39,541.88,5472.32,7146.09,8188.27,490.76,187.54,521.29,3850.43,9408.37,30752.84,470.71,500.03,461.84,12752.90,14634.27,19248.54,426.27,450.84,452.53,581.69
2015-02-23,SCHISM,base,slr-slr,20915.66,18021.08,1509.08,5715.06,16026.43,0.00,1.00,2.59,6.90,83.80,168.60,-514.64,190.19,190.19,634.50,519.19,463.53,873.68,500.03,945.85,19330.75,11581.17,7845.23,625.13,239.34,3088.51,718.81,355.17,369.26,717.15,889.45,314.28,7161.34,548.80,5904.81,7353.65,7889.19,471.56,187.33,427.11,3099.12,7841.71,29121.79,481.48,500.03,463.53,12590.50,13320.50,18973.92,406.52,452.75,444.91,591.52
2015-02-24,SCHISM,base,slr-slr,20426.24,17639.12,1501.92,5571.16,15716.66,0.00,1.00,2.23,6.73,83.20,108.10,-532.24,135.27,135.27,633.25,535.16,466.28,880.64,500.03,924.83,19114.03,10741.49,6144.77,650.12,232.85,2862.18,722.54,331.64,368.41,736.81,876.34,292.59,7149.99,554.04,6338.30,5971.63,8241.53,445.76,187.54,387.38,2874.17,6141.72,28886.95,480.85,500.03,466.28,12122.85,14059.74,17734.66,405.88,455.07,443.43,586.92
2015-02-25,SCHISM,base,slr-slr,19826.27,17170.90,1493.28,5396.55,15308.67,0.00,1.00,2.09,6.77,83.00,160.40,-453.95,286.80,286.80,624.50,529.70,468.39,892.93,500.03,923.60,18664.90,10214.04,5672.18,561.17,228.09,2750.07,717.98,325.86,363.07,749.62,878.59,268.48,7197.32,560.96,6502.20,5313.67,8273.74,427.75,183.42,365.21,2761.14,5669.29,28547.01,474.52,500.03,468.39,11715.03,14141.67,16718.87,408.01,453.59,442.37,577.50
2015-02-26,SCHISM,base,slr-slr,19091.06,16597.13,1483.08,5184.05,14854.67,0.00,1.00,1.92,6.83,84.20,234.50,-300.89,391.76,391.76,616.16,535.37,452.53,865.89,500.03,921.76,18453.51,9978.12,5525.06,534.53,219.86,2717.03,721.50,326.08,354.74,760.77,878.59,249.06,7370.81,568.50,6343.31,5014.04,8343.05,417.78,187.54,356.03,2725.81,5522.88,27425.09,472.83,500.03,452.53,11450.72,13965.25,16121.20,413.96,449.36,442.37,575.20
2015-02-27,SCHISM,base,slr-slr,18193.80,15897.40,1471.14,4926.07,14204.39,0.00,1.00,1.71,7.10,82.80,125.20,-409.27,262.08,262.08,581.48,505.93,435.81,847.84,500.03,920.33,19839.43,11223.81,6311.42,680.88,215.74,3153.04,770.06,357.52,356.67,744.05,876.75,234.79,7519.76,583.36,6157.34,5304.04,8722.44,423.30,173.86,354.53,3160.79,6310.53,29422.99,467.12,500.03,435.81,11941.20,14680.72,15769.40,436.02,439.20,445.76,533.48
