datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2015-02-18,SCHISM,base,suisun-base,22182.88,19010.32,1516.01,6106.93,16792.11,0.00,1.00,2.27,3.18,72.80,65.40,-734.40,-29.05,-29.05,802.21,725.23,698.30,1020.17,500.03,1153.19,12093.36,2506.82,382.48,302.48,304.62,529.70,449.15,375.44,333.57,804.88,856.04,366.91,6663.08,589.22,3487.81,505.72,6659.69,354.96,253.59,332.29,529.91,382.69,19238.54,491.39,500.03,698.30,6983.33,7473.85,8345.50,438.14,470.50,436.87,750.45
2015-02-19,SCHISM,base,suisun-base,22116.19,18970.31,1515.23,6061.94,16778.24,0.00,1.00,4.20,3.21,74.00,68.00,-723.25,-74.02,-74.02,708.25,574.57,553.21,978.26,500.03,1149.55,13018.67,3956.16,895.38,308.06,320.72,563.48,450.63,371.39,348.33,807.56,870.40,333.14,6678.24,552.16,3227.29,384.61,6205.63,365.21,239.98,328.22,563.90,894.36,23263.61,482.96,500.03,553.21,7044.07,7835.38,8957.40,430.29,457.82,442.37,639.71
2015-02-20,SCHISM,base,suisun-base,21999.90,18895.38,1513.28,5987.21,16883.28,0.00,1.00,4.04,3.29,74.60,119.80,-522.89,106.98,106.98,698.30,552.37,477.89,935.45,500.03,1030.32,12298.14,4247.32,1063.19,315.36,300.54,665.50,442.16,350.68,355.17,821.96,942.39,331.00,6308.91,539.57,2490.29,555.51,5569.61,368.41,185.59,338.50,665.71,1062.79,22356.80,483.17,500.03,477.89,6761.30,7743.33,9234.98,423.08,445.34,442.37,631.79
2015-02-21,SCHISM,base,suisun-base,21836.77,18787.26,1510.12,5891.72,16782.45,0.00,1.00,3.52,3.49,75.00,585.50,-87.20,629.52,629.52,648.04,512.03,482.54,898.25,500.03,987.83,11912.93,4354.49,1165.09,314.93,270.63,754.58,428.81,336.57,357.52,816.20,947.89,312.57,5734.70,531.59,1940.12,669.87,4959.42,358.38,192.10,329.50,756.65,1164.88,21767.64,481.90,500.03,482.54,6440.87,7457.24,9264.62,415.87,441.95,443.01,608.02
2015-02-22,SCHISM,base,suisun-base,21623.15,18643.43,1505.70,5775.37,16718.37,0.00,1.00,3.01,3.59,72.20,505.90,-129.22,571.13,571.13,604.89,507.83,481.06,880.03,500.03,944.22,11111.21,4126.41,1594.62,293.88,244.52,823.81,429.45,339.35,348.97,807.56,914.40,283.13,5181.24,535.79,1623.89,860.76,4709.67,345.34,186.89,308.06,823.81,1593.82,21045.81,472.61,500.03,481.06,6113.88,7126.76,9531.35,400.57,433.90,437.50,566.41
2015-02-23,SCHISM,base,suisun-base,21352.01,18459.10,1500.00,5634.69,16534.07,0.00,1.00,2.50,3.41,71.20,156.20,-527.04,177.79,177.79,636.59,510.77,488.65,898.25,500.03,924.62,9454.74,3353.78,1450.13,268.48,238.90,705.14,417.14,318.14,344.06,818.67,888.22,265.89,4937.86,544.82,1353.79,1198.13,4424.41,339.78,185.37,291.95,705.56,1450.13,20033.92,472.40,500.03,488.65,5963.35,6747.76,9080.40,373.95,435.17,426.05,592.56
2015-02-24,SCHISM,base,suisun-base,21013.49,18227.53,1492.91,5464.71,16401.35,0.00,1.00,2.17,3.24,70.40,99.60,-540.74,126.77,126.77,632.00,507.40,501.72,889.65,500.03,931.77,9668.34,3163.25,888.01,256.83,236.31,676.10,405.67,294.31,340.85,822.57,893.95,251.87,4584.96,539.99,1267.47,1011.63,4060.01,333.79,185.81,283.99,676.51,887.61,19936.14,472.19,500.03,501.72,5190.89,6446.95,8528.30,372.67,433.05,421.81,585.66
2015-02-25,SCHISM,base,suisun-base,20594.48,17939.66,1484.37,5258.90,16205.59,0.00,1.00,2.04,3.28,70.60,145.60,-468.75,272.00,272.00,627.63,515.61,492.87,889.86,500.03,925.64,9589.58,2972.46,755.61,238.25,236.52,670.91,400.78,284.42,333.14,830.38,884.53,233.28,4101.75,535.58,1243.78,726.68,3666.37,320.72,191.89,268.91,671.53,756.03,19525.31,468.60,500.03,492.87,4728.38,6084.59,7947.01,370.54,430.08,419.26,580.64
2015-02-26,SCHISM,base,suisun-base,20077.63,17583.60,1474.25,5008.84,16007.65,0.00,1.00,1.88,3.34,73.00,213.10,-322.29,370.36,370.36,610.52,526.76,481.90,876.75,500.03,922.78,9707.35,2990.69,736.40,236.74,236.96,669.45,388.87,287.21,330.15,827.71,882.28,220.08,3753.25,529.49,1193.90,641.38,3329.30,309.56,183.42,263.30,670.08,735.57,19104.99,467.12,500.03,481.90,4425.88,5781.46,7562.65,373.10,422.23,415.65,575.83
2015-02-27,SCHISM,base,suisun-base,19444.01,17146.68,1462.43,4705.61,15666.34,0.00,1.00,1.64,3.63,70.40,113.20,-421.27,250.08,250.08,565.57,501.72,471.35,858.92,500.03,913.79,11328.48,3856.76,1079.60,252.51,230.47,768.62,394.19,317.50,318.57,810.64,874.50,212.49,3378.63,499.40,1144.71,732.26,3028.25,290.23,176.25,251.00,768.41,1079.40,22014.01,459.30,500.03,471.35,4767.62,6372.86,7457.60,381.20,414.59,415.44,537.68
2015-02-28,SCHISM,base,suisun-base,18691.28,16630.23,1448.70,4349.85,15478.44,0.00,1.00,2.09,3.46,69.20,167.30,-144.38,561.26,561.26,598.20,525.07,477.26,858.92,500.03,890.47,9053.14,3053.47,812.50,252.95,221.38,686.89,379.28,283.34,320.93,842.71,858.92,207.94,3102.34,514.56,951.57,871.63,3061.62,299.25,184.72,261.58,687.93,812.29,19435.47,457.40,500.03,477.26,3919.14,6090.52,7497.16,379.28,412.47,406.31,580.85
2015-03-01,SCHISM,base,suisun-base,17873.34,16073.92,1433.61,3968.49,15307.90,0.00,1.00,2.24,3.43,70.40,97.40,66.86,642.21,642.21,604.05,524.23,496.03,858.92,509.51,883.51,8471.89,2464.71,583.57,228.52,227.01,604.26,362.22,269.34,317.50,860.97,858.92,208.81,3087.38,513.72,901.11,624.71,2742.81,293.24,192.10,244.95,604.05,583.57,18317.89,462.26,509.51,496.03,3919.70,4861.40,6897.48,373.31,414.38,403.33,577.92
