datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol
2013-10-24,SCHISM,franks,3,9402.25,9166.12,1981.84,2535.51,424.04,9272.62,1.00,1.00,2.67,3.11,91.60,75.80,499.84,712.60,682.95,647.41,679.63,513.09,839.21,20980.11,12146.00,9832.73,3132.43,648.87,7131.73,2185.81,347.69,269.34,564.10,700.58,333.79,13384.29,1034.59,12310.15,9769.80,11773.86,1375.17,171.25,1667.34,7138.29,9832.56,409.50,513.09,647.41,11876.69,14977.97,14276.95,473.46,402.48,454.01
2013-10-25,SCHISM,franks,3,9167.97,8918.67,2211.23,2372.99,483.12,9489.34,1.00,1.00,4.03,3.32,90.80,68.30,551.42,642.83,570.60,594.86,699.55,500.03,803.44,24379.81,13817.49,10014.60,4121.77,764.49,7006.07,2423.71,417.78,310.85,602.17,700.58,321.15,12102.74,1167.10,11834.86,9450.24,11966.41,1794.73,171.25,2271.62,7023.65,10012.88,367.55,500.03,594.86,14173.30,14665.30,16896.67,474.52,412.47,463.32
2013-10-26,SCHISM,franks,3,9251.33,9038.86,2786.87,2530.54,517.90,10025.55,1.00,1.00,3.15,3.25,90.80,288.30,806.20,644.71,550.48,495.19,480.43,482.32,713.43,23945.91,14448.00,9960.38,3822.66,666.54,6353.70,2223.22,421.17,341.06,658.85,514.14,309.13,12002.62,1179.60,11297.34,9312.96,12196.35,1872.22,220.73,2378.62,6374.29,9959.87,357.74,482.32,495.19,15145.22,15896.62,18810.10,465.22,419.90,461.20
2013-10-27,SCHISM,franks,3,9053.06,8885.32,3341.48,2679.17,467.89,10183.25,1.00,1.00,2.41,3.05,89.20,151.00,618.89,632.00,523.39,447.88,404.40,463.53,624.08,24540.94,15318.72,10232.07,3838.87,670.91,6158.42,2028.73,436.23,362.65,694.36,393.55,293.02,12166.79,1262.46,10865.55,9553.47,12388.94,1835.36,899.88,2262.52,6175.66,10230.87,360.94,463.53,447.88,15800.18,17431.04,19623.80,463.53,425.63,474.30
2013-10-28,SCHISM,franks,3,8105.86,7890.70,3606.37,2577.38,364.05,9498.89,1.00,1.00,2.02,3.02,88.80,91.00,455.05,559.91,448.09,425.20,358.80,437.92,455.28,22395.33,14021.08,9187.82,3039.25,493.08,5044.52,1744.59,368.41,364.57,552.79,359.02,266.32,12353.68,1143.09,10421.00,9582.33,12485.21,1604.90,377.58,2022.69,5063.13,9185.22,368.83,437.92,425.20,15016.53,17409.04,19479.27,462.05,428.60,467.33
2013-10-29,SCHISM,franks,3,8801.52,8383.63,3751.77,2115.95,360.27,10797.60,1.00,1.00,1.87,3.29,88.60,97.70,457.97,522.97,413.11,434.96,318.36,418.84,389.08,22570.75,13874.38,9117.90,2785.38,503.19,4861.40,1625.87,349.83,364.57,410.56,317.72,236.31,12454.19,1153.19,10229.67,8953.58,12507.28,1386.35,357.52,1755.41,4880.80,9116.33,378.00,418.84,434.96,15168.70,17166.85,19676.57,463.53,428.60,468.60
2013-10-30,SCHISM,franks,3,10082.25,9770.04,3782.44,2438.19,398.94,11825.45,1.00,1.00,1.92,3.35,88.60,70.20,469.14,445.55,389.50,462.26,382.69,418.84,347.91,22628.24,13952.75,9100.71,2685.86,535.16,4702.15,1548.07,366.27,365.63,364.78,373.53,212.93,12395.18,1146.53,10029.06,9006.76,12471.89,1313.18,346.62,1668.72,4719.76,9098.28,378.00,418.84,462.26,15115.13,17355.74,19940.80,462.68,429.45,475.99
2013-10-31,SCHISM,franks,3,10432.99,10147.79,3660.93,3971.81,391.75,10513.86,1.00,1.00,2.20,3.40,87.80,79.00,470.75,375.02,378.00,412.89,402.27,418.84,382.90,23073.63,14173.30,9100.54,2714.73,546.91,4792.91,1527.04,447.24,375.87,331.43,398.02,205.99,12249.55,1141.88,9834.11,8874.10,12459.42,1258.24,337.00,1568.68,4810.50,9097.59,378.00,418.84,412.89,15238.11,17448.31,20112.08,467.33,434.11,480.64
2013-11-01,SCHISM,franks,3,11083.18,10864.80,3436.53,4221.63,737.33,11035.40,1.00,1.00,2.47,3.26,87.40,153.30,890.63,396.53,401.21,357.52,367.34,418.84,412.04,22650.37,13508.60,8353.37,2302.75,486.75,4364.27,1384.35,467.12,390.78,381.41,364.99,280.11,12176.75,1097.62,9527.37,8600.74,12201.08,1150.76,355.60,1393.13,4383.09,8352.67,393.76,418.84,357.52,14826.60,16738.67,19926.98,466.49,436.65,485.91
2013-11-02,SCHISM,franks,3,11366.04,11232.03,3204.69,3728.02,697.83,11540.54,1.00,1.00,2.79,3.02,86.60,386.40,1084.23,385.03,393.76,357.52,402.27,418.84,417.57,22718.89,13295.54,8073.07,2119.61,457.40,4240.84,1291.54,433.90,396.53,396.31,387.59,393.97,11985.03,1108.75,9338.25,7971.96,11946.44,1067.65,355.39,1255.83,4259.71,8071.49,398.44,418.84,357.52,14901.31,16775.16,19643.91,471.77,439.20,490.97
