datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2006-11-14,SCHISM,franks,4,13087.69,12526.58,2495.96,8771.78,-1126.66,5685.21,1.00,0.00,0.63,3.25,88.80,82.70,-1043.96,665.50,580.85,577.50,685.44,518.56,831.82,17993.89,11918.85,9733.40,2681.27,433.90,7187.57,1970.21,312.35,268.26,567.67,700.58,336.14,13484.69,965.84,12536.43,9910.79,11810.80,1292.54,171.25,1557.38,7199.63,9733.57,387.80,518.56,577.50,11893.29,14756.17,14330.17,450.42,409.50,459.30,600.71
2006-11-15,SCHISM,franks,4,13690.02,13027.50,2505.84,9132.49,-1067.03,5996.34,1.00,0.00,1.46,3.20,88.80,44.80,-1022.23,529.70,379.07,357.31,710.53,500.03,745.90,17904.05,11802.50,9021.53,2613.31,411.41,6724.06,2107.37,354.53,292.38,632.00,709.29,318.14,12860.83,1010.82,12198.55,9810.49,11870.09,1475.40,183.85,1681.55,6740.46,9020.83,374.59,500.03,357.31,12525.99,13928.24,14968.37,435.17,433.69,455.71,407.16
2006-11-16,SCHISM,franks,4,13804.65,13237.04,2482.46,9937.91,-680.96,5668.24,1.00,0.00,1.68,3.32,88.40,12.10,-668.86,501.51,385.03,376.94,700.58,490.34,717.78,18990.23,12228.27,8910.80,2591.85,360.72,6706.41,2462.98,398.65,330.15,676.51,692.49,297.97,12035.61,1132.39,12033.75,9769.11,11869.92,1565.71,631.59,1725.70,6721.39,8910.63,410.35,490.34,376.94,13303.08,14052.24,15763.14,425.20,415.44,441.95,372.67
2006-11-17,SCHISM,franks,4,13976.12,13400.91,2443.08,9780.94,-682.17,5956.09,1.00,0.00,2.07,3.27,88.00,38.00,-644.17,490.76,411.83,389.50,700.58,479.79,706.59,19466.06,12407.32,8737.95,2378.62,345.13,6537.94,2586.67,426.05,379.07,697.06,700.58,252.30,11838.58,1211.82,11976.91,9696.30,12014.97,1621.52,232.85,1640.29,6551.16,8736.55,418.84,479.79,389.50,13917.41,14706.92,16310.99,426.69,409.07,452.75,398.65
2006-11-18,SCHISM,franks,4,13882.73,13100.86,2422.99,8647.98,37.40,7695.14,1.00,0.00,2.56,3.20,88.00,43.70,81.10,478.74,402.06,386.10,717.15,467.76,707.21,19856.39,12343.56,8368.58,2138.85,373.10,6230.03,2558.28,475.15,417.35,700.58,714.26,202.52,11945.60,1262.25,11940.69,9594.08,12223.71,1581.16,175.60,1507.99,6242.22,8367.71,402.69,467.76,386.10,14433.71,15157.12,16663.71,447.67,409.07,471.14,400.78
2006-11-19,SCHISM,franks,4,13496.65,12706.49,2373.94,9522.14,470.14,6818.58,1.00,0.00,3.12,3.21,88.40,63.30,533.44,471.56,396.31,370.11,720.47,459.51,720.47,20438.23,12464.81,8198.61,2154.96,413.53,6028.85,2570.56,579.39,472.40,678.80,720.47,220.51,12128.26,1344.59,11927.99,9338.77,12492.96,1555.01,192.10,1461.27,6041.80,8197.03,398.44,459.51,370.11,14947.51,15569.70,16953.72,475.57,418.84,495.82,397.17
2006-11-20,SCHISM,franks,4,13380.60,12508.50,2355.74,10000.18,480.52,6216.68,1.00,0.00,3.60,3.26,88.80,59.30,539.82,460.36,392.48,363.29,738.46,443.22,723.57,21136.55,12893.77,8322.40,2392.69,399.29,6032.63,2676.30,612.61,535.58,664.47,738.88,328.86,12316.73,1434.60,11957.45,8897.76,12825.03,1572.84,188.63,1522.28,6045.93,8321.00,405.46,443.22,363.29,15462.66,15987.25,17216.13,529.28,447.24,535.79,386.31
2006-11-21,SCHISM,franks,4,12995.92,12271.64,2329.75,10409.23,536.14,5452.58,1.00,0.00,4.00,3.28,89.00,94.20,630.34,510.98,424.36,360.72,754.79,439.20,747.35,21921.86,13507.94,8670.85,2689.31,396.95,6227.88,2806.16,659.27,600.29,647.00,740.32,286.57,12520.76,1534.78,12015.82,8479.58,13191.31,1672.47,177.77,1669.91,6240.97,8669.80,425.63,439.20,360.72,15953.54,16439.91,17667.47,606.35,482.32,590.05,451.90
2006-11-22,SCHISM,franks,4,13081.17,12443.89,2316.41,9984.99,508.52,5921.11,1.00,0.00,4.04,3.22,88.60,292.20,800.72,530.12,479.16,371.61,757.47,439.20,758.50,21932.19,13663.22,8728.02,2726.20,400.99,6207.42,2795.29,689.59,659.48,658.23,754.17,217.91,12711.18,1581.95,12006.85,8297.38,13435.84,1748.14,171.25,1718.41,6220.70,8727.49,449.78,439.20,371.61,16306.23,16767.63,18081.72,618.24,530.75,649.08,479.79
2006-11-23,SCHISM,franks,4,13331.62,12689.33,2288.25,9153.88,507.97,6973.95,1.00,0.00,4.01,3.04,88.80,226.20,734.17,536.42,455.92,387.38,765.93,439.20,760.16,21295.49,13146.88,8514.51,2359.52,369.26,5811.42,2622.89,761.19,667.58,672.36,760.16,192.32,12887.55,1578.78,11825.88,8381.00,13460.26,1691.21,171.25,1594.42,5822.96,8513.11,487.18,439.20,387.38,16348.73,17071.51,18174.38,680.46,590.26,699.34,489.07
2006-11-24,SCHISM,franks,4,13303.16,12659.47,2256.22,9241.56,522.14,6839.96,1.00,0.00,3.87,3.04,88.60,176.00,698.14,550.90,486.54,405.67,779.55,439.20,760.16,21412.81,13245.11,8246.78,2505.86,378.00,5802.94,2616.76,745.90,701.83,693.74,767.17,180.16,12988.15,1618.35,11842.99,8289.50,13645.01,1580.96,171.25,1539.34,5815.03,8245.73,530.33,439.20,405.67,16494.99,16928.22,18018.24,655.94,643.67,735.57,524.44
2006-11-25,SCHISM,franks,4,13632.45,13031.07,2234.45,9530.07,537.77,6874.59,1.00,0.00,3.43,3.07,88.00,218.50,756.27,567.46,530.12,425.84,779.96,439.20,779.34,21250.42,13271.25,8252.73,2497.21,366.27,5778.57,2577.27,760.77,738.88,703.90,779.96,175.16,13092.71,1650.36,11727.58,8075.53,13702.63,1592.24,180.38,1515.73,5789.76,8252.56,573.74,439.20,425.84,16575.60,17043.58,18117.26,596.32,685.65,762.84,556.14
