datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2009-10-29,SCHISM,franks,7,12335.26,11873.22,2348.66,6868.43,505.47,8320.96,0.00,0.00,0.84,3.13,88.80,62.60,568.07,690.84,609.06,610.52,683.57,520.24,831.00,17391.44,11381.37,9576.97,2393.46,371.61,6853.53,1845.37,302.69,263.74,573.53,700.58,332.93,13366.54,909.91,12498.86,9906.66,11884.99,1226.50,171.25,1438.38,6864.03,9577.49,23723.19,389.50,520.24,610.52,11673.65,14622.66,14267.31,458.03,400.78,452.32,623.87
2009-10-30,SCHISM,franks,7,11801.07,11299.96,2218.05,6130.50,549.62,8438.25,0.00,0.00,2.12,3.00,88.60,49.10,598.72,594.65,436.02,378.22,652.41,520.24,797.68,17627.92,11802.33,8795.77,2598.37,399.08,6688.40,2197.45,377.36,294.31,617.62,696.44,327.58,12233.51,1034.99,12146.85,9823.08,11852.81,1455.90,179.29,1698.51,6702.85,8795.25,26377.59,359.44,520.24,378.22,12743.99,13667.89,15032.91,448.30,430.93,460.36,508.25
2009-10-31,SCHISM,franks,7,11944.29,11389.68,2068.14,6783.51,498.57,7727.49,0.00,0.00,2.62,3.04,88.60,40.40,538.97,485.28,367.55,328.86,481.90,517.08,793.35,18904.35,12055.06,8652.37,2522.38,347.69,6575.09,2491.44,476.42,342.13,647.20,585.66,316.43,11847.05,1184.64,12006.85,9697.68,11926.13,1570.46,565.99,1696.14,6589.20,8652.02,27732.41,381.84,517.08,328.86,13598.89,14055.07,15523.86,446.18,434.75,455.07,397.59
2009-11-01,SCHISM,franks,7,11933.06,11392.70,1880.30,6934.54,893.80,7772.62,0.00,0.00,3.30,3.14,88.80,47.50,941.30,436.23,393.97,362.65,441.95,504.04,768.00,20031.92,12454.70,8682.18,2505.09,351.97,6535.26,2722.57,585.45,410.98,663.22,464.59,311.71,11912.08,1318.38,12004.32,9508.70,12202.77,1660.83,401.63,1662.01,6548.66,8681.31,28409.90,406.52,504.04,362.65,14307.22,14834.39,16181.97,443.43,422.02,461.20,392.48
2009-11-02,SCHISM,franks,7,11893.11,11416.19,1762.46,4428.10,892.14,10119.61,0.00,0.00,3.93,3.19,88.80,56.00,948.14,413.74,403.33,378.00,463.32,500.03,733.30,20876.13,12937.11,8820.50,2617.15,406.73,6503.09,2861.23,705.97,487.60,669.66,440.68,300.54,12142.29,1440.17,12062.67,9266.18,12584.10,1748.14,196.66,1696.73,6517.21,8819.28,28975.04,418.84,500.03,378.00,15015.71,15579.10,16862.18,454.01,418.84,481.27,405.03
2009-11-03,SCHISM,franks,7,11798.87,11348.31,1725.07,4362.77,866.07,10027.24,0.00,0.00,4.42,3.37,90.00,123.30,989.37,411.41,405.67,378.00,485.07,500.03,735.16,21367.45,13233.05,8872.01,2691.60,482.96,6366.59,2839.71,796.03,557.82,677.76,465.43,282.70,12405.47,1519.50,12146.68,9059.04,12992.52,1805.14,158.42,1774.29,6380.02,8870.97,29364.38,418.84,500.03,378.00,15645.36,16133.35,17427.13,475.99,433.05,512.67,404.18
2009-11-04,SCHISM,franks,7,11421.36,10961.36,1660.56,4391.26,779.53,9470.19,0.00,0.00,4.76,3.56,89.20,67.30,846.83,413.53,407.80,369.90,512.03,496.03,621.16,22837.38,14526.39,9896.32,3303.12,593.82,6835.74,3066.16,955.03,666.54,676.93,481.06,272.79,12694.02,1725.10,12383.54,8826.94,13644.67,1936.80,150.37,2046.65,6846.77,9895.29,30248.59,418.84,496.03,369.90,16571.01,17203.24,18138.68,499.82,454.23,573.53,407.80
2009-11-05,SCHISM,franks,7,11687.89,11202.48,1583.72,4357.29,724.18,9638.51,0.00,0.00,4.76,3.45,88.60,85.50,809.68,428.60,410.35,358.59,529.07,487.18,501.72,22163.57,13820.66,9218.34,2951.57,454.01,6363.73,2837.04,927.69,699.34,670.28,500.24,275.81,12974.22,1681.55,12224.56,8875.49,13778.43,1998.70,150.37,2002.80,6378.77,9215.04,29979.99,415.23,487.18,358.59,16732.94,17398.28,18784.24,524.02,480.21,601.34,412.68
2009-11-06,SCHISM,franks,7,11853.22,11384.15,1543.54,3622.33,643.72,10418.15,0.00,0.00,4.36,3.36,87.80,162.70,806.42,438.14,420.11,357.52,529.07,482.11,520.24,21382.67,13359.34,8526.21,2656.59,389.29,5991.07,2677.64,902.75,727.09,642.42,520.03,304.20,13112.33,1679.97,12120.32,9003.98,13884.22,1806.51,150.37,1766.63,6004.56,8525.16,29145.75,415.87,482.11,357.52,16829.14,17414.25,18650.66,531.17,504.88,638.46,422.87
2009-11-07,SCHISM,franks,7,12007.03,11343.48,1502.28,4448.48,467.76,9528.59,0.00,0.00,3.67,3.18,86.00,140.10,607.86,437.29,419.05,357.52,551.95,479.79,520.45,20503.38,12587.47,7922.41,2140.79,314.50,5403.93,2448.55,885.76,730.19,622.41,526.13,318.79,13244.27,1652.14,11869.75,8439.74,13810.31,1652.54,139.70,1513.94,5415.91,7922.06,28107.21,424.99,479.79,357.52,16611.63,17437.72,18325.18,527.60,536.42,677.76,426.69
2009-11-08,SCHISM,franks,7,12221.99,11552.88,1435.82,4432.24,317.03,9542.60,0.00,0.00,3.02,3.09,84.80,118.80,435.83,449.15,434.11,357.52,590.26,479.79,540.41,19270.95,11323.03,6666.65,1625.47,253.81,4682.33,2200.74,792.53,715.29,585.04,551.11,314.71,13313.29,1574.03,11612.23,7856.31,13569.30,1436.79,156.03,1268.68,4692.79,6665.58,27161.67,438.77,479.79,357.52,16134.99,16881.14,17582.18,561.38,568.71,693.12,438.98
2009-11-09,SCHISM,franks,7,12144.14,11603.33,1406.36,4429.07,172.11,9293.53,0.00,0.00,2.52,3.07,84.00,76.60,248.71,449.36,440.47,357.52,609.06,478.32,575.20,18580.58,10519.54,6130.22,1308.17,226.36,4263.22,2040.62,775.01,719.85,563.48,582.53,285.28,13301.57,1540.14,11419.45,7270.12,13448.38,1329.59,129.47,1092.76,4270.25,6128.25,26921.98,456.34,478.32,357.52,15728.72,16535.30,16982.15,580.85,601.34,713.63,445.13
2009-11-10,SCHISM,franks,7,12391.56,11758.34,1372.39,4482.77,15.10,9296.28,0.00,0.00,2.33,3.06,84.00,77.80,92.90,467.55,449.15,357.52,624.50,474.94,595.91,18016.85,9848.25,5724.77,1084.46,208.38,3927.70,1913.13,761.81,717.15,546.91,599.88,258.99,13228.69,1512.55,11263.48,6755.42,13368.55,1270.48,129.47,960.95,3935.33,5723.68,26652.98,480.00,474.94,357.52,15327.81,16208.57,16465.97,584.41,631.79,733.92,462.68
2009-11-11,SCHISM,franks,7,12359.11,11613.85,1348.58,4460.78,-94.68,9152.23,0.00,0.00,2.43,3.17,84.40,196.00,101.32,474.30,455.92,357.52,640.75,468.39,614.91,18060.22,9985.17,5897.96,1059.95,199.27,3887.31,1894.93,790.06,733.92,543.35,614.70,238.47,13191.14,1524.26,11189.24,6448.20,13400.69,1215.64,129.47,942.59,3893.45,5896.34,26842.85,506.35,468.39,357.52,15169.69,16032.79,16218.42,601.34,662.18,759.95,471.56
2009-11-12,SCHISM,franks,7,11909.15,11433.87,1333.04,4445.37,-232.57,8564.26,0.00,0.00,2.77,3.14,84.60,233.50,0.93,484.65,470.71,377.58,640.75,464.38,631.79,18127.00,10293.71,6166.50,1097.62,195.79,3917.09,1868.50,851.12,747.35,544.82,630.13,222.89,13224.83,1541.33,11035.18,6338.30,13421.28,1182.82,148.19,930.95,3925.28,6165.60,26640.40,540.41,464.38,377.58,15110.50,15968.01,16230.24,627.63,691.04,796.24,489.92
2009-11-13,SCHISM,franks,7,11790.45,11398.88,1310.62,4644.78,-251.18,8205.10,0.00,0.00,3.28,3.04,84.40,170.60,-80.58,500.03,496.03,386.52,643.46,463.11,640.75,18500.19,10415.51,6250.12,1128.35,196.66,3898.48,1815.54,849.68,760.57,542.93,640.75,212.28,13278.79,1548.46,10866.57,6421.19,13421.44,1145.31,150.37,905.00,3907.79,6249.22,26552.00,564.94,463.11,386.52,15008.26,15926.23,16301.31,658.23,718.40,818.46,505.51
2009-11-14,SCHISM,franks,7,11891.01,11520.84,1291.18,4615.55,-260.04,8306.59,0.00,0.00,3.91,2.88,84.20,119.70,-140.34,519.19,517.29,405.67,660.31,459.51,640.75,18276.11,10089.78,5951.82,1075.76,193.84,3730.29,1732.78,825.86,755.20,541.46,640.75,202.52,13258.85,1519.30,10684.55,6525.25,13328.37,1105.71,150.37,853.38,3739.44,5950.56,26547.96,591.94,459.51,405.67,14839.69,15760.83,16222.03,687.31,745.29,837.98,522.34
2009-11-15,SCHISM,franks,7,11759.09,11418.06,1294.00,4535.19,-238.04,8279.87,0.00,0.00,4.30,2.80,84.20,116.00,-122.04,534.74,541.25,424.99,660.72,459.51,649.91,18328.40,9889.95,5611.78,1089.12,195.58,3604.42,1671.88,801.79,757.88,540.62,640.75,196.66,13121.22,1491.10,10550.02,6368.20,13190.81,1052.85,150.37,837.37,3613.79,5609.97,26618.19,613.45,459.51,424.99,14722.84,15518.58,15924.26,715.91,766.14,852.15,541.46
2009-11-16,SCHISM,franks,7,11397.17,11032.73,1310.48,4368.99,-205.84,8132.82,0.00,0.00,4.50,2.91,85.40,136.30,-69.54,548.80,564.31,446.40,660.72,459.51,660.72,18547.86,9942.48,5510.02,1149.15,200.57,3574.08,1642.46,807.56,764.08,544.61,641.58,193.84,12932.40,1466.65,10445.51,5957.58,13045.39,1013.87,150.37,835.72,3582.32,5509.47,26905.07,636.17,459.51,446.40,14632.78,15301.71,15717.19,724.61,785.94,866.09,559.08
2009-11-17,SCHISM,franks,7,11122.72,10744.83,1301.46,4077.88,-202.11,8144.19,0.00,0.00,4.46,3.08,85.00,158.10,-44.01,569.34,589.43,467.76,660.72,459.51,660.72,19842.03,11057.69,6316.08,1482.16,230.25,3987.39,1718.01,863.84,790.06,560.54,656.57,193.41,12748.02,1468.63,10584.61,5564.72,13056.13,1004.92,150.37,927.07,3997.05,6314.29,27525.67,655.11,459.51,467.76,14795.62,15364.30,15786.19,739.91,803.44,887.81,581.90
2009-11-18,SCHISM,franks,7,11501.71,11081.93,1306.44,4060.27,-212.57,8535.32,0.00,0.00,4.23,2.89,84.00,118.10,-94.47,586.29,595.28,486.54,685.23,459.51,660.72,19367.43,10609.43,6057.80,1318.18,219.43,3733.83,1612.82,839.42,787.17,560.54,660.72,187.98,12718.92,1446.75,10157.51,5498.42,12925.85,1074.95,150.37,946.47,3743.55,6057.62,26949.43,676.51,459.51,486.54,14648.87,15385.26,16009.61,760.98,816.20,900.70,589.01
2009-11-19,SCHISM,franks,7,11960.39,11540.11,1310.79,3413.87,-210.85,9646.46,0.00,0.00,3.75,2.97,85.00,185.70,-25.15,605.10,615.53,499.82,704.52,466.28,660.72,18530.18,9940.07,5256.59,1185.85,206.86,3460.40,1562.93,763.25,769.44,567.46,669.45,191.02,12588.31,1400.31,9893.39,5670.92,12654.81,979.28,150.37,863.43,3469.41,5255.31,26689.48,690.01,466.28,499.82,14478.23,15041.02,15640.91,787.17,828.33,896.00,607.18
2009-11-20,SCHISM,franks,7,12004.24,11552.37,1304.76,3164.91,-314.89,9829.20,0.00,0.00,3.40,3.26,83.60,140.00,-174.89,618.24,635.54,513.72,700.58,476.20,697.89,19894.17,11231.30,5899.41,1605.10,229.60,4009.32,1685.69,815.58,783.26,576.67,695.19,190.80,12332.76,1387.14,10051.42,5327.85,12739.45,924.01,150.37,915.63,4019.53,5898.51,28306.94,691.87,476.20,513.72,14545.98,15045.49,15431.15,800.35,832.85,905.82,630.75
2009-11-21,SCHISM,franks,7,12822.19,12301.96,1300.64,3151.78,-404.75,10566.31,0.00,0.00,2.57,3.05,82.60,86.90,-317.85,627.00,632.63,531.38,700.58,479.79,700.58,17686.45,9549.67,5167.22,991.70,198.18,3281.25,1443.16,759.74,764.90,583.57,700.58,189.93,12271.67,1375.56,9229.26,4894.34,12322.64,1016.31,150.37,845.78,3288.41,5166.31,25761.20,701.20,479.79,531.38,14161.15,14846.49,15632.51,783.05,843.12,916.24,618.87
