datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol
2011-10-18,SCHISM,slr_base,2,23605.95,22320.55,5053.27,10840.83,425.78,18244.17,1.00,0.00,1.90,7.04,90.80,55.70,-370.08,711.15,588.80,581.06,690.42,507.83,825.66,18679.30,12722.96,10117.80,3482.18,715.08,7543.24,2262.72,343.20,260.72,568.92,700.58,337.00,13416.76,1102.48,12282.13,9859.10,11748.60,1297.55,171.25,1775.08,7550.12,10117.98,386.10,507.83,581.06,12571.81,15020.34,14429.39,482.54,406.52,451.69
2011-10-19,SCHISM,slr_base,2,22376.62,21397.44,4815.34,10249.73,315.84,17258.07,1.00,0.00,4.16,6.79,89.60,59.80,-256.04,619.50,462.05,341.49,418.20,473.46,717.57,18102.33,12696.55,10008.93,4122.33,794.59,7118.96,2621.36,420.32,296.25,630.54,469.87,304.62,12685.10,1145.31,12106.62,10107.66,12026.98,1665.37,279.25,2172.62,7129.78,10007.03,366.27,473.46,341.49,13280.46,14810.53,15149.85,449.15,425.63,464.38
2011-10-20,SCHISM,slr_base,2,21683.07,20764.79,4793.10,10257.81,428.53,16646.88,1.00,0.00,4.78,6.77,88.60,49.70,-378.83,448.94,413.32,366.27,280.97,432.41,408.22,17493.76,12069.94,9191.29,3363.01,572.27,6422.08,2448.94,385.46,327.58,675.48,299.04,250.79,12072.81,1155.61,11981.81,9932.66,12521.94,1481.16,444.28,1814.96,6434.43,9189.38,391.63,432.41,366.27,13854.03,14815.83,15649.97,420.96,432.20,469.66
2011-10-21,SCHISM,slr_base,2,21179.10,20247.29,4683.46,9773.10,410.27,16499.73,1.00,0.00,5.05,6.76,87.60,51.30,-358.97,373.10,359.44,387.16,285.92,418.84,332.29,16919.56,11353.65,8435.02,2858.75,550.27,5742.65,2218.38,372.25,348.97,624.50,281.40,207.29,12265.25,1146.93,11897.35,9239.49,12828.56,1308.17,172.77,1552.43,5757.45,8433.62,415.23,418.84,387.16,14093.88,14885.08,15634.98,446.18,436.87,473.25
2011-10-22,SCHISM,slr_base,2,21024.65,19788.71,4848.45,11502.75,435.74,14806.09,1.00,0.00,5.01,6.71,86.60,57.10,-378.64,338.92,361.58,382.69,286.57,418.84,321.36,16390.06,10645.71,7593.35,2384.79,434.75,5114.56,1968.64,431.78,360.94,485.49,288.94,233.06,12507.79,1126.53,11811.82,8250.98,12975.56,1165.69,141.45,1309.17,5124.95,7591.23,417.99,418.84,382.69,14088.22,14768.93,15368.59,484.86,439.20,484.43
2011-10-23,SCHISM,slr_base,2,20575.58,19033.25,4815.59,12049.64,430.07,13771.61,1.00,0.00,4.66,6.69,86.60,165.10,-264.97,332.29,370.11,363.50,285.06,434.32,304.62,16062.70,10071.20,6957.03,2038.67,350.68,4626.13,1778.62,378.43,366.49,372.03,285.06,263.30,12645.39,1108.34,11707.91,7284.99,13021.39,1051.84,137.96,1127.34,4636.42,6954.37,418.84,434.32,363.50,13959.75,14575.86,14972.67,528.44,445.97,506.35
2011-10-24,SCHISM,slr_base,2,20167.15,18607.97,4947.30,10832.09,289.14,14571.50,1.00,0.00,4.14,6.72,86.40,310.90,21.76,335.71,372.25,357.52,285.28,439.20,299.25,16431.22,9974.16,6921.66,1888.67,297.75,4451.69,1689.24,360.08,361.58,326.50,287.00,226.79,12723.97,1133.81,11574.04,6523.47,13063.01,1013.46,139.70,1029.11,4459.61,6919.35,418.84,439.20,357.52,13891.72,14528.72,14565.57,581.27,452.96,548.80
2011-10-25,SCHISM,slr_base,2,19731.44,18490.45,4812.01,10677.56,179.41,14045.30,1.00,0.00,3.45,6.80,85.00,316.20,136.79,340.21,375.23,357.52,277.96,439.20,298.18,16391.21,9717.35,6714.79,1746.17,271.71,4091.36,1545.49,353.89,353.89,307.85,277.74,171.90,12787.88,1128.76,11335.79,6300.31,13048.92,958.91,147.76,937.08,4098.04,6713.54,433.47,439.20,357.52,13752.23,14474.58,14375.72,607.60,482.11,589.22
2011-10-26,SCHISM,slr_base,2,19603.04,18623.75,4956.54,10583.57,78.75,14054.75,1.00,0.00,2.73,6.79,83.60,180.60,101.85,334.21,380.99,371.18,274.51,458.88,293.67,15571.35,9043.06,5973.97,1326.39,212.93,3594.87,1351.59,322.22,338.71,296.89,272.57,150.37,12810.75,1083.05,10958.42,6248.32,12900.66,838.60,129.47,749.21,3601.05,5971.99,448.51,458.88,371.18,13547.06,14199.93,14143.83,564.10,507.83,603.43
2011-10-27,SCHISM,slr_base,2,18902.21,17926.19,4784.30,10548.57,10.29,13148.22,1.00,0.00,2.09,6.70,83.00,142.60,132.31,336.78,395.89,377.36,275.16,459.51,280.54,14768.77,8267.27,5093.23,966.86,179.72,3121.45,1183.23,263.74,331.64,294.10,275.16,150.37,12748.36,1051.84,10558.41,5995.02,12715.39,710.94,129.47,599.67,3128.64,5093.23,461.63,459.51,377.36,13267.73,13909.90,13701.30,536.63,533.06,606.14
