datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,oh4,rsl.1,vcu.1,mtz,god,gzl,frk,bac,hol
2013-10-24,SCHISM,slr_base,3,9402.25,7888.55,1981.84,2535.51,-424.04,9272.62,1.00,1.00,2.73,6.65,92.00,81.50,505.54,731.64,691.25,645.95,676.93,520.24,839.21,20527.67,12158.85,9897.01,3560.21,797.88,7016.20,2124.47,334.21,265.24,565.99,700.58,337.00,13509.61,1050.42,12276.56,9777.22,11708.42,1348.99,171.25,1725.10,7022.94,9896.66,417.57,520.24,645.95,12149.72,14971.52,14250.84,475.57,396.74,448.30
2013-10-25,SCHISM,slr_base,3,9167.97,7638.18,2211.23,2372.99,-483.12,9489.34,1.00,1.00,4.14,6.83,91.40,74.40,557.52,700.79,642.00,635.13,708.87,502.14,790.06,23785.86,13624.79,10189.81,4466.80,918.70,6656.48,2208.69,388.44,298.18,597.16,700.58,320.93,12642.19,1106.32,11752.67,9270.69,12294.96,1618.16,172.34,2149.91,6672.89,10188.10,398.23,502.14,635.13,13832.34,14825.28,16479.09,451.05,400.78,454.23
2013-10-26,SCHISM,slr_base,3,9251.33,7756.59,2786.87,2530.54,-517.90,10025.55,1.00,1.00,3.23,6.76,91.60,317.10,835.00,709.91,644.71,599.67,510.77,488.02,720.88,23663.81,14315.87,10303.83,4305.18,798.71,6100.58,2016.64,399.93,321.36,636.38,642.62,305.48,12220.50,1066.03,11221.43,9227.01,12601.11,1617.76,202.95,2203.26,6118.01,10301.09,385.03,488.02,599.67,14591.63,15624.10,18109.64,423.30,406.73,460.15
2013-10-27,SCHISM,slr_base,3,9053.06,7603.89,3341.48,2679.17,-467.89,10183.25,1.00,1.00,2.47,6.56,90.20,163.80,631.69,707.42,631.59,585.87,352.82,473.88,616.58,24269.40,15246.54,10590.60,4390.66,839.01,6036.04,1853.80,413.11,338.28,672.36,375.66,292.81,12356.21,1066.23,10851.37,9288.54,12830.25,1631.60,711.56,2204.43,6054.03,10590.60,386.74,473.88,585.87,15073.12,16753.56,18702.59,448.51,414.38,459.51
2013-10-28,SCHISM,slr_base,3,8105.86,6606.13,3606.37,2577.38,-364.05,9498.89,1.00,1.00,2.06,6.53,90.00,98.50,462.55,657.81,557.82,572.48,364.99,446.40,419.90,22452.55,14175.46,9862.72,3737.38,598.20,4991.58,1597.19,368.41,345.13,688.14,357.52,272.79,12492.29,962.98,10476.19,9722.70,12806.21,1414.67,588.17,1942.07,5010.75,9859.96,378.64,446.40,572.48,14574.86,16815.57,18491.89,458.24,414.38,454.86
2013-10-29,SCHISM,slr_base,3,8801.52,7123.18,3751.77,2115.95,-360.27,10797.60,1.00,1.00,1.89,6.80,90.00,106.70,466.97,532.43,435.81,565.57,333.79,426.90,402.69,22854.54,14323.02,10083.76,3601.80,638.04,5065.87,1554.61,357.95,344.70,583.57,358.38,249.06,12587.13,969.91,10382.24,9165.27,12921.82,1277.30,161.90,1726.09,5089.94,10080.84,383.33,426.90,565.57,14796.45,16916.13,18520.71,467.33,415.23,458.46
2013-10-30,SCHISM,slr_base,3,10082.25,8471.97,3782.44,2438.19,-398.94,11825.45,1.00,1.00,1.94,6.87,90.40,77.50,476.44,438.56,406.52,557.40,283.13,418.84,361.15,23049.46,14521.58,10249.93,3539.97,672.57,5017.69,1504.81,352.39,345.13,438.98,290.44,232.20,12607.34,946.06,10238.94,9821.87,12889.40,1218.66,132.52,1673.06,5041.97,10248.04,389.93,418.84,557.40,14808.21,17138.77,18805.25,470.50,417.57,465.01
2013-10-31,SCHISM,slr_base,3,10432.99,8840.95,3660.93,3971.81,-391.75,10513.86,1.00,1.00,2.21,6.92,89.60,87.20,478.95,401.42,401.21,530.75,307.63,418.84,318.14,23594.64,14882.43,10517.48,3678.15,708.87,5283.32,1538.75,363.07,348.33,382.90,296.03,213.58,12617.78,950.95,10162.32,9900.11,12989.16,1179.60,129.47,1648.98,5306.77,10515.08,383.97,418.84,530.75,15040.69,17474.21,19041.57,476.20,422.02,473.46
2013-11-01,SCHISM,slr_base,3,11083.18,9553.62,3436.53,4221.63,-737.33,11035.40,1.00,1.00,2.52,6.77,89.60,170.80,908.13,381.63,389.08,417.14,347.26,418.84,318.14,23012.17,14420.92,9999.46,3251.64,572.90,5025.91,1441.17,409.28,355.39,345.77,326.08,214.88,12618.45,924.83,10035.42,9886.67,12768.37,1074.34,129.47,1450.73,5050.36,9996.02,382.90,418.84,417.14,14741.91,16953.88,19109.99,477.47,436.65,482.11
2013-11-02,SCHISM,slr_base,3,11366.04,9921.78,3204.69,3728.02,-697.83,11540.54,1.00,1.00,2.85,6.53,89.00,431.40,1129.23,347.91,367.34,380.35,393.55,418.84,342.35,22965.38,14326.84,9866.86,3084.54,512.88,4990.48,1371.57,423.72,365.42,317.72,372.03,283.99,12519.75,929.52,10059.51,9291.48,12740.96,1005.53,129.47,1316.98,5012.58,9864.10,398.44,418.84,380.35,14861.07,17337.97,19209.52,482.54,438.14,490.76
