datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,delta_cu,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_flow,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2011-10-18,SCHISM,slr_base,6,24081.40,22796.00,4278.78,9709.52,-446.73,18203.93,1.00,0.00,1.06,6.90,90.00,54.00,500.73,687.93,582.94,570.60,689.38,499.82,830.79,18164.16,13115.02,9986.55,4005.04,896.20,7912.39,2547.34,356.45,269.77,563.27,700.58,336.78,13455.58,1187.05,12425.03,10001.18,11445.62,1435.59,171.25,1782.35,7920.65,9986.55,22567.74,388.23,499.82,570.60,12920.65,14840.36,14349.79,483.17,411.62,454.44,630.54
2011-10-19,SCHISM,slr_base,6,23465.05,22485.88,4169.90,9424.01,-612.93,17598.02,1.00,0.00,1.70,6.81,87.60,58.20,671.13,632.42,501.30,373.31,410.56,449.15,722.54,17559.88,12323.82,9641.92,3347.01,419.90,7053.66,2273.36,363.50,290.66,627.83,620.75,306.56,12611.88,1091.55,12249.21,9752.72,11864.33,1504.01,320.29,1749.91,7067.50,9642.09,23912.24,368.83,449.15,373.31,13121.22,14815.34,15087.01,457.82,424.99,463.53,571.02
2011-10-20,SCHISM,slr_base,6,22408.02,21489.73,4117.92,9151.08,-499.29,16875.56,1.00,0.00,1.69,6.64,84.80,47.60,546.89,511.40,462.90,348.97,300.33,418.84,520.03,16395.64,11118.37,8275.84,1947.74,279.25,5765.94,1810.64,298.82,295.17,678.38,287.64,255.54,12024.95,1003.50,12102.91,9770.49,12147.19,1081.02,402.06,1132.39,5777.13,8274.62,23508.43,386.95,418.84,348.97,13297.05,14416.27,15115.29,405.25,434.11,462.05,485.49
2011-10-21,SCHISM,slr_base,6,21863.24,20931.43,4093.28,8900.82,-493.31,16562.40,1.00,0.00,1.80,6.45,83.60,50.30,543.61,392.06,362.43,382.26,305.48,432.20,373.53,15073.78,9581.29,6537.22,1084.46,368.41,4500.50,1416.86,252.30,300.97,683.78,292.59,213.79,12062.67,936.26,11856.20,9046.02,12330.74,894.56,174.94,801.18,4511.55,6535.44,22860.39,407.58,432.20,382.26,13272.25,14012.09,14671.27,374.81,436.87,453.17,337.21
2011-10-22,SCHISM,slr_base,6,22410.89,21174.95,4149.11,9531.67,-421.79,16606.54,1.00,0.00,2.06,6.54,83.40,54.70,476.49,391.85,381.20,391.42,295.82,439.20,349.19,14634.44,8707.28,5561.46,862.81,318.14,3764.83,1258.84,393.55,309.99,510.77,297.54,281.40,12235.53,924.62,11657.36,7552.06,12488.24,758.09,139.92,671.74,3770.99,5559.83,23397.25,418.84,439.20,391.42,13277.95,13834.67,14078.39,378.64,436.65,452.32,355.39
2011-10-23,SCHISM,slr_base,6,23364.47,21822.14,4308.25,10676.36,-368.11,16628.25,1.00,0.00,2.64,6.79,84.20,165.50,533.61,373.10,395.25,389.50,295.82,439.20,329.29,15233.15,8553.44,5360.73,907.66,257.26,3512.21,1237.35,317.50,316.43,397.80,295.82,304.41,12373.25,948.10,11531.25,6273.07,12646.73,697.47,141.01,616.16,3517.08,5359.64,24444.92,418.84,439.20,389.50,13273.59,13751.89,13636.65,404.40,430.51,455.71,360.51
2011-10-24,SCHISM,slr_base,6,25116.49,23557.31,4515.77,10342.74,-447.99,18841.53,1.00,0.00,3.44,6.89,84.00,303.90,751.89,371.39,396.74,378.00,321.57,439.20,319.65,16470.07,9077.45,5792.83,1106.72,220.94,3576.33,1270.28,287.21,313.00,353.25,305.91,223.33,12487.40,1001.67,11403.81,5734.52,12779.98,691.67,149.28,629.29,3582.70,5791.03,24933.35,418.84,439.20,378.00,13265.39,13704.81,13566.63,451.26,426.48,471.35,359.66
2011-10-25,SCHISM,slr_base,6,26442.29,25201.31,4715.01,9614.60,-501.03,21041.67,1.00,0.00,4.36,6.80,83.00,311.90,812.93,363.71,392.06,378.00,315.36,439.20,331.00,16155.20,8888.36,5728.74,1031.14,201.65,3333.07,1170.73,281.62,301.62,333.14,332.07,161.68,12597.07,994.55,11071.84,5781.28,12779.81,680.25,231.12,604.26,3339.85,5727.48,24153.45,418.84,439.20,378.00,13145.71,13736.37,13745.88,473.25,437.50,493.71,365.85
2011-10-26,SCHISM,slr_base,6,27522.85,26543.56,4864.50,9467.33,-526.46,22393.56,1.00,0.00,5.13,6.73,82.60,177.40,703.86,365.85,385.89,378.00,291.09,439.20,331.86,15027.12,7988.11,4923.42,780.78,199.48,2825.42,986.82,260.50,295.60,317.50,304.20,150.37,12622.32,947.89,10618.67,5569.61,12649.76,584.20,299.47,533.48,2830.37,4921.04,23886.59,418.84,439.20,378.00,12930.89,13579.16,13619.44,437.92,445.34,502.56,366.91
2011-10-27,SCHISM,slr_base,6,27848.63,26872.61,5021.68,9424.70,-552.98,22892.63,1.00,0.00,5.68,6.77,81.80,139.30,692.28,364.14,381.41,378.00,277.96,439.20,316.43,14572.04,7418.01,4357.62,755.41,233.71,2498.56,882.90,259.64,295.17,335.71,275.16,163.42,12552.77,915.63,10269.68,4560.13,12437.50,528.86,247.12,488.23,2502.59,4356.15,23690.12,429.23,439.20,378.00,12650.43,13299.56,13105.96,419.48,457.40,501.51,360.51
