datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2006-11-14,SCHISM,suisun,4,13087.69,12526.58,2495.96,8771.78,5685.21,1.00,0.00,0.69,3.24,88.60,85.40,-1041.26,-368.88,-368.88,660.31,580.64,577.50,682.74,518.35,839.21,18312.54,12003.30,9765.66,2646.83,414.81,7232.76,2006.11,303.55,265.89,569.13,700.58,335.93,13492.21,1009.40,12076.87,10044.20,11805.04,1281.92,171.25,1549.45,7244.09,9765.66,27931.39,388.23,518.35,577.50,13456.92,14757.33,14799.26,476.84,409.92,448.51,600.92
2006-11-15,SCHISM,suisun,4,13690.02,13027.50,2505.84,9132.49,5996.34,1.00,0.00,1.60,3.20,88.40,46.00,-1021.03,-348.22,-348.22,509.09,376.94,353.89,713.01,500.03,839.21,18149.72,11863.82,9290.09,2518.73,382.90,6823.63,2120.58,332.29,288.72,640.13,708.87,318.36,12882.68,1039.26,12310.82,10076.02,11911.91,1441.77,184.29,1630.21,6838.23,9290.09,27410.85,378.86,500.03,353.89,13757.90,14103.87,15273.14,460.36,432.41,454.86,394.19
2006-11-16,SCHISM,suisun,4,13804.65,13237.04,2482.46,9937.91,5668.24,1.00,0.00,1.84,3.32,88.00,12.60,-668.36,144.67,144.67,506.14,387.16,383.76,700.58,490.55,739.70,19337.52,12320.61,9222.33,2403.87,335.50,6824.17,2481.25,361.58,307.20,685.23,696.44,299.90,12009.22,1163.07,12655.32,9841.01,12002.45,1484.74,644.08,1608.66,6837.87,9221.29,28717.42,409.71,490.55,383.76,15150.51,14767.11,16234.84,447.24,419.90,460.78,377.15
2006-11-17,SCHISM,suisun,4,13976.12,13400.91,2443.08,9780.94,5956.09,1.00,0.00,2.26,3.26,87.60,39.50,-642.67,179.31,179.31,486.33,411.83,390.99,700.58,479.79,708.46,19795.39,12511.50,9051.92,2124.86,319.22,6649.52,2621.36,376.94,337.85,700.58,700.58,256.62,11935.61,1253.62,12889.74,9599.60,12277.40,1508.98,228.95,1489.11,6662.01,9050.88,28988.26,418.84,479.79,390.99,15977.71,15889.05,16887.52,470.93,414.38,465.01,398.44
2006-11-18,SCHISM,suisun,4,13882.73,13100.86,2422.99,8647.98,7695.14,1.00,0.00,2.75,3.20,87.60,45.50,82.90,990.85,990.85,475.99,407.16,387.80,716.95,469.02,707.63,19797.32,12392.48,8643.65,1846.93,351.33,6326.29,2603.35,410.13,363.07,700.58,715.08,207.73,12209.36,1296.95,13186.62,9417.02,12588.82,1460.28,175.38,1337.19,6337.76,8642.95,28884.33,415.23,469.02,387.80,16450.24,16528.25,17262.79,534.74,413.11,471.14,399.93
2006-11-19,SCHISM,suisun,4,13496.65,12706.49,2373.94,9522.14,6818.58,1.00,0.00,3.34,3.21,87.80,65.50,535.64,1410.86,1410.86,467.97,401.21,372.25,720.47,459.51,720.47,20433.28,12443.24,8372.78,1839.29,393.12,6100.58,2625.19,502.14,403.97,678.59,720.47,207.94,12502.40,1373.37,13723.68,9320.24,12977.41,1429.02,192.10,1279.11,6113.70,8371.91,29176.93,402.27,459.51,372.25,16966.14,17054.68,17646.48,624.08,413.11,491.82,398.23
2006-11-20,SCHISM,suisun,4,13380.60,12508.50,2355.74,10000.18,6216.68,1.00,0.00,3.82,3.25,88.40,60.90,541.42,1428.98,1428.98,455.28,393.97,363.93,738.26,450.42,723.36,21137.74,12813.94,8462.28,2059.12,362.01,6063.73,2745.11,542.72,451.05,667.38,738.88,321.57,12804.53,1471.42,14367.74,9412.69,13469.46,1440.17,188.41,1324.59,6075.96,8459.84,29647.94,399.29,450.42,363.93,17556.46,17620.76,18029.77,734.12,420.11,542.30,385.25
2006-11-21,SCHISM,suisun,4,12995.92,12271.64,2329.75,10409.23,5452.58,1.00,0.00,4.22,3.27,88.40,97.00,633.14,1564.21,1564.21,506.14,411.62,361.36,754.79,439.20,747.56,21999.65,13416.26,8798.73,2364.34,341.06,6216.21,2890.16,562.22,503.83,654.07,740.32,295.60,13192.65,1588.08,14999.32,9597.19,14031.08,1535.18,176.46,1464.26,6228.95,8796.99,29946.47,406.31,439.20,361.36,18223.36,18279.63,18593.06,874.70,452.53,611.78,441.53
2006-11-22,SCHISM,suisun,4,13081.17,12443.89,2316.41,9984.99,5921.11,1.00,0.00,4.26,3.21,88.00,299.30,807.82,1721.87,1721.87,523.81,467.12,370.97,757.27,439.20,758.50,21980.68,13497.23,8821.54,2385.94,331.64,6161.11,2879.31,580.43,546.28,666.96,754.58,224.84,13570.14,1644.64,15339.70,9634.49,14383.70,1615.59,171.25,1510.37,6174.04,8820.67,29833.78,429.66,439.20,370.97,18487.35,18610.70,18908.99,1003.50,499.40,696.64,471.98
2006-11-23,SCHISM,suisun,4,13331.62,12689.33,2288.25,9153.88,6973.95,1.00,0.00,4.21,3.04,88.20,229.50,737.47,1661.26,1661.26,529.07,442.16,385.25,765.73,439.20,760.16,21326.67,12917.62,8544.89,2032.43,308.49,5751.86,2697.34,656.98,544.61,677.55,760.16,192.97,13882.05,1629.03,15519.08,8787.59,14439.03,1564.52,171.25,1410.88,5762.87,8543.84,29161.57,469.45,439.20,385.25,18387.09,18642.41,18823.52,1050.21,571.23,797.68,477.26
2006-11-24,SCHISM,suisun,4,13303.16,12659.47,2256.22,9241.56,6839.96,1.00,0.00,4.06,3.04,88.20,177.80,699.94,1619.19,1619.19,541.88,473.46,394.83,779.96,439.20,760.16,21239.03,12999.74,8353.89,2182.90,312.57,5702.91,2661.76,628.04,570.18,700.58,767.38,179.51,14036.41,1652.54,15895.14,8632.83,14765.78,1460.68,171.25,1343.19,5713.02,8353.72,28812.97,518.14,439.20,394.83,18482.33,18598.73,18785.37,1089.93,638.25,861.99,512.88
2006-11-25,SCHISM,suisun,4,13632.45,13031.07,2234.45,9530.07,6874.59,1.00,0.00,3.59,3.07,87.60,219.70,757.47,1677.16,1677.16,555.51,511.61,404.82,779.96,439.20,779.34,21110.13,12997.89,8330.97,2173.59,306.34,5656.27,2608.14,636.79,597.79,708.87,779.96,174.94,14332.00,1693.97,16119.72,8531.10,15006.60,1460.48,179.29,1314.58,5667.30,8330.63,28790.35,573.53,439.20,404.82,18568.46,18758.21,18828.53,1163.88,690.63,912.36,541.25
2006-11-26,SCHISM,suisun,4,13393.20,12816.07,2233.11,10127.26,5860.55,1.00,0.00,3.14,3.23,87.20,179.50,540.99,1369.08,1369.08,579.81,539.15,421.60,795.41,439.20,779.96,20958.31,12730.03,7807.58,2110.09,262.23,5623.72,2595.87,613.03,611.57,721.71,779.96,171.25,14585.49,1717.23,16421.05,9220.24,15214.15,1418.86,171.25,1275.70,5635.11,7806.17,29412.71,602.38,439.20,421.60,18408.64,18659.08,18664.90,1281.31,712.81,928.09,565.57
2006-11-27,SCHISM,suisun,4,13744.45,13097.20,2250.15,10269.11,5973.81,1.00,0.00,2.52,3.18,85.60,277.60,525.92,1350.20,1350.20,599.46,566.83,441.31,799.74,439.20,794.59,20356.61,12567.76,8253.61,1719.00,248.41,5420.45,2552.14,618.45,647.62,724.81,793.97,171.25,14847.15,1768.00,16228.60,8894.28,15235.30,1291.14,171.25,1202.76,5430.42,8253.26,28490.64,632.21,439.20,441.31,18321.45,18654.87,18705.50,1402.31,747.56,1050.21,562.22
2006-11-28,SCHISM,suisun,4,14172.42,13460.61,2220.88,10212.78,6400.64,1.00,0.00,2.14,2.90,84.00,293.40,513.52,1341.49,1341.49,643.04,594.44,457.19,799.74,449.78,799.74,18628.36,11263.99,7430.91,1141.08,212.71,4842.55,2256.14,549.43,619.08,733.30,799.74,171.25,15032.75,1734.75,16063.03,7887.78,15109.50,1370.77,190.37,1003.50,4851.34,7430.03,26657.64,668.62,449.78,457.19,17888.13,18285.47,18274.12,1409.89,834.90,1125.73,582.11
