datetime,model,scene,case,northern_flow,sac_flow,sjr_flow,exports,ndo,dcc,smscg,sf_tidal_energy,sf_tidal_filter,x2,evap_delta,cu_delta,cu_total,cu_suisun,trp,wci,vcu,uni,rsl,old,pct,mal,cll,emm2,srv,anc,jer,sal,ppt,rri2,bdt,lps,snc,dsj,bdl,nsl2,vol,tss,sss,tms,anh,cse,mrz,oh4,rsl,vcu,mtz,god,gzl,frk,bac,hol,ori
2015-02-18,SCHISM,suisun,suisun-suisun,22344.00,19163.39,1520.93,6146.99,16918.07,0.00,1.00,2.27,3.18,72.60,65.40,-734.40,-29.05,-29.05,803.65,727.09,699.13,1020.17,500.03,1153.19,12094.10,2507.20,382.48,302.48,304.41,529.70,449.36,375.44,333.57,805.09,855.84,366.91,6663.08,589.22,3488.00,505.51,6659.87,354.96,253.59,332.29,529.70,383.12,19238.38,491.39,500.03,699.13,6982.98,7472.79,8343.92,438.14,470.50,436.65,752.52
2015-02-19,SCHISM,suisun,suisun-suisun,22274.47,19120.61,1520.12,6099.78,16903.55,0.00,1.00,4.20,3.21,74.00,68.10,-723.15,-73.92,-73.92,707.42,574.37,554.46,978.06,490.97,1148.75,13014.69,3953.00,889.86,308.06,320.50,563.06,450.63,370.97,348.33,807.56,870.81,332.93,6679.13,551.95,3227.48,384.39,6204.55,365.21,239.98,328.43,563.48,889.45,23262.82,482.96,490.97,554.46,7044.43,7833.27,8954.62,430.29,457.61,442.37,634.29
2015-02-20,SCHISM,suisun,suisun-suisun,22153.82,19041.42,1518.16,6021.93,17007.38,0.00,1.00,4.04,3.29,74.40,119.80,-522.89,106.98,106.98,698.09,552.58,478.32,935.24,490.76,1030.32,12283.68,4237.14,1057.51,315.36,300.33,664.05,442.16,350.47,355.17,822.16,942.79,331.00,6309.27,539.57,2489.71,552.79,5568.88,368.19,185.16,338.50,664.88,1057.31,22344.91,483.17,490.76,478.32,6757.92,7738.75,9226.49,423.08,445.13,442.59,632.42
2015-02-21,SCHISM,suisun,suisun-suisun,21985.67,18928.40,1515.00,5923.17,16904.80,0.00,1.00,3.52,3.49,75.00,585.60,-87.10,629.62,629.62,646.58,510.77,482.75,897.43,507.83,988.04,11887.53,4334.36,1156.41,314.71,268.91,753.34,428.81,335.93,357.52,816.81,947.89,312.35,5734.88,531.59,1939.34,666.54,4958.15,357.95,192.10,329.07,754.37,1156.82,21748.88,481.90,507.83,482.75,6433.71,7448.76,9249.89,415.87,440.68,443.01,607.18
2015-02-22,SCHISM,suisun,suisun-suisun,21766.37,18779.12,1510.58,5803.56,16838.29,0.00,1.00,3.01,3.59,72.20,506.00,-129.12,571.23,571.23,604.26,507.40,481.06,878.80,520.24,944.02,11076.78,4099.52,1577.19,292.38,244.09,820.72,429.23,338.92,348.33,807.97,911.75,282.48,5181.24,535.79,1622.31,852.35,4708.39,344.48,186.89,306.34,821.13,1577.00,21018.67,472.40,520.24,481.06,6102.20,7113.46,9514.23,400.57,432.20,437.29,565.99
2015-02-23,SCHISM,suisun,suisun-suisun,21488.77,18588.60,1504.85,5659.54,16650.83,0.00,1.00,2.50,3.41,71.00,156.20,-527.04,177.79,177.79,635.75,510.98,488.86,898.25,514.35,922.78,9414.08,3326.48,1432.41,267.62,238.69,703.07,416.72,317.07,344.06,819.69,884.12,265.46,4938.96,544.82,1351.59,1184.84,4422.38,339.35,185.37,291.73,703.28,1431.21,20002.14,472.19,514.35,488.86,5949.48,6736.36,9060.78,373.10,434.96,425.63,592.77
2015-02-24,SCHISM,suisun,suisun-suisun,21142.87,18349.96,1497.76,5486.08,16514.20,0.00,1.00,2.17,3.24,70.40,99.60,-540.74,126.77,126.77,629.92,504.25,502.14,889.24,500.03,929.32,9607.20,3125.99,874.70,255.97,236.31,672.15,405.25,293.24,341.06,824.63,890.27,251.65,4582.75,539.99,1263.46,994.35,4066.50,333.36,185.81,283.56,671.95,873.68,19879.27,470.71,500.03,502.14,5172.86,6430.49,8490.23,371.39,433.05,421.60,583.36
2015-02-25,SCHISM,suisun,suisun-suisun,20715.19,18053.82,1489.19,5276.55,16313.48,0.00,1.00,2.04,3.28,70.40,145.60,-468.75,272.00,272.00,623.87,516.24,494.98,889.86,500.03,925.44,9532.56,2935.61,743.43,237.82,236.52,666.34,400.57,284.42,333.14,833.46,882.49,232.85,4107.87,535.58,1236.35,711.15,3671.04,319.22,192.76,268.48,666.54,744.05,19479.43,468.39,500.03,494.98,4703.98,6055.64,7899.21,370.11,429.23,419.05,579.81
2015-02-26,SCHISM,suisun,suisun-suisun,20188.09,17688.00,1479.06,5022.31,16109.46,0.00,1.00,1.88,3.34,72.80,213.10,-322.29,370.36,370.36,610.52,526.76,482.54,876.75,500.03,920.74,9653.32,2955.37,720.47,236.52,236.96,664.47,388.23,287.00,330.15,830.18,882.28,220.08,3759.60,529.28,1183.23,630.96,3329.87,309.13,183.42,263.30,664.88,720.47,19060.29,465.64,500.03,482.54,4402.46,5750.05,7512.17,372.89,421.81,415.02,574.57
2015-02-27,SCHISM,suisun,suisun-suisun,19542.25,17239.44,1467.20,4714.32,15760.67,0.00,1.00,1.64,3.63,70.40,113.20,-421.27,250.08,250.08,565.36,501.72,471.35,858.92,500.03,912.36,11273.01,3815.20,1061.98,251.22,230.47,760.36,394.19,317.72,318.57,811.67,874.50,212.28,3381.07,499.19,1136.23,717.57,3024.08,290.01,176.46,251.00,761.39,1061.98,21964.44,458.24,500.03,471.35,4738.47,6333.28,7404.23,380.99,414.38,414.17,537.05
