date,sf_tidal_filter,sf_tidal_energy,sf_tidal_range
1920-01-01,3.24,2.65,5.10
1920-01-02,3.27,3.58,6.20
1920-01-03,3.33,4.63,7.10
1920-01-04,3.42,5.39,7.80
1920-01-05,3.17,5.83,8.20
1920-01-06,2.86,5.91,8.40
1920-01-07,2.95,5.49,8.20
1920-01-08,2.96,4.74,7.50
1920-01-09,3.09,3.83,6.60
1920-01-10,3.30,2.92,5.50
1920-01-11,3.38,2.21,5.00
1920-01-12,3.33,1.81,4.40
1920-01-13,3.26,1.72,4.30
1920-01-14,3.23,1.81,4.50
1920-01-15,3.27,2.13,4.90
1920-01-16,3.15,2.46,5.40
1920-01-17,3.10,2.86,5.70
1920-01-18,3.11,3.20,6.10
1920-01-19,3.30,3.34,6.10
1920-01-20,3.44,3.54,6.30
1920-01-21,3.48,3.57,6.50
1920-01-22,3.52,3.33,6.30
1920-01-23,3.30,3.10,6.10
1920-01-24,3.05,2.74,5.70
1920-01-25,2.98,2.34,4.90
1920-01-26,3.08,2.02,4.40
1920-01-27,3.12,1.83,4.30
1920-01-28,3.17,1.91,4.20
1920-01-29,3.16,2.26,4.80
1920-01-30,3.14,2.91,5.50
1920-01-31,3.20,3.63,6.30
1920-02-01,3.29,4.32,6.80
1920-02-02,3.27,4.77,7.40
1920-02-03,3.16,4.82,7.70
1920-02-04,3.10,4.63,7.60
1920-02-05,2.95,4.31,7.20
1920-02-06,2.79,3.75,6.60
1920-02-07,2.87,3.13,5.60
1920-02-08,3.13,2.46,4.80
1920-02-09,3.25,1.99,4.40
1920-02-10,3.19,1.64,4.40
1920-02-11,3.05,1.57,4.30
1920-02-12,3.05,1.61,4.40
1920-02-13,3.13,1.81,4.50
1920-02-14,3.09,2.07,4.70
1920-02-15,2.99,2.37,5.20
1920-02-16,3.02,2.62,5.40
1920-02-17,3.07,2.81,5.70
1920-02-18,3.17,2.99,5.70
1920-02-19,3.31,3.06,5.90
1920-02-20,3.40,2.91,5.60
1920-02-21,3.28,2.83,5.50
1920-02-22,3.27,2.59,4.90
1920-02-23,3.29,2.45,4.50
1920-02-24,3.11,2.28,4.80
1920-02-25,3.14,2.35,5.00
1920-02-26,3.22,2.37,5.20
1920-02-27,3.37,2.49,5.40
1920-02-28,3.32,2.68,5.60
1920-02-29,3.15,3.13,6.00
1920-03-01,3.36,3.56,6.20
1920-03-02,3.40,3.74,6.50
1920-03-03,2.96,3.76,6.80
1920-03-04,2.71,3.57,6.30
1920-03-05,2.75,3.38,5.80
1920-03-06,2.95,3.00,5.20
1920-03-07,3.09,2.67,4.70
1920-03-08,3.06,2.33,4.90
1920-03-09,3.19,1.96,4.90
1920-03-10,3.15,1.67,4.50
1920-03-11,2.80,1.53,4.50
1920-03-12,2.67,1.46,4.30
1920-03-13,2.77,1.48,4.10
1920-03-14,2.89,1.64,4.00
1920-03-15,2.77,1.73,4.40
1920-03-16,3.12,2.08,4.40
1920-03-17,3.01,2.34,4.90
1920-03-18,2.80,2.48,5.10
1920-03-19,2.83,2.61,5.00
1920-03-20,3.00,2.78,5.00
1920-03-21,3.41,2.91,5.30
1920-03-22,3.56,3.02,5.70
1920-03-23,3.32,3.20,5.80
1920-03-24,3.19,3.14,6.10
1920-03-25,3.20,3.04,6.10
1920-03-26,3.14,2.92,5.90
1920-03-27,2.84,2.68,5.90
1920-03-28,2.72,2.61,5.50
1920-03-29,2.75,2.68,5.50
1920-03-30,2.83,2.70,5.30
1920-03-31,2.68,2.74,5.20
1920-04-01,2.44,2.78,5.00
1920-04-02,2.56,2.97,5.10
1920-04-03,2.53,3.00,5.10
1920-04-04,2.52,2.95,5.50
1920-04-05,2.83,2.85,6.00
1920-04-06,3.07,2.64,5.60
1920-04-07,3.05,2.48,5.50
1920-04-08,3.09,2.17,5.30
1920-04-09,3.38,1.97,4.90
1920-04-10,3.17,1.69,4.60
1920-04-11,2.89,1.49,4.30
1920-04-12,2.77,1.37,3.80
1920-04-13,2.84,1.40,3.80
1920-04-14,2.98,1.54,4.00
1920-04-15,3.21,1.86,4.40
1920-04-16,3.09,2.25,4.40
1920-04-17,2.59,2.75,4.40
1920-04-18,2.52,3.28,5.60
1920-04-19,2.79,3.86,6.60
1920-04-20,2.81,4.23,6.70
1920-04-21,2.58,4.44,7.10
1920-04-22,2.54,4.36,7.10
1920-04-23,2.52,3.89,7.10
1920-04-24,2.60,3.40,6.60
1920-04-25,2.66,2.88,5.90
1920-04-26,2.64,2.44,5.30
1920-04-27,2.70,2.26,5.10
1920-04-28,2.89,2.30,5.10
1920-04-29,3.09,2.47,4.90
1920-04-30,3.10,2.65,4.80
1920-05-01,3.06,2.90,5.30
1920-05-02,3.05,3.04,5.60
1920-05-03,3.04,3.16,6.00
1920-05-04,3.01,3.18,6.20
1920-05-05,2.94,3.01,6.10
1920-05-06,2.96,2.80,5.80
1920-05-07,3.06,2.52,5.40
1920-05-08,3.05,2.21,5.10
1920-05-09,3.04,1.85,4.70
1920-05-10,3.10,1.58,4.00
1920-05-11,3.10,1.39,3.90
1920-05-12,3.07,1.32,4.10
1920-05-13,3.10,1.47,4.00
1920-05-14,3.06,1.96,4.30
1920-05-15,3.01,2.65,4.90
1920-05-16,3.07,3.48,5.90
1920-05-17,3.03,4.31,6.70
1920-05-18,3.07,4.88,7.30
1920-05-19,3.10,5.45,7.80
1920-05-20,3.23,5.40,8.00
1920-05-21,3.24,5.01,7.80
1920-05-22,3.08,4.39,7.50
1920-05-23,2.98,3.45,6.80
1920-05-24,2.86,2.67,5.70
1920-05-25,2.79,2.23,5.30
1920-05-26,2.77,2.05,5.00
1920-05-27,2.70,2.09,4.50
1920-05-28,2.73,2.42,4.90
1920-05-29,2.81,2.74,5.50
1920-05-30,2.82,3.10,5.70
1920-05-31,2.89,3.36,6.20
1920-06-01,3.02,3.47,6.20
1920-06-02,3.10,3.42,6.21
1920-06-03,3.16,3.32,6.10
1920-06-04,3.18,3.09,6.00
1920-06-05,3.13,2.80,5.80
1920-06-06,3.10,2.49,5.40
1920-06-07,3.01,2.08,5.00
1920-06-08,2.89,1.62,4.40
1920-06-09,2.90,1.40,4.20
1920-06-10,2.96,1.36,4.20
1920-06-11,3.01,1.65,4.00
1920-06-12,3.01,2.26,4.50
1920-06-13,3.04,3.17,5.50
1920-06-14,3.10,4.04,6.50
1920-06-15,3.13,4.96,7.30
1920-06-16,3.10,5.69,8.00
1920-06-17,2.97,5.94,8.20
1920-06-18,2.89,5.72,8.40
1920-06-19,2.94,5.10,8.10
1920-06-20,3.10,4.09,7.50
1920-06-21,3.17,3.24,6.40
1920-06-22,3.16,2.57,5.60
1920-06-23,3.14,2.16,5.30
1920-06-24,3.09,2.02,4.70
1920-06-25,3.17,2.13,4.60
1920-06-26,3.38,2.36,5.10
1920-06-27,3.52,2.74,5.60
1920-06-28,3.46,3.14,5.90
1920-06-29,3.52,3.37,6.20
1920-06-30,3.43,3.47,6.20
1920-07-01,3.40,3.50,6.20
1920-07-02,3.31,3.40,6.30
1920-07-03,3.11,3.16,6.30
1920-07-04,3.01,2.86,6.00
1920-07-05,2.93,2.45,5.60
1920-07-06,2.97,2.07,5.00
1920-07-07,3.08,1.78,4.70
1920-07-08,3.09,1.59,4.50
1920-07-09,3.09,1.64,4.30
1920-07-10,3.10,2.03,4.70
1920-07-11,3.08,2.71,5.20
1920-07-12,3.06,3.57,5.90
1920-07-13,3.11,4.34,6.80
1920-07-14,3.07,5.19,7.50
1920-07-15,3.03,5.60,8.00
1920-07-16,3.03,5.53,8.30
1920-07-17,3.00,5.11,8.20
1920-07-18,2.93,4.37,7.70
1920-07-19,2.96,3.52,6.80
1920-07-20,2.99,2.77,5.70
1920-07-21,2.94,2.16,5.10
1920-07-22,2.97,1.89,4.60
1920-07-23,3.13,1.84,4.70
1920-07-24,3.17,2.00,4.70
1920-07-25,3.16,2.27,5.00
1920-07-26,3.17,2.55,5.30
1920-07-27,3.14,2.87,5.50
1920-07-28,3.09,3.11,5.80
1920-07-29,3.01,3.13,6.00
1920-07-30,2.96,3.18,5.90
1920-07-31,3.03,3.11,6.10
1920-08-01,3.14,2.92,5.90
1920-08-02,3.10,2.57,5.70
1920-08-03,3.15,2.28,5.20
1920-08-04,3.23,1.92,4.70
1920-08-05,3.16,1.71,4.40
1920-08-06,3.15,1.66,4.20
1920-08-07,3.26,1.89,4.60
1920-08-08,3.24,2.33,5.30
1920-08-09,3.33,2.86,5.50
1920-08-10,3.30,3.59,6.10
1920-08-11,3.29,4.18,6.80
1920-08-12,3.33,4.58,7.20
1920-08-13,3.39,4.61,7.50
1920-08-14,3.37,4.51,7.20
1920-08-15,3.33,4.11,7.20
1920-08-16,3.27,3.56,6.70
1920-08-17,3.28,2.91,5.80
1920-08-18,3.41,2.39,5.10
1920-08-19,3.48,2.04,4.70
1920-08-20,3.43,1.70,4.50
1920-08-21,3.36,1.66,4.50
1920-08-22,3.33,1.77,4.70
1920-08-23,3.26,1.95,4.60
1920-08-24,3.34,2.14,4.80
1920-08-25,3.45,2.36,5.30
1920-08-26,3.34,2.46,5.20
1920-08-27,3.22,2.56,5.30
1920-08-28,3.19,2.56,5.50
1920-08-29,3.18,2.57,5.30
1920-08-30,3.25,2.55,5.20
1920-08-31,3.36,2.40,5.00
1920-09-01,3.42,2.18,4.70
1920-09-02,3.40,2.06,4.50
1920-09-03,3.35,2.01,4.70
1920-09-04,3.29,2.11,5.00
1920-09-05,3.27,2.29,5.20
1920-09-06,3.18,2.50,5.50
1920-09-07,3.13,2.84,5.50
1920-09-08,3.15,3.16,6.00
1920-09-09,3.04,3.47,6.20
1920-09-10,3.08,3.63,6.50
1920-09-11,3.07,3.69,6.30
1920-09-12,3.08,3.62,6.10
1920-09-13,3.15,3.38,5.80
1920-09-14,3.19,3.07,5.30
1920-09-15,3.13,2.73,5.40
1920-09-16,3.13,2.44,5.30
1920-09-17,3.28,2.08,5.00
1920-09-18,3.31,1.83,4.70
1920-09-19,3.34,1.62,4.40
1920-09-20,3.28,1.55,4.30
1920-09-21,3.21,1.56,4.00
1920-09-22,3.27,1.57,4.10
1920-09-23,3.29,1.85,4.20
1920-09-24,3.23,2.01,4.60
1920-09-25,3.11,2.08,4.60
1920-09-26,3.08,2.24,4.60
1920-09-27,3.07,2.47,4.50
1920-09-28,3.16,2.65,4.70
1920-09-29,3.27,2.79,5.10
1920-09-30,3.29,2.93,5.70
1920-10-01,3.08,3.00,6.00
1920-10-02,2.94,2.91,6.00
1920-10-03,3.09,2.92,6.00
1920-10-04,3.21,2.80,5.80
1920-10-05,3.28,2.69,5.60
